Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,9.55,9.75,9.55,9.7,9.7,2700
2021-09-21,9.66,9.67,9.65,9.67,9.67,50000
2021-09-22,9.67,9.68,9.67,9.68,9.68,3900
2021-09-23,9.68,9.7,9.68,9.68,9.68,26600
2021-09-24,9.69,9.69,9.69,9.69,9.69,7500
2021-09-27,9.69,9.7,9.68,9.68,9.68,926200
2021-09-28,9.68,9.68,9.68,9.68,9.68,11300
2021-09-29,9.68,9.7,9.68,9.69,9.69,11500
2021-09-30,9.69,9.7,9.69,9.69,9.69,13500
2021-10-01,9.69,9.7,9.69,9.7,9.7,312800
2021-10-04,9.77,9.77,9.69,9.77,9.77,1200
2021-10-05,9.77,9.77,9.77,9.77,9.77,0
2021-10-06,9.77,9.77,9.77,9.77,9.77,0
2021-10-07,9.84,10.43,9.7,9.72,9.72,126700
2021-10-08,9.72,9.73,9.72,9.72,9.72,16900
2021-10-11,9.77,9.77,9.72,9.72,9.72,3400
2021-10-12,9.71,9.73,9.71,9.71,9.71,111400
2021-10-13,9.72,9.72,9.71,9.71,9.71,74300
2021-10-14,9.74,9.74,9.7,9.71,9.71,92300
2021-10-15,9.7,9.7,9.7,9.7,9.7,1600
2021-10-18,9.69,9.73,9.69,9.71,9.71,300100
2021-10-19,9.7,9.7,9.7,9.7,9.7,400
2021-10-20,9.7,9.7,9.7,9.7,9.7,0
2021-10-21,9.69,9.7,9.69,9.7,9.7,1800
2021-10-22,9.7,9.7,9.7,9.7,9.7,0
2021-10-25,9.7,9.74,9.7,9.72,9.72,171000
2021-10-26,9.7,9.72,9.7,9.72,9.72,56100
2021-10-27,9.7,9.72,9.7,9.7,9.7,24100
2021-10-28,9.7,9.76,9.7,9.76,9.76,45700
2021-10-29,9.7,9.72,9.7,9.72,9.72,168000
2021-11-01,9.72,9.75,9.7,9.75,9.75,51300
2021-11-02,9.73,9.75,9.73,9.73,9.73,33000
2021-11-03,9.76,9.77,9.73,9.77,9.77,38200
2021-11-04,9.77,9.77,9.77,9.77,9.77,0
2021-11-05,9.77,9.77,9.77,9.77,9.77,100
2021-11-08,9.77,9.77,9.77,9.77,9.77,0
2021-11-09,9.73,9.73,9.73,9.73,9.73,700
2021-11-10,9.7,9.7,9.7,9.7,9.7,200
2021-11-11,9.72,9.76,9.72,9.76,9.76,500
2021-11-12,9.79,9.79,9.725,9.75,9.75,13400
2021-11-15,9.72,9.76,9.72,9.76,9.76,24900
2021-11-16,9.73,9.76,9.725,9.74,9.74,45000
2021-11-17,9.74,9.74,9.72,9.73,9.73,14200
2021-11-18,9.72,9.845,9.71,9.845,9.845,28500
2021-11-19,9.84,9.84,9.72,9.75,9.75,2500
2021-11-22,9.73,9.75,9.73,9.73,9.73,227500
2021-11-23,9.75,9.76,9.73,9.76,9.76,12100
2021-11-24,9.72,9.77,9.71,9.77,9.77,23200
2021-11-26,9.77,9.77,9.77,9.77,9.77,0
2021-11-29,9.732,9.75,9.732,9.75,9.75,1000
2021-11-30,9.75,9.75,9.71,9.75,9.75,1000
2021-12-01,9.73,9.73,9.73,9.73,9.73,56900
2021-12-02,9.74,9.74,9.73,9.73,9.73,500
2021-12-03,9.73,9.73,9.73,9.73,9.73,0
2021-12-06,9.73,9.73,9.73,9.73,9.73,0
2021-12-07,9.72,9.725,9.72,9.72,9.72,2500
2021-12-08,9.8,9.8,9.7,9.73,9.73,19700
2021-12-09,9.73,9.735,9.73,9.73,9.73,4300
2021-12-10,9.73,9.73,9.73,9.73,9.73,0
2021-12-13,9.73,9.73,9.73,9.73,9.73,0
2021-12-14,9.7,9.72,9.7,9.72,9.72,3500
2021-12-15,9.705,9.71,9.7,9.71,9.71,1400
2021-12-16,9.71,9.71,9.71,9.71,9.71,0
2021-12-17,9.71,9.72,9.71,9.71,9.71,3000
2021-12-20,9.71,9.73,9.7,9.73,9.73,22300
2021-12-21,9.73,9.73,9.73,9.73,9.73,0
2021-12-22,9.7,9.73,9.7,9.7,9.7,7300
2021-12-23,9.7,9.7,9.7,9.7,9.7,0
2021-12-27,9.7,9.72,9.7,9.71,9.71,22000
2021-12-28,9.71,9.71,9.71,9.71,9.71,400
2021-12-29,9.7,9.73,9.698,9.7,9.7,355000
2021-12-30,9.7,9.7,9.7,9.7,9.7,0
2021-12-31,9.72,9.72,9.72,9.72,9.72,1900
2022-01-03,9.71,9.71,9.71,9.71,9.71,100
2022-01-04,9.71,9.71,9.71,9.71,9.71,0
