Date,Open,High,Low,Close,Adj Close,Volume
2021-11-12,9.9,9.91,9.85,9.86,9.86,281600
2021-11-15,9.86,9.88,9.83,9.87,9.87,1904400
2021-11-16,9.865,9.89,9.85,9.87,9.87,327800
2021-11-17,9.88,9.9,9.86,9.89,9.89,380700
2021-11-18,9.9,9.9,9.87,9.88,9.88,71900
2021-11-19,9.76,9.9,9.76,9.9,9.9,5300
2021-11-22,9.9,9.9,9.885,9.9,9.9,287600
2021-11-23,9.9,9.9,9.88,9.9,9.9,57300
2021-11-24,9.9,9.9,9.9,9.9,9.9,600
2021-11-26,9.91,9.91,9.899,9.9,9.9,1500
2021-11-29,9.9,9.91,9.88,9.9,9.9,113000
2021-11-30,9.892,9.9,9.88,9.9,9.9,39700
2021-12-01,9.9,9.9,9.86,9.9,9.9,126900
2021-12-02,9.91,9.91,9.88,9.89,9.89,94800
2021-12-03,9.9,9.9,9.88,9.89,9.89,90400
2021-12-06,9.91,9.91,9.88,9.89,9.89,12100
2021-12-07,9.88,9.89,9.87,9.88,9.88,164100
2021-12-08,9.87,9.88,9.86,9.87,9.87,63400
2021-12-09,9.87,9.89,9.87,9.87,9.87,465400
2021-12-10,9.87,9.89,9.86,9.87,9.87,6800
2021-12-13,9.85,9.89,9.85,9.87,9.87,23600
2021-12-14,9.87,9.87,9.84,9.86,9.86,52500
2021-12-15,9.86,9.88,9.83,9.86,9.86,45100
2021-12-16,9.861,9.87,9.83,9.855,9.855,36900
2021-12-17,9.85,9.87,9.82,9.84,9.84,45200
2021-12-20,9.84,9.89,9.83,9.84,9.84,11100
2021-12-21,9.85,9.86,9.85,9.86,9.86,5800
2021-12-22,9.82,9.89,9.82,9.86,9.86,44500
2021-12-23,9.86,9.86,9.86,9.86,9.86,100
2021-12-27,9.84,9.84,9.84,9.84,9.84,100200
2021-12-28,9.86,9.86,9.84,9.84,9.84,42900
2021-12-29,9.84,9.84,9.83,9.84,9.84,2400
2021-12-30,9.84,9.84,9.83,9.838,9.838,2700
2021-12-31,9.83,9.83,9.83,9.83,9.83,400
2022-01-03,9.84,9.89,9.83,9.83,9.83,325000
2022-01-04,9.84,9.85,9.83,9.84,9.84,42200
2022-01-05,9.84,9.84,9.84,9.84,9.84,6200
2022-01-06,9.86,9.86,9.83,9.85,9.85,181900
2022-01-07,9.85,9.85,9.85,9.85,9.85,0
2022-01-10,9.86,9.86,9.86,9.86,9.86,25000
2022-01-11,9.86,9.86,9.86,9.86,9.86,135400
2022-01-12,9.86,9.86,9.86,9.86,9.86,0
2022-01-13,9.86,9.86,9.86,9.86,9.86,0
2022-01-14,9.86,9.86,9.86,9.86,9.86,0
2022-01-18,9.86,9.86,9.86,9.86,9.86,0
2022-01-19,9.86,9.86,9.86,9.86,9.86,0
2022-01-20,9.86,9.86,9.86,9.86,9.86,0
2022-01-21,9.86,9.86,9.86,9.86,9.86,1400
2022-01-24,9.83,9.88,9.83,9.86,9.86,2800
2022-01-25,9.86,9.86,9.83,9.84,9.84,2600
2022-01-26,9.84,9.84,9.83,9.84,9.84,119700
2022-01-27,9.83,9.86,9.83,9.83,9.83,32700
2022-01-28,9.83,9.83,9.83,9.83,9.83,0
2022-01-31,9.84,9.87,9.84,9.87,9.87,27800
2022-02-01,9.87,9.87,9.87,9.87,9.87,0
2022-02-02,9.87,9.87,9.87,9.87,9.87,0
2022-02-03,9.87,9.87,9.87,9.87,9.87,0
2022-02-04,9.87,9.87,9.87,9.87,9.87,0
2022-02-07,9.87,9.87,9.87,9.87,9.87,5500
2022-02-08,9.87,9.87,9.87,9.87,9.87,0
2022-02-09,9.87,9.87,9.87,9.87,9.87,0
2022-02-10,9.85,9.85,9.84,9.85,9.85,72500
2022-02-11,9.85,9.85,9.85,9.85,9.85,800
2022-02-14,9.96,9.96,9.911,9.92,9.92,700
2022-02-15,9.92,9.92,9.92,9.92,9.92,0
2022-02-16,9.92,9.92,9.92,9.92,9.92,0
2022-02-17,9.92,9.92,9.92,9.92,9.92,0
2022-02-18,9.87,9.87,9.85,9.85,9.85,4000
2022-02-22,9.85,9.85,9.85,9.85,9.85,0
2022-02-23,9.85,9.85,9.85,9.85,9.85,0
2022-02-24,9.85,9.85,9.85,9.85,9.85,400
2022-02-25,9.85,9.85,9.85,9.85,9.85,0
2022-02-28,9.85,9.9,9.85,9.89,9.89,2300
2022-03-01,9.89,9.96,9.89,9.96,9.96,473700
2022-03-02,9.86,9.96,9.86,9.96,9.96,102700
2022-03-03,9.96,9.96,9.96,9.96,9.96,1400
2022-03-04,9.96,9.97,9.91,9.91,9.91,6600
2022-03-07,9.91,9.91,9.91,9.91,9.91,400
2022-03-08,9.91,9.91,9.91,9.91,9.91,400
2022-03-09,9.925,9.925,9.92,9.92,9.92,800
2022-03-10,9.92,9.92,9.92,9.92,9.92,245100
2022-03-11,9.95,9.955,9.93,9.945,9.945,6800
2022-03-14,9.94,9.94,9.94,9.94,9.94,334400
2022-03-15,9.94,9.94,9.94,9.94,9.94,0
2022-03-16,9.93,9.93,9.92,9.92,9.92,5300
2022-03-17,9.92,9.92,9.92,9.92,9.92,6000
2022-03-18,9.92,9.92,9.92,9.92,9.92,0
2022-03-21,9.94,9.94,9.93,9.93,9.93,3300
2022-03-22,9.93,9.93,9.93,9.93,9.93,1600
2022-03-23,9.94,9.94,9.93,9.93,9.93,1700
2022-03-24,9.93,9.93,9.93,9.93,9.93,100
2022-03-25,9.93,9.93,9.93,9.93,9.93,0
2022-03-28,9.94,9.94,9.94,9.94,9.94,8200
2022-03-29,9.945,9.95,9.945,9.95,9.95,300
2022-03-30,9.96,9.96,9.96,9.96,9.96,100
2022-03-31,9.945,9.945,9.93,9.93,9.93,1000
2022-04-01,9.91,9.96,9.91,9.95,9.95,118700
