Date,Open,High,Low,Close,Adj Close,Volume
2001-07-27,15.0,15.01,15.0,15.0,4.417237,200700
2001-07-30,15.0,15.08,15.0,15.0,4.417237,47500
2001-07-31,15.05,15.05,15.0,15.01,4.420181,22000
2001-08-01,15.01,15.1,15.0,15.0,4.417237,51900
2001-08-02,15.0,15.07,15.0,15.06,4.434906,27200
2001-08-03,15.06,15.14,15.0,15.07,4.437851,78500
2001-08-06,15.01,15.07,15.0,15.0,4.417237,42400
2001-08-07,15.0,15.1,15.0,15.07,4.437851,50200
2001-08-08,15.07,15.08,15.0,15.0,4.417237,10400
2001-08-09,15.0,15.22,15.0,15.03,4.426069,19200
2001-08-10,15.12,15.3,15.12,15.2,4.476132,12600
2001-08-13,15.14,15.25,15.1,15.25,4.490859,13100
2001-08-14,15.11,15.15,15.05,15.15,4.461408,22800
2001-08-15,15.15,15.2,15.12,15.12,4.452575,12000
2001-08-16,15.09,15.19,15.06,15.19,4.473186,5400
2001-08-17,15.1,15.2,15.05,15.18,4.470243,18500
2001-08-20,15.1,15.18,15.04,15.08,4.440793,27900
2001-08-21,15.08,15.12,15.02,15.08,4.440793,29700
2001-08-22,15.11,15.11,15.05,15.08,4.440793,10300
2001-08-23,15.11,15.11,15.11,15.11,4.44963,5200
2001-08-24,15.12,15.19,15.12,15.19,4.473186,12400
2001-08-27,15.12,15.15,15.05,15.09,4.443736,10600
2001-08-28,15.12,15.15,15.05,15.05,4.43196,20400
2001-08-29,15.1,15.16,15.06,15.14,4.458463,22400
2001-08-30,15.18,15.21,15.1,15.1,4.446684,21600
2001-08-31,15.17,15.32,15.15,15.32,4.511467,23600
2001-09-04,15.32,15.33,15.15,15.33,4.514417,21000
2001-09-05,15.32,15.34,15.25,15.25,4.490859,36900
2001-09-06,15.31,15.31,15.31,15.31,4.508526,500
2001-09-07,15.33,15.35,15.25,15.35,4.520302,17200
2001-09-10,15.3,15.37,15.28,15.37,4.526192,10500
2001-09-17,15.3,15.3,14.96,14.96,4.405455,33000
2001-09-18,15.0,15.01,14.92,14.92,4.393679,16500
2001-09-19,14.92,14.93,14.82,14.82,4.36423,13700
2001-09-20,14.72,14.84,14.45,14.51,4.27294,24100
2001-09-21,14.42,14.44,14.0,14.17,4.172815,35200
2001-09-24,14.15,14.26,13.91,14.26,4.199317,25700
2001-09-25,14.26,14.54,14.26,14.54,4.281774,17800
2001-09-26,14.55,14.9,14.55,14.9,4.387787,19200
2001-09-27,14.86,15.0,14.85,14.9,4.409392,4400
2001-09-28,14.95,15.0,14.87,14.99,4.436024,8900
2001-10-01,14.99,15.06,14.92,14.92,4.415313,12000
2001-10-02,14.89,15.15,14.89,15.15,4.483374,18100
2001-10-03,15.1,15.1,14.94,15.05,4.453781,13700
2001-10-04,15.05,15.05,14.98,15.05,4.453781,11400
2001-10-05,15.09,15.21,15.09,15.1,4.468578,22700
2001-10-08,15.15,15.31,15.01,15.01,4.441944,13800
2001-10-09,15.09,15.1,14.93,15.0,4.438984,10000
2001-10-10,15.0,15.08,14.98,14.98,4.433067,17300
2001-10-11,14.9,15.0,14.61,14.61,4.344744,35500
2001-10-12,14.75,14.75,14.7,14.75,4.386374,4600
2001-10-15,14.76,14.88,14.71,14.75,4.386374,23300
2001-10-16,14.95,14.96,14.83,14.92,4.436934,18700
2001-10-17,14.9,14.93,14.74,14.83,4.410164,8900
