Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,8.9,17.049999,8.85,11.93,11.93,3437923
2021-12-10,11.0,11.74,9.7358,9.99,9.99,942233
2021-12-13,10.5,10.52,9.5,9.66,9.66,294459
2021-12-14,9.7,10.1999,9.7,9.94,9.94,186387
2021-12-15,9.41,10.38,9.41,9.89,9.89,272784
2021-12-16,9.91,10.88,9.7,10.55,10.55,174731
2021-12-17,10.7,11.73,10.3,11.1,11.1,283020
2021-12-20,11.24,12.0,9.5,9.57,9.57,216620
2021-12-21,9.61,10.355,9.61,9.67,9.67,165485
2021-12-22,9.8,11.21,9.8,10.76,10.76,190678
2021-12-23,10.76,13.0,10.53,11.91,11.91,782988
2021-12-27,12.33,13.19,12.3,13.05,13.05,376218
2021-12-28,13.5,13.65,13.0,13.56,13.56,294936
2021-12-29,13.99,15.0,13.8,14.69,14.69,541872
2021-12-30,15.44,15.44,13.6,13.88,13.88,416475
2021-12-31,12.94,14.71,12.94,13.7,13.7,198369
2022-01-03,14.53,14.63,13.75,13.85,13.85,307299
2022-01-04,13.73,13.9847,12.76,13.34,13.34,223522
2022-01-05,13.17,13.3153,11.95,11.95,11.95,132568
2022-01-06,12.21,12.4616,11.51,11.75,11.75,254387
2022-01-07,11.76,11.9999,11.7501,11.95,11.95,63762
2022-01-10,11.75,11.9689,11.5,11.85,11.85,183554
2022-01-11,11.74,12.12,11.65,11.81,11.81,159665
2022-01-12,11.92,12.51,11.72,11.89,11.89,253545
2022-01-13,11.76,11.88,11.5,11.64,11.64,98709
2022-01-14,11.38,11.67,11.2132,11.49,11.49,95105
2022-01-18,11.2,11.3846,10.35,10.7,10.7,249330
2022-01-19,10.7,11.16,10.5201,10.86,10.86,85064
2022-01-20,11.0,11.31,10.875,11.14,11.14,83821
2022-01-21,11.08,11.92,10.5923,11.7,11.7,132082
2022-01-24,11.31,11.79,10.8449,11.47,11.47,133234
2022-01-25,11.37,11.5899,11.0,11.09,11.09,52543
2022-01-26,11.3,11.59,11.0,11.05,11.05,76059
2022-01-27,11.05,11.25,10.13,10.33,10.33,95881
2022-01-28,10.29,10.35,9.425,9.65,9.65,239667
2022-01-31,9.51,9.665,9.01,9.22,9.22,217284
2022-02-01,9.14,9.95,9.14,9.69,9.69,85899
2022-02-02,9.62,9.8969,9.2,9.41,9.41,91442
2022-02-03,9.08,10.0,9.08,9.84,9.84,82897
2022-02-04,10.09,10.19,9.61,9.7,9.7,112723
2022-02-07,9.64,9.98,9.04,9.15,9.15,170982
2022-02-08,9.02,9.47,8.9,8.96,8.96,110670
2022-02-09,9.06,9.19,8.75,9.06,9.06,152042
2022-02-10,8.92,9.44,8.92,9.13,9.13,127942
2022-02-11,9.19,9.39,8.93,9.03,9.03,102936
2022-02-14,9.08,9.85,9.01,9.44,9.44,166640
2022-02-15,9.6,9.68,9.2,9.65,9.65,229244
2022-02-16,9.64,9.7,9.2,9.37,9.37,112821
2022-02-17,9.27,10.33,9.1,9.87,9.87,169640
2022-02-18,9.87,9.95,9.5197,9.67,9.67,166003
2022-02-22,9.57,10.09,9.33,9.92,9.92,89774
2022-02-23,9.94,10.64,9.65,9.95,9.95,118018
2022-02-24,9.33,9.81,9.33,9.63,9.63,210735
2022-02-25,9.84,10.09,9.52,10.0,10.0,270380
2022-02-28,9.93,10.0,9.21,9.42,9.42,269381
2022-03-01,9.35,9.96,9.35,9.71,9.71,105514
2022-03-02,9.71,10.15,9.3,9.35,9.35,160449
2022-03-03,9.49,9.62,9.11,9.29,9.29,161992
2022-03-04,9.23,9.5,8.8,9.16,9.16,155312
2022-03-07,9.32,10.26,9.04,9.97,9.97,338621
2022-03-08,9.92,10.385,9.72,10.0,10.0,380447
2022-03-09,10.035,10.44,9.82,10.08,10.08,262916
2022-03-10,9.96,10.3,9.96,10.17,10.17,232985
2022-03-11,10.28,10.75,10.17,10.29,10.29,232327
2022-03-14,10.14,10.27,9.42,9.54,9.54,291570
2022-03-15,9.31,10.15,9.11,9.83,9.83,292850
2022-03-16,10.08,10.38,9.21,10.0,10.0,690118
2022-03-17,9.85,10.09,9.5822,10.05,10.05,502042
2022-03-18,10.0,10.46,9.86,10.15,10.15,3539264
2022-03-21,10.17,10.265,7.94,8.04,8.04,942867
2022-03-22,8.21,9.15,8.04,9.03,9.03,404444
2022-03-23,8.86,9.84,8.58,9.15,9.15,513139
2022-03-24,9.17,9.2,8.11,8.24,8.24,327132
2022-03-25,8.31,9.64,8.1,9.6,9.6,319561
2022-03-28,9.6,10.22,9.3469,10.22,10.22,221767
2022-03-29,10.29,10.29,9.72,9.76,9.76,234776
2022-03-30,9.56,10.3,9.42,9.69,9.69,157311
2022-03-31,9.63,10.66,9.545,10.15,10.15,451912
2022-04-01,10.17,10.38,9.53,9.88,9.88,191156
