Date,Open,High,Low,Close,Adj Close,Volume
2021-12-03,10.05,10.06,10.01,10.03,10.03,15101200
2021-12-06,10.03,10.05,10.02,10.03,10.03,399200
2021-12-07,10.0,10.05,10.0,10.0,10.0,169700
2021-12-08,10.0,10.04,10.0,10.04,10.04,26000
2021-12-09,10.04,10.041,10.01,10.04,10.04,22300
2021-12-10,10.04,10.05,10.04,10.05,10.05,1200
2021-12-13,10.05,10.05,10.03,10.04,10.04,27400
2021-12-14,10.05,10.05,10.02,10.04,10.04,47300
2021-12-15,10.04,10.05,10.03,10.05,10.05,17300
2021-12-16,10.05,10.05,10.05,10.05,10.05,100
2021-12-17,10.05,10.05,10.05,10.05,10.05,1200
2021-12-20,10.05,10.05,10.05,10.05,10.05,0
2021-12-21,10.05,10.05,10.03,10.05,10.05,17400
2021-12-22,10.04,10.04,10.0,10.0,10.0,55300
2021-12-23,10.0,10.0,10.0,10.0,10.0,0
2021-12-27,10.0,10.0,10.0,10.0,10.0,0
2021-12-28,10.09,10.275,10.09,10.25,10.25,800
2021-12-29,10.25,10.25,10.25,10.25,10.25,0
2021-12-30,10.25,10.25,10.25,10.25,10.25,0
2021-12-31,10.06,10.06,10.0,10.005,10.005,3600
2022-01-03,10.025,10.025,10.0,10.02,10.02,3500
2022-01-04,10.02,10.02,10.02,10.02,10.02,0
2022-01-05,10.02,10.02,10.02,10.02,10.02,0
2022-01-06,10.02,10.02,10.02,10.02,10.02,0
2022-01-07,10.02,10.02,10.02,10.02,10.02,0
2022-01-10,10.02,10.02,10.02,10.02,10.02,0
2022-01-11,10.1,10.1,10.1,10.1,10.1,200
2022-01-12,10.03,10.03,10.03,10.03,10.03,600
2022-01-13,10.03,10.03,10.03,10.03,10.03,0
2022-01-14,10.03,10.03,10.03,10.03,10.03,0
2022-01-18,10.03,10.03,10.03,10.03,10.03,0
2022-01-19,10.01,10.01,10.01,10.01,10.01,900
2022-01-20,10.03,10.03,10.0,10.0,10.0,900
2022-01-21,10.01,10.01,10.0,10.0,10.0,20600
2022-01-24,10.0,10.0,9.99,9.99,9.99,15400
2022-01-25,10.0,10.0,10.0,10.0,10.0,2900
2022-01-26,10.0,10.0,9.98,10.0,10.0,15100
2022-01-27,9.97,9.97,9.97,9.97,9.97,500
