Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,14.35,15.72,14.05,15.65,14.370469,8498500
2021-07-19,15.16,15.65,14.715,15.15,13.911348,502200
2021-07-20,14.54,16.049999,14.5,15.79,14.499022,840600
2021-07-21,15.8,16.02,15.15,15.8,14.508204,766900
2021-07-22,16.0,16.0,15.5,15.9,14.60003,1930400
2021-07-23,15.9,15.99,15.355,15.85,14.554117,392500
2021-07-26,15.81,16.01,15.6,15.9,14.60003,218100
2021-07-27,16.0,16.049999,15.81,15.95,14.645942,301200
2021-07-28,15.94,16.0,15.57,15.6,14.324557,468800
2021-07-29,15.67,15.75,15.401,15.71,14.425563,250100
2021-07-30,15.6,15.9,14.94,15.76,14.471477,188400
2021-08-02,15.92,16.0,15.65,15.82,14.526571,143700
2021-08-03,15.85,15.99,15.12,15.47,14.205186,319100
2021-08-04,15.39,15.98,15.35,15.69,14.407198,372100
2021-08-05,15.65,15.88,15.55,15.66,14.379652,396300
2021-08-06,15.6,16.049999,15.57,15.68,14.398017,414300
2021-08-09,15.75,16.0,15.69,15.95,14.645942,410200
2021-08-10,15.95,16.719999,15.84,16.5,15.150973,1010100
2021-08-11,16.799999,17.700001,16.75,17.299999,15.885566,1270300
2021-08-12,16.9,18.02,16.9,17.549999,16.115126,831000
2021-08-13,17.65,18.868999,17.549999,18.27,16.776262,437400
2021-08-16,17.91,18.85,17.879999,18.700001,17.171103,244200
2021-08-17,18.719999,18.889999,17.610001,18.299999,16.803806,272000
2021-08-18,18.299999,18.690001,18.15,18.6,17.079279,123400
2021-08-19,18.52,18.65,18.299999,18.440001,16.932364,135200
2021-08-20,18.530001,18.75,18.23,18.5,16.987455,190500
2021-08-23,18.51,18.84,18.51,18.690001,17.161922,127800
2021-08-24,18.469999,18.889999,18.450001,18.58,17.060915,131900
2021-08-25,18.65,19.18,18.459999,19.040001,17.483307,215100
2021-08-26,19.0,19.559999,18.969999,19.08,17.520035,270500
2021-08-27,19.01,19.370001,18.950001,19.26,17.685318,202000
2021-08-30,19.51,19.51,18.805,19.25,17.676136,246100
2021-08-31,19.200001,19.32,18.950001,19.01,17.455759,161000
2021-09-01,19.1,19.200001,18.799999,19.040001,17.483307,205200
2021-09-02,19.32,19.450001,18.700001,18.790001,17.253742,382700
2021-09-03,18.75,19.040001,18.360001,18.700001,17.171103,96800
2021-09-07,18.9,19.149,18.629999,18.870001,17.327206,197700
2021-09-08,18.719999,19.059999,18.67,18.940001,17.391483,92500
2021-09-09,18.799999,18.92,18.41,18.5,16.987455,107000
2021-09-10,18.65,18.798,18.200001,18.209999,16.721165,49000
2021-09-13,18.200001,18.34,17.370001,17.76,16.307957,254900
2021-09-14,17.700001,17.85,17.23,17.66,16.216133,195800
2021-09-15,17.57,18.030001,17.57,17.84,16.381416,273900
2021-09-16,17.5,17.790001,17.379999,17.540001,16.105947,180800
2021-09-17,17.5,17.5,16.16,16.32,14.98569,1039600
2021-09-20,15.9,16.139999,15.77,15.97,14.664307,311500
2021-09-21,15.9,16.309999,15.85,15.88,14.581664,186800
2021-09-22,15.94,16.67,15.85,16.540001,15.187704,167200
2021-09-23,16.549999,16.73,16.4,16.52,15.169337,96400
2021-09-24,16.450001,16.450001,15.86,16.17,14.847955,133700
2021-09-27,16.07,16.709999,15.94,16.66,15.297893,170900
2021-09-28,16.52,16.9,16.25,16.879999,15.499906,129300
2021-09-29,16.92,17.309999,16.77,17.299999,15.885566,119300
2021-09-30,17.48,18.0,17.290001,17.67,16.225315,168000
2021-10-01,17.559999,17.722,16.84,17.120001,15.720285,198600
2021-10-04,17.059999,17.16,16.389999,16.52,15.169337,92200
2021-10-05,17.030001,17.58,16.75,17.02,15.62846,96300
2021-10-06,17.030001,17.214001,16.51,16.889999,15.509087,97900
2021-10-07,16.860001,17.200001,16.360001,16.700001,15.334621,104900
2021-10-08,16.809999,17.1,16.35,17.02,15.62846,86200
2021-10-11,17.17,17.27,16.860001,17.18,15.775378,74800
2021-10-12,17.469999,17.639999,17.219999,17.43,16.004938,92200
2021-10-13,17.4,17.6,16.6,16.969999,15.582548,207200
2021-10-14,17.15,17.200001,16.52,16.610001,15.251979,82300
2021-10-15,16.52,17.209999,16.52,16.940001,15.555001,90200
2021-10-18,16.799999,17.1,16.629999,16.959999,15.573364,58500
2021-10-19,16.950001,17.17,16.75,17.02,15.62846,122900
2021-10-20,17.15,17.540001,16.950001,17.34,15.922297,109800
2021-10-21,17.299999,17.719999,17.299999,17.690001,16.243679,46000
2021-10-22,17.65,17.700001,17.469999,17.58,16.142673,59900
2021-10-25,17.58,18.58,17.559999,18.32,16.822174,114800
2021-10-26,18.299999,18.739,18.1,18.290001,16.794624,61700
2021-10-27,18.299999,18.598,17.951,18.299999,16.803806,140400
2021-10-28,18.25,18.889999,18.25,18.799999,17.262928,72100
2021-10-29,18.85,19.33,18.85,18.950001,17.400663,103900
2021-11-01,19.049999,19.58,19.040001,19.299999,17.722048,98800
2021-11-02,19.15,19.5,18.809999,19.389999,17.804689,96700
2021-11-03,19.52,19.6,19.15,19.370001,17.786325,37900
2021-11-04,19.4,19.4,18.58,18.639999,17.116007,36600
2021-11-05,18.75,19.309,18.450001,18.66,17.134375,44900
2021-11-08,18.75,18.940001,18.459999,18.540001,17.024185,46100
2021-11-09,18.540001,18.684999,17.93,18.23,16.739531,51900
2021-11-10,18.309999,18.93,18.1,18.889999,17.345568,146500
2021-11-11,19.0,19.700001,18.950001,19.370001,17.786325,162700
2021-11-12,20.0,21.0,19.73,20.309999,18.649471,235100
2021-11-15,21.25,22.004999,21.18,21.5,19.742178,246100
2021-11-16,21.57,22.379999,21.309999,22.1,20.293123,205200
2021-11-17,22.1,22.183001,21.65,22.02,20.219666,110100
2021-11-18,22.26,22.42,21.629999,22.030001,20.228846,99300
2021-11-19,21.99,22.157,21.309999,21.969999,20.173752,79500
2021-11-22,22.08,23.48,22.08,22.139999,20.329853,234800
2021-11-23,22.15,22.299999,21.309999,21.5,19.742178,82300
2021-11-24,21.23,21.389,20.639999,21.08,19.356518,109000
2021-11-26,20.68,21.33,20.68,20.950001,19.237146,62300
2021-11-29,21.15,21.645,21.02,21.1,19.374882,110900
2021-11-30,21.1,21.1,20.514999,20.73,19.035131,99100
2021-12-01,20.879999,21.32,20.77,20.82,19.117773,128100
2021-12-02,20.700001,21.1,20.299999,20.58,19.117771,60100
2021-12-03,20.540001,20.639999,19.825001,19.99,18.569695,95400
2021-12-06,20.1,20.1,19.15,19.68,18.281721,157200
2021-12-07,19.75,20.879999,19.540001,20.66,19.192089,148100
2021-12-08,21.0,21.18,20.48,21.049999,19.55438,133800
2021-12-09,21.059999,21.219999,20.51,20.639999,19.17351,105300
2021-12-10,20.700001,21.195,20.629999,21.16,19.656565,123500
2021-12-13,21.08,21.26,20.93,21.08,19.582251,142100
2021-12-14,21.030001,21.67,20.969999,21.370001,19.851645,178800
2021-12-15,21.299999,21.530001,20.311001,20.77,19.294275,215400
2021-12-16,20.84,21.799999,20.709999,21.469999,19.94454,203500
2021-12-17,21.9,22.65,21.5,22.530001,20.929226,460300
2021-12-20,22.34,22.635,21.690001,21.85,20.297541,247100
2021-12-21,21.91,22.02,21.1,21.43,19.907379,204200
2021-12-22,21.440001,23.205,21.280001,23.059999,21.421566,184500
2021-12-23,23.24,24.299999,23.0,24.299999,22.573463,413100
2021-12-27,24.309999,25.610001,24.309999,24.969999,23.19586,469100
2021-12-28,24.809999,25.205,24.700001,24.98,23.205149,137200
2021-12-29,24.870001,25.389999,24.42,24.51,22.768543,216700
2021-12-30,24.540001,25.200001,24.32,24.5,22.759256,166700
2021-12-31,24.26,25.26,24.26,24.969999,23.19586,102700
2022-01-03,25.059999,25.129999,24.389999,24.6,22.85215,140500
2022-01-04,24.77,25.223,23.790001,23.84,22.146149,247400
2022-01-05,23.75,24.1,21.91,22.200001,20.622675,530400
2022-01-06,22.0,23.4,22.0,23.129999,21.486593,525100
2022-01-07,23.0,23.27,22.49,22.719999,21.105724,104900
2022-01-10,22.74,22.860001,21.549999,22.0,20.436882,159700
2022-01-11,21.950001,22.58,21.4,22.360001,20.771305,245500
2022-01-12,22.690001,23.370001,21.67,22.139999,20.566935,236600
2022-01-13,22.190001,22.594999,21.889999,22.23,20.650539,191300
2022-01-14,22.120001,22.67,21.620001,22.16,20.585514,204200
2022-01-18,22.0,22.6,21.469999,22.02,20.455462,320800
2022-01-19,22.18,22.290001,21.302999,21.790001,20.241802,181500
2022-01-20,21.790001,22.290001,21.26,21.35,19.833065,74100
2022-01-21,21.24,21.426001,20.32,20.9,19.415041,205400
2022-01-24,20.52,21.690001,20.049999,21.389999,19.870222,137500
2022-01-25,21.09,21.82,20.860001,21.389999,19.870222,119100
2022-01-26,21.65,22.013,21.014999,21.280001,19.76804,66300
2022-01-27,21.25,21.690001,20.790001,20.91,19.424328,89000
2022-01-28,21.030001,21.030001,20.59,21.0,19.507933,90800
2022-01-31,21.16,21.6,20.969999,21.5,19.972406,121600
2022-02-01,21.68,22.309999,21.35,21.74,20.195356,187300
2022-02-02,22.01,22.67,21.726,22.219999,20.641251,102500
2022-02-03,22.059999,22.870001,21.5,21.5,19.972406,46500
2022-02-04,21.450001,22.52,21.450001,22.24,20.65983,93100
2022-02-07,22.309999,22.99,22.309999,22.700001,21.087149,65300
2022-02-08,22.540001,22.780001,21.940001,22.040001,20.474039,34100
2022-02-09,22.295,22.684999,22.280001,22.66,21.04999,52300
2022-02-10,22.309999,23.780001,22.309999,23.02,21.384409,154700
2022-02-11,22.940001,23.139,22.049999,22.110001,20.539066,69400
2022-02-14,22.07,22.110001,20.9,21.0,19.507933,111300
2022-02-15,21.280001,22.0,21.18,21.9,20.343987,90800
2022-02-16,21.635,22.35,21.635,21.98,20.418304,51200
2022-02-17,21.91,21.91,20.9,20.950001,19.461483,54100
2022-02-18,20.76,21.98,20.6,21.35,19.833065,174600
2022-02-22,21.440001,21.67,21.139999,21.309999,19.795906,79600
2022-02-23,21.610001,21.610001,20.469999,20.530001,19.071327,94300
2022-02-24,20.0,20.629999,19.83,20.52,19.062038,174900
2022-02-25,20.719999,21.4,20.370001,21.219999,19.712303,72900
2022-02-28,21.15,21.370001,20.68,20.889999,19.405746,64300
2022-03-01,20.959999,20.959999,20.0,20.5,19.043455,178900
2022-03-02,20.65,21.450001,20.59,21.26,19.74946,175000
2022-03-03,21.74,21.85,20.74,21.08,19.582251,293800
2022-03-04,20.559999,20.635,19.002001,19.540001,18.151669,327400
2022-03-07,19.309999,19.709999,18.5,18.780001,17.445665,372600
2022-03-08,18.57,18.700001,17.92,18.27,16.971901,209300
2022-03-09,18.65,19.5,18.65,19.24,17.872982,127200
2022-03-10,18.91,18.91,18.299999,18.43,17.309462,116200
2022-03-11,18.73,18.73,17.76,17.82,16.736549,160600
2022-03-14,17.83,18.094999,17.59,17.74,16.661411,110400
2022-03-15,17.809999,18.379999,17.75,18.25,17.140406,143300
2022-03-16,18.370001,19.639999,18.370001,18.969999,17.816629,280900
2022-03-17,18.809999,19.225,18.700001,19.08,17.919941,204400
2022-03-18,19.1,19.1,18.540001,18.91,17.760277,338600
2022-03-21,18.99,19.466999,18.58,19.27,18.098391,240400
2022-03-22,19.459999,19.709999,19.110001,19.6,18.408325,278700
2022-03-23,19.469999,20.08,19.379999,19.48,18.29562,86000
2022-03-24,19.5,19.879999,19.219999,19.610001,18.417719,184300
2022-03-25,19.799999,20.15,19.66,19.77,18.567991,131100
2022-03-28,19.799999,20.014999,19.26,19.389999,18.211094,115100
2022-03-29,19.719999,20.049999,19.59,19.82,18.614948,84400
2022-03-30,19.639999,20.219999,19.639999,19.959999,18.746437,82400
2022-03-31,19.950001,20.879999,19.940001,20.35,19.112724,101600
2022-04-01,20.540001,20.68,19.639999,19.65,18.455286,127300
2022-04-04,19.4,19.75,19.190001,19.719999,18.521029,144600
2022-04-05,19.719999,20.0,19.110001,19.129999,17.966902,77400
2022-04-06,18.98,19.1,18.540001,18.74,17.600613,409200
2022-04-07,18.629999,19.08,18.33,18.99,17.835415,55600
2022-04-08,18.870001,19.15,18.68,18.75,17.610004,63300
2022-04-11,18.75,18.98,18.605,18.780001,17.638182,33900
2022-04-12,18.82,19.135,18.700001,18.83,17.685141,62100
2022-04-13,18.66,19.23,18.629999,19.209999,18.042036,55800
2022-04-14,19.1,19.379999,18.85,19.0,17.844805,80300
2022-04-18,18.92,19.07,18.700001,18.940001,17.788454,60600
2022-04-19,18.799999,19.700001,18.57,19.59,18.398933,82300
2022-04-20,19.379999,19.989,19.379999,19.67,18.47407,77900
2022-04-21,19.690001,19.745001,18.715,18.799999,17.656963,83800
2022-04-22,18.6,18.839001,18.059999,18.77,17.62879,98000
2022-04-25,18.5,19.129999,18.43,19.030001,17.872982,150100
2022-04-26,18.809999,19.129999,18.59,18.77,17.62879,172800
2022-04-27,18.65,19.040001,18.469999,18.860001,17.713318,114500
2022-04-28,18.9,19.52,18.615,19.459999,18.276836,126600
2022-04-29,19.42,19.620001,18.700001,18.780001,17.638182,89800
2022-05-02,18.870001,18.98,18.33,18.83,17.685141,206800
