Date,Open,High,Low,Close,Adj Close,Volume
2021-07-07,9.68,9.765,9.68,9.765,9.765,120220
2021-07-08,9.64,9.65,9.6,9.6405,9.6405,379072
2021-07-09,9.7,9.7,9.65,9.65,9.65,139312
2021-07-12,9.68,9.68,9.68,9.68,9.68,10900
2021-07-13,9.68,9.68,9.68,9.68,9.68,0
2021-07-14,9.82,9.85,9.65,9.68,9.68,25634
2021-07-15,9.68,9.68,9.62,9.64,9.64,132358
2021-07-16,9.635,9.65,9.62,9.64,9.64,26752
2021-07-19,9.62,9.64,9.6,9.62,9.62,46900
2021-07-20,9.62,9.66,9.62,9.63,9.63,79116
2021-07-21,9.7,9.7,9.62,9.65,9.65,22901
2021-07-22,9.65,9.65,9.65,9.65,9.65,0
2021-07-23,9.62,9.7,9.61,9.68,9.68,14435
2021-07-26,9.68,9.68,9.68,9.68,9.68,0
2021-07-27,9.61,9.62,9.6,9.6,9.6,13448
2021-07-28,9.62,9.62,9.6,9.6,9.6,105539
2021-07-29,9.6072,9.61,9.59,9.6,9.6,72622
2021-07-30,9.62,9.64,9.61,9.625,9.625,53609
2021-08-02,9.625,9.625,9.625,9.625,9.625,0
2021-08-03,9.62,9.65,9.59,9.65,9.65,97097
2021-08-04,9.64,9.64,9.6,9.61,9.61,75862
2021-08-05,9.6299,9.63,9.61,9.63,9.63,6258
2021-08-06,9.61,9.64,9.61,9.62,9.62,16843
2021-08-09,9.62,9.63,9.6196,9.63,9.63,21604
2021-08-10,9.61,9.61,9.61,9.61,9.61,200
2021-08-11,9.63,9.645,9.61,9.615,9.615,5279
2021-08-12,9.61,9.64,9.6048,9.61,9.61,23500
2021-08-13,9.61,9.64,9.6,9.6,9.6,22861
2021-08-16,9.62,9.6399,9.6,9.6,9.6,16684
2021-08-17,9.6,9.615,9.6,9.61,9.61,10726
2021-08-18,9.62,9.64,9.5998,9.62,9.62,28165
2021-08-19,9.62,9.62,9.62,9.62,9.62,0
2021-08-20,9.64,9.64,9.615,9.63,9.63,401
2021-08-23,9.62,9.67,9.62,9.67,9.67,12929
2021-08-24,9.67,9.67,9.67,9.67,9.67,0
2021-08-25,9.67,9.67,9.67,9.67,9.67,0
2021-08-26,9.6276,9.68,9.6276,9.68,9.68,568
2021-08-27,9.65,9.67,9.65,9.67,9.67,267490
2021-08-30,9.655,9.67,9.6458,9.67,9.67,673
2021-08-31,9.67,9.67,9.67,9.67,9.67,0
2021-09-01,9.67,9.67,9.67,9.67,9.67,0
2021-09-02,9.67,9.67,9.67,9.67,9.67,0
2021-09-03,9.64,9.66,9.64,9.65,9.65,1175
2021-09-07,9.65,9.68,9.64,9.68,9.68,540
2021-09-08,9.65,9.65,9.64,9.64,9.64,320
2021-09-09,9.65,9.68,9.65,9.65,9.65,39559
2021-09-10,9.65,9.65,9.65,9.65,9.65,0
2021-09-13,9.66,9.67,9.66,9.67,9.67,13297
2021-09-14,9.6401,9.74,9.6401,9.7,9.7,541795
2021-09-15,9.7,9.74,9.69,9.74,9.74,94738
2021-09-16,9.68,9.74,9.68,9.74,9.74,384572
2021-09-17,9.77,9.77,9.67,9.74,9.74,1855
2021-09-20,9.7,9.74,9.66,9.66,9.66,1614
2021-09-21,9.67,9.7,9.65,9.68,9.68,8532
2021-09-22,9.7,9.74,9.7,9.74,9.74,2824
2021-09-23,9.74,9.74,9.74,9.74,9.74,0
2021-09-24,9.74,9.74,9.74,9.74,9.74,0
2021-09-27,9.72,9.72,9.72,9.72,9.72,1791
2021-09-28,9.7,9.7,9.7,9.7,9.7,903
2021-09-29,9.68,9.7,9.66,9.66,9.66,7900
2021-09-30,9.66,9.66,9.66,9.66,9.66,0
2021-10-01,9.66,9.66,9.66,9.66,9.66,0
2021-10-04,9.71,9.72,9.68,9.68,9.68,390066
2021-10-05,9.6968,9.7,9.6968,9.7,9.7,2605
2021-10-06,9.7,9.72,9.7,9.7,9.7,900
