Date,Open,High,Low,Close,Adj Close,Volume
2022-08-03,2.85,3.0,1.79,2.15,2.15,4380500
2022-08-04,2.79,3.88,2.31,2.38,2.38,30919500
2022-08-05,2.4,2.43,2.05,2.25,2.25,3493500
2022-08-08,2.22,2.9,2.15,2.55,2.55,6651200
2022-08-09,2.48,2.85,2.205,2.52,2.52,3637900
2022-08-10,2.45,2.616,1.94,2.18,2.18,2684800
2022-08-11,2.08,2.15,1.99,2.03,2.03,1932000
2022-08-12,2.03,2.06,1.81,1.85,1.85,2081800
2022-08-15,1.99,2.07,1.85,1.91,1.91,1308400
2022-08-16,1.96,2.17,1.88,2.001,2.001,2566900
2022-08-17,2.0,2.09,1.92,1.97,1.97,795700
2022-08-18,2.5,2.69,2.01,2.12,2.12,11759100
2022-08-19,2.15,2.448,1.98,2.36,2.36,4942000
2022-08-22,2.31,2.5,2.06,2.2,2.2,1925100
2022-08-23,2.1,2.2,2.01,2.03,2.03,758600
2022-08-24,1.95,2.05,1.87,1.91,1.91,678700
2022-08-25,1.93,2.08,1.8,1.98,1.98,1433100
2022-08-26,1.9,1.98,1.82,1.89,1.89,377800
2022-08-29,1.71,1.74,1.65,1.68,1.68,503700
2022-08-30,1.65,1.73,1.54,1.55,1.55,477100
2022-08-31,1.54,1.64,1.52,1.63,1.63,361100
2022-09-01,1.64,1.67,1.532,1.63,1.63,448000
2022-09-02,1.6,1.662,1.55,1.59,1.59,280300
2022-09-06,1.56,1.6,1.37,1.41,1.41,425400
2022-09-07,1.4,1.53,1.263,1.3,1.3,476400
2022-09-08,1.27,1.38,1.26,1.36,1.36,278200
2022-09-09,1.32,1.38,1.29,1.29,1.29,183000
2022-09-12,1.28,1.356,1.28,1.33,1.33,136800
2022-09-13,1.28,1.74,1.28,1.54,1.54,3620500
2022-09-14,1.5,1.555,1.42,1.47,1.47,575300
2022-09-15,1.51,1.62,1.42,1.59,1.59,692700
2022-09-16,1.5,1.595,1.4,1.54,1.54,296000
2022-09-19,1.538,1.538,1.41,1.46,1.46,103600
2022-09-20,1.43,1.48,1.31,1.32,1.32,164800
2022-09-21,1.31,1.37,1.27,1.31,1.31,79600
2022-09-22,1.28,1.314,1.25,1.26,1.26,146400
2022-09-23,1.2,1.26,1.09,1.13,1.13,179400
2022-09-26,1.19,1.22,1.06,1.06,1.06,101800
2022-09-27,1.1,1.153,1.061,1.08,1.08,113500
2022-09-28,1.11,1.14,1.06,1.1,1.1,91000
2022-09-29,1.09,1.16,1.02,1.099,1.099,474400
2022-09-30,1.04,1.14,1.0,1.02,1.02,177700
2022-10-03,1.04,1.1,1.0,1.06,1.06,201100
2022-10-04,1.16,1.34,1.1,1.19,1.19,540500
2022-10-05,1.17,1.2,1.05,1.147,1.147,158400
2022-10-06,1.11,1.15,1.072,1.104,1.104,36800
2022-10-07,1.1,1.11,1.01,1.07,1.07,123000
2022-10-10,1.124,1.124,0.992,1.06,1.06,141000
2022-10-11,1.03,1.1,0.915,1.03,1.03,195500
2022-10-12,1.01,1.09,1.0,1.09,1.09,64300
2022-10-13,1.04,1.11,1.009,1.1,1.1,67000
2022-10-14,1.14,1.14,1.05,1.11,1.11,31500
2022-10-17,1.06,1.149,1.06,1.13,1.13,42700
2022-10-18,1.11,1.15,1.07,1.1,1.1,42300
2022-10-19,1.1,1.14,1.05,1.09,1.09,97200
2022-10-20,1.08,1.12,1.033,1.033,1.033,77900
2022-10-21,0.969,1.08,0.969,1.068,1.068,284400
2022-10-24,1.05,1.096,0.994,1.07,1.07,49700
2022-10-25,1.08,1.1,1.03,1.09,1.09,20000
2022-10-26,1.07,1.098,1.034,1.06,1.06,27100
2022-10-27,1.09,1.097,1.02,1.05,1.05,69900
2022-10-28,1.05,1.09,1.01,1.06,1.06,72700
2022-10-31,1.09,1.131,1.02,1.09,1.09,131600
2022-11-01,1.09,1.135,1.04,1.09,1.09,33000
2022-11-02,1.09,1.14,1.03,1.1,1.1,44100
2022-11-03,1.08,1.08,1.01,1.074,1.074,36600
2022-11-04,1.055,1.08,0.95,0.973,0.973,138500
2022-11-07,0.97,1.0,0.84,0.885,0.885,201700
2022-11-08,0.87,0.903,0.84,0.85,0.85,69200
2022-11-09,0.825,0.866,0.73,0.747,0.747,106900
2022-11-10,0.798,0.798,0.72,0.755,0.755,111700
2022-11-11,0.77,0.844,0.722,0.78,0.78,193300
2022-11-14,0.768,0.83,0.72,0.72,0.72,71000
2022-11-15,0.735,0.915,0.735,0.75,0.75,342000
2022-11-16,0.78,0.78,0.631,0.675,0.675,243000
2022-11-17,0.665,0.748,0.65,0.735,0.735,139700
2022-11-18,0.7,0.8,0.7,0.78,0.78,56100
2022-11-21,0.79,0.855,0.76,0.835,0.835,24700
2022-11-22,0.74,0.802,0.74,0.76,0.76,34400
2022-11-23,0.72,0.807,0.72,0.768,0.768,26600
2022-11-25,0.745,0.813,0.745,0.785,0.785,23500
2022-11-28,0.785,0.82,0.75,0.77,0.77,25700
2022-11-29,0.803,0.85,0.762,0.83,0.83,38100
2022-11-30,0.83,1.05,0.804,1.0,1.0,860500
2022-12-01,1.12,1.12,0.901,1.04,1.04,734000
2022-12-02,1.1,1.17,0.92,1.031,1.031,440100
2022-12-05,1.03,1.1,1.01,1.035,1.035,224800
2022-12-06,0.98,1.05,0.93,0.95,0.95,136600
2022-12-07,0.85,0.85,0.47,0.504,0.504,1231000
2022-12-08,0.51,0.53,0.47,0.484,0.484,267700
2022-12-09,0.481,0.507,0.476,0.485,0.485,316900
2022-12-12,0.575,0.63,0.512,0.59,0.59,845000
2022-12-13,0.559,0.561,0.5,0.54,0.54,193400
2022-12-14,0.53,0.549,0.508,0.52,0.52,51300
2022-12-15,0.484,0.531,0.484,0.501,0.501,44100
2022-12-16,0.501,0.558,0.485,0.5,0.5,134100
2022-12-19,0.52,0.54,0.461,0.51,0.51,117100
2022-12-20,0.494,0.494,0.451,0.48,0.48,91500
2022-12-21,0.494,0.5,0.48,0.48,0.48,52000
2022-12-22,0.5,0.617,0.49,0.58,0.58,436300
2022-12-23,0.58,0.591,0.531,0.59,0.59,68800
2022-12-27,0.57,0.58,0.53,0.56,0.56,99500
2022-12-28,0.58,0.58,0.436,0.44,0.44,221100
2022-12-29,0.44,0.5,0.438,0.467,0.467,139100
2022-12-30,0.45,0.48,0.42,0.469,0.469,75900
2023-01-03,0.456,0.48,0.421,0.44,0.44,76500
2023-01-04,0.441,0.677,0.44,0.55,0.55,1758000
2023-01-05,0.528,0.528,0.46,0.48,0.48,204900
2023-01-06,0.503,0.527,0.444,0.47,0.47,75000
2023-01-09,0.48,0.505,0.468,0.468,0.468,98200
2023-01-10,0.495,0.54,0.48,0.54,0.54,76800
2023-01-11,0.507,0.58,0.507,0.55,0.55,124400
2023-01-12,0.579,0.579,0.54,0.54,0.54,41900
2023-01-13,0.54,0.57,0.525,0.55,0.55,62100
2023-01-17,0.522,0.6,0.522,0.592,0.592,120300
2023-01-18,0.58,0.58,0.411,0.435,0.435,1128200
2023-01-19,0.46,0.47,0.38,0.399,0.399,1135900
2023-01-20,0.415,0.43,0.383,0.4,0.4,843400
2023-01-23,0.41,0.451,0.32,0.352,0.352,2298100
2023-01-24,0.371,0.375,0.32,0.346,0.346,882100
