Date,Open,High,Low,Close,Adj Close,Volume
2013-10-30,20.65,20.85,20.26,20.4,13.001294,24172100
2013-10-31,20.42,20.98,20.309999,20.65,13.160625,1771800
2013-11-01,20.950001,20.950001,20.51,20.780001,13.243478,1286100
2013-11-04,20.709999,20.99,20.32,20.940001,13.345445,1257400
2013-11-05,20.700001,20.959999,20.5,20.610001,13.13513,1951100
2013-11-06,20.6,20.85,20.23,20.35,12.969429,653100
2013-11-07,20.299999,20.4,19.73,19.84,12.6444,917200
2013-11-08,19.75,19.879999,19.559999,19.75,12.587034,906600
2013-11-11,19.809999,20.0,19.51,19.879999,12.669886,814000
2013-11-12,19.799999,20.24,19.57,19.66,12.529676,1589600
2013-11-13,19.57,20.049999,19.379999,20.02,12.759109,496700
2013-11-14,20.0,20.299999,19.889999,20.200001,12.873829,1025800
2013-11-15,20.66,20.719999,20.18,20.280001,12.924819,266600
2013-11-18,20.75,20.75,19.98,20.309999,12.94393,257800
2013-11-19,20.49,20.5,20.200001,20.27,12.918442,218600
2013-11-20,20.200001,20.450001,19.98,20.17,12.854711,116900
2013-11-21,20.139999,20.290001,19.92,20.08,12.797348,124800
2013-11-22,20.469999,20.469999,19.879999,20.1,12.810099,199800
2013-11-25,19.9,20.379999,19.9,20.040001,12.77186,57200
2013-11-26,20.049999,20.23,20.0,20.0,12.746364,544500
2013-11-27,20.09,20.23,20.0,20.139999,12.83559,164800
2013-11-29,20.139999,20.48,20.0,20.18,12.861082,55700
2013-12-02,20.18,20.25,19.98,20.0,12.746364,724200
2013-12-03,19.99,20.190001,19.74,19.93,12.701755,966500
2013-12-04,20.1,20.120001,19.799999,20.049999,12.778231,840000
2013-12-05,20.040001,20.18,20.030001,20.09,12.803725,872000
2013-12-06,20.200001,20.280001,20.049999,20.190001,12.867453,657000
2013-12-09,20.299999,20.34,20.0,20.129999,12.829215,624900
2013-12-10,20.24,20.5,20.08,20.18,12.861082,1970200
2013-12-11,20.110001,20.24,19.99,20.0,12.746364,1370000
2013-12-12,20.17,20.190001,19.879999,19.9,12.682631,691400
2013-12-13,20.0,20.190001,19.66,20.09,12.803725,1906100
2013-12-16,20.1,20.309999,19.940001,20.01,12.75274,928900
2013-12-17,20.1,20.24,20.049999,20.09,12.803725,685900
2013-12-18,20.15,20.27,20.040001,20.15,12.841962,1530600
2013-12-19,20.17,20.33,20.049999,20.1,12.810099,828000
2013-12-20,20.02,20.4,20.02,20.200001,12.873829,3768100
2013-12-23,20.120001,20.33,19.99,20.190001,12.867453,324900
2013-12-24,20.16,20.299999,20.15,20.190001,12.867453,93400
2013-12-26,20.26,20.4,20.15,20.24,12.899322,267800
2013-12-27,20.24,20.49,20.01,20.4,13.001294,244300
2013-12-30,20.48,20.58,20.290001,20.459999,13.039533,328500
2013-12-31,20.549999,20.549999,20.299999,20.33,12.956683,171500
2014-01-02,20.09,20.440001,20.049999,20.18,12.94193,280300
2014-01-03,20.110001,20.35,20.1,20.25,12.986819,350500
2014-01-06,20.219999,20.42,20.16,20.200001,12.954756,277700
2014-01-07,20.24,20.309999,20.17,20.25,12.986819,449200
2014-01-08,20.24,20.450001,20.139999,20.33,13.038132,1620200
2014-01-09,20.33,20.43,20.200001,20.43,13.102262,654300
2014-01-10,20.379999,20.549999,20.23,20.549999,13.179218,303700
2014-01-13,20.59,20.639999,20.27,20.280001,13.006067,418900
2014-01-14,20.209999,20.309999,20.07,20.129999,12.909863,605400
2014-01-15,20.34,20.58,20.27,20.309999,13.025297,569700
2014-01-16,20.219999,20.26,20.049999,20.26,12.993231,726200
2014-01-17,20.469999,20.58,20.25,20.52,13.159981,484300
2014-01-21,20.540001,20.57,20.43,20.540001,13.172807,507500
2014-01-22,20.540001,20.76,20.43,20.74,13.301068,336800
2014-01-23,20.700001,21.07,20.700001,21.040001,13.49347,957300
2014-01-24,20.93,20.959999,20.639999,20.76,13.313893,563500
2014-01-27,20.84,20.85,20.6,20.68,13.262589,431800
2014-01-28,20.59,20.82,20.32,20.33,13.038132,297300
2014-01-29,20.25,20.379999,20.190001,20.290001,13.012475,287600
2014-01-30,20.469999,20.559999,20.25,20.559999,13.185633,236200
2014-01-31,20.450001,20.68,20.35,20.68,13.262589,345400
2014-02-03,20.76,20.76,20.24,20.309999,13.025297,190900
2014-02-04,20.440001,20.610001,20.290001,20.549999,13.179218,291000
2014-02-05,20.49,20.66,20.309999,20.48,13.134329,411400
2014-02-06,20.43,20.84,20.25,20.66,13.249767,405800
2014-02-07,20.65,20.98,20.65,20.76,13.313893,366100
2014-02-10,20.76,21.07,20.690001,20.940001,13.429336,306000
2014-02-11,20.940001,21.02,20.719999,20.98,13.454988,412800
2014-02-12,20.889999,21.09,20.709999,20.84,13.365206,363900
2014-02-13,20.360001,20.950001,20.27,20.77,13.320312,647900
2014-02-14,20.809999,21.0,20.809999,20.98,13.454988,355900
2014-02-18,20.969999,21.15,20.83,21.049999,13.499883,431600
2014-02-19,20.969999,21.41,20.969999,21.26,13.63456,267400
2014-02-20,20.540001,21.27,20.540001,21.25,13.628146,627900
2014-02-21,21.35,21.49,21.190001,21.309999,13.666625,570800
2014-02-24,21.370001,21.43,21.120001,21.309999,13.666625,385300
2014-02-25,21.26,21.540001,21.26,21.469999,13.769238,138300
2014-02-26,21.42,21.780001,21.42,21.75,13.948807,197400
2014-02-27,21.83,22.09,21.790001,22.08,14.160442,405500
2014-02-28,22.02,22.15,21.860001,22.08,14.160442,288000
2014-03-03,22.030001,22.17,21.68,21.959999,14.083482,210100
2014-03-04,21.950001,22.370001,21.77,22.049999,14.141207,274000
2014-03-05,22.040001,22.209999,21.74,21.799999,13.980879,293200
2014-03-06,21.33,21.75,21.18,21.67,13.8975,615900
