Date,Open,High,Low,Close,Adj Close,Volume
2018-07-18,13.5,13.75,13.5,13.75,9.824283,6900
2018-07-19,14.5,14.5,14.5,14.5,10.360152,400
2018-07-20,14.5,16.0,14.5,16.0,11.431894,2900
2018-07-23,16.0,16.0,16.0,16.0,11.431894,200
2018-07-24,14.5,14.5,14.5,14.5,10.360152,400
2018-07-25,17.0,17.0,14.5,14.5,10.360152,3400
2018-07-26,13.25,14.1,12.9,13.25,9.467037,5064700
2018-07-27,13.06,13.99,12.51,13.29,9.495616,1036900
2018-07-30,13.23,13.84,13.23,13.8,9.860006,845100
2018-07-31,13.87,13.95,13.65,13.75,9.824283,737200
2018-08-01,13.77,13.87,13.5,13.61,9.724253,362200
2018-08-02,13.55,13.63,13.3,13.3,9.502761,583900
2018-08-03,13.36,13.64,13.11,13.38,9.559921,594600
2018-08-06,13.39,13.69,13.25,13.55,9.681384,246800
2018-08-07,13.74,13.75,12.9,13.33,9.524196,548700
2018-08-08,13.74,13.75,12.86,13.23,9.452745,473200
2018-08-09,13.24,13.54,13.1,13.1,9.35986,263600
2018-08-10,13.01,13.5,11.71,13.39,9.567066,375100
2018-08-13,13.28,13.71,12.89,13.0,9.288413,545400
2018-08-14,13.09,13.27,12.82,12.99,9.281268,276400
2018-08-15,12.11,13.1,12.11,12.73,9.0955,439000
2018-08-16,12.72,13.3,12.53,12.74,9.102644,589600
2018-08-17,12.62,13.1,12.62,12.84,9.174094,253800
2018-08-20,13.11,13.14,12.8,13.0,9.288413,710300
2018-08-21,13.15,13.48,12.91,13.28,9.488471,1096100
2018-08-22,13.49,13.76,13.15,13.5,9.645659,1174800
2018-08-23,13.74,14.03,13.35,14.03,10.024342,1272500
2018-08-24,14.25,16.26,14.24,15.46,11.046067,1283500
2018-08-27,15.44,15.96,15.28,15.73,11.238979,595900
2018-08-28,15.75,16.049999,15.69,15.99,11.424747,570600
2018-08-29,15.94,16.110001,15.69,16.0,11.431894,447500
2018-08-30,16.01,16.450001,15.83,16.280001,11.63195,401300
2018-08-31,16.5,16.5,16.25,16.389999,11.710544,516600
2018-09-04,16.389999,16.48,15.72,15.85,11.324719,667000
2018-09-05,15.88,16.299999,15.88,16.26,11.617661,659500
2018-09-06,16.280001,16.5,15.37,15.69,11.2104,749600
2018-09-07,15.7,16.1,15.46,15.75,11.25327,449800
2018-09-10,15.87,16.309999,15.66,15.93,11.381876,394800
2018-09-11,15.9,16.389999,15.71,16.139999,11.531922,456000
2018-09-12,16.129999,16.73,15.6,15.7,11.217546,655600
2018-09-13,15.61,16.139999,15.61,16.01,11.504991,420400
2018-09-14,16.0,16.27,15.68,15.76,11.325337,381800
2018-09-17,15.76,16.1,15.76,15.93,11.447499,532300
2018-09-18,16.09,16.65,16.059999,16.34,11.742132,730700
2018-09-19,16.34,16.73,16.25,16.360001,11.756505,705600
