Date,Open,High,Low,Close,Adj Close,Volume
2018-09-20,20.0,20.74,19.040001,19.09,16.872984,1405000
2018-09-21,19.15,19.6,18.9,19.1,16.881821,214300
2018-09-24,19.049999,19.35,19.049999,19.110001,16.890663,54500
2018-09-25,19.09,19.200001,19.0,19.09,16.872984,29200
2018-09-26,19.09,19.09,19.0,19.0,16.793434,80900
2018-09-27,19.030001,19.48,18.629999,19.0,16.793434,40000
2018-09-28,18.93,19.4,18.34,19.25,17.014404,27300
2018-10-01,19.01,19.440001,19.01,19.02,16.811113,12400
2018-10-02,18.91,19.02,18.5,19.01,16.802273,43600
2018-10-03,18.93,19.059999,18.91,18.950001,16.749245,7700
2018-10-04,18.9,18.9,18.5,18.75,16.57247,15100
2018-10-05,18.610001,18.809999,18.549999,18.549999,16.395697,9200
2018-10-08,18.58,18.58,18.08,18.200001,16.086346,56000
2018-10-09,18.059999,18.5,18.049999,18.15,16.042149,21100
2018-10-10,18.16,18.5,18.049999,18.370001,16.236603,57500
2018-10-11,18.27,18.299999,18.0,18.129999,16.024473,7000
2018-10-12,18.49,18.629999,18.02,18.549999,16.395697,8300
2018-10-15,18.75,19.360001,18.469999,19.0,16.793434,42900
2018-10-16,18.950001,19.389999,18.82,18.82,16.634344,4300
2018-10-17,19.15,19.299999,18.42,18.99,16.784597,6400
2018-10-18,19.16,19.16,18.549999,18.549999,16.395697,3200
2018-10-19,19.0,19.0,18.0,18.5,16.351501,6000
2018-10-22,18.450001,18.82,17.049999,17.790001,15.72396,15000
2018-10-23,17.549999,17.549999,17.0,17.469999,15.441122,6800
2018-10-24,17.059999,17.07,14.34,15.13,13.37288,67400
2018-10-25,15.06,15.95,15.04,15.57,13.76178,36100
2018-10-26,15.94,15.94,15.0,15.25,13.478942,39400
2018-10-29,15.25,16.950001,15.01,16.9,14.93732,12900
2018-10-30,16.950001,18.450001,15.55,15.67,13.850166,18700
2018-10-31,15.68,17.469999,15.68,16.549999,14.627965,11500
2018-11-01,16.48,18.35,16.08,18.35,16.218924,10400
2018-11-02,18.17,19.0,18.17,18.879999,16.687372,3000
2018-11-05,18.67,18.950001,18.0,18.9,16.705046,6800
2018-11-06,18.9,18.9,18.219999,18.219999,16.104019,2800
2018-11-07,18.5,18.75,18.49,18.5,16.351501,2300
2018-11-08,18.75,18.75,18.35,18.35,16.218924,17000
2018-11-09,18.290001,18.9,18.23,18.65,16.484081,5300
2018-11-12,18.43,18.5,18.1,18.17,16.059828,5200
2018-11-13,18.110001,18.35,18.1,18.35,16.218924,15600
2018-11-14,18.35,18.540001,17.34,18.49,16.342665,7000
2018-11-15,18.0,18.799999,18.0,18.799999,16.616663,5500
2018-11-16,18.620001,18.9,17.34,18.799999,16.616663,19600
2018-11-19,18.299999,18.9,18.0,18.75,16.57247,53000
2018-11-20,18.75,18.809999,17.4,17.4,15.379248,3200
2018-11-21,17.99,18.0,17.889999,17.940001,15.856543,3600
2018-11-23,18.15,18.700001,18.09,18.700001,16.528275,1800
2018-11-26,18.9,18.9,17.35,17.799999,15.732795,11300
2018-11-27,18.0,18.0,17.809999,17.809999,15.741637,2700
2018-11-28,17.940001,18.0,17.5,17.790001,15.72396,99700
2018-11-29,17.83,18.98,16.5,18.4,16.263121,10500
2018-11-30,18.690001,18.75,16.870001,18.49,16.342665,7700
2018-12-03,18.9,18.950001,17.75,17.75,15.688606,39200
2018-12-04,17.719999,18.42,17.040001,18.07,15.971444,24700
2018-12-06,17.950001,18.059999,16.799999,17.26,15.25551,30700
2018-12-07,17.459999,17.860001,17.15,17.51,15.476479,39300
2018-12-10,17.719999,17.85,17.219999,17.450001,15.423443,29100
2018-12-11,17.700001,17.85,17.35,17.5,15.467639,13000
2018-12-12,17.790001,17.790001,16.469999,17.4,15.379248,9700
2018-12-13,17.6,17.73,15.19,17.18,15.184801,19300
2018-12-14,17.18,17.18,15.63,16.969999,14.999189,20800
2018-12-17,17.1,17.709999,16.02,17.01,15.034543,41700
2018-12-18,17.379999,17.379999,16.02,16.440001,14.530742,31600
2018-12-19,17.49,17.5,16.01,16.280001,14.389324,34800
2018-12-20,16.940001,16.940001,15.6,16.01,14.150678,33200
2018-12-21,16.6,16.6,14.63,15.0,13.257977,273800
2018-12-24,14.76,14.76,13.27,13.27,11.728891,19300
2018-12-26,13.46,14.23,12.15,12.16,10.747799,22000
2018-12-27,12.31,12.5,10.85,11.95,10.562187,78300
2018-12-28,11.9,13.24,11.35,12.6,11.136701,57200
2018-12-31,12.77,13.71,12.6,13.35,11.7996,24700
2019-01-02,13.4,14.25,13.05,13.35,11.7996,13200
2019-01-03,13.34,13.81,12.9,13.4,11.843792,29900
2019-01-04,13.61,15.0,13.61,14.8,13.081203,20900
2019-01-07,15.0,15.01,14.2,14.24,12.586238,20700
2019-01-08,14.24,15.0,14.24,14.61,12.913269,23100
