Date,Open,High,Low,Close,Adj Close,Volume
2006-02-27,15.0,15.01,15.0,15.01,5.402277,52700
2006-02-28,15.01,15.01,15.0,15.01,5.402277,17900
2006-03-01,15.0,15.01,15.0,15.0,5.398678,57900
2006-03-02,15.0,15.01,15.0,15.0,5.398678,23400
2006-03-03,15.01,15.01,15.0,15.0,5.398678,15900
2006-03-06,15.01,15.01,15.0,15.0,5.398678,7300
2006-03-07,15.0,15.01,15.0,15.0,5.398678,29800
2006-03-08,15.0,15.0,15.0,15.0,5.398678,6600
2006-03-09,15.0,15.0,15.0,15.0,5.398678,4200
2006-03-10,15.0,15.0,15.0,15.0,5.398678,19300
2006-03-13,15.0,15.01,15.0,15.0,5.398678,19800
2006-03-14,15.0,15.01,15.0,15.0,5.398678,23500
2006-03-15,15.01,15.01,15.0,15.01,5.402277,23200
2006-03-16,15.0,15.0,15.0,15.0,5.398678,26300
2006-03-17,15.01,15.01,15.0,15.0,5.398678,48700
2006-03-20,15.0,15.01,15.0,15.0,5.398678,541500
2006-03-21,15.0,15.01,15.0,15.01,5.402277,527100
2006-03-22,15.0,15.01,15.0,15.01,5.402277,93500
2006-03-23,15.01,15.01,15.0,15.0,5.398678,36600
2006-03-24,15.0,15.01,15.0,15.0,5.398678,51900
2006-03-27,15.0,15.01,15.0,15.0,5.398678,185700
2006-03-28,15.0,15.01,15.0,15.0,5.398678,139900
2006-03-29,15.0,15.01,15.0,15.01,5.402277,86100
2006-03-30,15.0,15.01,15.0,15.0,5.398678,53000
2006-03-31,15.0,15.01,15.0,15.01,5.402277,31900
2006-04-03,15.0,15.01,15.0,15.01,5.402277,51500
2006-04-04,15.0,15.01,15.0,15.0,5.398678,38200
2006-04-05,15.0,15.02,15.0,15.01,5.402277,92600
2006-04-06,15.0,15.2,15.0,15.02,5.405879,47500
2006-04-07,15.01,15.03,15.0,15.02,5.405879,37400
2006-04-10,15.02,15.04,15.0,15.0,5.398678,77400
2006-04-11,15.01,15.01,14.6,14.7,5.290702,93400
2006-04-12,14.6,14.8,14.56,14.63,5.265514,37900
2006-04-13,14.55,14.6,14.53,14.6,5.254713,60900
2006-04-17,14.61,14.7,14.53,14.7,5.290702,25100
2006-04-18,14.65,14.8,14.65,14.75,5.308702,19100
2006-04-19,14.7,14.85,14.67,14.68,5.283507,4900
2006-04-20,14.68,14.85,14.68,14.78,5.319499,15200
2006-04-21,14.71,14.86,14.71,14.86,5.348295,4300
2006-04-24,14.89,14.89,14.84,14.87,5.376858,7700
2006-04-25,14.77,15.0,14.77,14.9,5.387702,48400
2006-04-26,14.85,14.85,14.8,14.8,5.351543,18600
2006-04-27,14.81,14.81,14.51,14.6,5.279224,32300
2006-04-28,14.61,14.7,14.6,14.6,5.279224,5000
2006-05-01,14.6,14.65,14.6,14.65,5.297306,6100
