Date,Open,High,Low,Close,Adj Close,Volume
2021-12-17,24.75,24.750999,24.700001,24.75,23.413824,210300
2021-12-20,24.9,24.9,24.49,24.5,23.17732,163000
2021-12-21,24.613001,24.635,24.51,24.540001,23.21516,31400
2021-12-22,24.68,24.700001,24.559999,24.66,23.328684,36400
2021-12-23,24.74,24.84,24.700001,24.799999,23.461124,155100
2021-12-27,24.719999,24.85,24.719999,24.84,23.498964,95000
2021-12-28,24.780001,24.93,24.780001,24.870001,23.527346,94000
2021-12-29,24.9,24.9,24.809999,24.855,23.513155,55200
2021-12-30,24.9,24.950001,24.83,24.879999,23.536806,38300
2021-12-31,24.85,24.889999,24.77,24.799999,23.461124,532000
2022-01-03,24.780001,24.84,24.77,24.785,23.446934,31600
2022-01-04,24.799999,24.799999,24.74,24.780001,23.442205,26200
2022-01-05,24.719999,24.799999,24.549999,24.65,23.319223,24900
2022-01-06,24.75,24.75,24.542999,24.6,23.271923,25800
2022-01-07,24.700001,24.700001,24.5,24.6,23.271923,13500
2022-01-10,24.620001,24.620001,24.51,24.6,23.271923,22500
2022-01-11,24.700001,24.75,24.549999,24.620001,23.290844,21700
2022-01-12,24.57,24.74,24.57,24.74,23.404364,30900
2022-01-13,24.780001,24.780001,24.549999,24.66,23.328684,16000
2022-01-14,24.6,24.65,24.549999,24.59,23.262461,23800
2022-01-18,24.665001,24.665001,24.57,24.6,23.271923,19100
2022-01-19,24.76,24.76,24.429001,24.57,23.243542,25100
2022-01-20,24.6,24.629999,24.540001,24.540001,23.21516,17100
2022-01-21,24.582001,24.610001,24.530001,24.6,23.271923,82600
2022-01-24,24.549999,24.639999,24.35,24.559999,23.234081,58700
2022-01-25,24.549999,24.629999,24.5,24.610001,23.281382,24300
2022-01-26,24.6,24.6,24.370001,24.440001,23.120562,69300
2022-01-27,24.48,24.5,24.4,24.41,23.092178,34200
2022-01-28,24.5,24.5,24.235001,24.360001,23.04488,39400
2022-01-31,24.25,24.4,24.25,24.35,23.035421,61800
2022-02-01,24.4,24.4,24.386,24.4,23.08272,11400
2022-02-02,24.360001,24.421,24.32,24.35,23.035421,29400
2022-02-03,24.32,24.4,24.32,24.389999,23.073257,5200
2022-02-04,24.365,24.379,24.32,24.322001,23.00893,10000
2022-02-07,24.334999,24.35,24.32,24.32,23.007038,18400
2022-02-08,24.35,24.35,24.26,24.299999,22.988117,12600
2022-02-09,24.35,24.35,24.24,24.273001,22.962576,22200
2022-02-10,24.299999,24.4,24.1,24.110001,22.808376,27700
2022-02-11,24.056999,24.059999,23.635,23.65,22.373209,16400
2022-02-14,23.83,23.9,23.389999,23.629999,22.354288,41600
2022-02-15,23.66,23.878,23.66,23.68,22.40159,2300
2022-02-16,23.878,23.879999,23.681999,23.879999,22.590792,6100
2022-02-17,23.924999,23.959999,23.889999,23.959999,22.666473,5600
2022-02-18,24.5,24.5,24.01,24.1,22.798916,4400
2022-02-22,24.309999,24.32,24.120001,24.120001,22.817837,13700
2022-02-23,24.209999,24.450001,24.150999,24.26,22.950277,3500
2022-02-24,24.0,24.41,23.68,24.4,23.08272,12600
2022-02-25,24.43,24.469999,24.190001,24.450001,23.13002,5000
2022-02-28,24.450001,24.5,24.16,24.16,22.855677,7600
2022-03-01,24.49,24.49,24.299999,24.299999,22.988117,1100
2022-03-02,24.15,24.219999,24.120001,24.18,22.874598,6200
2022-03-03,24.219999,24.219999,24.0,24.07,22.770535,20200
2022-03-04,24.1,24.1,24.030001,24.07,22.770535,9700
2022-03-07,24.15,24.15,24.059999,24.07,22.770535,3600
2022-03-08,24.15,24.33,24.1,24.24,22.931356,4000
2022-03-09,24.497999,24.5,24.129999,24.257999,22.948387,8100
2022-03-10,24.33,24.49,24.305,24.450001,23.13002,6700
2022-03-11,24.49,24.49,24.4,24.4,23.08272,1500
