Date,Open,High,Low,Close,Adj Close,Volume
2021-10-28,26.15,29.0,26.15,27.629999,23.890553,1774500
2021-10-29,27.700001,29.6,27.4,29.0,25.075142,411900
2021-11-01,30.25,30.5,28.6,28.870001,24.962738,242900
2021-11-02,28.549999,29.348,28.52,29.0,25.075142,240000
2021-11-03,28.77,29.74,28.65,29.299999,25.334539,92900
2021-11-04,29.85,29.943001,29.4,29.790001,25.758224,210500
2021-11-05,29.99,30.15,29.725,29.889999,25.844688,119700
2021-11-08,30.4,30.4,29.799999,30.040001,25.97439,154500
2021-11-09,29.76,30.67,29.639999,30.6,26.458599,235600
2021-11-10,30.6,32.0,30.426001,31.83,27.522131,84500
2021-11-11,31.635,34.619999,31.635,34.040001,29.433027,217700
2021-11-12,33.830002,34.200001,31.42,32.0,27.669121,210500
2021-11-15,32.0,32.41,31.0,31.530001,27.26273,90900
2021-11-16,31.25,31.75,30.790001,31.23,27.003334,88600
2021-11-17,31.23,32.0,31.110001,32.0,27.669121,62300
2021-11-18,32.5,33.049999,32.25,32.360001,27.9804,47200
2021-11-19,32.650002,32.75,32.200001,32.25,27.885286,99000
2021-11-22,32.360001,32.658001,31.6,31.65,27.366491,85100
2021-11-23,31.5,31.700001,31.15,31.15,26.934158,60200
2021-11-24,31.059999,31.809999,30.5,31.32,27.081156,70100
2021-11-26,31.5,32.0,31.25,31.25,27.020626,11200
2021-11-29,31.200001,31.799999,31.083,31.35,27.107096,59200
2021-11-30,31.35,32.451,30.610001,31.200001,26.977394,51700
2021-12-01,31.5,32.0,30.98,31.02,26.821756,28000
2021-12-02,30.9,32.59,30.5,32.389999,28.006338,46800
2021-12-03,32.200001,34.0,32.056,33.349998,28.836412,54700
2021-12-06,33.98,33.98,32.25,32.360001,27.9804,91700
2021-12-07,33.0,33.786999,32.490002,32.490002,28.092804,81200
2021-12-08,32.75,33.582001,31.958,33.549999,29.009346,27000
2021-12-09,33.0,34.099998,32.775002,33.709999,29.14769,36900
2021-12-10,34.5,34.5,33.700001,34.0,29.398443,30800
2021-12-13,34.5,35.200001,33.724998,35.200001,30.436035,35900
2021-12-14,34.400002,35.049999,33.439999,33.709999,29.14769,33600
2021-12-15,33.48,34.195,33.0,33.02,28.551075,29700
2021-12-16,33.599998,34.009998,33.316002,33.900002,29.311979,13000
2021-12-17,34.75,35.099998,33.799999,33.799999,29.225508,46400
2021-12-20,34.040001,35.200001,33.751999,35.150002,30.392799,26300
2021-12-21,35.189999,35.189999,33.775002,33.919998,29.329264,23600
2021-12-22,33.66,34.990002,33.5,34.540001,29.865358,60500
2021-12-23,35.02,37.900002,34.700001,37.639999,32.545811,48800
2021-12-27,38.32,38.32,36.57,37.18,32.14806,109200
2021-12-28,38.0,38.0,33.0,35.099998,30.349566,137100
2021-12-29,35.0,35.349998,34.41,34.700001,30.003708,89500
2021-12-30,34.375,34.52,33.509998,33.959999,29.363855,68500
2021-12-31,34.41,34.674,33.52,34.0,29.398443,39400
2022-01-03,32.75,33.0,30.549999,31.33,27.0898,368300
2022-01-04,31.25,31.99,30.65,31.0,26.804462,209100
2022-01-05,31.0,31.5,29.75,30.32,26.216494,160900
2022-01-06,29.700001,30.73,29.57,29.950001,25.896568,143700
2022-01-07,29.700001,31.52,29.700001,30.860001,26.683411,173300
2022-01-10,30.379999,30.379999,29.629999,29.950001,25.896568,144600
2022-01-11,30.25,31.809999,29.971001,31.75,27.452957,170900
2022-01-12,30.66,31.799999,30.549999,30.690001,26.536419,93100
2022-01-13,30.42,30.922001,30.0,30.51,26.380779,113800
2022-01-14,30.120001,30.5,29.9,30.219999,26.21595,88700
2022-01-18,29.629999,30.120001,28.0,29.77,25.825577,435400
2022-01-19,29.459999,29.91,28.76,29.59,25.669424,199900
2022-01-20,29.51,30.094999,29.35,29.91,25.947025,126200
2022-01-21,29.780001,30.184999,29.309999,29.9,25.938353,91700
2022-01-24,28.51,29.9,28.51,29.84,25.886301,169900
2022-01-25,28.84,29.584999,28.77,28.77,24.958073,83000
2022-01-26,28.969999,29.99,28.799999,29.65,25.721476,154600
2022-01-27,29.440001,29.879999,28.700001,28.75,24.940723,152100
2022-01-28,29.0,29.5,28.9,29.450001,25.547977,130200
2022-01-31,29.059999,29.76,28.51,28.93,25.096872,157600
2022-02-01,29.0,30.0,28.68,30.0,26.025101,204900
2022-02-02,29.51,30.35,29.030001,29.75,25.808226,181100
2022-02-03,29.389999,29.99,29.219999,29.389999,25.495924,58300
2022-02-04,29.219999,29.99,28.57,29.040001,25.192299,205300
2022-02-07,28.799999,29.295,28.620001,28.76,24.949398,74200
2022-02-08,28.66,29.879999,28.66,29.74,25.799551,74700
2022-02-09,29.51,29.75,29.097,29.4,25.504601,90100
2022-02-10,29.209999,29.99,29.209999,29.549999,25.634726,70600
2022-02-11,29.549999,29.98,29.549999,29.77,25.825577,101200
2022-02-14,29.74,29.766001,29.275,29.42,25.52195,55900
2022-02-15,29.5,29.799999,29.360001,29.719999,25.782198,79900
2022-02-16,29.5,29.790001,29.43,29.59,25.669424,57300
2022-02-17,29.440001,29.700001,29.35,29.35,25.461224,77200
2022-02-18,29.49,29.6,28.700001,29.34,25.452549,101600
2022-02-22,29.1,29.495001,29.0,29.27,25.391825,97500
2022-02-23,29.01,29.23,28.825001,28.950001,25.114225,180900
2022-02-24,28.690001,29.25,28.66,28.98,25.140249,66100
2022-02-25,28.98,29.0,28.76,29.0,25.157598,110400
2022-02-28,28.790001,29.0,28.709999,28.889999,25.062172,118300
2022-03-01,28.5,29.1,28.325001,28.780001,24.966747,237800
2022-03-02,28.51,28.780001,28.049999,28.1,24.376846,391500
2022-03-03,28.1,28.66,28.030001,28.450001,24.680471,291300
2022-03-04,28.15,30.0,28.049999,29.91,25.947025,706900
2022-03-07,29.200001,29.74,28.35,28.809999,24.992771,389500
2022-03-08,28.799999,29.1,28.299999,28.389999,24.62842,175400
2022-03-09,27.74,28.42,27.1,28.049999,24.333469,570600
2022-03-10,28.0,28.57,28.0,28.42,24.654446,337100
2022-03-11,28.09,29.09,28.09,28.66,24.862646,217600
2022-03-14,28.219999,28.889999,28.01,28.73,24.923374,281500
2022-03-15,28.200001,28.799999,27.809999,28.5,24.853609,294300
2022-03-16,28.5,28.68,27.85,28.059999,24.469902,352400
2022-03-17,27.780001,28.75,27.780001,28.690001,25.0193,212200
2022-03-18,28.48,29.0,28.473,29.0,25.289637,319900
2022-03-21,28.67,29.17,28.6,28.75,25.071623,313100
2022-03-22,29.129999,29.24,28.559999,28.73,25.054178,188400
2022-03-23,28.52,28.73,28.129999,28.17,24.565828,135700
2022-03-24,28.43,28.632999,28.15,28.42,24.783842,115300
2022-03-25,28.4,28.879999,28.280001,28.6,24.940815,103700
2022-03-28,28.5,28.66,28.15,28.66,24.993135,125700
2022-03-29,28.5,29.15,28.299999,28.74,25.062901,173700
2022-03-30,28.110001,28.58,28.110001,28.24,25.089554,118300
2022-03-31,28.16,28.6,27.82,27.879999,24.769714,207400
2022-04-01,27.74,28.719999,27.74,28.67,25.471586,156500
2022-04-04,28.59,29.190001,28.559999,28.959999,25.729231,163200
2022-04-05,29.1,29.469999,28.83,28.99,25.755886,110100
2022-04-06,28.889999,28.889999,28.25,28.299999,25.142862,141900
2022-04-07,28.25,28.48,28.049999,28.219999,25.071785,118800
2022-04-08,28.559999,28.74,28.08,28.459999,25.285011,75100
2022-04-11,28.5,28.799999,28.27,28.48,25.302778,152800
2022-04-12,28.26,28.549999,27.549999,27.58,24.503183,374600
2022-04-13,27.620001,28.23,27.620001,28.02,24.894096,139900
2022-04-14,27.85,28.24,27.360001,27.4,24.343264,222000
2022-04-18,27.389999,28.028999,27.15,27.23,24.192228,163200
2022-04-19,27.4,28.309999,27.18,28.08,24.947407,158800
2022-04-20,27.85,28.389999,27.67,27.959999,24.84079,109300
2022-04-21,28.15,28.18,27.709999,27.799999,24.698641,70100
2022-04-22,27.51,28.200001,27.51,27.98,24.858562,95300
2022-04-25,27.690001,28.0,27.4,27.879999,24.769714,105100
2022-04-26,27.9,28.0,26.91,27.0,23.987888,203100
2022-04-27,26.950001,27.860001,26.950001,26.99,23.979004,230700
2022-04-28,27.1,27.790001,26.84,27.6,24.520952,182800
2022-04-29,27.450001,28.0,27.34,27.57,24.494301,115200
2022-05-02,27.120001,27.5,26.51,26.82,23.827971,426400
2022-05-03,26.559999,27.120001,26.35,26.51,23.552553,479700
2022-05-04,26.52,27.190001,26.41,26.959999,23.952349,723000
2022-05-05,26.610001,26.950001,26.070999,26.9,23.899046,554400
2022-05-06,26.219999,26.469999,25.469999,26.299999,23.365978,765900
2022-05-09,25.65,26.165001,25.049999,25.1,22.299852,596500
2022-05-10,25.110001,25.785,24.42,24.9,22.122162,899600
2022-05-11,24.75,25.379999,24.51,25.049999,22.255428,550200
2022-05-12,24.530001,25.1,24.530001,25.0,22.21101,465200
2022-05-13,25.0,25.879999,24.940001,25.75,23.061832,499100
2022-05-16,25.9,25.9,25.120001,25.59,22.918535,251400
2022-05-17,25.6,26.311001,25.16,25.290001,22.649855,537600
2022-05-18,25.07,25.860001,25.07,25.35,22.703592,378200
2022-05-19,25.0,25.870001,25.0,25.26,22.622986,523900
2022-05-20,25.459999,25.459999,24.58,24.82,22.22892,362200
2022-05-23,24.99,25.200001,24.75,25.1,22.479691,233500
2022-05-24,25.040001,25.35,24.85,25.23,22.596117,254300
2022-05-25,25.040001,25.209999,24.51,24.860001,22.264748,296100
2022-05-26,24.68,25.968,24.68,25.51,22.846889,390200
2022-05-27,25.280001,25.629999,24.780001,25.059999,22.443865,471400
2022-05-31,24.790001,24.879999,24.5,24.809999,22.219963,206400
2022-06-01,24.85,24.950001,24.17,24.809999,22.219963,371800
2022-06-02,24.700001,25.799999,24.469999,25.66,22.981228,840700
2022-06-03,25.219999,25.84,25.08,25.110001,22.488646,290100
2022-06-06,25.190001,25.537001,24.709999,24.85,22.255789,553300
2022-06-07,24.75,25.129999,24.559999,25.0,22.390131,450700
