Date,Open,High,Low,Close,Adj Close,Volume
2022-04-05,9.89,10.59,9.89,9.9,9.9,90700
2022-04-06,9.918,9.918,9.918,9.918,9.918,100
2022-04-07,9.901,9.91,9.901,9.91,9.91,3000
2022-04-08,9.91,9.91,9.89,9.9,9.9,10000
2022-04-11,9.93,9.93,9.915,9.93,9.93,1500
2022-04-12,9.93,9.93,9.93,9.93,9.93,0
2022-04-13,9.93,9.93,9.93,9.93,9.93,0
2022-04-14,9.93,9.93,9.93,9.93,9.93,6600
2022-04-18,9.93,9.93,9.93,9.93,9.93,0
2022-04-19,9.93,9.93,9.93,9.93,9.93,0
2022-04-20,9.93,9.93,9.93,9.93,9.93,0
2022-04-21,9.93,9.93,9.93,9.93,9.93,0
2022-04-22,9.93,9.93,9.93,9.93,9.93,0
2022-04-25,9.93,9.93,9.93,9.93,9.93,0
2022-04-26,9.93,9.93,9.93,9.93,9.93,0
2022-04-27,9.95,9.95,9.95,9.95,9.95,300
2022-04-28,9.94,9.98,9.94,9.98,9.98,33600
2022-04-29,9.98,9.98,9.98,9.98,9.98,0
2022-05-02,9.98,9.98,9.98,9.98,9.98,0
2022-05-03,9.94,9.94,9.94,9.94,9.94,24500
2022-05-04,9.94,9.94,9.94,9.94,9.94,0
2022-05-05,9.94,9.94,9.94,9.94,9.94,0
2022-05-06,9.94,9.94,9.94,9.94,9.94,0
2022-05-09,9.98,9.98,9.94,9.94,9.94,4100
2022-05-10,9.97,9.97,9.94,9.94,9.94,9300
2022-05-11,9.92,9.92,9.92,9.92,9.92,5100
2022-05-12,9.945,9.945,9.9,9.9,9.9,506400
2022-05-13,9.9,9.9,9.9,9.9,9.9,400
2022-05-16,9.9,9.94,9.9,9.9,9.9,71700
2022-05-17,9.91,9.91,9.9,9.9,9.9,1300
2022-05-18,9.9,9.95,9.9,9.95,9.95,294100
2022-05-19,9.95,9.95,9.95,9.95,9.95,0
2022-05-20,9.95,9.95,9.95,9.95,9.95,0
2022-05-23,9.9,10.04,9.9,10.04,10.04,219600
2022-05-24,10.04,10.04,10.04,10.04,10.04,0
2022-05-25,10.04,10.04,10.04,10.04,10.04,0
2022-05-26,10.04,10.04,10.04,10.04,10.04,0
2022-05-27,9.9,9.9,9.9,9.9,9.9,100
2022-05-31,9.9,9.9,9.9,9.9,9.9,0
2022-06-01,9.9,9.9,9.9,9.9,9.9,0
2022-06-02,9.99,10.05,9.92,9.92,9.92,600
2022-06-03,9.92,9.92,9.92,9.92,9.92,0
2022-06-06,9.92,9.92,9.92,9.92,9.92,0
2022-06-07,9.92,9.92,9.92,9.92,9.92,0
2022-06-08,9.93,9.95,9.93,9.93,9.93,28300
2022-06-09,9.93,9.93,9.93,9.93,9.93,0
2022-06-10,9.93,9.93,9.93,9.93,9.93,0
2022-06-13,9.93,9.93,9.93,9.93,9.93,0
2022-06-14,9.99,9.99,9.99,9.99,9.99,200
2022-06-15,9.99,9.99,9.99,9.99,9.99,0
2022-06-16,9.94,9.94,9.94,9.94,9.94,300
2022-06-17,9.97,10.12,9.97,10.0,10.0,20700
2022-06-21,10.0,10.0,10.0,10.0,10.0,0
2022-06-22,10.0,10.0,10.0,10.0,10.0,0
2022-06-23,10.0,10.0,10.0,10.0,10.0,0
2022-06-24,10.0,10.0,10.0,10.0,10.0,0
2022-06-27,9.96,9.96,9.95,9.95,9.95,200
2022-06-28,9.95,9.95,9.95,9.95,9.95,0
2022-06-29,9.91,9.91,9.91,9.91,9.91,100
2022-06-30,9.91,9.91,9.91,9.91,9.91,0
2022-07-01,9.92,9.92,9.92,9.92,9.92,400
2022-07-05,9.925,9.925,9.925,9.925,9.925,479500
2022-07-06,9.925,9.925,9.925,9.925,9.925,0
2022-07-07,9.93,9.93,9.93,9.93,9.93,500
2022-07-08,9.93,9.93,9.93,9.93,9.93,0
2022-07-11,9.95,9.95,9.95,9.95,9.95,100
2022-07-12,9.95,9.95,9.95,9.95,9.95,0
2022-07-13,9.95,9.95,9.95,9.95,9.95,0
2022-07-14,9.98,9.98,9.98,9.98,9.98,600
2022-07-15,9.98,10.07,9.94,9.94,9.94,11200
2022-07-18,9.99,9.99,9.99,9.99,9.99,900
2022-07-19,9.99,9.99,9.99,9.99,9.99,0
2022-07-20,9.98,9.98,9.98,9.98,9.98,100
2022-07-21,9.98,10.1,9.94,9.97,9.97,4500
2022-07-22,9.97,10.01,9.96,9.96,9.96,449300
2022-07-25,9.96,9.96,9.96,9.96,9.96,0
2022-07-26,9.96,9.96,9.96,9.96,9.96,0
2022-07-27,9.96,9.96,9.96,9.96,9.96,0
2022-07-28,9.97,9.97,9.95,9.97,9.97,8800
2022-07-29,9.97,9.97,9.97,9.97,9.97,0
2022-08-01,10.02,10.02,10.02,10.02,10.02,700
2022-08-02,10.02,10.02,10.02,10.02,10.02,0
2022-08-03,10.02,10.02,10.02,10.02,10.02,0
2022-08-04,10.02,10.02,10.02,10.02,10.02,0
2022-08-05,10.02,10.02,10.02,10.02,10.02,0
2022-08-08,10.02,10.02,10.02,10.02,10.02,0
2022-08-09,10.02,10.02,10.02,10.02,10.02,0
2022-08-10,9.96,9.97,9.96,9.97,9.97,300
2022-08-11,9.97,9.97,9.97,9.97,9.97,200
2022-08-12,9.97,9.97,9.97,9.97,9.97,0
2022-08-15,10.0,10.0,10.0,10.0,10.0,100
2022-08-16,10.0,10.0,10.0,10.0,10.0,100
2022-08-17,10.0,10.0,10.0,10.0,10.0,0
2022-08-18,9.98,9.98,9.98,9.98,9.98,800
2022-08-19,9.98,9.98,9.98,9.98,9.98,0
2022-08-22,9.98,9.98,9.98,9.98,9.98,0
2022-08-23,9.98,9.98,9.98,9.98,9.98,0
2022-08-24,10.0,10.0,10.0,10.0,10.0,100
2022-08-25,10.0,10.0,10.0,10.0,10.0,0
2022-08-26,10.0,10.0,10.0,10.0,10.0,0
2022-08-29,10.0,10.0,10.0,10.0,10.0,100
2022-08-30,10.0,10.0,10.0,10.0,10.0,0
2022-08-31,10.0,10.0,10.0,10.0,10.0,0
2022-09-01,10.0,10.0,10.0,10.0,10.0,0
2022-09-02,10.0,10.0,10.0,10.0,10.0,100
2022-09-06,9.98,10.0,9.98,10.0,10.0,400
2022-09-07,10.0,10.0,10.0,10.0,10.0,0
2022-09-08,9.97,9.97,9.94,9.97,9.97,25400
2022-09-09,9.97,9.97,9.97,9.97,9.97,0
2022-09-12,10.01,10.02,10.0,10.0,10.0,1300
2022-09-13,10.0,10.0,10.0,10.0,10.0,0
2022-09-14,10.0,10.0,10.0,10.0,10.0,0
2022-09-15,10.0,10.0,10.0,10.0,10.0,0
2022-09-16,9.95,9.97,9.935,9.97,9.97,5600
2022-09-19,9.97,9.97,9.97,9.97,9.97,0
2022-09-20,9.96,9.97,9.95,9.97,9.97,4600
2022-09-21,9.97,9.97,9.97,9.97,9.97,0
2022-09-22,9.97,9.97,9.97,9.97,9.97,0
2022-09-23,9.99,9.99,9.99,9.99,9.99,44900
2022-09-26,10.0,10.02,10.0,10.01,10.01,3600
2022-09-27,10.0,10.01,10.0,10.0,10.0,1600
2022-09-28,10.05,10.05,10.05,10.05,10.05,500
2022-09-29,10.0,10.0,10.0,10.0,10.0,4900
2022-09-30,10.05,10.05,10.05,10.05,10.05,44000
2022-10-03,10.05,10.05,10.05,10.05,10.05,0
2022-10-04,10.015,10.015,10.015,10.015,10.015,1000
2022-10-05,9.98,9.98,9.97,9.97,9.97,1800
2022-10-06,9.97,9.97,9.97,9.97,9.97,0
2022-10-07,9.97,9.97,9.97,9.97,9.97,0
2022-10-10,9.97,9.97,9.97,9.97,9.97,0
2022-10-11,10.03,10.03,10.01,10.01,10.01,1000
2022-10-12,10.005,10.03,10.0,10.03,10.03,1200
2022-10-13,10.03,10.03,10.03,10.03,10.03,0
2022-10-14,10.03,10.03,10.03,10.03,10.03,0
2022-10-17,10.03,10.03,10.03,10.03,10.03,0
2022-10-18,10.06,10.06,10.06,10.06,10.06,400
2022-10-19,10.06,10.06,10.06,10.06,10.06,0
2022-10-20,10.06,10.06,10.06,10.06,10.06,0
2022-10-21,10.01,10.01,10.01,10.01,10.01,100
2022-10-24,10.01,10.01,10.01,10.01,10.01,0
2022-10-25,10.005,10.01,10.0,10.01,10.01,46300
2022-10-26,9.99,10.04,9.99,10.04,10.04,21400
2022-10-27,10.0,10.02,9.99,10.0,10.0,223000
2022-10-28,10.0,10.0,10.0,10.0,10.0,0
2022-10-31,10.0,10.0,10.0,10.0,10.0,0
2022-11-01,10.04,10.04,10.04,10.04,10.04,22500
2022-11-02,10.04,10.04,10.04,10.04,10.04,0
2022-11-03,10.04,10.04,10.04,10.04,10.04,0
2022-11-04,10.04,10.04,10.04,10.04,10.04,0
2022-11-07,10.0,10.0,10.0,10.0,10.0,100
2022-11-08,10.0,10.0,10.0,10.0,10.0,0
2022-11-09,10.12,10.12,10.12,10.12,10.12,100
2022-11-10,10.1,10.1,10.1,10.1,10.1,100
2022-11-11,10.1,10.1,10.1,10.1,10.1,100
2022-11-14,10.11,10.11,10.11,10.11,10.11,100
2022-11-15,10.11,10.11,10.11,10.11,10.11,100
2022-11-16,10.09,10.11,10.09,10.1,10.1,3200
2022-11-17,10.1,10.1,10.1,10.1,10.1,0
2022-11-18,10.1,10.1,10.1,10.1,10.1,0
2022-11-21,10.01,10.01,10.01,10.01,10.01,100
2022-11-22,10.07,10.07,10.07,10.07,10.07,1000
2022-11-23,10.07,10.07,10.07,10.07,10.07,0
2022-11-25,10.07,10.07,10.07,10.07,10.07,0
2022-11-28,10.07,10.07,10.07,10.07,10.07,0
2022-11-29,10.07,10.07,10.07,10.07,10.07,0
2022-11-30,10.07,10.07,10.07,10.07,10.07,0
2022-12-01,10.08,10.08,10.08,10.08,10.08,500
2022-12-02,10.08,10.11,10.08,10.08,10.08,1800
2022-12-05,10.08,10.08,10.08,10.08,10.08,0
2022-12-06,10.08,10.08,10.08,10.08,10.08,0
2022-12-07,10.08,10.08,10.08,10.08,10.08,0
2022-12-08,10.09,10.09,10.06,10.06,10.06,2800
2022-12-09,10.06,10.06,10.06,10.06,10.06,2500
2022-12-12,10.06,10.06,10.06,10.06,10.06,0
2022-12-13,10.06,10.06,10.06,10.06,10.06,0
2022-12-14,10.1,10.11,10.1,10.11,10.11,4300
2022-12-15,10.11,10.11,10.11,10.11,10.11,0
2022-12-16,10.11,10.11,10.11,10.11,10.11,0
2022-12-19,10.11,10.11,10.11,10.11,10.11,0
2022-12-20,10.11,10.11,10.11,10.11,10.11,0
2022-12-21,10.11,10.11,10.11,10.11,10.11,0
2022-12-22,10.11,10.11,10.11,10.11,10.11,100
2022-12-23,10.15,10.15,10.15,10.15,10.15,100
2022-12-27,10.15,10.15,10.15,10.15,10.15,100
2022-12-28,10.15,10.21,10.15,10.21,10.21,600
2022-12-29,10.21,10.21,10.2,10.2,10.2,300
2022-12-30,10.2,10.2,10.2,10.2,10.2,0
2023-01-03,10.2,10.2,10.2,10.2,10.2,0
2023-01-04,10.205,10.205,10.205,10.205,10.205,200
2023-01-05,10.22,10.22,10.22,10.22,10.22,300
2023-01-06,10.22,10.22,10.22,10.22,10.22,1400
2023-01-09,10.22,10.22,10.22,10.22,10.22,0
2023-01-10,10.22,10.22,10.22,10.22,10.22,0
2023-01-11,10.22,10.22,10.22,10.22,10.22,1000
2023-01-12,10.23,10.23,10.23,10.23,10.23,100
2023-01-13,10.225,10.23,10.225,10.23,10.23,3900
2023-01-17,10.225,10.23,10.22,10.23,10.23,6000
2023-01-18,10.215,10.22,10.215,10.22,10.22,70600
2023-01-19,10.24,10.26,10.24,10.26,10.26,210900
2023-01-20,10.26,10.26,10.26,10.26,10.26,0
2023-01-23,10.27,10.27,10.258,10.26,10.26,500
2023-01-24,10.265,10.265,10.26,10.26,10.26,1600
2023-01-25,10.26,10.26,10.26,10.26,10.26,0
2023-01-26,10.25,10.27,10.25,10.27,10.27,1200
2023-01-27,10.27,10.27,10.27,10.27,10.27,0
2023-01-30,10.27,10.27,10.27,10.27,10.27,4800
2023-01-31,10.27,10.27,10.27,10.27,10.27,0
2023-02-01,10.27,10.27,10.27,10.27,10.27,0
2023-02-02,10.275,10.29,10.27,10.28,10.28,35500
2023-02-03,10.28,10.285,10.28,10.285,10.285,36100
2023-02-06,10.281,10.295,10.281,10.29,10.29,194700
2023-02-07,10.29,10.29,10.29,10.29,10.29,0
2023-02-08,10.29,10.29,10.285,10.29,10.29,115000
2023-02-09,10.29,10.29,10.29,10.29,10.29,0
2023-02-10,10.29,10.29,10.29,10.29,10.29,19400
2023-02-13,10.293,10.293,10.293,10.293,10.293,1000
2023-02-14,10.293,10.293,10.293,10.293,10.293,0
2023-02-15,10.293,10.293,10.293,10.293,10.293,0
2023-02-16,10.29,10.29,10.29,10.29,10.29,2500
2023-02-17,10.29,10.29,10.29,10.29,10.29,700
2023-02-21,10.29,10.29,10.29,10.29,10.29,0
2023-02-22,10.29,10.29,10.29,10.29,10.29,0
2023-02-23,10.29,10.29,10.29,10.29,10.29,0
2023-02-24,10.29,10.29,10.29,10.29,10.29,0
2023-02-27,10.32,10.32,10.32,10.32,10.32,2000
2023-02-28,10.32,10.32,10.32,10.32,10.32,100
2023-03-01,10.33,10.33,10.33,10.33,10.33,100
2023-03-02,10.31,10.31,10.31,10.31,10.31,100
2023-03-03,10.33,10.33,10.33,10.33,10.33,100
2023-03-06,10.315,10.315,10.315,10.315,10.315,100
2023-03-07,10.32,10.32,10.32,10.32,10.32,500
2023-03-08,10.32,10.32,10.32,10.32,10.32,0
2023-03-09,10.32,10.32,10.32,10.32,10.32,0
2023-03-10,10.32,10.32,10.32,10.32,10.32,0
2023-03-13,10.32,10.32,10.32,10.32,10.32,0
2023-03-14,10.32,10.32,10.32,10.32,10.32,0
2023-03-15,10.35,10.35,10.35,10.35,10.35,100
2023-03-16,10.35,10.35,10.35,10.35,10.35,100
2023-03-17,10.35,10.35,10.35,10.35,10.35,100
2023-03-20,10.35,10.35,10.35,10.35,10.35,0
2023-03-21,10.34,10.368,10.34,10.368,10.368,10400
2023-03-22,10.368,10.368,10.368,10.368,10.368,0
2023-03-23,10.37,10.38,10.37,10.37,10.37,465000
2023-03-24,10.37,10.37,10.36,10.36,10.36,282100
2023-03-27,10.36,10.375,10.36,10.375,10.375,4400
2023-03-28,10.36,10.37,10.36,10.37,10.37,223600
2023-03-29,10.37,10.37,10.37,10.37,10.37,140700
2023-03-30,10.6,11.0,10.36,10.36,10.36,30800
2023-03-31,10.36,10.36,10.36,10.36,10.36,0
2023-04-03,10.36,10.36,10.36,10.36,10.36,0
2023-04-04,10.36,10.36,10.36,10.36,10.36,0
2023-04-05,10.36,10.36,10.36,10.36,10.36,0
2023-04-06,10.37,10.37,10.37,10.37,10.37,500
2023-04-10,10.385,10.385,10.385,10.385,10.385,100
2023-04-11,10.37,10.39,10.37,10.39,10.39,700
2023-04-12,10.37,10.37,10.37,10.37,10.37,11700
2023-04-13,10.37,10.37,10.37,10.37,10.37,0
2023-04-14,10.4,10.4,10.4,10.4,10.4,100
2023-04-17,10.4,10.4,10.4,10.4,10.4,0
2023-04-18,10.4,10.4,10.4,10.4,10.4,0
2023-04-19,10.4,10.4,10.4,10.4,10.4,0
2023-04-20,10.43,10.43,10.43,10.43,10.43,100
2023-04-21,10.55,10.608,10.4,10.43,10.43,169400
2023-04-24,10.41,11.283,10.41,10.41,10.41,31100
2023-04-25,10.42,10.43,10.42,10.43,10.43,212100
2023-04-26,10.43,10.43,10.42,10.42,10.42,8800
2023-04-27,10.42,10.425,10.42,10.42,10.42,3100
2023-04-28,10.42,10.42,10.42,10.42,10.42,0
2023-05-01,10.42,10.42,10.42,10.42,10.42,0
2023-05-02,10.43,10.45,10.43,10.43,10.43,48100
2023-05-03,10.43,10.43,10.43,10.43,10.43,3200
2023-05-04,10.43,10.43,10.43,10.43,10.43,0
2023-05-05,10.43,10.43,10.43,10.43,10.43,1600
2023-05-08,10.455,10.475,10.45,10.475,10.475,23500
