Date,Open,High,Low,Close,Adj Close,Volume
1993-03-25,9.666667,9.708333,9.458333,9.541667,5.260788,20047500
1993-03-26,9.541667,9.708333,9.5,9.583333,5.283762,5826000
1993-03-29,9.5,9.583333,9.416667,9.458333,5.214845,2249400
1993-03-30,9.416667,9.458333,9.333333,9.458333,5.214845,2520900
1993-03-31,9.416667,9.708333,9.416667,9.666667,5.329705,2130900
1993-04-01,9.625,9.666667,9.541667,9.541667,5.260788,1686300
1993-04-02,9.541667,9.541667,9.5,9.5,5.237814,1596000
1993-04-05,9.458333,9.458333,9.375,9.375,5.168894,1044300
1993-04-06,9.416667,9.5,9.416667,9.5,5.237814,458100
1993-04-07,9.5,9.875,9.5,9.708333,5.352679,632100
1993-04-08,9.666667,9.75,9.625,9.625,5.306733,1555500
1993-04-12,9.625,9.666667,9.5,9.541667,5.260788,980100
1993-04-13,9.5,9.583333,9.5,9.583333,5.283762,4521000
1993-04-14,9.583333,9.625,9.541667,9.541667,5.260788,385200
1993-04-15,9.583333,9.708333,9.541667,9.666667,5.329705,479100
1993-04-16,9.666667,9.75,9.666667,9.708333,5.352679,317400
1993-04-19,9.625,9.708333,9.583333,9.666667,5.329705,189900
1993-04-20,9.666667,9.666667,9.416667,9.416667,5.191872,1680000
1993-04-21,9.416667,9.458333,9.416667,9.458333,5.214845,440400
1993-04-22,9.416667,9.458333,9.375,9.416667,5.191872,390900
1993-04-23,9.458333,9.458333,9.333333,9.458333,5.214845,700800
1993-04-26,9.416667,9.416667,9.166667,9.166667,5.054033,1038300
1993-04-27,9.166667,9.208333,9.166667,9.208333,5.077006,604200
1993-04-28,9.208333,9.208333,9.166667,9.166667,5.054033,815700
1993-04-29,9.208333,9.25,9.166667,9.166667,5.054033,477600
1993-04-30,9.208333,9.541667,9.208333,9.541667,5.260788,1086600
1993-05-03,9.5,9.666667,9.5,9.666667,5.329705,654600
1993-05-04,9.916667,10.0,9.875,9.916667,5.467544,1054200
1993-05-05,10.25,10.583333,10.208333,10.583333,5.835113,1123500
1993-05-06,10.666667,10.666667,10.333333,10.375,5.720248,699600
1993-05-07,10.291667,10.416667,10.291667,10.333333,5.697271,197400
1993-05-10,10.333333,10.375,10.166667,10.333333,5.697271,288900
1993-05-11,10.291667,10.375,10.291667,10.375,5.720248,396000
1993-05-12,10.333333,10.375,10.291667,10.375,5.720248,428400
1993-05-13,10.333333,10.333333,10.041667,10.041667,5.536462,135300
1993-05-14,10.0,10.083333,10.0,10.041667,5.536462,402600
1993-05-17,10.041667,10.041667,9.875,9.958333,5.490518,121800
1993-05-18,9.958333,9.958333,9.916667,9.958333,5.490518,91200
1993-05-19,9.875,10.208333,9.875,10.166667,5.605384,201600
1993-05-20,10.208333,10.208333,10.0,10.083333,5.559435,138900
1993-05-21,10.125,10.125,10.041667,10.041667,5.536462,244500
1993-05-24,10.041667,10.083333,10.0,10.041667,5.536462,162600
1993-05-25,9.916667,10.0,9.875,9.875,5.444571,30300
1993-05-26,9.916667,9.916667,9.583333,9.666667,5.329705,139500
1993-05-27,9.75,9.833333,9.625,9.625,5.306733,398400
1993-05-28,9.666667,9.666667,9.5,9.541667,5.260788,262800
1993-06-01,9.541667,9.625,9.458333,9.5,5.237814,204000
1993-06-02,9.5,9.583333,9.416667,9.416667,5.191872,305700
1993-06-03,9.416667,9.416667,9.333333,9.333333,5.145924,487800
1993-06-04,9.333333,9.416667,9.25,9.25,5.099978,240300
1993-06-07,9.166667,9.25,9.0,9.0,4.96214,318600
1993-06-08,8.916667,8.916667,8.791667,8.791667,4.847276,428700
1993-06-09,8.791667,8.875,8.708333,8.833333,4.87025,1035300
1993-06-10,8.791667,8.833333,8.708333,8.791667,4.847276,211200
1993-06-11,8.666667,8.75,8.625,8.666667,4.778357,1272600
1993-06-14,8.666667,8.75,8.666667,8.708333,4.80133,33300
1993-06-15,8.75,8.833333,8.5,8.625,4.755383,552600
1993-06-16,8.625,8.666667,8.583333,8.583333,4.73241,379500
