Date,Open,High,Low,Close,Adj Close,Volume
1998-04-02,8.64,10.56,8.64,10.24,7.245195,7187
1998-04-03,9.64,9.64,9.6,9.6,6.792371,8750
1998-04-06,8.72,8.72,8.72,8.72,6.169736,625
1998-04-07,9.6,9.6,9.12,9.12,6.452754,3750
1998-04-08,9.12,9.12,9.12,9.12,6.452754,0
1998-04-09,9.12,9.12,9.12,9.12,6.452754,0
1998-04-13,9.12,9.12,9.12,9.12,6.452754,0
1998-04-14,9.44,9.44,9.44,9.44,6.679165,937
1998-04-15,9.6,9.6,9.6,9.6,6.792371,312
1998-04-16,9.6,9.6,9.6,9.6,6.792371,1250
1998-04-17,9.6,9.6,9.6,9.6,6.792371,937
1998-04-20,9.84,9.84,9.76,9.76,6.905576,937
1998-04-21,9.92,9.92,9.92,9.92,7.018781,937
1998-04-22,10.08,10.08,10.08,10.08,7.131989,312
1998-04-23,10.08,10.08,10.08,10.08,7.131989,0
1998-04-24,10.08,10.08,10.08,10.08,7.131989,5312
1998-04-27,10.08,10.08,10.08,10.08,7.131989,0
1998-04-28,10.08,10.08,10.08,10.08,7.131989,0
1998-04-29,9.6,9.6,9.6,9.6,6.792371,15000
1998-04-30,9.92,9.92,9.92,9.92,7.018781,14375
1998-05-01,9.92,9.92,9.92,9.92,7.018781,625
1998-05-04,9.92,9.92,9.92,9.92,7.018781,0
1998-05-05,9.92,9.92,9.92,9.92,7.018781,0
1998-05-06,10.38,10.4,10.36,10.36,7.330099,4375
1998-05-07,10.36,10.36,10.36,10.36,7.330099,0
1998-05-08,10.36,10.36,10.36,10.36,7.330099,0
1998-05-11,10.32,10.32,10.32,10.32,7.3018,937
1998-05-12,10.32,10.32,10.32,10.32,7.3018,0
1998-05-13,10.32,10.32,10.32,10.32,7.3018,0
1998-05-14,10.32,10.32,10.32,10.32,7.3018,0
1998-05-15,9.68,10.32,9.68,10.04,7.103686,5625
1998-05-18,9.68,9.68,9.68,9.68,6.848973,1875
1998-05-19,9.6,9.6,9.6,9.6,6.792371,1250
1998-05-20,9.6,9.6,9.6,9.6,6.792371,1875
1998-05-21,9.68,9.68,9.44,9.44,6.679165,3437
