Date,Open,High,Low,Close,Adj Close,Volume
2017-06-28,10.0,10.04,10.0,10.0,6.80859,857300
2017-06-29,10.0,10.02,10.0,10.0,6.80859,154200
2017-06-30,10.02,10.03,10.01,10.02,6.822207,41000
2017-07-03,10.02,10.03,10.0,10.01,6.8154,28100
2017-07-05,10.03,10.04,10.0,10.02,6.822207,96000
2017-07-06,10.02,10.04,10.01,10.04,6.835824,45800
2017-07-07,10.03,10.05,10.01,10.035,6.832421,72000
2017-07-10,10.04,10.09,10.02,10.05,6.842637,55200
2017-07-11,10.07,10.09,10.06,10.08,6.863057,41400
2017-07-12,10.1,10.12,10.07,10.12,6.890292,63800
2017-07-13,10.14,10.14,10.12,10.14,6.90391,27500
2017-07-14,10.15,10.5,10.146,10.28,6.999228,136500
2017-07-17,10.204,10.239,10.2,10.232,6.966548,11000
2017-07-18,10.25,10.25,10.2,10.22,6.95838,9600
2017-07-19,10.178,10.2,10.13,10.15,6.910719,20800
2017-07-20,10.17,10.35,10.141,10.25,6.978806,17600
2017-07-21,10.4,10.48,10.3,10.35,7.046891,33100
2017-07-24,10.45,10.45,10.294,10.3,7.012851,6700
2017-07-25,10.18,10.2,10.03,10.15,6.910719,101800
2017-07-26,10.171,10.171,10.1,10.11,6.883482,38400
2017-07-27,10.15,10.18,10.1,10.1,6.876676,20400
2017-07-28,10.15,10.15,10.05,10.15,6.910719,22900
2017-07-31,10.15,10.15,10.1,10.15,6.910719,11800
2017-08-01,10.123,10.163,10.1,10.14,6.90391,13100
2017-08-02,10.14,10.14,10.09,10.12,6.890292,50300
2017-08-03,10.14,10.14,10.095,10.095,6.873272,12800
2017-08-04,10.13,10.14,10.099,10.14,6.90391,8100
2017-08-07,10.13,10.25,10.13,10.22,6.95838,27900
2017-08-08,10.16,10.2,10.12,10.19,6.937953,21000
2017-08-09,10.19,10.19,10.18,10.18,6.931146,8000
2017-08-10,10.164,10.2,10.16,10.17,6.924336,18400
2017-08-11,10.16,10.22,10.15,10.17,6.924336,24300
2017-08-14,10.17,10.195,10.01,10.05,6.842637,46600
2017-08-15,10.062,10.062,9.9,9.91,6.747313,86000
2017-08-16,9.96,9.96,9.74,9.92,6.754123,103200
2017-08-17,9.86,9.95,9.77,9.77,6.65199,66600
2017-08-18,9.8,9.89,9.71,9.78,6.690301,87100
2017-08-21,9.83,9.86,9.8,9.86,6.745027,8700
2017-08-22,9.86,9.98,9.84,9.85,6.738188,71700
2017-08-23,9.78,9.9,9.7,9.8,6.703983,59400
2017-08-24,9.836,9.836,9.79,9.8,6.703983,7400
2017-08-25,9.8,9.83,9.8,9.81,6.710823,16700
2017-08-28,9.84,9.89,9.81,9.89,6.765551,42500
2017-08-29,9.86,9.94,9.85,9.92,6.786074,25000
2017-08-30,9.93,9.94,9.85,9.85,6.738188,21400
2017-08-31,9.83,9.9,9.83,9.9,6.772392,23400
2017-09-01,9.94,9.95,9.898,9.94,6.799755,30300
2017-09-05,9.9,9.95,9.865,9.95,6.806593,16600
