Date,Open,High,Low,Close,Adj Close,Volume
2021-11-02,26.25,43.5,26.25,30.0,26.646362,209600
2021-11-03,30.0,30.950001,28.65,30.75,27.312521,131600
2021-11-04,30.0,31.09,28.9,31.0,27.534573,184200
2021-11-05,30.799999,32.5,30.0,32.5,28.866892,87600
2021-11-08,32.119999,32.5,31.6,32.060001,28.47608,36300
2021-11-09,31.879999,31.879999,30.379999,30.549999,27.134878,60000
2021-11-10,30.51,31.25,30.084,30.299999,26.912823,56000
2021-11-11,30.5,31.549999,30.379999,31.459999,27.943151,99200
2021-11-12,31.24,31.83,30.75,31.4,27.889858,249700
2021-11-15,30.799999,32.099998,30.750999,32.099998,28.511604,108200
2021-11-16,31.23,32.43,31.23,32.080002,28.493845,153900
2021-11-17,31.620001,32.509998,31.620001,31.75,28.200735,114100
2021-11-18,31.450001,31.799999,29.969999,30.639999,27.214817,52600
2021-11-19,30.200001,30.787001,29.459999,30.52,27.108234,50900
2021-11-22,30.709999,30.92,30.01,30.860001,27.410225,86100
2021-11-23,30.26,30.889999,30.030001,30.860001,27.410225,63000
2021-11-24,30.450001,31.91,30.0,31.59,28.05862,86100
2021-11-26,31.01,31.5,29.879999,30.469999,27.063824,34900
2021-11-29,29.82,31.5,29.540001,31.0,27.534573,156800
2021-11-30,30.48,31.305,30.254999,30.969999,27.507925,337100
2021-12-01,30.110001,31.200001,30.110001,31.120001,27.641163,91500
2021-12-02,30.82,31.15,30.58,31.0,27.534573,63100
2021-12-03,30.610001,30.950001,30.0,30.690001,27.25923,55000
2021-12-06,30.5,31.0,30.0,30.440001,27.037174,197500
2021-12-07,30.139999,30.73,29.290001,29.93,26.58419,167500
2021-12-08,29.99,30.459999,29.309999,30.059999,26.699656,151900
2021-12-09,30.0,31.0,29.65,29.690001,26.371017,197500
2021-12-10,29.52,30.25,29.26,29.91,26.566423,107200
2021-12-13,29.75,29.91,28.299999,28.65,25.447275,96900
2021-12-14,28.65,28.959999,27.24,27.370001,24.310366,165200
2021-12-15,27.219999,27.98,27.16,27.75,24.647886,226900
2021-12-16,27.68,28.280001,27.219999,28.27,25.109756,256500
2021-12-17,27.870001,28.0,27.325001,27.58,24.496889,463600
2021-12-20,27.25,27.934999,26.83,27.219999,24.177134,181200
2021-12-21,26.91,28.799999,26.469999,28.68,25.473921,281600
2021-12-22,28.93,28.93,27.950001,28.139999,24.994286,34300
2021-12-23,28.34,28.75,27.75,28.690001,25.482805,56100
2021-12-27,28.84,30.23,28.290001,30.0,26.646362,40800
2021-12-28,29.700001,30.15,29.51,30.15,26.779594,23300
2021-12-29,29.299999,30.280001,29.299999,30.07,26.708536,78700
2021-12-30,29.84,30.455,29.5,30.15,26.779594,101500
2021-12-31,29.950001,31.48,29.950001,31.200001,27.712215,267300
2022-01-03,30.879999,31.08,30.0,30.02,26.664127,117400
2022-01-04,30.0,30.530001,30.0,30.34,26.948355,30200
2022-01-05,30.52,30.52,29.709999,30.110001,26.744066,43000
2022-01-06,29.795,30.08,29.385,29.870001,26.530895,43000
