Date,Open,High,Low,Close,Adj Close,Volume
2011-06-15,20.0,20.16,19.0,19.0,7.416939,1215400
2011-06-16,19.18,19.200001,18.74,19.0,7.416939,106300
2011-06-17,19.1,19.1,18.51,18.549999,7.241275,68700
2011-06-20,18.540001,18.540001,17.85,18.02,7.034381,55800
2011-06-21,18.200001,18.209999,17.85,17.98,7.018764,44800
2011-06-22,17.799999,18.469999,17.799999,18.09,7.061705,54000
2011-06-23,18.41,18.41,17.75,17.879999,6.979729,87300
2011-06-24,18.190001,18.190001,17.5,17.74,6.925078,42600
2011-06-27,17.969999,18.200001,17.790001,17.950001,7.007057,26100
2011-06-28,18.74,18.74,17.950001,18.200001,7.104647,21800
2011-06-29,17.809999,18.74,17.809999,18.700001,7.299829,42800
2011-06-30,18.75,19.23,18.440001,18.68,7.292021,19000
2011-07-01,18.93,19.200001,18.58,19.01,7.420842,18800
2011-07-05,19.23,19.23,18.82,19.07,7.444266,10600
2011-07-06,19.059999,19.17,18.719999,19.15,7.475492,10700
2011-07-07,19.23,19.23,19.0,19.18,7.487204,12800
2011-07-08,18.940001,19.23,18.82,19.200001,7.495009,15200
2011-07-11,19.01,19.139999,19.01,19.01,7.420842,5800
2011-07-12,19.01,19.02,18.82,18.9,7.377902,18100
2011-07-13,19.049999,19.049999,18.440001,18.73,7.311539,25000
2011-07-14,18.540001,18.85,18.440001,18.540001,7.23737,9300
2011-07-15,18.219999,18.450001,18.0,18.450001,7.202237,9400
2011-07-18,18.389999,18.49,17.75,18.17,7.092937,48400
2011-07-19,18.5,19.23,18.299999,19.23,7.506723,33900
2011-07-20,19.309999,19.33,18.41,19.33,7.545759,26800
2011-07-21,19.370001,19.389999,19.02,19.24,7.510624,19000
2011-07-22,19.389999,19.389999,18.91,19.1,7.455971,8300
2011-07-25,19.0,19.389999,18.58,19.23,7.506723,8500
2011-07-26,19.309999,19.389999,18.940001,19.190001,7.491107,20200
2011-07-27,18.780001,19.25,18.75,19.0,7.416939,17000
2011-07-28,18.73,19.35,18.709999,19.129999,7.4862,14200
2011-07-29,19.0,19.120001,18.85,18.91,7.400109,6400
2011-08-01,19.0,19.030001,18.9,19.030001,7.44707,4200
2011-08-02,19.389999,19.389999,18.32,18.42,7.208357,10300
2011-08-03,18.299999,18.65,18.1,18.65,7.298363,11200
2011-08-04,17.75,18.35,17.75,18.02,7.051823,30100
2011-08-05,17.620001,17.85,15.95,16.440001,6.433518,41200
2011-08-08,14.57,17.870001,14.57,15.58,6.096972,23700
2011-08-09,15.81,18.9,15.8,18.35,7.180963,21100
2011-08-10,18.0,18.0,16.639999,16.75,6.554832,9800
2011-08-11,17.200001,17.889999,17.0,17.190001,6.727018,11400
2011-08-12,17.440001,17.65,16.629999,17.0,6.652663,11300
2011-08-15,16.5,16.950001,15.75,16.299999,6.37873,27300
2011-08-16,15.56,16.23,14.45,15.28,5.979572,54000
2011-08-17,15.35,16.620001,15.35,15.6,6.104799,42800
2011-08-18,15.6,15.94,14.9,15.81,6.186978,17600
2011-08-19,16.190001,16.65,15.01,15.25,5.96783,15700
2011-08-22,15.51,16.25,14.8,14.82,5.799559,30100
2011-08-23,15.79,16.139999,14.7,14.99,5.866085,46300
2011-08-24,15.48,17.190001,14.75,16.08,6.292638,22100
2011-08-25,15.53,15.95,15.53,15.59,6.100883,1800
2011-08-26,15.0,15.5,14.91,15.15,5.928698,32600
2011-08-29,15.95,15.95,15.2,15.49,6.061751,12300
2011-08-30,15.11,15.6,15.11,15.39,6.022619,6800
2011-08-31,15.6,15.97,15.51,15.51,6.06958,12200
2011-09-01,15.54,15.89,15.16,15.16,5.932612,12100
2011-09-02,15.74,15.74,15.03,15.03,5.881739,5900
2011-09-06,15.0,15.0,14.03,14.24,5.572584,22300
2011-09-07,14.69,15.35,14.38,14.38,5.627372,12900
2011-09-08,14.8,15.25,14.65,15.25,5.96783,7400
2011-09-09,15.5,15.51,14.32,15.51,6.06958,13800
2011-09-12,15.95,15.95,14.57,15.31,5.991309,5900
2011-09-13,15.94,15.94,15.01,15.35,6.006964,4900
2011-09-14,14.57,15.75,14.57,14.94,5.846518,27000
2011-09-15,15.19,15.23,14.75,15.0,5.869997,10200
2011-09-16,14.77,15.46,14.75,15.3,5.987398,7100
2011-09-19,14.95,15.59,14.9,15.0,5.869997,11600
2011-09-20,14.93,15.7,14.9,15.05,5.889566,15700
2011-09-21,14.85,15.45,14.78,15.21,5.952178,19000
2011-09-22,14.76,15.35,14.7,15.04,5.885652,11900
2011-09-23,14.78,15.23,14.42,14.5,5.67433,31300
2011-09-26,14.31,14.75,14.3,14.48,5.666506,4900
2011-09-27,14.94,14.94,14.57,14.88,5.823036,6400
2011-09-28,14.84,15.16,14.83,15.11,5.913045,9500
2011-09-29,15.32,15.32,14.6,14.84,5.807385,16700
2011-09-30,14.8,15.5,14.8,15.41,6.030444,2800
2011-10-03,14.58,15.36,14.4,14.97,5.858258,11500
2011-10-04,14.45,14.9,13.92,14.9,5.830864,21200
2011-10-05,14.56,14.9,13.98,14.72,5.760426,7200
2011-10-06,14.5,14.98,14.5,14.8,5.79173,4200
2011-10-07,14.06,14.6,14.06,14.6,5.713465,3100
2011-10-10,15.5,15.5,14.75,15.34,6.003053,3900
2011-10-11,15.43,15.43,14.94,14.94,5.846518,5300
2011-10-12,14.88,15.56,14.88,15.05,5.889566,4300
2011-10-13,14.95,15.06,14.95,15.05,5.889566,2900
2011-10-14,15.06,15.31,14.78,14.96,5.854345,6500
2011-10-17,14.96,15.38,14.96,15.02,5.877826,3300
2011-10-18,15.0,15.75,14.95,15.59,6.100883,13500
2011-10-19,15.55,15.55,14.92,15.25,5.96783,4300
2011-10-20,14.95,15.25,14.95,15.25,5.96783,2200
2011-10-21,15.32,15.33,15.31,15.31,5.991309,2000
2011-10-24,15.3,17.040001,15.25,17.030001,6.664405,23300
2011-10-25,17.0,17.0,16.33,16.360001,6.402211,1800
2011-10-26,16.98,17.0,16.360001,16.459999,6.441345,9600
2011-10-27,16.620001,16.879999,16.35,16.35,6.398297,15200
2011-10-28,16.23,16.23,15.46,15.8,6.333361,8800
2011-10-31,15.8,16.24,15.8,16.24,6.509733,2900
2011-11-01,15.91,16.540001,15.5,15.5,6.213108,3200
2011-11-02,15.28,15.5,15.11,15.25,6.112895,11100
2011-11-03,15.25,16.0,15.01,15.93,6.385472,7900
2011-11-04,15.83,16.360001,15.51,15.54,6.22914,6000
2011-11-07,15.86,15.86,14.81,14.96,5.996651,18800
2011-11-08,15.01,15.25,14.61,14.77,5.920489,33300
2011-11-09,14.51,14.8,14.5,14.6,5.852346,13900
2011-11-10,14.61,14.77,14.5,14.53,5.824287,9300
2011-11-11,14.44,14.87,14.0,14.6,5.852346,40800
2011-11-14,15.2,15.24,15.2,15.24,6.108887,1400
2011-11-15,14.78,15.45,14.78,15.44,6.189056,3800
2011-11-16,15.14,15.58,14.66,15.25,6.112895,5800
2011-11-17,15.24,15.24,14.79,15.15,6.072811,3900
2011-11-18,14.81,15.11,14.81,15.0,6.012683,2900
2011-11-21,15.03,15.03,14.78,14.96,5.996651,3300
2011-11-22,14.93,15.0,14.72,15.0,6.012683,4200
2011-11-23,14.51,15.0,14.51,14.63,5.864372,8000
