Date,Open,High,Low,Close,Adj Close,Volume
2021-05-05,9.67,9.73,9.67,9.73,9.73,300
2021-05-06,9.95,9.95,9.95,9.95,9.95,1200
2021-05-07,10.1,10.1,10.1,10.1,10.1,400
2021-05-10,10.1,10.1,10.1,10.1,10.1,0
2021-05-11,10.1,10.1,10.1,10.1,10.1,0
2021-05-12,9.87,10.1,9.79,10.1,10.1,1800
2021-05-13,10.1,10.1,10.1,10.1,10.1,0
2021-05-14,10.1,10.1,10.1,10.1,10.1,0
2021-05-17,10.1,10.1,10.1,10.1,10.1,0
2021-05-18,10.1,10.1,10.1,10.1,10.1,0
2021-05-19,10.1,10.1,10.1,10.1,10.1,0
2021-05-20,10.05,10.05,9.88,9.88,9.88,11200
2021-05-21,9.88,9.88,9.88,9.88,9.88,0
2021-05-24,9.88,9.88,9.88,9.88,9.88,0
2021-05-25,9.88,9.88,9.88,9.88,9.88,0
2021-05-26,10.65,11.391,9.76,9.79,9.79,35700
2021-05-27,9.79,9.79,9.79,9.79,9.79,0
2021-05-28,9.79,9.79,9.79,9.79,9.79,1300
2021-06-01,9.901,9.901,9.901,9.901,9.901,200
2021-06-02,10.02,10.02,10.02,10.02,10.02,400
2021-06-03,10.02,10.02,10.02,10.02,10.02,0
2021-06-04,10.02,10.02,10.02,10.02,10.02,0
2021-06-07,10.02,10.02,10.02,10.02,10.02,0
2021-06-08,10.02,10.02,10.02,10.02,10.02,0
2021-06-09,10.0,10.0,10.0,10.0,10.0,700
2021-06-10,9.885,9.885,9.88,9.88,9.88,2900
2021-06-11,9.89,9.9,9.82,9.9,9.9,8800
2021-06-14,9.9,9.9,9.9,9.9,9.9,0
2021-06-15,9.9,9.9,9.9,9.9,9.9,0
2021-06-16,9.88,9.92,9.88,9.91,9.91,3000
2021-06-17,9.875,9.91,9.84,9.88,9.88,57400
2021-06-18,9.85,9.87,9.85,9.87,9.87,20800
2021-06-21,9.87,9.87,9.87,9.87,9.87,0
2021-06-22,9.85,9.87,9.85,9.85,9.85,2200
2021-06-23,9.87,9.87,9.855,9.855,9.855,17000
2021-06-24,9.855,9.855,9.855,9.855,9.855,0
2021-06-25,9.85,9.88,9.79,9.87,9.87,38100
2021-06-28,9.87,9.87,9.87,9.87,9.87,0
2021-06-29,9.79,9.95,9.79,9.86,9.86,291500
2021-06-30,9.825,9.86,9.825,9.86,9.86,8600
2021-07-01,9.86,9.86,9.8,9.8,9.8,186300
2021-07-02,9.75,9.85,9.75,9.84,9.84,44600
2021-07-06,9.83,9.84,9.815,9.84,9.84,8200
2021-07-07,9.84,9.84,9.84,9.84,9.84,12000
2021-07-08,9.83,9.83,9.82,9.82,9.82,9300
2021-07-09,9.84,9.85,9.84,9.85,9.85,6900
2021-07-12,9.9,9.9,9.9,9.9,9.9,1900
2021-07-13,9.87,9.935,9.87,9.88,9.88,30700
2021-07-14,9.88,9.88,9.88,9.88,9.88,100
2021-07-15,9.88,9.88,9.88,9.88,9.88,0
2021-07-16,9.88,9.88,9.88,9.88,9.88,200
2021-07-19,9.88,9.88,9.88,9.88,9.88,0
2021-07-20,9.88,9.88,9.88,9.88,9.88,0
2021-07-21,9.88,9.88,9.88,9.88,9.88,0
2021-07-22,9.88,9.88,9.88,9.88,9.88,0
2021-07-23,9.88,9.88,9.88,9.88,9.88,2200
2021-07-26,9.85,9.85,9.84,9.85,9.85,100400
2021-07-27,9.84,9.84,9.81,9.81,9.81,110000
2021-07-28,9.85,9.85,9.85,9.85,9.85,100000
2021-07-29,9.85,9.85,9.85,9.85,9.85,0
2021-07-30,9.85,9.85,9.85,9.85,9.85,0
2021-08-02,9.9,10.0,9.9,10.0,10.0,1900
2021-08-03,9.79,9.79,9.79,9.79,9.79,9600
