Date,Open,High,Low,Close,Adj Close,Volume
1998-05-07,21.0,21.0,21.0,21.0,9.126282,0
1998-05-08,21.0,21.0,21.0,21.0,9.126282,0
1998-05-11,21.0,21.0,21.0,21.0,9.126282,0
1998-05-12,21.0,21.0,21.0,21.0,9.126282,0
1998-05-13,20.625,20.875,20.625,20.875,9.071953,3000
1998-05-14,20.875,20.875,20.875,20.875,9.071953,2000
1998-05-15,20.875,20.875,20.875,20.875,9.071953,0
1998-05-18,20.625,20.625,20.625,20.625,8.963311,600
1998-05-19,21.0,21.0,20.5,20.5,8.908985,1000
1998-05-20,20.5,20.5,20.5,20.5,8.908985,1200
1998-05-21,20.5,20.5,20.5,20.5,8.908985,0
1998-05-22,20.5,20.5,20.5,20.5,8.908985,0
1998-05-26,20.5,20.5,20.5,20.5,8.908985,0
1998-05-27,20.5,20.5,20.5,20.5,8.908985,0
1998-05-28,20.5,20.5,20.5,20.5,8.908985,200
1998-05-29,20.5,20.5,20.5,20.5,8.908985,0
1998-06-01,21.0,21.0,20.75,20.75,9.017632,1000
1998-06-02,20.75,20.75,20.75,20.75,9.017632,0
1998-06-03,20.5,20.5,20.5,20.5,8.908985,800
1998-06-04,20.5,20.5,20.5,20.5,8.908985,1000
1998-06-05,20.5,20.5,20.5,20.5,8.908985,0
1998-06-08,20.5,20.5,20.5,20.5,8.908985,1000
1998-06-09,20.5,20.5,20.5,20.5,8.908985,1000
1998-06-10,20.5,20.5,20.5,20.5,8.908985,2000
1998-06-11,20.5,20.5,20.5,20.5,8.908985,0
1998-06-12,20.5,20.5,20.5,20.5,8.908985,0
1998-06-15,20.5,20.5,20.5,20.5,8.908985,0
1998-06-16,20.5,20.5,20.5,20.5,8.908985,0
1998-06-17,21.0,21.25,20.5,20.5,8.908985,5600
1998-06-18,20.5,20.625,20.5,20.5,8.908985,2800
1998-06-19,20.25,20.5,20.25,20.25,8.800343,2600
1998-06-22,20.375,20.375,20.0,20.03125,8.705276,10200
1998-06-23,20.0,20.5,20.0,20.375,8.854664,1200
1998-06-24,20.0,20.375,20.0,20.375,8.854664,1400
1998-06-25,20.25,20.25,20.25,20.25,8.800343,200
1998-06-26,20.125,20.375,20.125,20.375,8.903025,1800
1998-06-29,20.375,20.375,20.375,20.375,8.903025,0
1998-06-30,20.375,20.375,20.375,20.375,8.903025,200
1998-07-01,20.375,20.375,20.25,20.25,8.848409,800
1998-07-02,20.25,20.25,20.25,20.25,8.848409,200
1998-07-06,20.375,20.375,20.375,20.375,8.903025,1400
1998-07-07,20.75,21.375,20.75,21.375,9.339983,1000
1998-07-08,21.375,21.375,21.375,21.375,9.339983,400
1998-07-09,21.25,21.25,21.25,21.25,9.285365,1000
1998-07-10,21.25,21.25,21.25,21.25,9.285365,1000
1998-07-13,21.0,21.0,21.0,21.0,9.176128,200
1998-07-14,21.0,21.0,21.0,21.0,9.176128,0
1998-07-15,21.0,21.4375,20.375,21.125,9.230744,5200
1998-07-16,21.125,21.125,21.125,21.125,9.230744,0
1998-07-17,21.25,21.25,21.25,21.25,9.285365,800
1998-07-20,21.5,21.5,21.5,21.5,9.394607,600
1998-07-21,21.75,21.75,21.5,21.5,9.394607,1100
1998-07-22,21.625,22.0,21.5625,22.0,9.61308,2900
1998-07-23,22.0,22.0,22.0,22.0,9.61308,0
1998-07-24,22.0,22.125,21.25,21.25,9.285365,1700
1998-07-27,22.0,22.0,22.0,22.0,9.61308,300
1998-07-28,21.25,21.25,21.25,21.25,9.285365,800
1998-07-29,21.25,21.25,21.25,21.25,9.285365,0
1998-07-30,21.25,21.25,21.25,21.25,9.285365,200
1998-07-31,21.25,21.25,21.25,21.25,9.285365,600
1998-08-03,22.5,22.5,22.5,22.5,9.831568,100
1998-08-04,21.0,21.125,20.0,20.0,8.739163,1800
1998-08-05,20.0,21.0,20.0,20.75,9.066883,1400
1998-08-06,20.75,20.75,20.75,20.75,9.066883,0
1998-08-07,20.75,20.75,20.75,20.75,9.066883,0
1998-08-10,20.75,20.75,20.75,20.75,9.066883,0
1998-08-11,20.75,20.75,20.75,20.75,9.066883,0
1998-08-12,20.75,20.75,20.75,20.75,9.066883,0
1998-08-13,20.75,20.75,20.75,20.75,9.066883,0
1998-08-14,20.75,20.75,20.75,20.75,9.066883,200
1998-08-17,20.75,21.0,20.75,21.0,9.176128,2300
1998-08-18,21.0,21.0,21.0,21.0,9.176128,0
1998-08-19,20.0,20.0,20.0,20.0,8.739163,1000
1998-08-20,20.0,20.0,20.0,20.0,8.739163,0
1998-08-21,19.375,19.375,19.375,19.375,8.466065,200
1998-08-24,19.375,19.375,19.375,19.375,8.466065,0
1998-08-25,19.375,19.375,19.375,19.375,8.466065,0
1998-08-26,19.75,19.75,19.75,19.75,8.629925,100
1998-08-27,20.0,20.0,20.0,20.0,8.739163,600
1998-08-28,20.0,20.0,20.0,20.0,8.739163,600
1998-08-31,19.5,19.5,19.5,19.5,8.520686,400
1998-09-01,19.25,19.375,19.25,19.375,8.466065,3100
1998-09-02,20.0,20.0,20.0,20.0,8.739163,100
1998-09-03,19.375,19.5,19.25,19.5,8.520686,500
1998-09-04,19.25,19.25,19.25,19.25,8.411448,300
1998-09-08,19.25,19.25,19.25,19.25,8.411448,100
1998-09-09,20.0,20.0,20.0,20.0,8.739163,200
1998-09-10,19.75,19.75,19.25,19.25,8.411448,900
1998-09-11,19.5,19.5,19.125,19.125,8.404851,700
1998-09-14,20.0,20.0,20.0,20.0,8.789389,100
1998-09-15,19.125,19.375,19.125,19.375,8.514723,2000
1998-09-16,19.375,19.375,19.375,19.375,8.514723,0
1998-09-17,19.375,19.375,19.375,19.375,8.514723,0
1998-09-18,19.0,19.25,19.0,19.25,8.459789,500
1998-09-21,19.625,19.625,19.0,19.0,8.34992,300
1998-09-22,19.125,19.125,19.125,19.125,8.404851,2000
1998-09-23,19.125,19.125,19.125,19.125,8.404851,0
1998-09-24,19.125,19.125,19.125,19.125,8.404851,0
1998-09-25,19.125,19.125,19.125,19.125,8.404851,0
1998-09-28,19.125,19.125,19.125,19.125,8.404851,0
1998-09-29,19.125,19.125,19.125,19.125,8.404851,0
1998-09-30,19.125,19.125,19.125,19.125,8.404851,0
