Date,Open,High,Low,Close,Adj Close,Volume
2012-05-03,22.0,22.450001,21.85,22.049999,11.691888,13298700
2012-05-04,22.049999,22.09,22.0,22.049999,11.691888,6276200
2012-05-07,22.07,22.09,22.0,22.01,11.670679,2800000
2012-05-08,22.01,22.049999,22.0,22.0,11.665377,6862700
2012-05-09,22.0,22.059999,21.02,21.75,11.532815,4307200
2012-05-10,21.5,21.75,21.5,21.719999,11.516907,464000
2012-05-11,21.719999,21.83,21.15,21.35,11.320715,267000
2012-05-14,21.15,21.440001,20.98,21.030001,11.151041,357900
2012-05-15,21.219999,21.389999,21.0,21.120001,11.198763,521000
2012-05-16,21.09,21.6,21.01,21.57,11.437373,313200
2012-05-17,21.299999,21.51,21.0,21.1,11.188158,329700
2012-05-18,21.0,21.4,21.0,21.110001,11.193459,343900
2012-05-21,22.0,22.0,21.0,21.049999,11.161646,130500
2012-05-22,21.059999,21.27,20.24,21.0,11.135135,334000
2012-05-23,20.83,20.940001,20.0,20.139999,10.679121,510000
2012-05-24,20.18,20.620001,20.0,20.389999,10.811683,204300
2012-05-25,20.27,21.6,20.27,21.51,11.405558,306000
2012-05-29,21.73,21.73,20.969999,21.059999,11.166947,97000
2012-05-30,20.82,21.4,20.32,21.209999,11.246481,157300
2012-05-31,21.09,21.200001,20.709999,21.120001,11.198763,366700
2012-06-01,20.66,21.4,20.66,21.02,11.145736,347700
2012-06-04,21.17,21.17,20.5,20.959999,11.113921,116900
2012-06-05,20.32,21.09,20.32,20.940001,11.103319,231500
2012-06-06,21.1,21.379999,20.309999,21.379999,11.336626,165900
2012-06-07,21.5,21.67,21.23,21.6,11.453279,162500
2012-06-08,21.67,21.879999,21.360001,21.75,11.532815,1368100
2012-06-11,21.799999,21.889999,21.299999,21.42,11.357837,177200
2012-06-12,21.75,22.01,21.629999,21.799999,11.559329,389800
2012-06-13,21.67,21.9,21.67,21.879999,11.601748,165500
2012-06-14,21.950001,22.059999,21.559999,21.790001,11.55403,221600
2012-06-15,21.870001,21.950001,21.690001,21.940001,11.633561,97200
2012-06-18,21.98,21.98,21.73,21.85,11.585836,95200
2012-06-19,21.85,21.92,21.68,21.790001,11.55403,174200
2012-06-20,21.85,21.950001,21.719999,21.879999,11.601748,394900
2012-06-21,21.91,22.030001,21.51,21.799999,11.559329,168200
2012-06-22,21.969999,22.02,21.74,21.85,11.585836,42500
2012-06-25,21.950001,22.0,21.51,21.9,11.61235,45800
2012-06-26,21.969999,22.0,21.610001,21.610001,11.45858,232700
2012-06-27,21.799999,21.98,21.6,21.73,11.522211,91600
2012-06-28,21.48,22.16,21.33,22.16,11.750215,907700
2012-06-29,22.299999,22.440001,22.16,22.43,11.893376,171500
2012-07-02,22.450001,23.0,22.4,22.9,12.142598,475000
2012-07-03,22.940001,23.01,22.9,22.950001,12.169112,92700
2012-07-05,22.860001,23.49,22.860001,23.08,12.238038,92000
2012-07-06,23.76,23.76,23.049999,23.129999,12.26455,62800
2012-07-09,23.040001,23.35,22.870001,23.24,12.322882,117200
2012-07-10,23.370001,23.370001,23.059999,23.059999,12.227434,103300
2012-07-11,23.25,23.459999,23.1,23.18,12.291068,114900
2012-07-12,23.389999,23.48,22.549999,22.73,12.052452,95400
2012-07-13,22.76,23.15,22.76,23.08,12.238038,130900
2012-07-16,23.16,23.25,23.01,23.110001,12.253947,87700
2012-07-17,23.33,23.34,22.870001,23.049999,12.222132,103600
2012-07-18,23.030001,23.219999,22.82,22.93,12.158502,49600
2012-07-19,23.059999,23.27,23.0,23.0,12.195623,39800
2012-07-20,22.92,23.440001,22.76,23.42,12.418324,110600
2012-07-23,23.360001,23.450001,22.610001,22.92,12.153203,181400
2012-07-24,23.290001,23.950001,23.280001,23.370001,12.391813,211900
2012-07-25,23.48,23.9,23.02,23.709999,12.572097,91300
2012-07-26,23.76,24.0,23.469999,24.0,12.72586,74100
2012-07-27,23.99,24.5,23.870001,24.15,12.8054,181200
2012-07-30,24.440001,24.5,23.93,24.209999,12.837216,164400
2012-07-31,24.0,24.52,24.0,24.43,12.953872,723400
2012-08-01,24.459999,24.84,23.92,24.02,12.736468,69800
2012-08-02,23.9,24.25,23.24,23.870001,12.656934,70400
