Date,Open,High,Low,Close,Adj Close,Volume
2008-06-24,5.13,5.13,5.13,5.13,4.40967,0
2008-06-25,5.13,5.13,5.13,5.13,4.40967,0
2008-06-26,5.0,5.0,5.0,5.0,4.297924,2000
2008-06-27,4.99,5.08,4.99,4.99,4.289328,10700
2008-06-30,4.99,4.99,4.99,4.99,4.289328,0
2008-07-01,4.99,4.99,4.99,4.99,4.289328,0
2008-07-02,4.99,4.99,4.99,4.99,4.289328,0
2008-07-03,3.97,4.25,3.95,3.97,3.412551,15000
2008-07-07,4.37,4.37,4.37,4.37,3.756385,1000
2008-07-08,4.37,4.37,4.37,4.37,3.756385,0
2008-07-09,4.81,4.81,4.81,4.81,4.134603,2200
2008-07-10,5.02,5.03,5.02,5.02,4.315115,400
2008-07-11,5.02,5.02,5.02,5.02,4.315115,0
2008-07-14,4.94,4.94,4.94,4.94,4.246347,200
2008-07-15,4.94,4.94,4.94,4.94,4.246347,0
2008-07-16,4.94,4.94,4.94,4.94,4.246347,0
2008-07-17,4.84,4.84,4.84,4.84,4.16039,200
2008-07-18,4.84,4.84,4.84,4.84,4.16039,0
2008-07-21,5.09,5.09,4.7,5.09,4.375287,1400
2008-07-22,4.89,5.03,4.89,4.89,4.203369,1500
2008-07-23,5.14,5.14,5.14,5.14,4.418266,200
2008-07-24,4.99,4.99,4.99,4.99,4.289328,100
2008-07-25,4.99,4.99,4.99,4.99,4.289328,0
2008-07-28,4.99,4.99,4.99,4.99,4.289328,0
2008-07-29,4.99,4.99,4.99,4.99,4.289328,0
2008-07-30,4.94,4.94,4.94,4.94,4.246347,200
2008-07-31,4.94,4.94,4.94,4.94,4.246347,0
2008-08-01,4.94,4.94,4.94,4.94,4.246347,0
2008-08-04,4.94,4.94,4.94,4.94,4.246347,0
2008-08-05,4.94,4.94,4.94,4.94,4.246347,0
2008-08-06,4.94,4.94,4.94,4.94,4.246347,0
2008-08-07,4.94,4.94,4.94,4.94,4.246347,0
2008-08-08,4.94,4.94,4.94,4.94,4.246347,0
2008-08-11,3.74,4.0,3.74,3.74,3.214847,500
2008-08-12,3.74,3.74,3.74,3.74,3.214847,0
2008-08-13,3.74,3.74,3.74,3.74,3.214847,0
2008-08-14,4.02,4.02,4.02,4.02,3.45553,1200
2008-08-15,3.77,3.77,3.77,3.77,3.240634,2000
2008-08-18,3.72,3.75,3.71,3.72,3.197656,4500
2008-08-19,3.72,3.72,3.72,3.72,3.197656,0
2008-08-20,3.68,3.68,3.53,3.68,3.163272,2000
2008-08-21,3.68,3.68,3.68,3.68,3.163272,0
2008-08-22,3.7,3.72,3.7,3.7,3.180464,5200
2008-08-25,3.7,3.7,3.7,3.7,3.180464,0
2008-08-26,3.7,3.7,3.7,3.7,3.180464,0
2008-08-27,3.7,3.7,3.7,3.7,3.180464,0
2008-08-28,3.7,3.7,3.7,3.7,3.180464,0
2008-08-29,3.99,3.99,3.99,3.99,3.429744,1000
2008-09-02,3.99,3.99,3.99,3.99,3.429744,0
2008-09-03,3.99,3.99,3.99,3.99,3.429744,0
2008-09-04,3.86,3.86,3.86,3.86,3.317997,100
2008-09-05,3.78,3.78,3.78,3.78,3.249231,300
2008-09-08,3.78,3.78,3.78,3.78,3.249231,0
2008-09-09,3.78,3.78,3.78,3.78,3.249231,0
2008-09-10,3.78,3.78,3.78,3.78,3.249231,0
2008-09-11,3.78,3.78,3.78,3.78,3.249231,0
2008-09-12,4.09,4.11,4.09,4.09,3.515702,1000
