Date,Open,High,Low,Close,Adj Close,Volume
2005-10-27,15.0,15.01,15.0,15.0,3.133084,380700
2005-10-28,15.0,15.01,15.0,15.01,3.135173,55700
2005-10-31,15.0,15.01,15.0,15.0,3.133084,77400
2005-11-01,15.01,15.01,15.0,15.01,3.135173,28400
2005-11-02,15.01,15.01,15.0,15.01,3.135173,23400
2005-11-03,15.0,15.01,15.0,15.0,3.133084,14300
2005-11-04,15.0,15.01,15.0,15.01,3.135173,28300
2005-11-07,15.0,15.01,15.0,15.0,3.133084,37100
2005-11-08,15.0,15.01,15.0,15.0,3.133084,26100
2005-11-09,15.0,15.01,15.0,15.01,3.135173,37100
2005-11-10,15.0,15.01,15.0,15.0,3.133084,36900
2005-11-11,15.02,15.02,15.0,15.0,3.133084,46100
2005-11-14,15.0,15.01,15.0,15.0,3.133084,41000
2005-11-15,15.02,15.02,15.0,15.01,3.135173,52000
2005-11-16,15.0,15.01,15.0,15.01,3.135173,41000
2005-11-17,15.0,15.01,15.0,15.0,3.133084,18800
2005-11-18,15.0,15.01,15.0,15.0,3.133084,21000
2005-11-21,15.0,15.0,15.0,15.0,3.133084,125700
2005-11-22,14.94,15.0,13.77,13.85,2.89288,87700
2005-11-23,13.85,13.85,13.25,13.45,2.809331,54600
2005-11-25,13.55,13.55,13.35,13.4,2.798888,11900
2005-11-28,13.3,13.65,13.25,13.43,2.805155,45100
2005-11-29,13.19,13.44,13.19,13.35,2.788444,49500
2005-11-30,13.45,13.45,13.25,13.35,2.788444,45300
2005-12-01,13.32,13.6,13.22,13.22,2.76129,58500
2005-12-02,13.23,13.4,13.23,13.4,2.798888,23200
2005-12-05,13.3,13.45,13.3,13.36,2.790533,32600
2005-12-06,13.37,13.47,13.22,13.37,2.79262,53700
2005-12-07,13.38,13.68,13.34,13.45,2.809331,50400
2005-12-08,13.48,13.72,13.26,13.3,2.777999,51800
2005-12-09,13.29,13.46,13.29,13.31,2.780091,42000
2005-12-12,13.37,13.55,13.26,13.43,2.805155,39500
2005-12-13,13.53,13.6,13.25,13.58,2.836484,55800
2005-12-14,13.57,13.57,13.32,13.45,2.809331,39100
2005-12-15,13.3,13.5,13.21,13.32,2.782178,64300
2005-12-16,13.3,13.37,13.19,13.37,2.79262,54900
2005-12-19,13.42,13.48,13.4,13.45,2.809331,82600
2005-12-20,13.46,13.75,13.4,13.7,2.861548,56900
2005-12-21,13.71,13.9,13.63,13.86,2.894969,49500
2005-12-22,13.9,13.9,13.62,13.9,2.903325,52000
2005-12-23,13.87,13.93,13.6,13.6,2.840664,61800
2005-12-27,13.68,13.77,13.35,13.46,2.811419,64300
2005-12-28,13.3,13.7,13.2,13.7,2.882967,154400
2005-12-29,13.6,13.78,13.51,13.72,2.887177,92200
2005-12-30,13.66,14.17,13.6,14.17,2.981873,129100
2006-01-03,14.08,14.2,13.89,14.16,2.979768,41200
2006-01-04,14.25,14.25,14.1,14.21,2.990289,38000
2006-01-05,14.21,14.25,14.1,14.14,2.975559,18700
2006-01-06,14.25,14.33,14.14,14.33,3.015543,22900
2006-01-09,14.3,14.35,14.21,14.32,3.013438,22000
2006-01-10,14.32,14.32,14.12,14.32,3.013438,47100
2006-01-11,14.34,14.74,14.15,14.56,3.063943,36200
2006-01-12,14.5,14.5,14.2,14.45,3.040796,48700
2006-01-13,14.47,14.55,14.2,14.35,3.019752,35100
2006-01-17,14.4,14.69,14.17,14.3,3.009228,60500
2006-01-18,14.3,14.49,14.1,14.3,3.009228,47700
2006-01-19,14.21,14.36,14.1,14.22,2.992394,22300
2006-01-20,14.2,14.3,14.05,14.3,3.009228,14800
2006-01-23,14.2,14.36,14.08,14.27,3.002914,47300
2006-01-24,14.1,14.38,14.0,14.34,3.017648,43400
2006-01-25,14.3,14.3,14.05,14.3,3.009228,42900
2006-01-26,14.35,14.5,14.11,14.12,2.971349,58900
2006-01-27,14.32,14.5,14.1,14.26,3.000812,94000
2006-01-30,14.21,14.37,14.21,14.3,3.009228,23100
2006-01-31,14.3,14.36,14.23,14.36,3.021855,26700
2006-02-01,14.36,14.38,14.23,14.31,3.011333,31600
2006-02-02,14.32,14.35,14.05,14.19,2.986081,45600
2006-02-03,14.2,14.29,14.08,14.24,2.996602,19600
