Date,Open,High,Low,Close,Adj Close,Volume
1993-03-29,10.166667,10.833333,10.166667,10.833333,7.668834,45000
1993-03-30,10.833333,11.166667,10.5,10.833333,7.668834,45000
1993-03-31,11.166667,11.166667,10.833333,10.833333,7.668834,36000
1993-04-01,10.666667,10.916667,10.5,10.916667,7.727826,17400
1993-04-02,10.833333,10.833333,10.166667,10.166667,7.196906,19200
1993-04-05,10.0,10.333333,10.0,10.333333,7.314887,13200
1993-04-06,10.0,10.333333,9.833333,9.833333,6.960941,9600
1993-04-07,9.833333,10.333333,9.833333,10.166667,7.196906,12000
1993-04-08,10.166667,10.166667,9.75,9.75,6.90195,26400
1993-04-12,10.166667,10.166667,9.833333,9.833333,6.960941,13200
1993-04-13,10.25,10.25,9.75,10.25,7.255896,15000
1993-04-14,10.083333,10.208333,9.75,10.0,7.078924,30600
1993-04-15,9.958333,10.166667,9.833333,10.0625,7.123168,32400
1993-04-16,10.041667,10.041667,9.145833,9.166667,6.489013,60600
1993-04-19,9.583333,9.583333,9.333333,9.333333,6.606995,3000
1993-04-20,9.166667,9.458333,9.166667,9.458333,6.695482,12000
1993-04-21,9.395833,9.5,9.395833,9.458333,6.695482,9000
1993-04-22,9.333333,9.583333,9.166667,9.5,6.724977,48600
1993-04-23,9.5,9.5,9.5,9.5,6.724977,3600
1993-04-26,9.5,9.583333,9.333333,9.583333,6.783967,15000
1993-04-27,9.166667,9.583333,9.166667,9.333333,6.606995,37200
1993-04-28,9.333333,9.583333,8.75,8.75,6.194059,33000
1993-04-29,9.0,9.25,9.0,9.25,6.548003,16800
1993-04-30,9.25,9.25,9.25,9.25,6.548003,0
1993-05-03,8.916667,9.25,8.833333,9.25,6.548003,27600
1993-05-04,9.0,9.25,8.833333,8.833333,6.253048,8400
1993-05-05,9.166667,9.166667,9.166667,9.166667,6.489013,1200
1993-05-06,8.833333,9.166667,8.833333,9.0,6.371032,20400
1993-05-07,8.583333,8.916667,8.583333,8.916667,6.31204,4200
1993-05-10,9.0,9.0,8.583333,9.0,6.371032,7800
1993-05-11,9.166667,9.166667,8.583333,8.916667,6.31204,52200
1993-05-12,8.333333,8.333333,8.166667,8.166667,5.78112,10200
1993-05-13,8.666667,8.666667,8.166667,8.666667,6.135067,17400
1993-05-14,8.666667,8.666667,8.666667,8.666667,6.135067,1200
1993-05-17,8.583333,8.583333,8.583333,8.583333,6.076075,600
1993-05-18,8.666667,8.666667,8.666667,8.666667,6.135067,600
1993-05-19,8.166667,8.166667,8.166667,8.166667,5.78112,600
1993-05-20,8.666667,8.666667,8.166667,8.666667,6.135067,3600
1993-05-21,8.166667,8.166667,8.166667,8.166667,5.78112,1200
1993-05-24,8.166667,8.166667,8.166667,8.166667,5.78112,600
1993-05-25,8.166667,8.166667,8.166667,8.166667,5.78112,600
1993-05-26,8.583333,8.583333,8.583333,8.583333,6.076075,600
1993-05-27,8.75,8.75,8.75,8.75,6.194059,1200
1993-05-28,8.75,8.75,8.75,8.75,6.194059,0
1993-06-01,8.5,8.583333,8.25,8.5,6.017085,12600
1993-06-02,8.333333,8.75,8.25,8.75,6.194059,46800
1993-06-03,8.75,8.75,8.75,8.75,6.194059,0
1993-06-04,8.666667,8.75,8.333333,8.416667,5.958094,39600
1993-06-07,8.333333,8.333333,8.333333,8.333333,5.899103,600
1993-06-08,8.333333,8.333333,8.333333,8.333333,5.899103,0
1993-06-09,8.75,8.75,8.75,8.75,6.194059,1200
1993-06-10,8.333333,8.333333,8.333333,8.333333,5.899103,7200
1993-06-11,8.354167,8.354167,8.333333,8.333333,5.899103,21000
1993-06-14,8.75,8.75,8.75,8.75,6.194059,3000
1993-06-15,8.541667,8.75,8.354167,8.75,6.194059,4800
1993-06-16,8.333333,8.75,8.333333,8.75,6.194059,7200
1993-06-17,8.583333,8.625,8.583333,8.625,6.10557,1200
1993-06-18,8.5,8.5625,8.333333,8.5625,6.061328,94200
1993-06-21,8.666667,8.666667,8.333333,8.666667,6.135067,22200
1993-06-22,8.666667,8.666667,8.333333,8.5,6.017085,6000
1993-06-23,8.666667,8.666667,8.333333,8.666667,6.135067,22200
1993-06-24,8.666667,8.666667,8.333333,8.666667,6.135067,6600
1993-06-25,8.583333,8.583333,8.333333,8.583333,6.076075,6000
1993-06-28,8.583333,8.583333,8.333333,8.333333,5.899103,21600
1993-06-29,8.583333,8.583333,8.458333,8.583333,6.076075,4800
1993-06-30,8.583333,8.583333,8.583333,8.583333,6.076075,9600
1993-07-01,8.583333,8.583333,8.375,8.375,5.928598,13800
1993-07-02,8.583333,8.583333,8.583333,8.583333,6.076075,1800
1993-07-06,8.583333,8.583333,8.333333,8.583333,6.076075,25200
1993-07-07,8.583333,8.583333,8.583333,8.583333,6.076075,4800
1993-07-08,8.458333,8.583333,8.458333,8.583333,6.076075,6600
1993-07-09,8.583333,8.583333,8.583333,8.583333,6.076075,1200
1993-07-12,8.583333,8.583333,8.375,8.583333,6.076075,16200
1993-07-13,8.375,8.541667,8.375,8.541667,6.04658,11400
1993-07-14,8.583333,8.583333,8.333333,8.5,6.017085,71400
1993-07-15,8.333333,8.583333,8.333333,8.583333,6.076075,16800
1993-07-16,8.583333,8.583333,8.25,8.5,6.017085,330600
1993-07-19,8.583333,8.583333,8.583333,8.583333,6.076075,10200
1993-07-20,8.333333,8.583333,8.333333,8.583333,6.076075,78600
1993-07-21,8.5,8.583333,8.5,8.583333,6.076075,7200
1993-07-22,8.583333,9.166667,8.375,9.0,6.371032,45600
1993-07-23,9.0,9.0,8.75,9.0,6.371032,104400
1993-07-26,9.0,9.25,8.75,9.25,6.548003,21600
1993-07-27,9.0,9.333333,9.0,9.333333,6.606995,40800
1993-07-28,9.333333,9.333333,8.833333,8.833333,6.253048,12600
1993-07-29,9.25,9.333333,9.25,9.333333,6.606995,1800
1993-07-30,8.833333,9.333333,8.833333,9.333333,6.606995,6000
1993-08-02,8.833333,9.333333,8.833333,9.333333,6.606995,4800
1993-08-03,8.875,9.333333,8.75,9.083333,6.430021,12600
1993-08-04,9.25,9.25,8.75,8.75,6.194059,10200
1993-08-05,8.75,9.0,8.75,9.0,6.371032,8400
1993-08-06,9.166667,9.166667,9.083333,9.166667,6.489013,4200
1993-08-09,9.166667,9.166667,8.916667,8.916667,6.31204,5400
1993-08-10,8.6875,9.0,8.666667,9.0,6.371032,180600
1993-08-11,9.0,9.0,9.0,9.0,6.371032,10800
1993-08-12,8.833333,8.833333,8.583333,8.583333,6.076075,29400
1993-08-13,8.583333,8.583333,8.583333,8.583333,6.076075,0
1993-08-16,8.583333,8.583333,8.583333,8.583333,6.076075,0
1993-08-17,9.0,9.166667,8.583333,9.166667,6.489013,4800
1993-08-18,9.166667,9.166667,9.166667,9.166667,6.489013,600
1993-08-19,9.166667,9.166667,9.166667,9.166667,6.489013,0
1993-08-20,9.166667,9.166667,8.875,8.875,6.282544,3000
1993-08-23,9.166667,9.166667,9.166667,9.166667,6.489013,600
1993-08-24,8.583333,9.166667,8.583333,9.166667,6.489013,1800
1993-08-25,9.083333,9.083333,9.083333,9.083333,6.430021,600
1993-08-26,8.583333,8.583333,8.583333,8.583333,6.076075,1200
1993-08-27,8.583333,9.083333,8.583333,9.083333,6.430021,1200
1993-08-30,8.666667,8.666667,8.666667,8.666667,6.135067,600
1993-08-31,9.083333,9.083333,9.041667,9.041667,6.400526,1200
1993-09-01,9.0,9.083333,8.666667,8.833333,6.253048,8400
1993-09-02,8.583333,8.916667,8.583333,8.916667,6.31204,5400
1993-09-03,9.083333,9.083333,9.083333,9.083333,6.430021,32400
1993-09-07,8.916667,8.916667,8.666667,8.875,6.282544,4200
1993-09-08,9.083333,9.083333,9.083333,9.083333,6.430021,1200
1993-09-09,9.083333,9.083333,9.083333,9.083333,6.430021,0
1993-09-10,8.666667,9.083333,8.666667,9.083333,6.430021,3000
1993-09-13,8.875,9.083333,8.833333,9.083333,6.430021,21600
1993-09-14,9.083333,9.083333,9.083333,9.083333,6.430021,0
1993-09-15,9.083333,9.083333,8.666667,8.666667,6.135067,10200
1993-09-16,9.083333,9.083333,8.75,8.75,6.194059,6000
1993-09-17,9.083333,9.083333,8.916667,8.916667,6.31204,4800
1993-09-20,8.916667,8.916667,8.916667,8.916667,6.31204,0
1993-09-21,9.0,9.083333,9.0,9.083333,6.430021,1800
1993-09-22,9.083333,9.083333,9.083333,9.083333,6.430021,0
1993-09-23,9.083333,9.083333,9.083333,9.083333,6.430021,2400
1993-09-24,9.083333,9.083333,9.083333,9.083333,6.430021,0
1993-09-27,9.083333,9.083333,8.833333,8.958333,6.341534,23400
1993-09-28,8.958333,8.958333,8.958333,8.958333,6.341534,600
1993-09-29,9.083333,9.083333,9.083333,9.083333,6.430021,600
1993-09-30,9.083333,9.083333,9.083333,9.083333,6.430021,1200
1993-10-01,9.083333,9.083333,9.083333,9.083333,6.430021,0
1993-10-04,8.833333,8.833333,8.833333,8.833333,6.253048,6000
1993-10-05,9.0,9.041667,9.0,9.041667,6.400526,7200
1993-10-06,8.875,9.166667,8.875,9.166667,6.489013,30000
1993-10-07,8.916667,9.333333,8.833333,9.083333,6.430021,69000
1993-10-08,9.083333,9.083333,9.083333,9.083333,6.430021,0
1993-10-11,9.333333,9.333333,9.333333,9.333333,6.606995,1800
1993-10-12,9.333333,9.333333,9.333333,9.333333,6.606995,0
1993-10-13,9.333333,9.333333,9.333333,9.333333,6.606995,0
