Date,Open,High,Low,Close,Adj Close,Volume
1996-10-16,7.0,8.25,7.0,8.125,3.895033,39000
1996-10-17,8.25,8.625,8.25,8.375,4.014879,23600
1996-10-18,8.75,8.75,8.625,8.625,4.134727,79000
1996-10-21,8.6875,8.6875,8.625,8.6875,4.164689,16800
1996-10-22,8.625,8.625,8.1875,8.1875,3.924995,72400
1996-10-23,7.875,8.0,7.75,7.875,3.775187,27200
1996-10-24,7.8125,7.8125,7.5,7.5625,3.625378,79400
1996-10-25,7.5,7.5625,7.5,7.5625,3.625378,96400
1996-10-28,7.5,7.625,7.5,7.625,3.655339,48400
1996-10-29,7.625,7.75,7.625,7.75,3.715263,16000
1996-10-30,7.875,7.875,7.75,7.75,3.715263,28200
1996-10-31,7.75,7.8125,7.5,7.625,3.655339,361600
1996-11-01,7.5625,7.625,7.1875,7.25,3.475566,1305000
1996-11-04,7.25,7.375,7.25,7.3125,3.505529,1030400
1996-11-05,7.3125,7.625,7.3125,7.5,3.595417,927400
1996-11-06,7.5625,7.875,7.5,7.6875,3.685302,659800
1996-11-07,7.6875,7.8125,7.625,7.75,3.715263,1180800
1996-11-08,7.8125,7.8125,7.6875,7.6875,3.685302,990800
1996-11-11,7.625,8.0,7.625,7.9375,3.805149,1018800
1996-11-12,8.0,8.0,7.6875,7.75,3.715263,211200
1996-11-13,7.8125,7.8125,7.5,7.5625,3.625378,952200
1996-11-14,7.5625,7.5625,7.4375,7.5,3.595417,891000
1996-11-15,7.5625,7.75,7.5625,7.75,3.715263,1254400
1996-11-18,7.875,7.9375,7.625,7.625,3.655339,547800
1996-11-19,7.75,7.875,7.75,7.8125,3.745224,669000
1996-11-20,7.8125,7.9375,7.8125,7.8125,3.745224,477000
1996-11-21,7.875,7.9375,7.5,7.5625,3.625378,279000
1996-11-22,7.5625,7.75,7.375,7.4375,3.565454,709000
1996-11-25,7.5625,7.5625,7.125,7.1875,3.445607,1209000
1996-11-26,7.1875,7.1875,6.875,7.0,3.355721,1263000
1996-11-27,7.0625,7.625,7.0,7.5625,3.625378,2561000
1996-11-29,7.5,7.6875,7.5,7.6875,3.685302,309000
1996-12-02,7.625,7.8125,7.5,7.75,3.715263,679000
1996-12-03,7.75,8.125,7.75,8.125,3.895033,1158600
1996-12-04,8.125,8.125,7.875,8.0625,3.865072,474600
1996-12-05,8.125,8.1875,8.0625,8.1875,3.924995,547600
1996-12-06,7.9375,8.0625,7.875,8.0625,3.865072,340200
1996-12-09,8.0625,8.1875,8.0,8.125,3.895033,548600
1996-12-10,8.0625,8.1875,8.0,8.0,3.835108,861400
1996-12-11,7.9375,8.0,7.8125,8.0,3.835108,722400
1996-12-12,8.0,8.0625,8.0,8.0,3.835108,192800
1996-12-13,7.9375,8.0,7.8125,7.8125,3.745224,783200
1996-12-16,7.875,7.875,7.6875,7.75,3.715263,652600
1996-12-17,7.75,8.0,7.75,8.0,3.835108,343000
1996-12-18,8.0,8.1875,7.9375,8.1875,3.924995,479200
1996-12-19,8.1875,8.25,8.125,8.125,3.895033,416800
1996-12-20,8.25,8.25,7.9375,8.1875,3.924995,556600
1996-12-23,8.25,8.3125,8.0625,8.1875,3.924995,314600
1996-12-24,8.125,8.1875,8.0625,8.1875,3.924995,203200
1996-12-26,8.1875,8.25,8.0,8.25,3.954957,386400
1996-12-27,8.1875,8.4375,8.1875,8.3125,3.984918,307800
1996-12-30,8.375,8.625,8.3125,8.625,4.134727,391200
1996-12-31,8.6875,8.8125,8.625,8.8125,4.224613,284200
1997-01-02,8.75,8.75,8.3125,8.375,4.014879,550400
1997-01-03,8.4375,8.5625,8.375,8.4375,4.044842,479200
1997-01-06,8.5,8.5,8.375,8.4375,4.044842,294600
1997-01-07,8.5,8.5625,8.375,8.4375,4.044842,472400
1997-01-08,8.4375,8.5625,8.375,8.375,4.014879,359400
1997-01-09,8.4375,8.4375,8.3125,8.4375,4.044842,248200
1997-01-10,8.375,8.4375,8.25,8.3125,3.984918,268000
1997-01-13,8.3125,8.4375,8.25,8.3125,3.984918,341800
1997-01-14,8.3125,8.375,8.1875,8.25,3.954957,469400
1997-01-15,8.1875,8.25,8.0,8.0625,3.865072,429600
1997-01-16,8.125,8.125,7.8125,7.9375,3.805149,273000
1997-01-17,7.9375,8.0,7.875,8.0,3.835108,310600
1997-01-20,8.0,8.1875,7.9375,8.125,3.895033,126200
1997-01-21,8.1875,8.25,8.0625,8.1875,3.924995,404000
