Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,21.700001,21.75,17.25,19.01,19.01,36800
2021-02-12,20.049999,20.049999,18.5,19.0,19.0,16500
2021-02-16,19.5,22.0,19.5,22.0,22.0,4300
2021-02-17,22.0,22.0,22.0,22.0,22.0,0
2021-02-18,21.0,21.0,21.0,21.0,21.0,7100
2021-02-19,19.950001,21.0,19.950001,20.5,20.5,14900
2021-02-22,19.950001,19.950001,19.75,19.799999,19.799999,12500
2021-02-23,18.110001,19.25,18.110001,18.5,18.5,2700
2021-02-24,19.9,19.9,19.0,19.809999,19.809999,17400
2021-02-25,19.809999,20.440001,19.809999,20.440001,20.440001,30700
2021-02-26,20.440001,20.440001,20.440001,20.440001,20.440001,0
2021-03-01,19.59,20.200001,19.52,20.129999,20.129999,29700
2021-03-02,19.700001,20.33,19.59,20.254999,20.254999,4600
2021-03-03,20.5,20.879999,20.0,20.23,20.23,103300
2021-03-04,20.799999,21.049999,20.625,21.0,21.0,51900
2021-03-05,19.809999,20.98,19.809999,20.98,20.98,2800
2021-03-08,19.0,20.690001,19.0,20.690001,20.690001,12200
2021-03-09,20.25,20.780001,19.950001,20.0,20.0,52700
2021-03-10,20.299999,20.299999,20.299999,20.299999,20.299999,100000
2021-03-11,20.5,20.93,19.110001,20.0,20.0,120700
2021-03-12,19.65,19.65,19.264999,19.5,19.5,60400
2021-03-15,20.24,20.24,19.450001,19.450001,19.450001,1400
2021-03-16,19.200001,20.18,18.714001,19.74,19.74,10200
2021-03-17,19.74,19.74,19.74,19.74,19.74,0
2021-03-18,18.5,19.5,18.5,19.25,19.25,700
2021-03-19,19.73,19.73,19.014999,19.709999,19.709999,2400
2021-03-22,18.0,19.280001,18.0,18.790001,18.790001,24800
2021-03-23,19.66,19.66,17.290001,18.42,18.42,700
2021-03-24,18.25,18.545,17.950001,18.25,18.25,16100
2021-03-25,17.26,18.25,17.209999,18.25,18.25,12600
2021-03-26,18.24,18.26,18.0,18.035,18.035,8400
2021-03-29,19.74,19.74,19.74,19.74,19.74,500
2021-03-30,19.74,19.74,19.74,19.74,19.74,0
2021-03-31,19.709999,19.74,19.709999,19.74,19.74,5100
2021-04-01,19.74,20.122999,19.74,19.889999,19.889999,24100
2021-04-05,19.889999,19.889999,19.889999,19.889999,19.889999,0
2021-04-06,20.0,20.0,18.58,19.9,19.9,40800
2021-04-07,19.0,20.26,19.0,20.139999,20.139999,171600
2021-04-08,20.440001,20.51,20.440001,20.5,20.5,9300
2021-04-09,20.5,20.5,20.5,20.5,20.5,0
2021-04-12,20.5,20.5,20.5,20.5,20.5,0
2021-04-13,20.5,20.5,20.5,20.5,20.5,0
2021-04-14,19.610001,20.370001,19.610001,19.950001,19.950001,3400
2021-04-15,20.139999,20.299999,19.25,20.299999,20.299999,1300
2021-04-16,20.299999,20.389999,19.549999,20.0,20.0,3900
2021-04-19,20.25,20.25,20.25,20.25,20.25,23900
2021-04-20,20.25,20.25,20.25,20.25,20.25,0
2021-04-21,20.4,20.4,19.790001,19.790001,19.790001,1100
2021-04-22,20.459999,20.459999,20.459999,20.459999,20.459999,100
2021-04-23,20.459999,20.459999,20.459999,20.459999,20.459999,0
2021-04-26,20.459999,20.6,20.129999,20.6,20.6,11400
2021-04-27,21.0,21.0,20.200001,21.0,21.0,110100
2021-04-28,20.700001,20.950001,20.25,20.25,20.25,7800
2021-04-29,20.75,20.75,19.549999,20.200001,20.200001,191900
2021-04-30,21.57,21.690001,20.4,21.690001,21.690001,9100
2021-05-03,20.84,20.889999,20.0,20.25,20.25,3100
2021-05-04,20.25,20.25,20.25,20.25,20.25,0
2021-05-05,21.1,21.1,20.799999,20.799999,20.799999,50600
2021-05-06,21.25,21.25,21.0,21.0,21.0,25100
2021-05-07,21.23,22.049999,21.23,22.049999,22.049999,165200
2021-05-10,22.24,22.5,22.165001,22.26,22.26,69800
2021-05-11,22.26,22.5,22.26,22.5,22.5,2100
2021-05-12,22.719999,24.5,22.719999,24.450001,24.450001,7300
2021-05-13,22.200001,22.4,22.200001,22.200001,22.200001,120000
2021-05-14,22.76,23.77,22.76,23.059999,23.059999,2900
2021-05-17,23.26,23.5,23.26,23.5,23.5,700
2021-05-18,23.700001,24.200001,23.700001,24.200001,24.200001,800
2021-05-19,23.98,24.200001,23.59,24.17,24.17,5000
2021-05-20,24.0,24.0,24.0,24.0,24.0,300
2021-05-21,24.0,24.0,24.0,24.0,24.0,0
2021-05-24,23.940001,24.219999,23.940001,24.219999,24.219999,700
2021-05-25,24.08,24.08,24.08,24.08,24.08,300
2021-05-26,23.98,25.23,23.98,25.02,25.02,8100
2021-05-27,25.25,25.58,24.6,25.58,25.58,9500
2021-05-28,24.98,25.74,24.98,25.74,25.74,900
