Date,Open,High,Low,Close,Adj Close,Volume
2014-03-06,25.370001,25.68,25.26,25.5,14.11871,2229900
2014-03-07,25.51,25.75,25.4,25.620001,14.185149,581100
2014-03-10,25.6,25.65,25.5,25.51,14.124241,139600
2014-03-11,25.6,25.700001,25.51,25.690001,14.223907,154100
2014-03-12,25.690001,25.690001,25.690001,25.690001,14.223907,0
2014-03-13,26.290001,26.299999,25.950001,26.1,14.450912,162000
2014-03-14,26.139999,26.190001,25.940001,26.08,14.43984,461000
2014-03-17,26.08,26.25,26.01,26.23,14.52289,164200
2014-03-18,26.290001,26.290001,26.165001,26.24,14.528425,85200
2014-03-19,26.200001,26.290001,26.120001,26.25,14.533966,357800
2014-03-20,26.25,26.290001,26.120001,26.209999,14.511818,67000
2014-03-21,26.25,26.25,26.049999,26.049999,14.423228,188000
2014-03-24,26.09,26.184999,26.0,26.1,14.450912,128100
2014-03-25,26.1,26.24,26.0,26.17,14.489672,511800
2014-03-26,26.25,26.280001,26.129999,26.25,14.533966,221400
2014-03-27,26.360001,26.360001,26.200001,26.23,14.52289,72200
2014-03-28,26.26,26.32,26.177,26.27,14.545037,268200
2014-03-31,26.34,26.809999,26.299999,26.77,14.821875,228900
2014-04-01,26.700001,26.950001,26.549999,26.84,14.860633,133500
2014-04-02,26.860001,26.860001,26.629999,26.700001,14.783119,120300
2014-04-03,26.6,26.780001,26.586,26.780001,14.827416,177600
2014-04-04,26.9,26.9,26.73,26.84,14.860633,117600
2014-04-07,26.76,27.09,26.742001,27.07,14.987982,185100
2014-04-08,27.08,27.389999,26.950001,27.299999,15.115325,41800
2014-04-09,27.4,27.870001,27.4,27.771,15.376105,139600
2014-04-10,27.67,27.9,27.559999,27.67,15.320183,47900
2014-04-11,27.67,27.75,27.530001,27.73,15.353401,37700
2014-04-14,27.73,27.9,27.5,27.790001,15.386627,73000
2014-04-15,27.950001,27.950001,27.68,27.74,15.358937,82900
2014-04-16,27.719999,27.74,27.610001,27.610001,15.286965,116200
2014-04-17,27.620001,27.75,27.35,27.6,15.281426,1546400
2014-04-21,27.6,27.6,27.360001,27.440001,15.19284,48200
2014-04-22,27.440001,27.59,27.379999,27.450001,15.198369,54100
2014-04-23,27.5,27.5,27.389999,27.4,15.170692,28800
2014-04-24,27.35,27.43,27.17,27.379999,15.159617,98300
2014-04-25,27.309999,27.5,27.219999,27.5,15.226058,73000
2014-04-28,27.450001,27.690001,27.299999,27.610001,15.286965,122800
2014-04-29,27.6,27.6,27.41,27.469999,15.209451,32600
2014-04-30,27.25,27.65,27.25,27.5,15.226058,71700
2014-05-01,27.57,27.67,27.375,27.6,15.281426,26600
2014-05-02,27.700001,27.700001,27.450001,27.5,15.226058,20500
2014-05-05,27.59,27.59,27.43,27.48,15.214986,16100
2014-05-06,27.43,27.466999,27.35,27.43,15.187303,12800
2014-05-07,27.406,27.450001,27.299999,27.41,15.176225,95000
2014-05-08,27.450001,27.549999,27.35,27.35,15.143006,37800
2014-05-09,27.319,27.35,27.15,27.23,15.076564,40400
2014-05-12,27.299999,27.299999,27.16,27.23,15.076564,33000
2014-05-13,27.379999,27.5,27.17,27.200001,15.059959,81800
2014-05-14,27.209999,27.440001,27.209999,27.309999,15.12086,46300
2014-05-15,27.4,27.4,27.17,27.200001,15.059959,79500
2014-05-16,27.17,27.25,27.0,27.209999,15.065491,145500
2014-05-19,27.27,27.299999,27.110001,27.24,15.082106,168800
2014-05-20,27.35,27.35,27.263,27.299999,15.115325,134400
2014-05-21,27.299999,27.379999,27.281,27.299999,15.115325,40600
2014-05-22,27.360001,27.370001,27.25,27.32,15.126398,22900
2014-05-23,27.35,27.540001,27.27,27.540001,15.248203,17600
2014-05-27,27.530001,27.66,27.370001,27.540001,15.248203,52700
2014-05-28,27.6,27.700001,27.299999,27.360001,15.148548,182400
2014-05-29,27.41,27.43,27.27,27.318001,15.125288,58700
2014-05-30,27.42,27.42,27.202999,27.299999,15.115325,132100
2014-06-02,27.370001,27.450001,27.24,27.43,15.187303,71000
2014-06-03,27.459999,27.51,27.190001,27.190001,15.05442,37100
2014-06-04,27.34,27.34,26.5,27.299999,15.115325,43600
2014-06-05,27.200001,27.530001,27.200001,27.219999,15.071032,86700
2014-06-06,27.42,27.67,27.379,27.43,15.187303,6400
2014-06-09,27.700001,27.700001,27.25,27.299999,15.115325,140000
2014-06-10,27.370001,27.575001,27.049999,27.290001,15.109787,53400
2014-06-11,27.35,27.450001,27.219,27.25,15.087636,49000
2014-06-12,26.93,27.059999,26.691,26.889999,15.11237,28400
2014-06-13,27.120001,27.120001,26.851999,26.98,15.162949,40700
2014-06-16,26.82,27.040001,26.75,26.809999,15.067407,41800
2014-06-17,26.799999,27.120001,26.76,26.959999,15.151707,734100
2014-06-18,27.110001,27.620001,27.110001,27.4,15.398994,73800
2014-06-19,27.59,27.59,27.261,27.290001,15.337171,46700
2014-06-20,27.43,27.43,27.219999,27.27,15.325931,22300
2014-06-23,27.389999,27.389999,27.190001,27.299999,15.342793,10000
2014-06-24,27.370001,27.43,26.950001,27.299999,15.342793,20100
2014-06-25,27.370001,27.370001,27.25,27.26,15.320314,12100
2014-06-26,27.41,27.41,27.299999,27.309999,15.348409,12300
2014-06-27,27.450001,27.450001,27.02,27.26,15.320314,9600
2014-06-30,27.4,27.450001,27.110001,27.16,15.264113,17100
2014-07-01,27.365,27.41,27.280001,27.34,15.365273,8800
2014-07-02,27.450001,27.450001,27.18,27.18,15.275358,12400
2014-07-03,27.440001,27.440001,27.0,27.110001,15.236012,13800
2014-07-07,27.35,27.35,26.9,27.02,15.185434,48400
2014-07-08,27.15,27.16,26.98,27.120001,15.241629,32600
2014-07-09,27.440001,27.440001,27.219999,27.299999,15.342793,19300
2014-07-10,27.1,27.280001,27.1,27.25,15.314686,3900
2014-07-11,27.4,27.41,27.32,27.4,15.398994,17800
2014-07-14,27.629999,27.65,27.26,27.440001,15.421473,21100
2014-07-15,27.51,27.51,27.4,27.450001,15.427088,7200
2014-07-16,27.59,27.59,27.325001,27.389999,15.393369,17400
2014-07-17,27.35,27.42,27.059999,27.059999,15.207907,7800
2014-07-18,27.27,27.51,27.120001,27.42,15.410231,24100
2014-07-21,27.35,27.68,27.35,27.68,15.556355,6300
2014-07-22,27.700001,27.700001,27.51,27.530001,15.472053,7800
2014-07-23,27.549999,27.639999,27.459,27.57,15.494532,4200
2014-07-24,27.6,27.620001,27.499001,27.620001,15.522632,128100
2014-07-25,27.559999,27.700001,27.540001,27.549999,15.483292,19300
2014-07-28,27.549999,27.549999,27.33,27.370001,15.382128,11200
2014-07-29,27.549999,27.690001,27.41,27.65,15.539496,3100
2014-07-30,27.700001,27.700001,27.417,27.620001,15.522632,7500
2014-07-31,27.610001,27.610001,27.040001,27.040001,15.19667,23100
2014-08-01,27.33,27.5,27.110001,27.139999,15.252871,16700
2014-08-04,27.309999,27.309999,27.040001,27.1,15.230394,10200
2014-08-05,27.1,27.159,27.1,27.15,15.25849,12900
2014-08-06,27.0,27.219999,27.0,27.120001,15.241629,7600
2014-08-07,27.26,27.57,27.1,27.360001,15.376515,29200
2014-08-08,27.5,27.5,27.139999,27.32,15.354033,13700
2014-08-11,27.559999,27.559999,27.23,27.290001,15.337171,3700
2014-08-12,27.4,27.450001,27.190001,27.450001,15.427088,15400
2014-08-13,27.540001,27.700001,27.523001,27.700001,15.567595,12500
2014-08-14,27.75,27.99,27.75,27.84,15.646274,18700
2014-08-15,28.219999,28.24,27.74,27.99,15.730578,12100
2014-08-18,28.040001,28.209999,27.82,28.120001,15.803633,12500
2014-08-19,28.25,28.25,28.07,28.16,15.826118,18800
2014-08-20,28.25,28.25,27.799999,28.09,15.786777,11100
2014-08-21,27.77,28.24,27.77,28.110001,15.798017,22000
2014-08-22,28.299999,28.33,28.1,28.209999,15.854218,9300
2014-08-25,28.35,28.414,28.049999,28.09,15.786777,25400
2014-08-26,28.24,28.299999,28.17,28.299999,15.904799,6600
2014-08-27,28.379999,28.379999,27.85,28.209999,15.854218,10000
2014-08-28,28.290001,28.290001,27.969999,28.09,15.786777,7900
2014-08-29,27.879999,28.079,27.799999,27.799999,15.62379,16300
2014-09-02,28.0,28.0,27.690001,27.700001,15.567595,13300
2014-09-03,27.99,27.99,27.34,27.780001,15.612548,14900
2014-09-04,27.549999,27.76,27.08,27.32,15.354033,23800
2014-09-05,27.6,27.6,27.0,27.23,15.303448,37300
2014-09-08,27.469999,27.469999,26.549999,26.879999,15.106748,91400
2014-09-09,26.950001,26.950001,26.51,26.639999,14.971865,40800
2014-09-10,26.799999,26.799999,25.540001,26.639999,14.971865,135400
2014-09-11,26.76,26.780001,26.469999,26.780001,15.050551,49400
2014-09-12,26.379999,26.389999,26.129999,26.32,15.041405,36400
2014-09-15,26.450001,26.450001,26.299999,26.4,15.087124,10000
2014-09-16,26.299999,26.58,26.299999,26.4,15.087124,18900
2014-09-17,26.49,26.549999,26.360001,26.49,15.138559,15700
2014-09-18,26.5,26.73,26.5,26.690001,15.252853,35700
2014-09-19,26.690001,26.780001,26.622999,26.709999,15.264277,14200
2014-09-22,26.75,26.83,26.57,26.66,15.235708,8600
2014-09-23,26.65,26.65,26.4,26.5,15.144272,19400
2014-09-24,26.58,26.58,26.32,26.459999,15.121408,17600
2014-09-25,26.52,26.52,26.33,26.379999,15.07569,6600
2014-09-26,26.52,26.52,26.35,26.42,15.098547,41000
2014-09-29,26.389999,26.51,26.379999,26.440001,15.10998,11000
2014-09-30,26.459999,26.629999,26.450001,26.6,15.201417,22600
2014-10-01,26.66,26.67,26.5,26.620001,15.212849,14100
2014-10-02,26.67,26.690001,26.629999,26.65,15.22999,7000
2014-10-03,26.75,26.75,26.663,26.719999,15.269994,21400
2014-10-06,26.790001,27.09,26.790001,26.93,15.390006,19000
2014-10-07,26.9,26.93,26.764999,26.91,15.378577,7500
2014-10-08,26.91,26.950001,26.74,26.950001,15.401441,20000
2014-10-09,27.040001,27.07,26.74,26.865,15.352861,5200
2014-10-10,26.879999,26.93,26.610001,26.85,15.344288,6400
2014-10-13,26.91,26.91,26.35,26.709999,15.264277,22700
2014-10-14,26.93,26.969999,26.559999,26.77,15.29857,13000
2014-10-15,26.5,26.91,26.389999,26.700001,15.258569,14800
2014-10-16,26.6,26.690001,26.23,26.325001,15.044261,33900
2014-10-17,26.48,26.780001,25.916,26.1,14.915679,71900
2014-10-20,26.049999,26.290001,26.049999,26.08,14.904245,8600
2014-10-21,26.32,26.32,26.15,26.280001,15.018541,12400
2014-10-22,26.360001,26.48,26.35,26.43,15.104267,17200
2014-10-23,26.530001,26.68,26.482,26.559999,15.178558,10500
2014-10-24,26.700001,26.700001,26.52,26.690001,15.252853,4500
2014-10-27,26.870001,26.9,26.65,26.9,15.372867,7400
2014-10-28,27.0,27.15,26.85,27.049999,15.458581,15400
2014-10-29,27.15,27.370001,27.148001,27.209999,15.550024,9300
2014-10-30,27.33,27.379999,27.049999,27.15,15.515727,9200
2014-10-31,27.379999,27.379999,26.860001,26.860001,15.350002,15300
2014-11-03,27.139999,27.51,27.110001,27.16,15.521452,15100
2014-11-04,27.209999,27.49,26.77,27.030001,15.447154,37000
2014-11-05,27.200001,27.200001,26.65,26.84,15.338573,24600
2014-11-06,26.98,26.98,26.629999,26.700001,15.258569,17800
2014-11-07,26.83,26.92,26.67,26.700001,15.258569,21200
2014-11-10,26.83,26.93,26.726,26.82,15.327139,20900
2014-11-11,26.969999,26.969999,26.700001,26.790001,15.310005,11500
2014-11-12,26.889999,26.9,26.73,26.9,15.372867,14400
2014-11-13,26.91,27.09,26.91,27.08,15.475727,7900
2014-11-14,27.17,27.17,26.98,27.110001,15.492874,9000
2014-11-17,27.139999,27.629999,27.120001,27.49,15.710037,11600
2014-11-18,27.209999,27.459999,27.122,27.24,15.567169,10500
2014-11-19,27.360001,27.389999,27.23,27.299999,15.601455,9800
2014-11-20,27.5,27.559999,27.4,27.559999,15.750043,11300
2014-11-21,27.367001,27.629999,27.32,27.34,15.624313,10200
2014-11-24,27.25,27.462,27.23,27.23,15.561449,8000
2014-11-25,27.290001,27.41,27.200001,27.200001,15.544308,9600
2014-11-26,27.26,27.610001,27.25,27.4,15.658605,60400
2014-11-28,27.5,27.59,27.5,27.57,15.755754,1900
2014-12-01,27.454,27.5,27.41,27.473,15.700318,5000
2014-12-02,27.25,27.4,27.177,27.299999,15.601455,75300
2014-12-03,27.190001,27.34,26.959999,27.0,15.430008,17000
2014-12-04,26.99,27.129999,26.51,26.610001,15.207133,26000
2014-12-05,26.879999,26.93,26.280001,26.75,15.28714,9900
2014-12-08,26.74,26.75,26.51,26.52,15.155698,18200
2014-12-09,26.43,26.549999,26.219999,26.48,15.13284,22000
2014-12-10,26.615999,26.615999,26.309999,26.34,15.052833,11500
2014-12-11,26.26,26.559999,26.26,26.459999,15.121408,8300
2014-12-12,26.66,26.66,26.35,26.450001,15.1157,8700
2014-12-15,26.120001,26.190001,25.98,25.98,15.100585,7400
2014-12-16,25.76,26.0,25.76,25.809999,15.001769,7200
2014-12-17,26.0,26.469999,25.860001,26.34,15.309827,11400
2014-12-18,26.42,26.59,26.129999,26.18,15.216834,15800
2014-12-19,26.27,26.459999,26.190001,26.42,15.356324,10100
2014-12-22,26.27,26.540001,26.26,26.459999,15.379576,26300
2014-12-23,26.4,26.441999,26.040001,26.110001,15.176146,45700
2014-12-24,26.200001,26.200001,26.08,26.09,15.164518,5600
2014-12-26,26.209999,26.24,26.15,26.219999,15.240078,5100
2014-12-29,26.219999,26.26,26.15,26.26,15.26333,11300
2014-12-30,26.129999,26.309999,26.1,26.309999,15.292388,15400
2014-12-31,26.440001,26.459999,26.228001,26.26,15.26333,13100
2015-01-02,26.33,26.459999,26.292999,26.450001,15.37377,42800
2015-01-05,26.34,26.34,26.059999,26.275999,15.272629,5400
2015-01-06,26.27,26.32,26.25,26.309999,15.292388,10500
2015-01-07,26.32,26.35,26.23,26.24,15.251708,10300
2015-01-08,26.4,26.469999,26.309999,26.389999,15.33889,11200
2015-01-09,26.379999,26.389999,26.280001,26.280001,15.274955,20000
2015-01-12,26.209999,26.35,26.200001,26.280001,15.274955,21600
2015-01-13,26.209999,26.209999,25.66,25.75,14.966895,78600
2015-01-14,25.629999,25.629999,25.35,25.450001,14.792529,56600
2015-01-15,25.469999,25.698999,25.25,25.559999,14.856458,16600
2015-01-16,25.690001,25.940001,25.68,25.940001,15.077333,35900
2015-01-20,25.77,25.93,25.674999,25.780001,14.984339,20200
2015-01-21,25.85,25.940001,25.799999,25.870001,15.036648,19900
2015-01-22,25.98,26.059999,25.969999,25.98,15.100585,21200
2015-01-23,25.99,26.15,25.691999,26.120001,15.181959,53900
2015-01-26,26.07,26.139999,26.02,26.030001,15.129647,15000
2015-01-27,25.959999,26.129999,25.955,26.08,15.158707,19200
2015-01-28,26.08,26.08,26.030001,26.08,15.158707,16300
2015-01-29,26.1,26.17,26.08,26.15,15.199392,10000
2015-01-30,26.091,26.32,26.09,26.15,15.199392,30500
2015-02-02,26.24,26.280001,26.23,26.280001,15.274955,7300
2015-02-03,26.219999,26.51,26.219999,26.43,15.362142,20000
2015-02-04,26.232,26.25,26.17,26.18,15.216834,34000
2015-02-05,26.09,26.35,26.09,26.35,15.315641,142900
2015-02-06,26.25,26.33,26.049999,26.07,15.152897,14200
2015-02-09,26.110001,26.370001,26.110001,26.290001,15.280771,80200
2015-02-10,26.02,26.49,26.02,26.49,15.397017,17800
2015-02-11,26.280001,26.799999,26.280001,26.780001,15.565575,21000
2015-02-12,26.790001,26.889999,26.74,26.780001,15.565575,20900
2015-02-13,26.709999,26.83,26.57,26.719999,15.530696,34800
2015-02-17,26.629999,26.790001,26.41,26.52,15.41445,11700
2015-02-18,26.43,26.43,26.07,26.309999,15.292388,8300
2015-02-19,26.299999,26.6,26.299999,26.540001,15.426078,19700
2015-02-20,26.66,26.809999,26.59,26.67,15.501637,19600
2015-02-23,26.549999,26.790001,26.549999,26.790001,15.571391,30000
2015-02-24,26.790001,27.15,26.790001,27.059999,15.728325,16100
2015-02-25,26.809999,27.120001,26.809999,26.99,15.687636,11400
2015-02-26,26.969999,27.15,26.950001,27.07,15.734133,16400
2015-02-27,27.0,27.219999,26.940001,27.02,15.705074,38900
2015-03-02,27.110001,27.18,26.93,27.08,15.739944,28600
2015-03-03,27.0,27.0,26.9,26.959999,15.670194,32700
2015-03-04,26.879999,27.35,26.870001,27.209999,15.815508,50600
2015-03-05,27.16,27.190001,27.136999,27.153999,15.782956,13400
2015-03-06,27.055,27.093,26.879999,26.959999,15.670194,9800
2015-03-09,27.0,27.028,26.74,26.790001,15.571391,20900
2015-03-10,26.85,26.85,26.709999,26.75,15.548135,14300
2015-03-11,26.76,26.969999,26.76,26.879999,15.623694,12000
2015-03-12,26.889999,27.129999,26.882,26.959999,15.670194,7900
2015-03-13,26.530001,26.67,26.52,26.58,15.708021,15200
2015-03-16,26.549999,26.75,26.549999,26.6,15.719837,22100
2015-03-17,26.76,26.76,26.58,26.6,15.719837,12500
2015-03-18,26.5,26.790001,26.5,26.76,15.814393,12100
2015-03-19,26.709,26.780001,26.66,26.709,15.78425,7900
2015-03-20,26.68,27.0,26.68,26.950001,15.926683,37000
2015-03-23,26.93,27.299999,26.93,27.200001,16.074421,35000
2015-03-24,27.278999,27.299999,27.1,27.120001,16.027142,22100
2015-03-25,27.049999,27.23,27.049999,27.139999,16.038963,31000
2015-03-26,27.121,27.139999,27.059999,27.094999,16.012373,12900
2015-03-27,27.106001,27.200001,27.049999,27.16,16.050783,5000
2015-03-30,27.200001,27.200001,27.16,27.17,16.05669,3000
2015-03-31,27.25,27.25,27.01,27.01,15.962136,13000
2015-04-01,27.200001,27.200001,27.02,27.040001,15.979866,8100
2015-04-02,27.23,27.299999,27.17,27.24,16.098063,24900
2015-04-06,27.02,27.1,27.02,27.030001,15.97396,33900
2015-04-07,27.004999,27.040001,26.9,27.02,15.968051,6700
2015-04-08,26.92,27.049999,26.809999,27.049999,15.985773,30900
2015-04-09,26.950001,27.190001,26.950001,27.030001,15.97396,10700
2015-04-10,27.129999,27.139999,26.950001,26.950001,15.926683,36700
2015-04-13,26.950001,26.959999,26.76,26.780001,15.826214,21400
2015-04-14,26.76,26.92,26.76,26.84,15.861673,15900
2015-04-15,26.959999,27.0,26.76,26.809999,15.843942,43700
2015-04-16,26.809999,26.9,26.690001,26.709999,15.784844,27000
2015-04-17,26.709999,26.75,26.25,26.75,15.808485,136600
2015-04-20,26.629999,26.780001,26.620001,26.73,15.796663,20400
2015-04-21,26.719999,26.790001,26.68,26.719999,15.790755,110500
2015-04-22,26.790001,26.799999,26.709999,26.77,15.820308,60300
2015-04-23,26.790001,26.879999,26.77,26.799999,15.838032,15400
2015-04-24,26.790001,26.870001,26.77,26.790001,15.832129,38900
2015-04-27,26.790001,26.870001,26.790001,26.82,15.849853,32500
2015-04-28,26.82,26.85,26.809999,26.85,15.867584,7500
2015-04-29,26.858999,26.860001,26.75,26.76,15.814393,8800
2015-04-30,26.68,26.85,26.68,26.690001,15.773031,28700
2015-05-01,26.68,26.84,26.26,26.26,15.518908,284200
2015-05-04,26.52,26.629999,26.360001,26.379999,15.589823,19500
2015-05-05,26.309999,26.41,26.23,26.33,15.560273,8500
2015-05-06,26.4,26.42,25.610001,25.76,15.223425,37200
2015-05-07,26.040001,26.290001,25.879999,26.139,15.447399,21200
2015-05-08,26.370001,26.43,26.212,26.379999,15.589823,12900
2015-05-11,26.200001,26.469999,26.0,26.01,15.371164,39700
2015-05-12,26.15,26.200001,26.0,26.16,15.45981,28700
2015-05-13,26.26,26.59,26.200001,26.370001,15.583919,28500
2015-05-14,26.48,26.950001,26.48,26.66,15.7553,26400
2015-05-15,26.66,26.77,26.549999,26.700001,15.778938,12000
2015-05-18,26.48,26.620001,26.4,26.5,15.660742,30300
2015-05-19,26.51,26.549999,26.4,26.511999,15.667833,21000
2015-05-20,26.59,26.6,26.469999,26.57,15.702113,14500
2015-05-21,26.549999,26.68,26.549999,26.66,15.7553,115000
2015-05-22,26.59,26.74,26.549999,26.728001,15.795487,13800
2015-05-26,26.559999,26.82,26.559999,26.82,15.849853,11900
2015-05-27,26.809999,26.82,26.700001,26.799,15.837443,4200
2015-05-28,26.709999,26.799999,26.620001,26.68,15.767113,24200
2015-05-29,26.66,26.709999,26.530001,26.530001,15.678469,7800
2015-06-01,26.700001,26.74,26.67,26.690001,15.773031,21500
2015-06-02,26.639999,26.700001,26.579,26.700001,15.778938,11200
2015-06-03,26.73,26.76,26.68,26.76,15.814393,9700
2015-06-04,26.75,26.82,26.74,26.799999,15.838032,15600
2015-06-05,26.629999,26.82,26.629999,26.73,15.796663,17400
2015-06-08,26.6,26.790001,26.6,26.68,15.767113,3800
2015-06-09,26.681999,26.77,26.629999,26.715,15.787799,5600
2015-06-10,26.700001,26.76,26.65,26.66,15.7553,6400
2015-06-11,26.690001,26.83,26.690001,26.83,15.855761,2100
2015-06-12,26.290001,26.450001,26.25,26.344999,15.831124,12600
2015-06-15,26.33,26.4,26.274,26.389999,15.858167,8600
2015-06-16,26.299999,26.389999,26.299999,26.389999,15.858167,7300
2015-06-17,26.34,26.389999,26.33,26.389999,15.858167,18800
2015-06-18,26.35,26.41,26.23,26.23,15.762017,23800
2015-06-19,26.219999,26.360001,26.219999,26.32,15.816104,7400
2015-06-22,26.360001,26.42,26.26,26.379999,15.852153,14200
2015-06-23,26.389999,26.389999,26.1,26.120001,15.695921,15700
2015-06-24,26.15,26.219999,26.052999,26.219999,15.75601,8900
2015-06-25,26.129999,26.35,26.129999,26.32,15.816104,8900
2015-06-26,26.450001,26.450001,26.23,26.23,15.762017,15200
2015-06-29,26.26,26.379999,26.113001,26.379999,15.852153,6600
2015-06-30,26.379999,26.41,26.139999,26.190001,15.737982,30300
2015-07-01,26.222,26.379999,26.222,26.379999,15.852153,4900
2015-07-02,26.33,26.48,26.33,26.48,15.912247,4000
2015-07-06,26.459999,26.469999,26.370001,26.440001,15.888211,6700
2015-07-07,26.35,26.5,26.35,26.450001,15.894225,13100
2015-07-08,26.43,26.52,26.43,26.49,15.918262,16400
2015-07-09,26.52,26.540001,26.43,26.43,15.882202,7700
2015-07-10,26.370001,26.52,26.33,26.469999,15.90624,4900
2015-07-13,26.5,26.5,26.416,26.459999,15.900228,7800
2015-07-14,26.459999,26.49,26.41,26.48,15.912247,10600
2015-07-15,26.48,26.665001,26.33,26.66,16.020416,11200
2015-07-16,26.648001,26.790001,26.648001,26.790001,16.098537,19700
2015-07-17,26.747999,27.030001,26.709999,27.030001,16.242754,21300
2015-07-20,27.0,27.01,26.870001,26.940001,16.188675,6300
2015-07-21,26.809999,27.0,26.809999,26.99,16.218718,12200
2015-07-22,26.99,27.0,26.83,26.969,16.206093,5700
2015-07-23,26.969999,26.969999,26.549999,26.74,16.068487,10500
2015-07-24,26.77,26.889999,26.745001,26.889999,16.158625,5900
