Date,Open,High,Low,Close,Adj Close,Volume
2003-11-10,55.0,61.5,55.0,61.0,61.0,8700
2003-11-11,62.0,65.5,58.5,65.5,65.5,5030
2003-11-12,66.0,69.5,66.0,66.5,66.5,4510
2003-11-13,67.5,67.5,64.0,65.0,65.0,5800
2003-11-14,66.5,66.5,63.0,63.0,63.0,530
2003-11-17,62.0,62.0,56.0,56.5,56.5,4830
2003-11-18,57.5,57.5,56.5,56.5,56.5,1170
2003-11-19,57.299999,59.0,55.0,58.5,58.5,2710
2003-11-20,57.0,59.5,56.0,58.5,58.5,1840
2003-11-21,58.5,58.5,56.0,56.0,56.0,990
2003-11-24,56.5,57.0,53.0,53.0,53.0,760
2003-11-25,55.0,57.0,55.0,57.0,57.0,2090
2003-11-26,56.5,57.5,55.0,55.0,55.0,600
2003-11-28,55.0,56.0,55.0,56.0,56.0,90
2003-12-01,56.0,56.0,56.0,56.0,56.0,0
2003-12-02,55.0,55.0,54.0,54.0,54.0,330
2003-12-03,54.5,55.0,54.0,54.0,54.0,1070
2003-12-04,54.0,55.0,53.0,54.0,54.0,3210
2003-12-05,53.5,53.5,53.5,53.5,53.5,120
2003-12-08,54.5,54.5,53.0,53.0,53.0,980
2003-12-09,53.0,53.0,50.5,52.0,52.0,2220
2003-12-10,51.5,51.599998,50.5,51.5,51.5,810
2003-12-11,52.0,52.0,51.0,51.0,51.0,550
2003-12-12,50.099998,51.0,50.0,50.5,50.5,2790
2003-12-15,51.0,52.0,51.0,51.0,51.0,1170
2003-12-16,51.0,51.0,51.0,51.0,51.0,200
2003-12-17,51.5,51.5,51.0,51.0,51.0,320
2003-12-18,50.0,50.599998,50.0,50.599998,50.599998,860
2003-12-19,50.599998,50.599998,50.599998,50.599998,50.599998,250
2003-12-22,50.799999,51.0,50.0,50.200001,50.200001,2180
2003-12-23,50.5,51.0,50.0,51.0,51.0,550
2003-12-24,51.0,51.0,51.0,51.0,51.0,0
2003-12-26,51.0,51.0,51.0,51.0,51.0,0
2003-12-29,50.0,51.0,50.0,50.0,50.0,860
2003-12-30,50.0,51.799999,50.0,50.0,50.0,420
2003-12-31,50.0,50.0,50.0,50.0,50.0,460
2004-01-02,49.0,50.0,49.0,50.0,50.0,140
2004-01-05,50.5,50.5,49.0,50.0,50.0,840
2004-01-06,49.5,50.5,49.5,50.5,50.5,410
2004-01-07,49.5,49.5,49.5,49.5,49.5,10
2004-01-08,49.200001,49.200001,48.0,49.0,49.0,540
2004-01-09,49.299999,50.5,49.299999,50.0,50.0,1400
2004-01-12,52.5,52.5,49.0,49.0,49.0,1060
2004-01-13,50.0,51.0,49.0,49.0,49.0,760
2004-01-14,48.5,48.5,48.5,48.5,48.5,200
2004-01-15,49.5,49.5,48.5,49.5,49.5,1430
2004-01-16,48.0,49.0,47.5,49.0,49.0,220
2004-01-20,49.0,49.5,48.5,49.5,49.5,90
2004-01-21,49.5,50.0,49.5,50.0,50.0,310
2004-01-22,50.0,50.0,50.0,50.0,50.0,0
2004-01-23,49.0,49.0,48.5,48.5,48.5,430
2004-01-26,48.200001,48.200001,48.200001,48.200001,48.200001,100
2004-01-27,48.0,49.5,46.5,49.5,49.5,1740
2004-01-28,48.0,48.0,48.0,48.0,48.0,200
2004-01-29,47.5,47.5,46.5,47.5,47.5,750
2004-01-30,48.5,49.0,48.0,48.0,48.0,410
2004-02-02,48.0,48.5,48.0,48.5,48.5,100
2004-02-03,47.5,47.5,47.5,47.5,47.5,50
2004-02-04,47.0,48.0,47.0,48.0,48.0,230
