Date,Open,High,Low,Close,Adj Close,Volume
2021-11-05,9.83,9.83,9.83,9.83,9.83,75000
2021-11-08,9.79,9.86,9.75,9.83,9.83,840189
2021-11-09,9.83,9.86,9.793,9.83,9.83,195035
2021-11-10,9.83,9.96,9.8,9.83,9.83,330437
2021-11-11,9.83,9.985,9.83,9.875,9.875,25771
2021-11-12,9.83,9.865,9.83,9.865,9.865,208
2021-11-15,9.83,9.9,9.83,9.88,9.88,172896
2021-11-16,9.85,9.89,9.84,9.8406,9.8406,92385
2021-11-17,9.86,9.86,9.86,9.86,9.86,200048
2021-11-18,9.88,9.88,9.86,9.86,9.86,17172
2021-11-19,9.85,9.885,9.85,9.885,9.885,54554
2021-11-22,9.9199,9.9199,9.85,9.85,9.85,285
2021-11-23,9.92,10.38,9.88,9.9,9.9,12075
2021-11-24,9.8401,9.86,9.84,9.86,9.86,8422
2021-11-26,9.85,9.87,9.85,9.87,9.87,454
2021-11-29,9.87,9.87,9.87,9.87,9.87,24200
2021-11-30,9.87,9.87,9.86,9.87,9.87,35766
2021-12-01,9.86,9.87,9.86,9.86,9.86,9677
2021-12-02,9.85,9.87,9.82,9.87,9.87,51354
2021-12-03,9.87,9.88,9.82,9.85,9.85,51283
2021-12-06,9.84,9.88,9.82,9.88,9.88,8729
2021-12-07,9.86,9.86,9.86,9.86,9.86,307
2021-12-08,9.86,9.86,9.82,9.84,9.84,403127
2021-12-09,9.86,9.96,9.86,9.95,9.95,4234
2021-12-10,9.85,9.87,9.84,9.85,9.85,178840
2021-12-13,9.85,9.85,9.85,9.85,9.85,920
2021-12-14,9.85,9.85,9.85,9.85,9.85,22532
2021-12-15,9.85,9.85,9.84,9.85,9.85,15002
2021-12-16,9.85,9.85,9.85,9.85,9.85,14200
2021-12-17,9.85,9.85,9.82,9.84,9.84,261483
2021-12-20,9.83,9.85,9.83,9.85,9.85,2618
2021-12-21,9.85,9.88,9.85,9.85,9.85,54712
2021-12-22,9.82,9.88,9.82,9.85,9.85,8306
2021-12-23,9.85,9.88,9.85,9.88,9.88,25600
2021-12-27,9.85,9.85,9.85,9.85,9.85,5009
2021-12-28,9.89,9.95,9.84,9.84,9.84,21592
2021-12-29,9.84,9.84,9.84,9.84,9.84,0
2021-12-30,9.84,9.84,9.84,9.84,9.84,0
2021-12-31,9.86,9.87,9.86,9.87,9.87,2802
2022-01-03,9.92,9.92,9.92,9.92,9.92,3706
2022-01-04,9.92,9.92,9.92,9.92,9.92,0
2022-01-05,9.92,9.92,9.92,9.92,9.92,0
2022-01-06,9.92,9.92,9.92,9.92,9.92,0
2022-01-07,9.92,9.92,9.91,9.92,9.92,2728
2022-01-10,9.91,9.91,9.91,9.91,9.91,311
2022-01-11,9.91,9.91,9.91,9.91,9.91,0
2022-01-12,9.87,9.88,9.87,9.87,9.87,2667
2022-01-13,9.87,9.87,9.87,9.87,9.87,0
2022-01-14,9.87,9.87,9.87,9.87,9.87,0
2022-01-18,9.9,9.9,9.87,9.88,9.88,3281
2022-01-19,9.9,9.9,9.9,9.9,9.9,354
2022-01-20,9.9,9.9,9.88,9.89,9.89,3134
2022-01-21,9.84,9.855,9.81,9.82,9.82,80185
2022-01-24,9.844,9.844,9.82,9.82,9.82,62144
2022-01-25,9.81,9.82,9.81,9.82,9.82,400
2022-01-26,9.82,9.82,9.82,9.82,9.82,0
2022-01-27,9.81,9.88,9.81,9.81,9.81,28159
2022-01-28,9.81,9.81,9.81,9.81,9.81,0
2022-01-31,9.81,9.81,9.81,9.81,9.81,0
2022-02-01,9.86,9.91,9.86,9.9,9.9,64203
2022-02-02,9.87,9.9,9.85,9.9,9.9,792
2022-02-03,9.84,9.84,9.84,9.84,9.84,100
2022-02-04,9.82,9.84,9.82,9.84,9.84,7926
2022-02-07,9.85,9.85,9.85,9.85,9.85,100
2022-02-08,9.85,9.85,9.82,9.85,9.85,14305
2022-02-09,9.85,9.85,9.85,9.85,9.85,0
2022-02-10,9.86,9.865,9.86,9.86,9.86,2059
2022-02-11,9.86,9.86,9.86,9.86,9.86,400
2022-02-14,9.85,9.85,9.85,9.85,9.85,80000
2022-02-15,9.85,9.85,9.85,9.85,9.85,0
2022-02-16,9.85,9.85,9.85,9.85,9.85,7839
2022-02-17,9.85,9.85,9.85,9.85,9.85,0
2022-02-18,9.85,9.85,9.85,9.85,9.85,0
2022-02-22,9.87,9.87,9.87,9.87,9.87,110
2022-02-23,9.88,9.88,9.84,9.855,9.855,47261
2022-02-24,9.8,9.85,9.8,9.83,9.83,16204
2022-02-25,9.83,9.83,9.83,9.83,9.83,0
2022-02-28,9.85,9.85,9.84,9.85,9.85,75989
2022-03-01,9.84,9.85,9.84,9.84,9.84,2540
2022-03-02,9.84,9.86,9.84,9.85,9.85,13621
2022-03-03,9.85,9.875,9.85,9.85,9.85,158593
2022-03-04,9.85,9.85,9.85,9.85,9.85,963
2022-03-07,9.94,9.94,9.845,9.86,9.86,70230
2022-03-08,9.85,9.85,9.84,9.85,9.85,9577
2022-03-09,9.85,9.86,9.85,9.85,9.85,14549
2022-03-10,9.865,9.87,9.85,9.87,9.87,5115
2022-03-11,9.87,9.87,9.87,9.87,9.87,0
