Date,Open,High,Low,Close,Adj Close,Volume
2014-04-15,12.5,12.59,12.25,12.4,6.501592,379200
2014-04-16,12.4,12.58,12.32,12.32,6.459647,71300
2014-04-17,12.35,12.47,12.35,12.4,6.501592,16700
2014-04-21,12.49,12.55,12.4,12.53,6.569757,93800
2014-04-22,12.55,12.57,12.5,12.55,6.580244,37400
2014-04-23,12.55,12.58,12.522,12.57,6.590728,27900
2014-04-24,12.572,12.572,12.41,12.41,6.506836,43800
2014-04-25,12.42,12.53,12.42,12.47,6.538297,11600
2014-04-28,12.46,12.53,12.45,12.53,6.569757,12300
2014-04-29,12.5,12.53,12.45,12.46,6.533054,17800
2014-04-30,12.45,12.53,12.44,12.53,6.569757,17700
2014-05-01,12.53,12.54,12.46,12.54,6.574998,7000
2014-05-02,12.49,12.51,12.35,12.49,6.548783,14400
2014-05-05,12.52,12.57,12.52,12.57,6.590728,11900
2014-05-06,12.53,12.53,12.443,12.49,6.548783,16200
2014-05-07,12.49,12.5,12.37,12.49,6.548783,17100
2014-05-08,12.6,12.6,12.4,12.52,6.564512,12700
2014-05-09,12.52,12.52,12.43,12.46,6.533054,13000
2014-05-12,12.49,12.52,12.43,12.48,6.54354,18800
2014-05-13,12.54,12.55,12.44,12.46,6.533054,45700
2014-05-14,12.46,12.53,12.45,12.53,6.569757,11100
2014-05-15,12.49,12.53,12.49,12.5,6.554028,6100
2014-05-16,12.535,12.54,12.49,12.49,6.548783,25900
2014-05-19,12.5,12.51,12.36,12.46,6.533054,16900
2014-05-20,12.55,12.55,12.44,12.45,6.527811,19300
2014-05-21,12.47,12.5,12.44,12.44,6.522568,7100
2014-05-22,12.44,12.44,12.37,12.37,6.485865,12500
2014-05-23,12.41,12.47,12.38,12.44,6.522568,1700
2014-05-27,12.5,12.5,12.36,12.38,6.491106,18300
2014-05-28,12.44,12.48,12.36,12.39,6.49635,18600
2014-05-29,12.3,12.4,12.22,12.36,6.48062,46800
2014-05-30,12.33,12.49,12.33,12.42,6.51208,89700
2014-06-02,12.46,12.5,12.366,12.44,6.522568,15700
2014-06-03,12.45,12.55,12.37,12.45,6.527811,121600
2014-06-04,12.5,12.5,12.4,12.49,6.548783,16700
2014-06-05,12.5,12.64,12.4,12.54,6.574998,37600
2014-06-06,12.54,12.6,12.434,12.5,6.554028,37400
2014-06-09,12.5,12.6,12.5,12.5,6.554028,21600
2014-06-10,12.5,12.625,12.47,12.5,6.554028,25500
2014-06-11,12.5,12.61,12.453,12.5,6.554028,14700
2014-06-12,12.586,12.62,12.5,12.6,6.606459,26600
2014-06-13,12.62,12.77,12.56,12.77,6.695592,37900
2014-06-16,12.77,12.95,12.76,12.95,6.78997,150900
2014-06-17,13.09,13.11,12.73,12.79,6.70608,60500
2014-06-18,12.75,12.81,12.6,12.75,6.685106,54000
2014-06-19,12.76,12.93,12.36,12.48,6.54354,45400
2014-06-20,12.5,12.66,11.91,11.91,6.244676,249700
2014-06-23,12.15,12.43,12.085,12.38,6.491106,71400
2014-06-24,12.428,12.8,12.4,12.67,6.643158,89900
2014-06-25,12.7,12.89,12.47,12.71,6.664134,55500
2014-06-26,12.76,12.9,12.54,12.77,6.695592,79800
2014-06-27,12.81,13.09,12.49,12.59,6.601214,87600
2014-06-30,12.89,13.0,12.51,12.68,6.648405,72000
2014-07-01,12.45,12.85,12.45,12.65,6.729799,20800
2014-07-02,12.7,12.7,12.42,12.56,6.681919,35500
2014-07-03,12.62,12.85,12.6,12.65,6.729799,28100
2014-07-07,12.77,12.78,12.48,12.72,6.76704,34400
2014-07-08,12.81,12.85,12.57,12.75,6.783,40000
2014-07-09,12.79,12.79,12.52,12.58,6.692562,16600
2014-07-10,12.55,12.85,12.5,12.84,6.83088,71600
2014-07-11,12.89,13.12,12.77,12.97,6.90004,70100
2014-07-14,13.11,13.11,12.65,12.84,6.83088,91200
2014-07-15,12.91,12.92,12.6,12.74,6.777682,25200
2014-07-16,12.7,12.8,12.565,12.76,6.78832,23800
2014-07-17,12.8,13.0,12.8,12.87,6.846839,37700
2014-07-18,12.89,13.01,12.75,12.87,6.846839,14400
2014-07-21,12.9,12.98,12.68,12.75,6.783,10300
2014-07-22,12.77,13.07,12.58,12.7,6.756398,31100
2014-07-23,12.83,12.97,12.57,12.94,6.884079,35900
2014-07-24,12.853,12.853,12.58,12.58,6.692562,8600
2014-07-25,12.96,12.96,12.5,12.55,6.676602,33100
2014-07-28,12.55,12.6,12.5,12.59,6.69788,28300
2014-07-29,12.69,12.77,12.52,12.52,6.66064,22400
2014-07-30,12.57,12.73,12.5,12.56,6.681919,17900
2014-07-31,12.56,12.86,12.5,12.51,6.655321,21800
2014-08-01,12.5,12.59,12.34,12.47,6.634042,17100
2014-08-04,12.51,12.6,12.15,12.34,6.564879,42900
2014-08-05,12.34,12.8,12.34,12.8,6.809599,78900
2014-08-06,12.67,12.67,12.5,12.5,6.65,10700
2014-08-07,12.5,12.64,12.41,12.52,6.66064,31700
2014-08-08,12.63,12.65,12.42,12.54,6.671279,68900
2014-08-11,12.56,12.61,12.462,12.55,6.676602,3800
2014-08-12,12.55,12.65,12.5,12.5,6.65,112000
2014-08-13,12.64,12.64,12.12,12.49,6.64468,34400
2014-08-14,12.41,12.55,12.21,12.55,6.676602,43200
2014-08-15,12.29,12.6,12.29,12.6,6.7032,22900
2014-08-18,12.52,12.6,12.47,12.52,6.66064,12700
2014-08-19,12.4,12.65,12.4,12.65,6.729799,44900
2014-08-20,12.65,12.91,12.51,12.78,6.798961,19400
2014-08-21,12.84,12.85,12.69,12.7,6.756398,31000
2014-08-22,12.8,12.87,12.66,12.69,6.751081,17100
2014-08-25,12.71,12.87,12.63,12.73,6.772359,41500
2014-08-26,12.87,12.93,12.76,12.79,6.804281,29900
2014-08-27,12.89,13.12,12.81,13.09,6.96388,44200
2014-08-28,13.09,13.09,12.96,13.02,6.926641,32100
2014-08-29,13.09,13.09,12.71,12.86,6.841519,43700
2014-09-02,12.95,13.088,12.7,12.82,6.820238,50600
2014-09-03,12.75,12.94,12.5,12.57,6.687239,70100
2014-09-04,12.66,12.85,12.5,12.51,6.655321,58400
2014-09-05,12.5,13.07,12.5,12.88,6.85216,70700
2014-09-08,12.9,12.933,12.66,12.89,6.85748,30900
2014-09-09,13.12,13.12,12.86,12.91,6.868121,77800
2014-09-10,12.98,12.98,12.64,12.66,6.73512,78800
2014-09-11,12.71,12.8,12.53,12.71,6.761719,34000
2014-09-12,12.71,12.85,12.543,12.75,6.783,39100
2014-09-15,12.82,12.85,12.708,12.77,6.793641,34800
2014-09-16,12.84,12.85,12.77,12.81,6.814921,29900
2014-09-17,12.88,13.21,12.8,13.06,6.947919,37200
2014-09-18,13.1,13.26,12.891,12.97,6.90004,98300
2014-09-19,13.088,13.29,13.01,13.29,7.070281,74000
2014-09-22,13.22,13.47,13.11,13.29,7.070281,47800
2014-09-23,13.3,13.42,13.07,13.18,7.011758,72200
2014-09-24,13.2,13.62,13.01,13.35,7.1022,55100
2014-09-25,13.34,13.39,13.06,13.3,7.075602,38100
2014-09-26,13.23,13.37,13.1,13.37,7.112839,16900
2014-09-29,13.37,13.62,13.26,13.61,7.240521,45000
2014-09-30,13.56,13.77,13.25,13.58,7.224559,66500
2014-10-01,13.38,13.38,13.13,13.32,7.211024,59700
2014-10-02,13.26,13.43,13.12,13.22,7.156889,59700
2014-10-03,13.27,13.27,13.08,13.11,7.097337,42400
2014-10-06,13.17,13.28,13.08,13.08,7.081097,14300
2014-10-07,13.15,13.37,13.08,13.3,7.200199,28400
2014-10-08,13.17,13.41,13.11,13.41,7.25975,22100
2014-10-09,13.6,13.62,13.27,13.35,7.227266,31600
2014-10-10,13.33,13.38,13.25,13.36,7.232679,16500
2014-10-13,13.27,13.42,13.21,13.37,7.238093,5700
2014-10-14,13.29,13.6,13.13,13.49,7.303058,14700
2014-10-15,13.25,13.43,13.08,13.09,7.086511,63100
2014-10-16,13.08,13.29,13.08,13.24,7.167717,22000
2014-10-17,13.6,13.6,13.21,13.29,7.194785,24200
2014-10-20,13.18,13.49,13.0,13.25,7.173131,41400
2014-10-21,13.14,13.3,13.14,13.3,7.200199,19900
2014-10-22,13.23,13.25,13.06,13.23,7.162302,38000
2014-10-23,13.29,13.29,12.97,12.97,7.021547,30500
2014-10-24,12.89,13.28,12.71,13.26,7.178544,30900
2014-10-27,13.15,13.22,13.0,13.06,7.070269,9400
2014-10-28,13.01,13.16,12.81,12.89,6.978237,12000
2014-10-29,13.02,13.05,12.86,12.9,6.98365,12400
2014-10-30,12.96,12.96,12.79,12.91,6.989066,9800
2014-10-31,12.95,13.19,12.95,13.19,7.140646,31700
2014-11-03,13.16,13.25,13.15,13.154,7.121158,5600
2014-11-04,13.19,13.25,13.11,13.25,7.173131,25100
2014-11-05,13.204,13.38,13.12,13.34,7.221854,10000
2014-11-06,13.25,13.5,13.12,13.18,7.135233,18400
2014-11-07,13.28,13.28,12.6,12.8,6.929513,28600
2014-11-10,12.9,13.11,12.8,12.99,7.032374,9700
2014-11-11,13.05,13.23,12.976,12.976,7.024796,16400
2014-11-12,12.93,13.34,12.83,13.31,7.205613,18600
2014-11-13,13.31,13.35,13.17,13.19,7.140646,10300
2014-11-14,13.061,13.161,12.98,12.99,7.032374,19200
2014-11-17,13.08,13.25,13.08,13.25,7.173131,24600
2014-11-18,13.23,13.3,13.2,13.24,7.167717,12100
2014-11-19,13.29,13.3,13.19,13.24,7.167717,28900
2014-11-20,13.25,13.42,13.18,13.21,7.151475,45700
2014-11-21,13.06,13.33,12.81,12.87,6.967408,49500
2014-11-24,12.91,13.15,12.67,13.14,7.113581,37200
2014-11-25,13.07,13.24,13.0,13.21,7.151475,19300
2014-11-26,13.28,13.3,13.12,13.26,7.178544,13300
2014-11-28,13.26,13.3,13.25,13.27,7.183957,13400
2014-12-01,13.27,13.3,13.25,13.26,7.178544,17500
2014-12-02,13.18,13.28,13.1,13.17,7.129821,27700
2014-12-03,12.96,12.96,12.35,12.73,6.891618,134500
2014-12-04,12.6,12.85,12.48,12.6,6.82124,57400
2014-12-05,12.48,12.78,12.48,12.57,6.804998,1012600
2014-12-08,12.6,12.8,12.57,12.71,6.88079,108800
2014-12-09,12.69,12.7,12.6,12.66,6.853723,72700
2014-12-10,12.66,12.66,12.51,12.59,6.815827,144900
2014-12-11,12.6,12.65,12.51,12.51,6.772519,81300
2014-12-12,12.61,12.65,12.4,12.5,6.767104,239000
2014-12-15,12.55,12.61,12.5,12.5,6.767104,91300
2014-12-16,12.58,12.59,12.5,12.5,6.767104,21000
2014-12-17,12.56,12.75,12.53,12.63,6.837482,67500
2014-12-18,12.75,13.17,12.74,13.02,7.048615,134700
2014-12-19,13.04,13.24,13.04,13.22,7.156889,120300
2014-12-22,13.22,13.24,13.07,13.12,7.102754,51500
2014-12-23,13.16,13.48,13.07,13.17,7.129821,122800
2014-12-24,13.11,13.29,13.07,13.16,7.124409,50400
2014-12-26,13.17,13.17,13.0,13.1,7.091924,22200
2014-12-29,13.03,13.16,13.02,13.11,7.097337,89800
2014-12-30,13.12,13.12,12.96,13.07,7.075684,66600
2014-12-31,12.9,12.9,12.72,12.8,7.056387,32800
2015-01-02,12.84,12.91,12.76,12.91,7.11703,30700
2015-01-05,12.9,13.01,12.85,12.96,7.144595,107600
2015-01-06,12.94,12.98,12.85,12.93,7.128057,26700
2015-01-07,12.98,12.98,12.87,12.95,7.139082,32000
2015-01-08,13.04,13.11,12.935,12.97,7.150107,92700
2015-01-09,12.93,13.01,12.86,12.9,7.111516,56600
2015-01-12,13.0,13.0,12.9,12.98,7.15562,42000
2015-01-13,12.95,12.98,12.72,12.96,7.144595,79000
2015-01-14,12.93,12.95,12.615,12.85,7.083952,53700
2015-01-15,12.95,12.97,12.86,12.93,7.128057,41300
2015-01-16,12.99,13.08,12.84,12.88,7.100491,37000
2015-01-20,13.0,13.02,12.87,12.87,7.094976,34300
2015-01-21,12.88,13.01,12.87,12.87,7.094976,34800
2015-01-22,12.85,12.95,12.85,12.87,7.094976,14200
2015-01-23,12.89,12.89,12.79,12.81,7.061903,14200
2015-01-26,12.761,12.85,12.73,12.76,7.034338,25200
2015-01-27,12.84,12.84,12.7,12.84,7.07844,31800
2015-01-28,12.907,12.907,12.74,12.76,7.034338,42000
2015-01-29,12.82,12.86,12.712,12.78,7.045363,31200
2015-01-30,12.8,12.83,12.7,12.8,7.056387,68200
2015-02-02,12.86,13.09,12.741,12.9,7.111516,98100
2015-02-03,12.94,12.94,12.78,12.9,7.111516,41900
