Date,Open,High,Low,Close,Adj Close,Volume
2010-04-16,20.25,20.639999,20.139999,20.5,11.777413,2368400
2010-04-19,20.700001,20.700001,20.15,20.200001,11.605058,247600
2010-04-20,20.200001,20.34,20.0,20.0,11.490156,108600
2010-04-21,20.0,20.040001,19.5,19.84,11.398235,233800
2010-04-22,19.799999,20.030001,19.49,19.98,11.478665,55800
2010-04-23,20.309999,20.309999,19.73,19.73,11.335043,56100
2010-04-26,19.629999,20.059999,19.6,19.99,11.484408,90200
2010-04-27,20.01,20.27,19.83,19.940001,11.455683,46700
2010-04-28,20.25,20.25,19.950001,19.950001,11.461434,3600
2010-04-29,20.049999,20.15,19.889999,20.01,11.495902,7600
2010-04-30,19.99,20.0,19.459999,19.85,11.403983,55900
2010-05-03,19.83,19.940001,19.610001,19.700001,11.317802,27300
2010-05-04,19.65,20.0,19.65,19.889999,11.426968,57200
2010-05-05,19.82,20.07,19.639999,19.98,11.478665,46500
2010-05-06,20.07,20.07,19.459999,19.65,11.28908,5900
2010-05-07,19.43,19.75,19.43,19.68,11.306315,42300
2010-05-10,20.0,20.58,19.959999,20.0,11.490156,15900
2010-05-11,19.82,20.129999,19.77,19.85,11.403983,9200
2010-05-12,19.75,20.360001,19.290001,20.0,11.490156,19200
2010-05-13,20.1,20.190001,20.0,20.059999,11.524625,8300
2010-05-14,19.950001,20.190001,19.9,19.9,11.432703,5500
2010-05-17,20.0,20.030001,19.299999,19.440001,11.16843,23400
2010-05-18,19.6,19.6,18.4,18.93,10.87544,113100
2010-05-19,19.049999,19.389999,18.860001,18.860001,10.835219,13800
2010-05-20,18.6,18.719999,18.040001,18.190001,10.450297,4600
2010-05-21,18.17,18.35,17.559999,17.65,10.140062,66500
2010-05-24,17.75,18.200001,17.75,17.84,10.249222,10600
2010-05-25,17.48,17.889999,17.469999,17.610001,10.117083,41700
2010-05-26,17.99,18.190001,17.5,18.07,10.381351,65200
2010-05-27,18.049999,18.049999,17.639999,17.959999,10.318163,6800
2010-05-28,17.92,18.0,17.92,18.0,10.341138,5200
2010-06-01,17.85,18.08,17.6,17.950001,10.312414,9000
2010-06-02,17.9,18.08,17.9,18.08,10.387096,1000
2010-06-03,17.92,18.15,17.92,18.049999,10.369866,6600
2010-06-04,18.0,18.049999,17.93,17.950001,10.312414,6600
2010-06-07,18.0,18.110001,17.98,18.049999,10.369866,5000
2010-06-08,17.85,18.049999,17.67,17.76,10.203259,7400
2010-06-09,17.6,18.0,17.6,17.719999,10.180276,5400
2010-06-10,17.610001,18.01,17.610001,17.65,10.140062,5200
2010-06-11,17.75,17.860001,17.549999,17.66,10.145811,6400
2010-06-14,17.75,18.049999,17.700001,18.0,10.341138,15600
2010-06-15,17.92,18.09,17.860001,18.02,10.352631,9200
2010-06-16,18.110001,18.200001,17.92,17.959999,10.318163,5600
2010-06-17,17.9,18.059999,17.780001,17.959999,10.318163,5000
2010-06-18,18.049999,18.139999,17.450001,17.58,10.099849,101900
2010-06-21,17.85,18.15,17.85,17.940001,10.306666,66700
2010-06-22,17.940001,18.26,17.860001,18.219999,10.467532,14600
2010-06-23,18.200001,18.200001,17.85,18.030001,10.358375,22200
2010-06-24,18.030001,18.049999,17.780001,17.959999,10.318163,20600
2010-06-25,17.889999,18.48,17.620001,18.43,10.588179,619200
2010-06-28,18.33,18.440001,17.700001,17.889999,10.277941,20800
2010-06-29,17.75,17.889999,17.469999,17.530001,10.071124,26800
2010-06-30,17.59,18.59,17.530001,17.870001,10.266455,39300
2010-07-01,17.93,17.93,17.27,17.35,9.967707,17300
2010-07-02,17.43,17.66,17.389999,17.51,10.05963,12500
2010-07-06,17.68,17.76,16.6,16.620001,9.548319,13000
2010-07-07,16.67,16.719999,16.43,16.719999,9.605774,25600
2010-07-08,16.84,17.309999,16.77,16.860001,9.686198,26200
2010-07-09,16.790001,16.809999,16.65,16.74,9.617261,38800
