Date,Open,High,Low,Close,Adj Close,Volume
1989-03-03,0.0,1.375,1.0,1.0,0.923384,1000
1989-03-06,0.0,1.34375,1.0,1.0,0.923384,600
1989-03-07,0.0,1.34375,1.0,1.0,0.923384,400
1989-03-08,0.0,1.34375,1.0,1.0,0.923384,500
1989-03-09,1.0,1.0,1.0,1.0,0.923384,0
1989-03-10,0.0,1.34375,1.0,1.0,0.923384,200
1989-03-13,0.0,1.34375,1.0,1.0,0.923384,2000
1989-03-14,0.0,1.25,1.0,1.0,0.923384,2800
1989-03-15,0.0,1.25,1.0,1.0,0.923384,900
1989-03-16,1.0,1.0,1.0,1.0,0.923384,0
1989-03-17,0.0,1.25,1.0,1.0,0.923384,300
1989-03-20,1.0,1.0,1.0,1.0,0.923384,0
1989-03-21,1.0,1.0,1.0,1.0,0.923384,0
1989-03-22,1.0,1.0,1.0,1.0,0.923384,0
1989-03-23,0.0,1.25,1.0,1.0,0.923384,4400
1989-03-27,1.0,1.0,1.0,1.0,0.923384,0
1989-03-28,1.0,1.0,1.0,1.0,0.923384,0
1989-03-29,0.0,1.1875,1.0,1.0,0.923384,1700
1989-03-30,0.0,1.125,1.0,1.0,0.923384,600
1989-03-31,0.0,1.125,1.0,1.0,0.923384,6800
1989-04-03,1.0,1.0,1.0,1.0,0.923384,0
1989-04-04,0.0,1.125,1.0,1.0,0.923384,12000
1989-04-05,0.0,1.125,1.0,1.0,0.923384,8000
1989-04-06,0.0,1.125,1.0,1.0,0.923384,4000
1989-04-07,1.0,1.0,1.0,1.0,0.923384,0
1989-04-10,0.0,1.125,1.0,1.0,0.923384,1200
1989-04-11,0.0,1.125,1.0,1.0,0.923384,100
1989-04-12,0.0,1.125,1.0,1.0,0.923384,600
1989-04-13,0.0,1.125,1.0,1.0,0.923384,3000
1989-04-14,0.0,1.25,1.125,1.125,1.038808,6000
1989-04-17,1.125,1.125,1.125,1.125,1.038808,0
1989-04-18,0.0,1.3125,1.1875,1.1875,1.096519,11100
1989-04-19,1.1875,1.1875,1.1875,1.1875,1.096519,0
1989-04-20,0.0,1.375,1.25,1.25,1.154231,15500
1989-04-21,0.0,1.5,1.375,1.375,1.269654,21000
1989-04-24,0.0,1.5625,1.375,1.375,1.269654,3100
1989-04-25,0.0,1.5,1.375,1.375,1.269654,23300
1989-04-26,0.0,1.4375,1.375,1.375,1.269654,11300
1989-04-27,0.0,1.4375,1.375,1.375,1.269654,13000
1989-04-28,0.0,1.4375,1.375,1.375,1.269654,10000
1989-05-01,1.375,1.375,1.375,1.375,1.269654,0
1989-05-02,1.375,1.375,1.375,1.375,1.269654,0
1989-05-03,0.0,1.5,1.375,1.375,1.269654,4400
1989-05-04,0.0,1.5,1.375,1.375,1.269654,1000
1989-05-05,0.0,1.5,1.375,1.375,1.269654,1800
1989-05-08,0.0,1.5,1.375,1.375,1.269654,1500
1989-05-09,1.375,1.375,1.375,1.375,1.269654,0
1989-05-10,0.0,1.5,1.3125,1.3125,1.211942,31000
1989-05-11,0.0,1.5,1.3125,1.3125,1.211942,2100
1989-05-12,0.0,1.4375,1.3125,1.3125,1.211942,3300
1989-05-15,0.0,1.5,1.375,1.375,1.269654,1400
1989-05-16,0.0,1.5,1.375,1.375,1.269654,1400
1989-05-17,1.375,1.375,1.375,1.375,1.269654,0
1989-05-18,0.0,1.625,1.375,1.375,1.269654,8500
1989-05-19,0.0,1.75,1.625,1.625,1.5005,7200
1989-05-22,0.0,1.875,1.75,1.75,1.615923,7700
1989-05-23,0.0,2.0,1.75,1.75,1.615923,21100
1989-05-24,0.0,2.0,1.75,1.75,1.615923,1300
1989-05-25,0.0,1.9375,1.75,1.75,1.615923,19400
1989-05-26,0.0,1.9375,1.8125,1.8125,1.673634,10000
1989-05-30,0.0,1.9375,1.8125,1.8125,1.673634,10300
1989-05-31,0.0,2.0625,1.9375,1.9375,1.789057,25800
1989-06-01,0.0,2.0,1.8125,1.8125,1.673634,13500
1989-06-02,0.0,2.0,1.8125,1.8125,1.673634,8200
1989-06-05,0.0,2.0,1.875,1.875,1.731346,18100
1989-06-06,0.0,1.9375,1.8125,1.8125,1.673634,9300
1989-06-07,0.0,1.9375,1.8125,1.8125,1.673634,1500
1989-06-08,0.0,1.875,1.75,1.75,1.615923,12700
1989-06-09,0.0,1.875,1.75,1.75,1.615923,2900
1989-06-12,0.0,1.875,1.78125,1.78125,1.644779,5200
1989-06-13,1.78125,1.78125,1.78125,1.78125,1.644779,0
1989-06-14,1.78125,1.78125,1.78125,1.78125,1.644779,0
1989-06-15,0.0,1.875,1.8125,1.8125,1.673634,200
1989-06-16,0.0,1.875,1.8125,1.8125,1.673634,900
1989-06-19,0.0,1.875,1.8125,1.8125,1.673634,2500
1989-06-20,0.0,2.0,1.875,1.875,1.731346,8000
1989-06-21,0.0,2.125,2.0,2.0,1.846769,14400
1989-06-22,2.0,2.0,2.0,2.0,1.846769,0
1989-06-23,0.0,2.125,1.9375,1.9375,1.789057,8800
1989-06-26,0.0,2.0625,2.0,2.0,1.846769,1600
1989-06-27,0.0,2.125,2.0,2.0,1.846769,6500
1989-06-28,0.0,2.25,2.125,2.125,1.962192,25800
1989-06-29,0.0,2.1875,2.0,2.0,1.846769,10000
1989-06-30,0.0,2.25,2.125,2.125,1.962192,19500
1989-07-03,0.0,2.25,2.125,2.125,1.962192,4000
1989-07-05,2.125,2.125,2.125,2.125,1.962192,0
1989-07-06,0.0,2.25,2.125,2.125,1.962192,400
1989-07-07,0.0,2.25,2.125,2.125,1.962192,1700
1989-07-10,0.0,2.25,2.125,2.125,1.962192,3700
1989-07-11,0.0,2.25,2.0625,2.0625,1.904481,12100
1989-07-12,0.0,2.125,2.0,2.0,1.846769,34900
1989-07-13,0.0,2.09375,2.0,2.0,1.846769,15500
1989-07-14,0.0,2.09375,2.0,2.0,1.846769,2000
1989-07-17,0.0,2.09375,2.0,2.0,1.846769,100
1989-07-18,0.0,2.09375,2.0625,2.0625,1.904481,1800
1989-07-19,0.0,2.09375,2.0625,2.0625,1.904481,800
1989-07-20,0.0,2.125,2.0625,2.0625,1.904481,1200
1989-07-21,2.0625,2.0625,2.0625,2.0625,1.904481,0
1989-07-24,0.0,2.125,2.0625,2.0625,1.904481,12400
1989-07-25,0.0,2.125,2.0,2.0,1.846769,11700
1989-07-26,0.0,2.125,2.0625,2.0625,1.904481,28800
1989-07-27,0.0,2.1875,2.125,2.125,1.962192,3500
1989-07-28,0.0,2.1875,2.09375,2.09375,1.933336,4600
1989-07-31,0.0,2.1875,2.09375,2.09375,1.933336,4100
1989-08-01,0.0,2.25,2.125,2.125,1.962192,1400
1989-08-02,0.0,2.25,2.125,2.125,1.962192,2000
1989-08-03,0.0,2.21875,2.125,2.125,1.962192,11500
1989-08-04,0.0,2.21875,2.125,2.125,1.962192,2300
1989-08-07,0.0,2.25,2.1875,2.1875,2.019903,7600
1989-08-08,0.0,2.3125,2.1875,2.1875,2.019903,26200
1989-08-09,0.0,2.3125,2.1875,2.1875,2.019903,13000
1989-08-10,0.0,2.3125,2.1875,2.1875,2.019903,600
1989-08-11,2.1875,2.1875,2.1875,2.1875,2.019903,0
1989-08-14,0.0,2.25,2.1875,2.1875,2.019903,1400
1989-08-15,0.0,2.25,2.125,2.125,1.962192,2900
1989-08-16,0.0,2.25,2.125,2.125,1.962192,3000
1989-08-17,0.0,2.1875,2.0625,2.0625,1.904481,4600
1989-08-18,0.0,2.125,2.0,2.0,1.846769,2200
1989-08-21,0.0,2.1875,2.0625,2.0625,1.904481,25800
1989-08-22,0.0,2.1875,2.0625,2.0625,1.904481,800
1989-08-23,0.0,2.1875,2.0625,2.0625,1.904481,5200
1989-08-24,0.0,2.1875,2.0625,2.0625,1.904481,3300
1989-08-25,0.0,2.1875,2.0625,2.0625,1.904481,5000
1989-08-28,0.0,2.1875,2.0625,2.0625,1.904481,1000
