Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,2.25,2.7,2.25,2.43,2.43,181200
2020-12-21,2.11,2.25,1.67,2.15,2.15,523400
2020-12-22,2.11,2.22,1.85,2.15,2.15,406400
2020-12-23,2.1,2.38,2.01,2.21,2.21,625500
2020-12-24,2.26,2.388,2.09,2.19,2.19,243200
2020-12-28,2.15,2.28,2.02,2.08,2.08,226200
2020-12-29,2.0,2.1,1.74,1.99,1.99,291900
2020-12-30,1.99,2.09,1.915,1.915,1.915,293400
2020-12-31,2.15,2.15,1.48,1.54,1.54,1016500
2021-01-04,1.7,1.7,1.419,1.52,1.52,306600
2021-01-05,1.7,1.7,1.45,1.6,1.6,257600
2021-01-06,1.8,2.17,1.8,2.0,2.0,884100
2021-01-07,2.19,2.2,1.95,2.0,2.0,506100
2021-01-08,2.047,2.047,1.78,1.805,1.805,288500
2021-01-11,1.78,1.93,1.71,1.82,1.82,143300
2021-01-12,2.09,2.1,1.81,1.88,1.88,321900
2021-01-13,2.0,2.15,1.88,2.06,2.06,544400
2021-01-14,2.2,2.23,1.98,2.04,2.04,421100
2021-01-15,2.2,2.39,2.07,2.1,2.1,559200
2021-01-19,2.16,2.26,2.02,2.18,2.18,123800
2021-01-20,2.09,2.185,2.05,2.16,2.16,190500
2021-01-21,2.15,2.25,1.97,2.21,2.21,744600
2021-01-22,2.18,2.419,2.05,2.22,2.22,775400
2021-01-25,2.2,2.3,2.04,2.12,2.12,495400
2021-01-26,2.23,2.23,2.0,2.07,2.07,325800
2021-01-27,1.98,2.06,1.52,1.7,1.7,816500
2021-01-28,1.69,1.94,1.67,1.85,1.85,347600
2021-01-29,1.76,1.98,1.75,1.9,1.9,265400
2021-02-01,1.8,1.99,1.78,1.88,1.88,153100
2021-02-02,1.96,2.28,1.96,2.21,2.21,833500
2021-02-03,2.4,2.99,2.38,2.69,2.69,1059900
2021-02-04,2.66,2.7,2.38,2.47,2.47,210500
2021-02-05,2.34,2.79,2.34,2.62,2.62,413300
2021-02-08,2.95,2.95,2.7,2.89,2.89,479700
2021-02-09,3.3,3.61,3.11,3.5,3.5,550500
2021-02-10,4.01,7.78,4.01,6.95,6.95,2401400
2021-02-11,6.21,6.75,4.9,6.3,6.3,999500
2021-02-12,5.19,8.26,5.19,7.2,7.2,357300
2021-02-16,7.55,8.2,7.0,8.05,8.05,279200
2021-02-17,7.95,7.95,6.5,6.89,6.89,149900
2021-02-18,7.26,7.26,5.73,6.16,6.16,217800
2021-02-19,5.91,7.15,5.91,5.96,5.96,166400
2021-02-22,5.76,5.89,5.0,5.5,5.5,116100
2021-02-23,4.36,5.01,4.01,4.86,4.86,168600
2021-02-24,4.93,5.75,4.93,5.09,5.09,207100
2021-02-25,5.22,5.54,4.59,4.86,4.86,191300
2021-02-26,4.52,4.94,3.975,4.2,4.2,236700
2021-03-01,4.5,4.87,4.18,4.5,4.5,104800
2021-03-02,4.85,5.08,4.35,4.73,4.73,364300
2021-03-03,4.8,4.8,3.94,4.04,4.04,175900
2021-03-04,3.95,3.95,2.79,3.37,3.37,289400
2021-03-05,3.79,3.79,2.62,3.39,3.39,221600
2021-03-08,3.36,3.71,3.0,3.12,3.12,112600
2021-03-09,3.39,3.72,3.22,3.53,3.53,105300
2021-03-10,3.65,3.71,3.31,3.4,3.4,64000
2021-03-11,3.67,3.75,3.4,3.63,3.63,550200
2021-03-12,3.7,3.7,3.4,3.5,3.5,256700
2021-03-15,3.53,4.05,3.53,3.94,3.94,341700
2021-03-16,3.9,4.11,3.44,3.66,3.66,241200
2021-03-17,3.66,4.45,3.66,4.36,4.36,285000
2021-03-18,4.39,4.8,3.87,4.1,4.1,62500
2021-03-19,4.15,4.58,3.91,4.52,4.52,73200
2021-03-22,4.09,4.49,4.09,4.26,4.26,56800
2021-03-23,3.99,4.22,3.75,3.85,3.85,176500
2021-03-24,3.7,3.85,3.19,3.5,3.5,101400
2021-03-25,3.3,3.74,3.18,3.59,3.59,84300
2021-03-26,3.75,3.75,3.27,3.65,3.65,125800
2021-03-29,3.57,3.75,3.35,3.585,3.585,35200
2021-03-30,3.5,3.5,3.249,3.43,3.43,86900
2021-03-31,2.94,3.14,2.41,2.63,2.63,613300
2021-04-01,2.75,2.94,2.6,2.89,2.89,73000
2021-04-05,2.93,2.93,2.67,2.72,2.72,97200
2021-04-06,2.62,2.635,2.435,2.45,2.45,141300
2021-04-07,2.38,2.539,2.255,2.39,2.39,109000
2021-04-08,2.37,2.43,2.18,2.38,2.38,84800
2021-04-09,2.6,3.26,2.53,3.26,3.26,486900
2021-04-12,3.09,3.09,2.7,2.75,2.75,84800
2021-04-13,2.72,3.05,2.72,3.03,3.03,114400
2021-04-14,3.13,3.13,2.77,2.77,2.77,74100
2021-04-15,2.74,2.93,2.55,2.57,2.57,73600
2021-04-16,2.57,2.64,2.28,2.45,2.45,250700
2021-04-19,2.55,2.55,2.11,2.25,2.25,176600
2021-04-20,2.39,2.4,2.0,2.18,2.18,185300
2021-04-21,2.12,2.36,2.12,2.27,2.27,46600
2021-04-22,2.33,2.37,2.148,2.19,2.19,104100
2021-04-23,2.12,2.55,2.12,2.54,2.54,195100
2021-04-26,2.45,2.55,2.41,2.43,2.43,45600
2021-04-27,2.52,2.52,2.247,2.27,2.27,90100
2021-04-28,2.43,2.525,2.18,2.5,2.5,160000
2021-04-29,2.54,2.54,2.26,2.32,2.32,55100
2021-04-30,2.361,2.4,2.09,2.11,2.11,211000
2021-05-03,2.2,2.21,2.05,2.05,2.05,108400
2021-05-04,2.0,2.08,1.89,2.04,2.04,85900
2021-05-05,2.14,2.14,1.94,1.98,1.98,47900
2021-05-06,1.95,1.96,1.72,1.8,1.8,127200
2021-05-07,1.95,2.0,1.85,1.92,1.92,64600
2021-05-10,2.1,2.1,1.68,1.76,1.76,102500
2021-05-11,1.61,1.789,1.46,1.75,1.75,145500
2021-05-12,1.75,1.86,1.64,1.83,1.83,64900
2021-05-13,1.88,1.88,1.6,1.69,1.69,68500
2021-05-14,1.77,1.85,1.64,1.68,1.68,93500
2021-05-17,1.67,1.78,1.6,1.6,1.6,79600
2021-05-18,1.68,1.7,1.57,1.6,1.6,56800
2021-05-19,1.56,1.56,1.5,1.56,1.56,166000
2021-05-20,1.57,1.6,1.55,1.6,1.6,102400
2021-05-21,1.6,1.7,1.58,1.68,1.68,170300
2021-05-24,1.601,1.71,1.58,1.69,1.69,46300
2021-05-25,1.74,1.82,1.69,1.79,1.79,157300
2021-05-26,1.74,1.97,1.696,1.91,1.91,133500
2021-05-27,1.91,2.25,1.85,2.25,2.25,472900
2021-05-28,2.15,2.63,1.93,2.55,2.55,249700
2021-06-01,2.5,2.621,2.07,2.18,2.18,126600
