Date,Open,High,Low,Close,Adj Close,Volume
1996-02-23,16.25,16.25,15.5,15.5625,13.134664,4292700
1996-02-26,15.5,15.75,15.25,15.25,12.870912,492900
1996-02-27,15.25,15.5,15.125,15.125,12.765414,383800
1996-02-28,15.25,15.5,15.125,15.25,12.870912,275300
1996-02-29,15.375,15.625,15.375,15.5,13.081911,289200
1996-03-01,15.5,15.5,15.25,15.375,12.976411,222300
1996-03-04,15.375,15.5,15.25,15.5,13.081911,223100
1996-03-05,15.625,15.75,15.375,15.5,13.081911,316300
1996-03-06,15.75,15.75,15.5,15.5,13.081911,110300
1996-03-07,15.75,15.75,15.5,15.75,13.292909,153900
1996-03-08,15.5,15.625,15.25,15.625,13.18741,170100
1996-03-11,15.25,15.625,15.25,15.625,13.18741,121700
1996-03-12,15.375,15.625,15.375,15.625,13.18741,91500
1996-03-13,15.5,15.875,15.5,15.8125,13.345662,87300
1996-03-14,15.875,16.5,15.75,15.75,13.292909,270000
1996-03-15,15.875,16.125,15.625,15.875,13.398413,205000
1996-03-18,15.875,16.0,15.5,15.75,13.292909,279900
1996-03-19,16.375,16.625,15.625,15.875,13.398413,274700
1996-03-20,15.875,15.875,15.625,15.75,13.292909,114500
1996-03-21,15.625,16.0,15.625,16.0,13.503908,34300
1996-03-22,15.75,16.125,15.75,15.875,13.398413,37200
1996-03-25,15.75,16.125,15.75,16.125,13.60941,98400
1996-03-26,15.875,16.125,15.875,15.875,13.398413,88000
1996-03-27,16.0,16.125,15.75,15.75,13.292909,72300
1996-03-28,15.75,16.0,15.75,16.0,13.503908,27300
1996-03-29,15.75,16.0,15.75,16.0,13.503908,21700
1996-04-01,15.75,16.0,15.75,16.0,13.503908,27700
1996-04-02,15.75,16.0,15.75,15.875,13.398413,25800
1996-04-03,15.75,16.0,15.75,15.875,13.398413,7900
1996-04-04,15.75,16.0,15.75,15.75,13.292909,60500
1996-04-08,15.75,15.875,15.375,15.75,13.343742,36200
1996-04-09,15.75,15.75,15.375,15.5,13.131937,21300
1996-04-10,15.75,16.0,15.5,15.75,13.343742,71700
1996-04-11,16.125,16.125,15.75,15.75,13.343742,61100
1996-04-12,16.125,16.125,15.75,15.75,13.343742,36600
1996-04-15,15.875,16.25,15.75,15.75,13.343742,39000
1996-04-16,15.75,16.25,15.75,15.75,13.343742,42600
1996-04-17,15.75,16.25,15.75,16.25,13.767354,8800
1996-04-18,15.75,16.25,15.75,15.75,13.343742,59500
1996-04-19,16.25,16.25,15.75,16.0,13.555546,14200
1996-04-22,16.25,16.25,15.75,15.875,13.449648,9200
1996-04-23,16.25,16.25,15.75,16.125,13.661449,18900
1996-04-24,16.0,16.25,15.75,16.0,13.555546,116800
1996-04-25,15.875,16.125,15.875,15.875,13.449648,47700
1996-04-26,15.875,15.875,15.875,15.875,13.449648,500
1996-04-29,16.125,16.125,15.875,16.0,13.555546,90400
1996-04-30,15.875,16.125,15.75,15.875,13.449648,35300
1996-05-01,15.75,16.125,15.75,15.875,13.449648,88000
1996-05-02,15.875,16.125,15.5,15.625,13.237839,77400
1996-05-03,15.625,16.0,15.625,15.75,13.343742,69500
1996-05-06,15.625,16.0,15.625,15.875,13.449648,29300
1996-05-07,15.625,16.0,15.625,15.75,13.343742,21400
1996-05-08,15.75,16.0,15.5,16.0,13.555546,63200
1996-05-09,16.0,16.0,15.625,15.75,13.343742,15000
1996-05-10,16.0,16.0,15.75,15.75,13.343742,52800
1996-05-13,15.875,15.875,15.75,15.875,13.449648,56000
1996-05-14,15.875,15.875,15.625,15.875,13.449648,157100
1996-05-15,16.125,16.625,16.0,16.5,13.979163,401300
1996-05-16,16.625,16.75,16.375,16.375,13.873252,37300
1996-05-17,16.75,16.75,16.375,16.5,13.979163,26800
1996-05-20,16.5,16.75,16.375,16.375,13.873252,111400
1996-05-21,16.5,16.5,16.25,16.25,13.767354,32500
1996-05-22,16.25,16.5,16.25,16.25,13.767354,37500
1996-05-23,16.25,16.5,16.25,16.5,13.979163,67700
1996-05-24,16.25,16.375,16.25,16.25,13.767354,16800
1996-05-28,16.25,16.625,16.25,16.25,13.767354,38300
1996-05-29,16.625,16.625,16.25,16.625,14.085059,12900
1996-05-30,16.25,16.625,16.25,16.5,13.979163,18900
1996-05-31,16.25,16.25,16.25,16.25,13.767354,3000
1996-06-03,16.25,16.75,16.25,16.75,14.190961,64800
1996-06-04,16.75,16.75,16.375,16.375,13.873252,8900
1996-06-05,16.25,16.75,16.25,16.5,13.979163,52400
1996-06-06,16.75,16.75,16.25,16.375,13.873252,34600
1996-06-07,16.25,16.625,16.25,16.625,14.085059,59300
1996-06-10,16.25,16.625,16.25,16.5,13.979163,18100
1996-06-11,16.625,16.75,16.375,16.625,14.085059,24100
1996-06-12,16.625,16.625,16.125,16.25,13.767354,77300
1996-06-13,16.25,16.625,16.25,16.625,14.085059,37500
1996-06-14,16.625,16.625,16.25,16.625,14.085059,6500
1996-06-17,16.375,16.375,16.25,16.375,13.873252,18400
1996-06-18,16.375,16.5,16.0,16.375,13.924272,55300
1996-06-19,16.125,16.375,15.875,15.875,13.499111,48900
1996-06-20,15.875,16.0,15.375,15.375,13.073938,31500
1996-06-21,15.625,15.625,15.5,15.5,13.180232,10600
1996-06-24,15.75,15.875,15.5,15.875,13.499111,9100
1996-06-25,15.75,16.0,15.75,15.75,13.392815,20400
1996-06-26,15.75,15.875,15.25,15.375,13.073938,29000
1996-06-27,15.375,15.625,15.375,15.625,13.286523,1300
1996-06-28,15.265625,15.625,15.25,15.625,13.286523,24000
1996-07-01,15.4375,15.625,15.375,15.5,13.180232,9400
1996-07-02,15.375,15.625,15.375,15.5625,13.233377,6700
1996-07-03,15.5,15.5,15.5,15.5,13.180232,4500
1996-07-05,15.5,15.5,15.0,15.0,12.755065,19100
1996-07-08,15.0,15.0625,14.375,14.625,12.436183,51200
1996-07-09,14.625,14.625,14.25,14.25,12.11731,100100
1996-07-10,14.25,14.5,14.25,14.25,12.11731,24700
1996-07-11,14.25,14.25,13.75,14.125,12.01102,31400
1996-07-12,13.75,14.0,13.75,13.875,11.798434,6300
1996-07-15,13.875,14.125,13.625,14.0,11.904725,52300
1996-07-16,13.5,13.625,13.25,13.375,11.373262,73200
1996-07-17,13.75,13.75,13.5,13.75,11.692139,53600
1996-07-18,13.75,15.0,13.75,14.75,12.542479,40700
1996-07-19,15.0,15.125,14.875,15.125,12.861358,7800
