Date,Open,High,Low,Close,Adj Close,Volume
2002-12-06,7.8,8.64,7.78,8.58,4.676694,27551000
2002-12-09,8.54,8.56,8.228,8.404,4.580761,3149500
2002-12-10,8.41,8.66,8.33,8.55,4.660341,1723000
2002-12-11,8.54,9.1,8.46,9.012,4.912165,2549000
2002-12-12,9.012,9.012,8.72,8.782,4.786797,1355500
2002-12-13,8.782,8.794,8.65,8.73,4.758453,987500
2002-12-16,8.7,8.75,8.59,8.62,4.698495,798000
2002-12-17,8.6,8.8,8.56,8.654,4.717029,1646000
2002-12-18,8.64,8.64,8.51,8.534,4.65162,742000
2002-12-19,8.51,8.54,8.434,8.46,4.611287,684000
2002-12-20,8.48,8.92,8.4,8.89,4.845667,904500
2002-12-23,8.87,8.91,8.67,8.68,4.731202,638500
2002-12-24,8.72,8.72,8.592,8.61,4.693044,218000
2002-12-26,8.62,8.63,8.51,8.52,4.643989,325000
2002-12-27,8.5,8.5,8.35,8.4,4.57858,830500
2002-12-30,8.46,8.57,8.42,8.464,4.613466,1076500
2002-12-31,8.454,8.76,8.454,8.732,4.759545,1778000
2003-01-02,8.732,8.79,8.69,8.744,4.766086,315000
2003-01-03,8.744,9.16,8.704,9.16,4.992833,861500
2003-01-06,9.006,9.67,9.006,9.62,5.243565,1874500
2003-01-07,9.6,9.72,9.45,9.604,5.234846,1383000
2003-01-08,9.606,9.654,9.534,9.602,5.233752,411000
2003-01-09,9.62,9.84,9.532,9.81,5.34713,649000
2003-01-10,9.77,9.87,9.742,9.798,5.340587,844000
2003-01-13,9.8,9.936,9.774,9.924,5.409268,810000
2003-01-14,9.924,10.0,9.814,9.82,5.352579,554000
2003-01-15,9.68,9.68,9.352,9.41,5.129102,1459000
2003-01-16,9.4,9.4,9.054,9.076,4.947049,725000
2003-01-17,9.05,9.104,8.96,9.004,4.907802,590500
2003-01-21,9.01,9.04,8.852,8.89,4.845667,468000
2003-01-22,8.86,8.88,8.82,8.83,4.812961,163500
2003-01-23,8.84,9.15,8.826,9.086,4.952501,476000
2003-01-24,9.07,9.42,9.0,9.398,5.122561,685000
2003-01-27,9.358,9.38,9.24,9.25,5.041892,209000
2003-01-28,9.26,9.316,9.2,9.202,5.015726,364500
2003-01-29,9.18,9.4,9.152,9.3,5.069143,401500
2003-01-30,9.3,9.318,8.76,8.84,4.818412,735000
2003-01-31,8.8,8.81,8.402,8.5,4.633088,2886000
2003-02-03,8.49,8.58,8.432,8.47,4.616737,780000
2003-02-04,8.44,8.44,8.31,8.4,4.57858,740000
2003-02-05,8.39,8.4,8.27,8.348,4.550237,1159000
2003-02-06,8.34,8.404,8.29,8.3,4.524074,1077500
2003-02-07,8.32,8.43,8.31,8.422,4.590574,744500
2003-02-10,8.422,8.68,8.41,8.6,4.687594,278500
2003-02-11,8.6,8.706,8.58,8.582,4.677783,222500
2003-02-12,8.55,8.59,8.496,8.582,4.677783,355500
2003-02-13,8.57,8.744,8.564,8.7,4.742101,265500
2003-02-14,8.74,8.96,8.74,8.9,4.851115,958000
2003-02-18,8.95,8.96,8.83,8.904,4.853294,753500
2003-02-19,8.906,9.0,8.88,8.954,4.880549,420500
2003-02-20,8.96,9.02,8.94,9.006,4.908892,159000
2003-02-21,9.008,9.132,9.0,9.072,4.944866,206000
2003-02-24,9.0,9.16,9.0,9.108,4.964491,182500
2003-02-25,9.1,9.16,9.07,9.144,4.984113,144500
2003-02-26,9.148,9.2,9.02,9.068,4.942685,214000
2003-02-27,9.048,9.05,8.66,8.66,4.720298,945000
2003-02-28,8.65,8.76,8.574,8.61,4.693044,565000
2003-03-03,8.612,8.712,8.6,8.626,4.701769,211000
2003-03-04,8.62,8.648,8.564,8.564,4.667973,151000
2003-03-05,8.566,8.592,8.44,8.45,4.605834,269500
2003-03-06,8.422,8.53,8.422,8.468,4.630991,352500
2003-03-07,8.47,8.548,8.442,8.466,4.629899,175500
2003-03-10,8.456,8.532,8.454,8.472,4.63318,163000
2003-03-11,8.474,8.54,8.434,8.454,4.623334,104500
2003-03-12,8.48,8.51,8.38,8.476,4.635366,312000
2003-03-13,8.5,8.54,8.482,8.504,4.650679,204000
2003-03-14,8.5,8.68,8.5,8.64,4.725056,471500
2003-03-17,8.64,9.238,8.64,9.19,5.025837,607000
2003-03-18,9.194,9.366,9.14,9.21,5.036778,478500
2003-03-19,9.22,9.39,9.22,9.39,5.135216,149500
2003-03-20,9.392,9.392,9.11,9.11,4.982088,571000
2003-03-21,9.14,9.426,9.14,9.42,5.151621,632500
2003-03-24,9.4,9.642,9.346,9.6,5.25006,1112000
2003-03-25,9.59,9.71,9.59,9.686,5.297094,545500
2003-03-26,9.68,9.782,9.68,9.7,5.304748,1076000
2003-03-27,9.68,9.78,9.56,9.78,5.3485,777500
2003-03-28,9.76,9.76,9.68,9.73,5.321155,306500
2003-03-31,9.71,9.71,9.552,9.63,5.266469,435000
2003-04-01,9.632,9.638,9.516,9.594,5.246778,232000
2003-04-02,9.474,9.66,9.446,9.632,5.26756,536000
2003-04-03,9.64,9.84,9.64,9.656,5.280685,633000
2003-04-04,9.67,9.76,9.652,9.68,5.293812,321500
2003-04-07,9.74,9.77,9.334,9.34,5.107872,1109500
2003-04-08,9.32,9.354,9.23,9.292,5.081623,398000
2003-04-09,9.31,9.38,9.25,9.35,5.113342,390000
2003-04-10,9.36,9.43,9.31,9.424,5.15381,224500
2003-04-11,9.44,9.44,9.326,9.354,5.115526,178500
2003-04-14,9.354,9.52,9.34,9.502,5.196466,212500
2003-04-15,9.494,9.534,9.486,9.5,5.195373,198500
2003-04-16,9.51,9.582,9.504,9.522,5.207406,280000
2003-04-17,9.722,9.934,9.708,9.808,5.36381,1067500
2003-04-21,9.768,9.778,9.654,9.744,5.328814,243500
2003-04-22,9.802,10.11,9.636,9.958,5.445843,1607000
2003-04-23,10.058,10.25,10.0,10.1,5.5235,1540000
2003-04-24,10.1,10.32,10.1,10.32,5.643815,644000
2003-04-25,10.32,10.54,10.32,10.49,5.736783,905000
2003-04-28,10.53,11.238,10.53,11.08,6.059444,2717500
2003-04-29,11.082,11.224,10.956,11.13,6.086789,1455000
2003-04-30,11.12,11.35,11.024,11.308,6.184134,885500
2003-05-01,11.308,11.36,11.156,11.156,6.101007,1156500
2003-05-02,11.13,11.498,11.13,11.4,6.234447,740500
2003-05-05,11.41,11.6,11.332,11.36,6.212572,693000
2003-05-06,11.36,11.36,11.206,11.3,6.179762,661000
2003-05-07,11.26,11.32,11.06,11.12,6.081324,704500
2003-05-08,11.08,11.116,10.99,11.076,6.057258,707000
2003-05-09,11.1,11.26,11.01,11.144,6.094444,461000
2003-05-12,11.13,11.45,11.1,11.34,6.201634,457500
2003-05-13,11.32,11.8,11.32,11.72,6.409447,1083500
2003-05-14,11.708,11.848,11.668,11.698,6.397416,763000
2003-05-15,11.69,11.774,11.64,11.724,6.411638,279500
2003-05-16,11.714,12.0,11.62,12.0,6.562575,498000
2003-05-19,11.88,11.898,11.674,11.71,6.403981,547500
2003-05-20,11.69,11.86,11.69,11.708,6.402886,461500
2003-05-21,11.69,11.84,11.612,11.834,6.471793,355000
2003-05-22,11.884,12.04,11.86,11.94,6.529763,583000
2003-05-23,11.95,12.046,11.944,12.036,6.582264,161000
2003-05-27,11.93,11.93,11.84,11.906,6.511168,409000
2003-05-28,11.906,12.13,11.906,12.09,6.611795,506500
2003-05-29,12.09,12.124,11.974,12.048,6.588829,856500
2003-05-30,12.048,12.36,12.04,12.296,6.724452,820000
2003-06-02,12.31,12.556,12.31,12.41,6.786797,704500
2003-06-03,12.37,12.51,12.37,12.464,6.816329,741000
2003-06-04,12.47,12.692,12.464,12.64,6.912579,547000
2003-06-05,12.64,12.722,12.57,12.602,6.891798,363000
2003-06-06,12.574,12.574,12.2,12.2,6.68681,1028000
2003-06-09,12.17,12.438,12.156,12.4,6.796428,1836500
2003-06-10,12.41,12.55,12.356,12.44,6.818353,1206000
2003-06-11,12.42,12.512,12.42,12.47,6.834796,1197500
2003-06-12,12.5,12.9,12.458,12.828,7.031012,999000
2003-06-13,12.828,12.96,12.828,12.904,7.072671,723500
2003-06-16,12.94,13.17,12.94,13.124,7.193255,1098500
2003-06-17,13.154,13.9,13.14,13.88,7.607614,2332000
2003-06-18,13.86,13.982,13.71,13.92,7.62954,2033500
2003-06-19,13.92,14.0,13.526,13.6,7.454148,4392500
2003-06-20,13.63,13.638,13.21,13.254,7.264508,2196000
2003-06-23,13.25,13.27,13.056,13.202,7.236002,1210000
2003-06-24,13.202,13.78,13.202,13.694,7.505665,1717500
2003-06-25,13.696,13.696,13.4,13.402,7.345625,988000
2003-06-26,13.41,13.836,13.41,13.83,7.580213,887500
2003-06-27,13.75,13.92,13.724,13.92,7.62954,1059500
2003-06-30,13.94,14.008,13.852,13.926,7.632828,1994000
2003-07-01,14.04,14.96,14.0,14.914,8.174351,4302500
2003-07-02,14.914,14.93,14.632,14.93,8.183119,1524500
2003-07-03,14.8,14.82,14.624,14.77,8.095426,1028000
2003-07-07,14.84,14.896,14.76,14.85,8.139274,640000
2003-07-08,14.82,15.17,14.814,14.882,8.156812,1011000
2003-07-09,14.87,15.364,14.87,15.304,8.388109,824000
2003-07-10,15.3,15.5,15.16,15.5,8.495534,1142000
2003-07-11,15.55,15.616,15.016,15.142,8.299319,801000
2003-07-14,15.19,15.56,15.19,15.47,8.479092,703000
2003-07-15,15.52,15.64,15.426,15.566,8.531713,801000
2003-07-16,15.58,15.596,15.23,15.3,8.385918,616000
2003-07-17,15.28,15.284,14.82,14.89,8.161198,819500
2003-07-18,14.9,15.082,14.872,14.96,8.199563,420500
2003-07-21,14.95,14.96,14.722,14.724,8.070209,631000
2003-07-22,15.0,15.568,15.0,15.544,8.51965,2640000
2003-07-23,15.544,15.796,15.442,15.796,8.657771,1047500
2003-07-24,15.816,15.86,15.16,15.182,8.321241,1156500
2003-07-25,15.182,15.716,15.182,15.698,8.604064,501500
2003-07-28,15.696,15.696,15.54,15.58,8.539385,622000
2003-07-29,15.606,15.624,15.184,15.27,8.369473,472500
2003-07-30,15.278,15.296,15.03,15.076,8.263141,727000
2003-07-31,15.076,15.154,14.73,14.73,8.073501,1230500
2003-08-01,14.71,14.71,14.154,14.37,7.876184,3295500
2003-08-04,14.364,14.68,14.2,14.63,8.01869,956500
2003-08-05,14.65,14.95,14.65,14.936,8.18641,935000
2003-08-06,14.948,14.996,14.782,14.996,8.219296,586000
2003-08-07,14.994,15.01,14.862,15.01,8.22697,646000
2003-08-08,15.03,15.06,14.96,15.01,8.22697,159000
2003-08-11,15.02,15.08,14.98,15.03,8.23793,305000
2003-08-12,15.07,15.104,14.986,15.1,8.276299,387000
2003-08-13,15.12,15.516,15.12,15.396,8.438535,842000
2003-08-14,15.41,15.678,15.41,15.642,8.573364,440500
2003-08-15,15.65,15.7,15.6,15.7,8.605157,178000
2003-08-18,15.7,15.72,15.52,15.584,8.541578,659000
2003-08-19,15.4,15.4,14.3,14.32,7.848779,5842000
2003-08-20,14.5,14.868,14.448,14.68,8.046097,2692500
2003-08-21,14.68,14.72,13.66,14.38,7.881664,5955500
2003-08-22,14.33,14.332,13.65,13.65,7.481555,3098500
2003-08-25,13.652,13.652,13.11,13.282,7.279856,2706500
2003-08-26,13.6,14.076,13.534,14.062,7.707367,3710000
2003-08-27,14.1,14.596,14.08,14.57,7.985803,2253500
2003-08-28,14.568,14.59,14.284,14.286,7.830141,1464000
2003-08-29,14.2,14.2,14.0,14.078,7.716145,991000
2003-09-02,14.05,14.08,13.84,13.92,7.62954,1962000
2003-09-03,13.94,14.27,13.74,14.196,7.780815,1387000
2003-09-04,14.196,14.286,14.12,14.188,7.776428,825500
2003-09-05,14.19,14.21,14.036,14.07,7.711757,572000
2003-09-08,14.1,14.432,14.08,14.432,7.925941,625000
2003-09-09,14.396,14.536,14.138,14.416,7.917152,647000
2003-09-10,14.4,14.402,14.194,14.322,7.865529,657000
2003-09-11,14.312,14.44,14.29,14.29,7.847953,667500
2003-09-12,14.34,14.392,14.1,14.316,7.862232,803500
2003-09-15,14.3,14.32,14.1,14.26,7.831475,456000
2003-09-16,14.27,14.332,14.24,14.3,7.853445,155000
2003-09-17,14.34,14.712,14.304,14.472,7.947906,1052500
2003-09-18,14.45,14.78,14.45,14.75,8.100583,590500
2003-09-19,14.79,14.83,14.664,14.67,8.056652,302500
2003-09-22,14.672,14.672,14.434,14.496,7.961089,621000
2003-09-23,14.496,14.496,13.886,14.05,7.71615,1534000
2003-09-24,14.03,14.08,13.7,13.936,7.653539,1619000
2003-09-25,14.09,14.09,13.682,13.696,7.521734,1595000
2003-09-26,13.696,13.78,13.274,13.296,7.30206,1312500
2003-09-29,13.34,13.34,13.234,13.294,7.300961,1196000
2003-09-30,13.22,13.796,13.118,13.762,7.55798,2236000
2003-10-01,13.762,13.934,13.704,13.81,7.584345,1300500
2003-10-02,13.84,14.29,13.84,14.204,7.800725,1047500
2003-10-03,14.244,14.442,14.2,14.35,7.880908,741000
2003-10-06,14.33,14.614,14.31,14.582,8.008321,1063000
2003-10-07,14.582,14.652,14.506,14.58,8.007222,401000
2003-10-08,14.68,14.73,14.58,14.67,8.056652,1033500
2003-10-09,14.7,14.744,14.49,14.51,7.968775,286500
2003-10-10,14.51,14.61,14.5,14.522,7.975369,744500
2003-10-13,14.5,14.94,14.48,14.94,8.20493,1226500
2003-10-14,14.94,15.01,14.84,14.91,8.18845,1130500
2003-10-15,14.7,14.88,14.52,14.87,8.166485,1691500
2003-10-16,14.86,14.86,14.68,14.686,8.065433,850500
2003-10-17,14.656,14.656,14.12,14.12,7.754591,1559000
2003-10-20,14.12,14.12,13.71,13.784,7.570062,1692500
2003-10-21,13.78,14.04,13.78,14.002,7.689788,562500
2003-10-22,13.85,13.852,13.4,13.444,7.383339,1380000
2003-10-23,13.396,13.4,12.77,13.074,7.180136,2634000
2003-10-24,13.4,13.57,13.284,13.55,7.44155,1362000
2003-10-27,13.55,13.66,13.52,13.6,7.46901,603500
2003-10-28,13.62,13.88,13.6,13.6,7.46901,813000
2003-10-29,13.6,13.8,13.6,13.796,7.57665,537500
2003-10-30,13.8,13.82,13.468,13.468,7.39652,828500
2003-10-31,13.48,13.612,13.48,13.59,7.463518,641500
2003-11-03,13.59,13.69,13.564,13.6,7.46901,695000
2003-11-04,13.59,13.59,13.188,13.2,7.249332,1495000
2003-11-05,13.18,13.35,13.1,13.26,7.28229,535000
2003-11-06,13.31,13.496,13.164,13.27,7.287778,940500
2003-11-07,13.272,13.49,13.268,13.484,7.405308,788000
2003-11-10,13.464,13.568,13.31,13.51,7.419586,511500
2003-11-11,13.55,13.75,13.55,13.65,7.49647,1511500
2003-11-12,13.656,13.93,13.656,13.864,7.613997,892500
2003-11-13,13.814,13.858,13.35,13.454,7.388832,1728500
2003-11-14,13.4,13.748,13.4,13.53,7.430567,6930000
2003-11-17,13.48,13.48,13.14,13.17,7.232859,930000
2003-11-18,13.3,13.44,13.26,13.27,7.287778,1302500
2003-11-19,13.3,13.674,13.3,13.642,7.492078,1684000
2003-11-20,13.66,13.794,13.528,13.58,7.458031,1215000
2003-11-21,13.594,13.73,13.49,13.576,7.455832,712000
2003-11-24,13.63,13.738,13.554,13.728,7.539306,716500
2003-11-25,13.728,13.736,13.6,13.69,7.518442,754500
2003-11-26,13.74,13.77,13.688,13.7,7.523934,374000
2003-11-28,13.7,13.712,13.66,13.694,7.520637,243000
2003-12-01,13.726,13.824,13.676,13.796,7.57665,1089000
2003-12-02,13.84,13.956,13.816,13.86,7.6118,1350000
2003-12-03,13.74,13.742,13.57,13.67,7.507453,2643500
2003-12-04,13.7,13.8,13.52,13.8,7.578853,1032000
2003-12-05,13.82,14.29,13.82,14.126,7.757885,1475500
2003-12-08,14.104,14.116,13.94,14.0,7.711617,911500
2003-12-09,14.02,14.02,13.852,13.866,7.637807,715500
2003-12-10,13.866,13.866,13.49,13.566,7.472557,569000
2003-12-11,13.57,13.81,13.57,13.72,7.557385,356000
2003-12-12,13.68,13.74,13.594,13.65,7.518827,538000
2003-12-15,13.74,13.83,13.59,13.59,7.485778,1006500
2003-12-16,13.62,13.75,13.582,13.734,7.565094,747000
2003-12-17,13.74,13.768,13.662,13.754,7.576116,461000
2003-12-18,13.88,14.15,13.85,14.068,7.749075,922000
2003-12-19,14.13,14.396,14.1,14.394,7.928645,1126500
2003-12-22,14.47,14.6,14.36,14.44,7.953982,1033000
2003-12-23,14.456,14.48,14.41,14.48,7.976019,362500
2003-12-24,14.47,14.47,14.38,14.392,7.927541,151500
2003-12-26,14.442,14.47,14.284,14.302,7.877969,152000
2003-12-29,14.4,14.578,14.4,14.48,7.976019,504500
2003-12-30,14.52,14.552,14.466,14.536,8.006864,397000
2003-12-31,14.54,14.544,14.42,14.472,7.971608,547000
2004-01-02,14.5,14.62,14.5,14.58,8.031098,760500
2004-01-05,14.582,15.65,14.58,15.622,8.605062,2337000
2004-01-06,15.622,15.75,15.14,15.168,8.354988,2456000
2004-01-07,15.188,15.32,15.0,15.0,8.262446,892500
2004-01-08,15.04,15.098,14.86,14.888,8.200755,830000
2004-01-09,14.9,15.19,14.89,15.06,8.295495,853500
2004-01-12,15.09,15.096,14.944,14.996,8.260244,450500
2004-01-13,14.996,15.0,14.762,14.798,8.151177,330500
2004-01-14,14.81,14.93,14.666,14.688,8.09059,809500
2004-01-15,14.72,15.072,14.712,14.982,8.25253,996000
2004-01-16,15.1,16.5,15.1,15.94,8.780226,4520500
