Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,5.5625,5.234375,5.234375,2.093376,18400
1973-02-22,0.0,5.328125,5.234375,5.28125,2.112122,31200
1973-02-23,0.0,5.28125,5.0625,5.0625,2.024638,29600
1973-02-26,0.0,5.09375,5.0,5.0,1.999642,21600
1973-02-27,0.0,5.03125,4.953125,4.953125,1.980897,12800
1973-02-28,0.0,4.953125,4.859375,4.9375,1.974648,44800
1973-03-01,0.0,5.0,4.953125,4.953125,1.980897,23200
1973-03-02,0.0,4.984375,4.84375,4.921875,1.979388,52800
1973-03-05,0.0,4.9375,4.90625,4.90625,1.973105,21600
1973-03-06,0.0,4.828125,4.765625,4.796875,1.929119,18400
1973-03-07,0.0,4.8125,4.625,4.65625,1.872563,141600
1973-03-08,0.0,4.75,4.625,4.6875,1.885132,40000
1973-03-09,0.0,4.75,4.6875,4.71875,1.897699,88000
1973-03-12,0.0,4.734375,4.6875,4.6875,1.885132,46400
1973-03-13,0.0,4.703125,4.65625,4.6875,1.885132,60000
1973-03-14,0.0,4.6875,4.625,4.65625,1.872563,103200
1973-03-15,0.0,4.578125,4.375,4.375,1.759456,70400
1973-03-16,0.0,4.296875,4.125,4.28125,1.721754,141600
1973-03-19,0.0,4.265625,4.1875,4.234375,1.702903,69600
1973-03-20,0.0,4.203125,4.140625,4.203125,1.690335,72800
1973-03-21,0.0,4.234375,4.15625,4.234375,1.702903,60000
1973-03-22,0.0,4.28125,4.171875,4.28125,1.721754,82400
1973-03-23,0.0,4.296875,4.25,4.296875,1.728038,79200
1973-03-26,0.0,4.328125,4.28125,4.296875,1.728038,51200
1973-03-27,0.0,4.515625,4.296875,4.515625,1.81601,76000
1973-03-28,0.0,4.6875,4.5625,4.640625,1.86628,70400
1973-03-29,0.0,4.96875,4.671875,4.953125,1.991956,63200
1973-03-30,0.0,4.953125,4.8125,4.90625,1.973105,40800
1973-04-02,0.0,4.9375,4.828125,4.859375,1.954254,24000
1973-04-03,0.0,4.859375,4.75,4.828125,1.941685,49600
1973-04-04,0.0,4.8125,4.640625,4.640625,1.86628,34400
1973-04-05,0.0,4.625,4.59375,4.625,1.859997,68000
1973-04-06,0.0,4.578125,4.34375,4.34375,1.746889,46400
1973-04-09,0.0,4.390625,4.125,4.265625,1.715469,360800
1973-04-10,0.0,4.40625,4.296875,4.40625,1.772023,77600
1973-04-11,0.0,4.671875,4.46875,4.671875,1.878848,132800
1973-04-12,0.0,4.875,4.6875,4.84375,1.94797,64800
1973-04-13,0.0,4.890625,4.8125,4.8125,1.935402,18400
1973-04-16,0.0,4.8125,4.65625,4.6875,1.885132,52800
1973-04-17,0.0,4.703125,4.6875,4.6875,1.885132,8000
1973-04-18,0.0,4.6875,4.515625,4.5625,1.834862,16800
1973-04-19,0.0,4.5625,4.5,4.5,1.809726,28000
1973-04-23,0.0,4.59375,4.5,4.5,1.809726,27200
1973-04-24,0.0,4.578125,4.53125,4.53125,1.822294,108800
1973-04-25,0.0,4.484375,4.359375,4.359375,1.753172,56000
1973-04-26,0.0,4.421875,4.328125,4.375,1.759456,37600
1973-04-27,0.0,4.390625,4.25,4.25,1.709186,54400
1973-04-30,0.0,4.484375,4.171875,4.484375,1.803443,36800
1973-05-01,0.0,4.515625,4.34375,4.40625,1.772023,111200
1973-05-02,0.0,4.515625,4.359375,4.359375,1.753172,107200
1973-05-03,0.0,4.375,4.296875,4.296875,1.728038,63200
1973-05-04,0.0,4.359375,4.3125,4.359375,1.753172,183200
1973-05-07,0.0,4.359375,4.3125,4.3125,1.734321,36800
1973-05-08,0.0,4.25,4.1875,4.234375,1.702903,13600
1973-05-09,0.0,4.234375,4.1875,4.234375,1.702903,16800
1973-05-10,0.0,4.1875,4.109375,4.125,1.658915,56000
1973-05-11,0.0,4.21875,4.171875,4.1875,1.684052,23200
1973-05-14,0.0,4.140625,4.09375,4.09375,1.646349,33600
1973-05-15,0.0,4.078125,3.953125,4.0,1.608646,38400
1973-05-16,0.0,4.0,3.9375,4.0,1.608646,94400
1973-05-17,0.0,3.984375,3.9375,3.9375,1.583511,11200
1973-05-18,0.0,3.96875,3.890625,3.921875,1.577227,24000
1973-05-21,0.0,3.921875,3.828125,3.875,1.558375,64800
1973-05-22,0.0,3.9375,3.78125,3.84375,1.545808,43200
1973-05-23,0.0,3.890625,3.84375,3.875,1.558375,37600
1973-05-24,0.0,3.90625,3.8125,3.890625,1.564659,16000
1973-05-25,0.0,4.046875,3.875,3.984375,1.602361,57600
1973-05-29,0.0,4.078125,3.953125,4.0,1.608646,18400
1973-05-30,0.0,3.984375,3.875,3.875,1.558375,19200
1973-05-31,0.0,3.9375,3.84375,3.90625,1.570943,12000
1973-06-01,0.0,3.875,3.8125,3.875,1.558375,19200
1973-06-04,0.0,3.875,3.8125,3.875,1.558375,13600
1973-06-05,0.0,3.890625,3.8125,3.8125,1.53324,16800
1973-06-06,0.0,3.875,3.84375,3.875,1.558375,138400
1973-06-07,0.0,3.8125,3.75,3.765625,1.51439,36800
1973-06-08,0.0,3.859375,3.8125,3.828125,1.539524,4800
1973-06-11,0.0,3.84375,3.78125,3.78125,1.520672,23200
1973-06-12,0.0,4.0,3.828125,3.953125,1.589794,11200
1973-06-13,0.0,4.046875,4.0,4.046875,1.627496,8800
1973-06-14,0.0,4.046875,4.046875,4.046875,1.627496,4800
1973-06-15,0.0,4.0,3.875,3.90625,1.570943,20800
1973-06-18,0.0,3.875,3.796875,3.796875,1.526956,26400
1973-06-19,0.0,3.75,3.71875,3.734375,1.501822,80800
1973-06-20,0.0,3.765625,3.6875,3.71875,1.495538,26400
1973-06-21,0.0,3.6875,3.671875,3.671875,1.476687,5600
1973-06-22,0.0,3.75,3.65625,3.65625,1.470403,30400
1973-06-25,0.0,3.796875,3.6875,3.71875,1.495538,24800
