Date,Open,High,Low,Close,Adj Close,Volume
2003-09-10,19.719999,21.0,19.719999,20.0,16.322279,266000
2003-09-11,20.5,22.5,20.5,21.75,17.750475,3155200
2003-09-12,22.0,22.5,20.24,20.290001,16.558956,4408900
2003-09-15,19.799999,20.4,19.35,20.129999,16.428368,3313500
2003-09-16,19.950001,20.0,18.4,18.540001,15.13075,4218000
2003-09-17,18.43,19.389999,17.700001,19.33,15.775482,5253800
2003-09-18,19.15,19.450001,18.91,19.17,15.644898,2149500
2003-09-19,19.200001,19.6,19.0,19.15,15.628575,2300000
2003-09-22,18.969999,19.139999,18.26,18.700001,15.261325,1605400
2003-09-23,18.700001,19.68,18.549999,19.450001,15.873412,1874300
2003-09-24,19.450001,19.700001,18.799999,18.870001,15.400063,1501000
2003-09-25,18.950001,19.1,18.59,18.9,15.424547,2406700
2003-09-26,18.9,19.280001,18.559999,18.65,15.220521,1417100
2003-09-29,18.75,18.84,17.85,18.389999,15.00833,2398400
2003-09-30,18.299999,18.5,17.879999,18.059999,14.739017,1557000
2003-10-01,18.059999,19.15,18.049999,19.1,15.587768,3345400
2003-10-02,19.1,20.35,19.049999,20.27,16.542624,3580100
2003-10-03,20.4,21.049999,20.16,20.4,16.648714,2325600
2003-10-06,19.73,19.799999,18.75,19.620001,16.012156,4407900
2003-10-07,19.4,19.459999,19.200001,19.299999,15.750992,3724100
2003-10-08,19.299999,19.59,19.0,19.52,15.930542,4694000
2003-10-09,19.65,20.1,19.6,19.85,16.19986,3380600
2003-10-10,19.85,20.309999,19.780001,20.190001,16.477331,2687500
2003-10-13,19.969999,20.139999,19.959999,20.07,16.379408,1233200
2003-10-14,20.08,20.74,20.0,20.58,16.795628,2555800
2003-10-15,20.58,20.700001,20.35,20.639999,16.844591,1381700
2003-10-16,20.610001,20.610001,20.299999,20.33,16.591593,840900
2003-10-17,19.9,20.25,19.65,19.700001,16.077442,1455900
2003-10-20,19.709999,19.84,19.370001,19.549999,15.955027,987700
2003-10-21,19.4,19.98,19.35,19.92,16.256985,1192300
2003-10-22,19.780001,19.84,19.6,19.76,16.126402,551900
2003-10-23,19.559999,19.6,19.209999,19.379999,15.816279,903600
2003-10-24,19.43,19.6,19.35,19.4,15.832605,509200
2003-10-27,19.4,19.9,19.4,19.77,16.134567,1557500
2003-10-28,19.799999,20.459999,19.780001,20.190001,16.477331,1645300
2003-10-29,20.190001,20.190001,19.860001,20.0,16.322279,1036400
2003-10-30,20.02,20.049999,19.719999,19.950001,16.281467,554400
2003-10-31,19.870001,20.4,19.799999,20.4,16.648714,1985500
2003-11-03,20.299999,20.65,20.15,20.16,16.452854,972900
2003-11-04,20.1,20.219999,19.9,20.15,16.444691,703800
2003-11-05,20.0,20.15,20.0,20.059999,16.371239,1064200
2003-11-06,20.030001,20.030001,19.700001,19.940001,16.27331,840300
2003-11-07,19.98,20.0,19.790001,19.98,16.305952,776400
2003-11-10,19.799999,19.799999,19.030001,19.450001,15.873412,2082500
2003-11-11,19.4,19.610001,19.35,19.549999,15.955027,1215300
2003-11-12,19.549999,19.6,19.43,19.52,15.930542,996800
2003-11-13,19.49,19.5,19.0,19.0,15.506166,1242700
2003-11-14,19.0,19.01,18.67,18.799999,15.342931,650300
2003-11-17,18.68,19.129999,18.25,18.83,15.36742,1616800
2003-11-18,18.950001,19.280001,18.83,19.23,15.693859,4401300
2003-11-19,19.4,20.040001,19.1,19.85,16.19986,2919000
2003-11-20,19.799999,19.799999,19.43,19.6,15.995829,836800
2003-11-21,19.700001,19.700001,19.139999,19.440001,15.865247,816500
2003-11-24,19.440001,19.450001,18.9,18.940001,15.457193,1613900
2003-11-25,18.940001,19.18,18.9,19.08,15.571453,600500
2003-11-26,19.18,19.379999,19.129999,19.290001,15.742838,865300
