Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,5.161518,5.256808,5.129755,5.145637,1.081416,1420670
1982-01-04,5.097992,5.129755,5.050347,5.066229,1.064727,2069219
1982-01-05,4.939176,5.034466,4.843886,4.87565,1.024675,4173857
1982-01-06,4.843886,5.002702,4.685071,4.78036,1.004649,3855878
1982-01-07,4.732715,4.78036,4.685071,4.732715,0.994636,1511183
1982-01-08,4.716834,4.78036,4.637426,4.637426,0.97461,1861431
1982-01-11,4.542136,4.653307,4.415083,4.446847,0.934557,2428125
1982-01-12,4.399202,4.494491,4.303912,4.367439,0.917868,3504056
1982-01-13,4.415083,4.47861,4.335675,4.351557,0.914531,1692210
1982-01-14,4.38332,4.47861,4.288031,4.47861,0.941233,2596559
1982-01-15,4.748597,4.986821,4.510373,4.923294,1.034688,7508692
1982-01-18,4.955058,5.097992,4.796242,5.097992,1.071403,7078162
1982-01-19,5.050347,5.1774,4.923294,4.955058,1.041364,7444152
1982-01-20,4.78036,4.907413,4.653307,4.716834,0.991298,5527625
1982-01-21,4.812123,4.87565,4.732715,4.812123,1.011324,7028576
1982-01-22,4.843886,4.891531,4.78036,4.796242,1.007987,2916898
1982-01-25,4.843886,4.970939,4.716834,4.970939,1.044702,3098713
1982-01-26,4.986821,5.08211,4.891531,4.923294,1.034688,3584338
1982-01-27,4.955058,5.018584,4.891531,4.955058,1.041364,2958613
1982-01-28,4.970939,5.018584,4.907413,4.986821,1.048039,4318678
1982-01-29,5.018584,5.097992,4.939176,4.955058,1.041364,6637400
1982-02-01,4.812123,4.891531,4.716834,4.812123,1.025791,2565076
1982-02-02,4.764478,4.812123,4.700952,4.700952,1.002092,2463543
1982-02-03,4.621544,4.748597,4.494491,4.526255,0.964853,2934214
1982-02-04,4.605663,4.700952,4.494491,4.685071,0.998707,4710641
1982-02-05,4.669189,4.748597,4.589781,4.700952,1.002092,4278538
1982-02-08,4.573899,4.700952,4.446847,4.462728,0.951311,2663460
1982-02-09,4.38332,4.462728,4.303912,4.367439,0.930998,4531188
1982-02-10,4.430965,4.462728,4.38332,4.415083,0.941154,3217561
1982-02-11,4.669189,4.891531,4.430965,4.891531,1.042718,5796804
1982-02-12,4.732715,4.891531,4.558018,4.685071,0.998707,8000613
1982-02-16,4.621544,4.732715,4.510373,4.700952,1.002092,3146724
1982-02-17,4.558018,4.685071,4.415083,4.47861,0.954696,3310436
1982-02-18,4.47861,4.542136,4.399202,4.430965,0.94454,2898796
1982-02-19,4.319794,4.462728,4.176859,4.256267,0.9073,4030609
1982-02-22,4.049807,4.272149,3.827464,3.906872,0.83282,3710270
1982-02-23,4.097451,4.288031,3.906872,4.224504,0.900529,4094362
1982-02-24,4.240386,4.351557,4.129215,4.208623,0.897144,5476465
1982-02-25,4.113333,4.208623,4.018044,4.065688,0.866675,2432848
1982-02-26,4.08157,4.129215,4.018044,4.08157,0.87006,2063710
1982-03-01,4.049807,4.097451,4.002162,4.002162,0.853133,2313212
1982-03-02,3.954517,4.049807,3.843346,3.875109,0.82605,2203022
1982-03-03,3.763938,3.827464,3.68453,3.763938,0.802351,4190385
1982-03-04,3.795701,3.843346,3.732175,3.763938,0.802351,4446184
1982-03-05,3.748056,3.827464,3.652767,3.700412,0.78881,2695731
1982-03-08,3.636885,3.763938,3.509832,3.541596,0.754955,2157371
1982-03-09,3.557477,3.68453,3.430425,3.58924,0.765111,2588688
1982-03-10,3.557477,3.605122,3.493951,3.493951,0.744799,3031811
1982-03-11,3.509832,3.557477,3.446306,3.509832,0.748184,4148670
1982-03-12,3.525714,3.58924,3.462188,3.58924,0.765111,2238440
1982-03-15,3.68453,3.811583,3.557477,3.811583,0.812508,2013337
1982-03-16,3.732175,3.795701,3.652767,3.748056,0.798966,1831523
1982-03-17,3.605122,3.668648,3.541596,3.621004,0.771882,1000372
1982-03-18,3.652767,3.68453,3.605122,3.652767,0.778653,1294738
1982-03-19,3.668648,3.716293,3.621004,3.68453,0.785424,1327795
1982-03-22,3.732175,3.763938,3.68453,3.716293,0.792195,1268764
1982-03-23,3.68453,3.732175,3.636885,3.668648,0.782038,1097969
1982-03-24,3.732175,3.763938,3.68453,3.748056,0.798966,3734669
1982-03-25,3.716293,3.748056,3.68453,3.68453,0.785424,1755963
1982-03-26,3.700412,3.77982,3.621004,3.732175,0.795581,1722119
1982-03-29,3.763938,3.843346,3.668648,3.843346,0.819278,1341962
1982-03-30,3.811583,3.875109,3.748056,3.843346,0.819278,2434422
1982-03-31,3.906872,3.954517,3.843346,3.922754,0.836205,2202235
1982-04-01,3.970399,4.033925,3.906872,4.018044,0.856518,2661886
1982-04-02,4.097451,4.145096,4.033925,4.145096,0.883602,1929907
1982-04-05,4.113333,4.160978,4.065688,4.113333,0.876831,2044820
1982-04-06,4.065688,4.113333,4.002162,4.097451,0.873445,4173857
1982-04-07,4.08157,4.129215,4.018044,4.049807,0.86329,1360065
1982-04-08,4.129215,4.176859,4.08157,4.129215,0.880216,1422244
1982-04-12,4.08157,4.145096,4.002162,4.018044,0.856518,1116072
1982-04-13,3.98628,4.049807,3.906872,3.906872,0.83282,1456088
1982-04-14,3.954517,3.98628,3.922754,3.970399,0.846362,1312840
1982-04-15,4.018044,4.097451,3.938636,4.065688,0.866675,1554472
1982-04-16,4.08157,4.113333,4.033925,4.033925,0.859904,2216402
1982-04-19,3.954517,4.033925,3.859228,3.875109,0.82605,1730777
1982-04-20,3.859228,3.890991,3.827464,3.843346,0.819278,1189270
1982-04-21,3.875109,3.938636,3.811583,3.906872,0.83282,1086163
1982-04-22,4.002162,4.049807,3.938636,4.033925,0.859904,1765408
1982-04-23,4.113333,4.160978,4.049807,4.129215,0.880216,3086907
1982-04-26,4.08157,4.145096,4.002162,4.049807,0.86329,2420254
1982-04-27,4.065688,4.097451,4.033925,4.065688,0.866675,2074729
1982-04-28,4.033925,4.065688,4.002162,4.018044,0.856518,1167232
1982-04-29,4.002162,4.033925,3.954517,3.954517,0.842976,867356
1982-04-30,3.98628,4.018044,3.954517,4.002162,0.853133,2635913
1982-05-03,3.922754,3.954517,3.890991,3.906872,0.84762,1744157
1982-05-04,3.906872,3.954517,3.859228,3.890991,0.844175,2180984
1982-05-05,3.954517,4.002162,3.890991,3.970399,0.861403,3184504
1982-05-06,4.065688,4.129215,3.98628,4.129215,0.895858,5733051
1982-05-07,4.224504,4.272149,4.160978,4.224504,0.916532,4443036
1982-05-10,4.192741,4.240386,4.129215,4.176859,0.906196,2336824
1982-05-11,4.224504,4.288031,4.160978,4.256267,0.923424,3727585
1982-05-12,4.224504,4.288031,4.160978,4.192741,0.909641,1574936
1982-05-13,4.176859,4.208623,4.145096,4.145096,0.899304,1368723
1982-05-14,4.097451,4.145096,4.049807,4.065688,0.882076,777630
1982-05-17,4.049807,4.08157,4.002162,4.033925,0.875185,1119220
1982-05-18,3.98628,4.018044,3.938636,3.954517,0.857957,1269551
1982-05-19,3.98628,4.018044,3.938636,3.954517,0.857957,1154638
1982-05-20,3.98628,4.033925,3.938636,3.970399,0.861403,2324231
1982-05-21,3.938636,3.970399,3.906872,3.906872,0.84762,1580446
1982-05-24,3.98628,4.033925,3.938636,3.970399,0.861403,2324231
1982-05-25,4.08157,4.145096,4.002162,4.033925,0.875185,3437155
1982-05-26,3.98628,4.018044,3.954517,3.954517,0.857957,1589891
1982-05-27,3.938636,3.970399,3.890991,3.890991,0.844175,3055424
1982-05-28,3.890991,3.922754,3.859228,3.859228,0.837283,1189270
1982-06-01,3.906872,3.954517,3.859228,3.938636,0.854511,1726055
1982-06-02,3.954517,3.970399,3.922754,3.970399,0.861403,2166816
1982-06-03,3.98628,4.018044,3.954517,4.002162,0.868294,1976344
1982-06-04,3.954517,3.98628,3.906872,3.938636,0.854511,1069634
1982-06-07,3.970399,4.033925,3.906872,4.018044,0.871739,1779576
1982-06-08,4.049807,4.08157,4.002162,4.018044,0.871739,1400206
1982-06-09,4.033925,4.049807,4.002162,4.002162,0.868294,1526925
1982-06-10,4.049807,4.08157,4.018044,4.065688,0.882076,1888192
1982-06-11,4.097451,4.129215,4.065688,4.065688,0.882076,1404928
1982-06-14,4.018044,4.08157,3.954517,3.954517,0.857957,1601697
1982-06-15,3.922754,3.970399,3.859228,3.875109,0.840729,811474
1982-06-16,3.827464,3.890991,3.763938,3.77982,0.820055,1290015
