Date,Open,High,Low,Close,Adj Close,Volume
2007-02-02,75.0,77.0,70.699997,75.0,23.145958,693420
2007-02-05,75.099998,75.300003,74.25,74.300003,22.929934,57640
2007-02-06,74.25,75.25,74.25,74.550003,23.00709,35240
2007-02-07,75.0,75.25,74.599998,75.150002,23.192255,14620
2007-02-08,75.25,75.25,74.300003,75.0,23.145958,9840
2007-02-09,75.0,75.650002,74.300003,74.75,23.068811,13200
2007-02-12,74.5,74.599998,72.25,73.449997,22.667612,16180
2007-02-13,72.5,74.0,72.25,72.650002,22.420719,14680
2007-02-14,73.0,74.949997,72.5,74.449997,22.97621,11780
2007-02-15,74.150002,74.949997,72.400002,73.25,22.605886,16940
2007-02-16,73.25,74.5,72.5,73.75,22.760189,9780
2007-02-20,73.150002,75.0,72.550003,74.050003,22.852776,39700
2007-02-21,73.550003,74.0,73.050003,73.849998,22.791046,10480
2007-02-22,73.5,74.0,73.050003,73.449997,22.667612,9820
2007-02-23,73.5,75.0,73.300003,73.800003,22.775614,11740
2007-02-26,74.150002,75.0,73.900002,75.0,23.145958,5640
2007-02-27,74.0,74.349998,73.099998,73.849998,22.791046,15200
2007-02-28,74.050003,74.400002,72.5,72.5,22.37443,22440
2007-03-01,73.0,73.25,71.75,72.5,22.37443,11600
2007-03-02,72.849998,73.5,72.050003,72.849998,22.482445,7640
2007-03-05,71.800003,72.400002,71.75,72.25,22.29727,7880
2007-03-06,72.300003,72.449997,71.400002,71.550003,22.081249,11640
2007-03-07,71.300003,72.5,71.25,72.5,22.37443,10280
2007-03-08,72.5,73.75,72.25,73.75,22.760189,4680
2007-03-09,74.0,74.5,72.900002,73.599998,22.7139,6680
2007-03-12,73.099998,73.75,72.849998,73.650002,22.729321,5740
2007-03-13,73.0,74.099998,73.0,73.800003,22.775614,6900
2007-03-14,74.75,75.0,73.599998,74.800003,23.084236,7740
2007-03-15,74.150002,75.75,74.150002,75.599998,23.331123,10240
2007-03-16,75.900002,76.0,73.75,75.75,23.377413,17000
2007-03-19,76.0,76.550003,74.5,76.5,23.608881,13800
2007-03-20,76.0,78.25,75.800003,77.5,23.917492,23420
2007-03-21,77.550003,78.650002,76.449997,78.5,24.226107,37200
2007-03-22,78.0,81.949997,78.0,81.699997,25.213663,25840
2007-03-23,81.300003,81.5,80.25,81.099998,25.028502,10620
2007-03-26,81.150002,81.400002,79.349998,80.150002,24.735313,10200
2007-03-27,79.900002,80.400002,77.5,79.849998,24.642736,7400
2007-03-28,79.949997,81.0,78.699997,80.050003,24.704447,11240
2007-03-29,80.650002,81.75,80.449997,81.599998,25.182802,13480
2007-03-30,81.75,82.25,81.150002,81.849998,25.259956,8940
2007-04-02,81.25,82.150002,80.349998,81.449997,25.136515,7360
2007-04-03,81.900002,82.5,80.550003,81.800003,25.24453,6120
2007-04-04,81.900002,83.0,81.900002,82.650002,25.506851,22720
2007-04-05,82.849998,82.849998,80.900002,81.150002,25.043936,5060
2007-04-09,81.0,82.5,80.699997,81.25,25.07478,9500
2007-04-10,81.5,82.800003,81.5,82.300003,25.398829,9220
2007-04-11,82.400002,83.650002,82.300003,82.550003,25.475992,7380
2007-04-12,82.800003,83.75,82.300003,83.400002,25.738312,8580
2007-04-13,83.400002,83.75,83.0,83.550003,25.784592,7600
2007-04-16,83.650002,84.449997,83.0,83.550003,25.784592,7220
2007-04-17,83.650002,84.900002,83.349998,84.25,26.000624,10320
2007-04-18,84.300003,84.300003,83.25,84.0,25.923473,7460
2007-04-19,83.75,83.75,82.650002,83.0,25.614862,7900
2007-04-20,83.0,84.75,83.0,84.75,26.15493,5660
2007-04-23,85.5,87.900002,85.25,85.5,26.386393,25740
2007-04-24,85.75,87.050003,85.650002,86.5,26.695011,12080
2007-04-25,87.0,90.900002,85.849998,88.5,27.312237,27080
2007-04-26,89.949997,90.900002,89.5,89.599998,27.651711,17220
2007-04-27,89.300003,89.300003,86.050003,86.849998,26.803028,19860
2007-04-30,88.949997,90.949997,87.5,90.949997,28.068325,19320
2007-05-01,91.0,93.150002,90.099998,90.949997,28.068325,16620
2007-05-02,91.5,92.5,90.75,91.25,28.160902,11860
2007-05-03,90.25,90.449997,87.75,88.0,27.157942,15220
2007-05-04,88.5,88.75,85.300003,86.050003,26.556126,18560
2007-05-07,87.5,91.050003,86.5,87.0,26.849327,18540
2007-05-08,87.199997,87.599998,86.449997,87.150002,26.895613,10680
2007-05-09,87.599998,89.949997,87.599998,89.699997,27.682562,8160
2007-05-10,89.400002,90.25,89.400002,89.599998,27.651711,7100
2007-05-11,90.25,91.150002,90.0,91.099998,28.114616,4900
2007-05-14,91.349998,92.949997,91.050003,92.349998,28.500389,6720
2007-05-15,92.900002,92.900002,90.400002,90.650002,27.975748,10560
2007-05-16,90.75,91.849998,87.050003,87.199997,26.911043,20620
2007-05-17,87.849998,90.349998,87.0,90.099998,27.806021,13240
2007-05-18,91.349998,91.650002,88.75,89.300003,27.559124,9220
2007-05-21,89.75,91.699997,89.75,90.849998,28.037476,6140
2007-05-22,91.699997,91.699997,87.699997,88.0,27.399195,10500
2007-05-23,89.0,90.0,88.599998,88.650002,27.601582,9140
2007-05-24,89.449997,89.650002,87.5,87.5,27.243519,8000
