Date,Open,High,Low,Close,Adj Close,Volume
2008-09-08,9.0,9.0,9.0,9.0,7.515016,800
2008-09-09,8.97,9.13,8.95,9.13,7.623567,1500
2008-09-10,8.96,8.96,8.96,8.96,7.481616,100
2008-09-11,8.96,8.96,8.96,8.96,7.481616,0
2008-09-12,8.9,8.9,8.9,8.9,7.431514,1000
2008-09-15,8.9,8.9,8.9,8.9,7.431514,0
2008-09-16,8.99,8.99,8.99,8.99,7.506666,100
2008-09-17,8.99,8.99,8.99,8.99,7.506666,0
2008-09-18,8.7,8.7,8.6,8.7,7.264515,1100
2008-09-19,8.85,8.86,8.8,8.82,7.364717,3500
2008-09-22,8.8,8.8,8.8,8.8,7.348015,900
2008-09-23,8.74,8.8,8.74,8.8,7.348015,15100
2008-09-24,8.7,8.8,8.6,8.6,7.181015,7200
2008-09-25,8.6,8.6,8.6,8.6,7.181015,0
2008-09-26,8.74,8.74,8.5,8.5,7.097516,7400
2008-09-29,8.5,8.9,8.25,8.85,7.389767,8200
2008-09-30,8.5,8.75,8.5,8.73,7.289566,14900
2008-10-01,8.99,8.99,7.5,7.5,6.262513,3100
2008-10-02,7.97,7.98,7.5,7.59,6.337663,7800
2008-10-03,7.52,8.56,7.52,8.27,6.905465,2900
2008-10-06,7.53,7.57,7.5,7.5,6.262513,2800
2008-10-07,7.5,7.98,7.5,7.96,6.646614,72400
2008-10-08,7.51,7.51,7.0,7.5,6.262513,9900
2008-10-09,7.69,7.69,7.4,7.4,6.179012,6100
2008-10-10,7.01,7.8,7.0,7.0,5.845013,2100
2008-10-13,7.99,7.99,7.12,7.9,6.596514,1100
2008-10-14,7.26,7.88,7.25,7.25,6.053762,400
2008-10-15,7.69,7.7,7.12,7.39,6.170662,1200
2008-10-16,7.16,7.16,7.0,7.0,5.845013,4300
2008-10-17,7.14,7.14,6.9,7.0,5.845013,4100
2008-10-20,7.0,7.13,7.0,7.0,5.845013,3100
2008-10-21,7.26,7.26,6.6,6.61,5.519362,4500
2008-10-22,7.0,7.0,7.0,7.0,5.845013,300
2008-10-23,6.6,6.6,6.6,6.6,5.511012,800
2008-10-24,6.6,6.6,6.6,6.6,5.511012,100
2008-10-27,6.35,6.72,6.35,6.5,5.427512,2000
2008-10-28,6.75,6.75,6.75,6.75,5.636262,100
2008-10-29,6.75,7.0,6.75,7.0,5.845013,2000
2008-10-30,7.0,7.0,7.0,7.0,5.845013,0
2008-10-31,7.0,7.0,7.0,7.0,5.845013,0
2008-11-03,7.0,7.19,7.0,7.19,6.003663,1800
2008-11-04,7.0,7.03,6.89,7.0,5.845013,5500
2008-11-05,7.0,7.25,7.0,7.15,5.970261,3000
2008-11-06,7.02,7.03,6.55,6.99,5.836662,4100
2008-11-07,7.0,7.0,6.8,7.0,5.845013,1000
2008-11-10,6.9,6.9,6.9,6.9,5.761512,2000
2008-11-11,6.3,6.69,6.3,6.5,5.427512,900
2008-11-12,6.5,6.5,6.5,6.5,5.427512,0
2008-11-13,6.54,7.0,6.54,7.0,5.845013,1200
2008-11-14,7.0,7.1,7.0,7.1,5.928512,4100
2008-11-17,7.1,7.1,7.1,7.1,5.928512,0
2008-11-18,7.11,7.58,7.11,7.58,6.329314,700
2008-11-19,7.03,7.46,7.0,7.0,5.845013,4200
2008-11-20,7.0,7.0,7.0,7.0,5.845013,6100
2008-11-21,7.25,7.25,6.9,6.9,5.761512,10800
2008-11-24,6.7,6.7,6.7,6.7,5.594512,1000
2008-11-25,6.7,6.7,6.7,6.7,5.594512,0
2008-11-26,6.5,6.5,6.5,6.5,5.427512,1000
2008-11-28,6.3,6.3,6.05,6.06,5.060111,300
2008-12-01,6.44,6.44,6.44,6.44,5.377412,400
2008-12-02,6.26,6.95,6.25,6.95,5.803261,1000
2008-12-03,6.07,6.07,6.07,6.07,5.06846,200
2008-12-04,6.55,6.55,6.24,6.25,5.21876,9000
2008-12-05,6.2,6.2,6.1,6.1,5.093511,1900
2008-12-08,6.01,6.01,6.01,6.01,5.018361,800
2008-12-09,6.5,6.5,6.3,6.3,5.260512,2300
2008-12-10,6.3,6.3,6.3,6.3,5.260512,0
2008-12-11,6.23,6.23,6.2,6.2,5.177011,7700
2008-12-12,6.01,6.54,6.01,6.15,5.135262,3000
2008-12-15,6.15,6.15,6.15,6.15,5.135262,400
2008-12-16,6.25,6.25,6.15,6.19,5.168661,17500
2008-12-17,6.15,6.15,6.01,6.15,5.135262,3200
2008-12-18,6.15,6.15,6.14,6.14,5.12691,500
2008-12-19,6.05,6.94,6.05,6.94,5.794912,1500
2008-12-22,6.03,6.94,6.0,6.05,5.051761,5500
2008-12-23,6.0,6.0,5.75,5.75,4.80126,500
2008-12-24,5.75,5.75,5.75,5.75,4.80126,0
2008-12-26,6.24,6.25,6.24,6.25,5.21876,5900
2008-12-29,6.43,6.43,6.1,6.1,5.093511,19500
