Date,Open,High,Low,Close,Adj Close,Volume
2002-05-21,17.5,18.41,17.02,18.120001,9.798672,1685400
2002-05-22,18.24,18.25,18.0,18.25,9.868977,304500
2002-05-23,18.33,18.9,18.15,18.549999,10.031203,183100
2002-05-24,18.700001,18.950001,18.610001,18.879999,10.209659,26000
2002-05-28,18.75,19.309999,18.559999,19.15,10.355659,68900
2002-05-29,19.0,19.01,18.459999,18.799999,10.166392,119300
2002-05-30,18.700001,18.950001,18.65,18.75,10.139357,139600
2002-05-31,18.950001,19.25,18.51,18.75,10.139357,124800
2002-06-03,18.76,19.01,18.530001,18.6,10.05824,139300
2002-06-04,18.799999,18.799999,18.5,18.57,10.042019,102900
2002-06-05,18.549999,18.68,18.4,18.5,10.004166,163400
2002-06-06,18.559999,18.77,18.51,18.690001,10.106913,17400
2002-06-07,18.6,18.709999,18.4,18.709999,10.117723,165500
2002-06-10,18.700001,18.940001,18.450001,18.719999,10.123136,128100
2002-06-11,18.879999,19.5,18.549999,18.9,10.220467,31900
2002-06-12,18.76,19.0,18.76,19.0,10.27455,13300
2002-06-13,18.799999,19.450001,18.799999,19.139999,10.350249,22200
2002-06-14,19.5,19.5,18.98,19.07,10.312399,10400
2002-06-17,19.6,20.35,19.200001,20.25,10.950504,57900
2002-06-18,20.190001,20.549999,19.940001,20.299999,10.977539,52000
2002-06-19,20.09,21.450001,20.09,21.18,11.453414,44300
2002-06-20,21.049999,21.35,20.200001,20.799999,11.247921,90000
2002-06-21,20.200001,20.92,20.200001,20.74,11.215476,54100
2002-06-24,20.639999,20.99,20.25,20.51,11.091105,58500
2002-06-25,20.879999,21.200001,20.280001,21.1,11.410153,56100
2002-06-26,20.6,22.42,20.27,21.49,11.621049,102300
2002-06-27,21.5,23.200001,21.030001,22.5,12.167228,63500
2002-06-28,21.99,21.99,21.35,21.530001,11.64268,334700
2002-07-01,20.52,21.389999,20.26,20.370001,11.015395,99600
2002-07-02,20.940001,20.940001,17.35,18.5,10.004166,81500
2002-07-03,18.42,18.91,18.200001,18.85,10.193434,73600
2002-07-05,18.85,19.91,18.84,19.91,10.76665,14200
2002-07-08,19.559999,20.82,19.530001,20.35,11.004584,45600
2002-07-09,20.360001,20.65,20.0,20.049999,10.842348,26500
2002-07-10,20.01,20.51,18.969999,19.07,10.312399,27500
2002-07-11,18.9,19.32,18.559999,18.790001,10.160989,45200
2002-07-12,18.83,20.0,18.83,19.540001,10.566561,24000
2002-07-15,20.049999,20.5,19.5,20.0,10.81531,36200
2002-07-16,20.0,20.15,19.799999,20.0,10.81531,24800
2002-07-17,20.0,20.0,19.0,20.0,10.81531,46700
2002-07-18,20.049999,20.74,19.75,19.790001,10.701755,39700
2002-07-19,19.9,19.959999,19.17,19.5,10.54493,23300
2002-07-22,19.950001,19.950001,18.209999,18.209999,9.847342,52900
2002-07-23,18.35,19.049999,18.209999,18.84,10.188023,64900
2002-07-24,18.5,19.709999,18.139999,19.639999,10.62064,80200
2002-07-25,19.799999,20.389999,19.360001,19.93,10.777457,53600
2002-07-26,20.0,20.129999,19.940001,20.0,10.81531,24100
2002-07-29,19.99,21.5,19.92,21.07,11.393931,51400
2002-07-30,21.15,21.85,20.120001,21.540001,11.648095,49400
2002-07-31,21.5,22.610001,21.35,22.09,11.945514,29300
2002-08-01,22.49,23.75,22.1,23.290001,12.594432,79200
2002-08-02,22.99,23.190001,22.0,22.1,11.950921,20500
2002-08-05,22.290001,22.389999,20.67,20.959999,11.334444,187200
2002-08-06,21.5,22.389999,20.02,20.02,10.826127,252900
2002-08-07,20.030001,21.0,19.780001,20.0,10.81531,13800
2002-08-08,19.799999,21.02,19.799999,21.02,11.366895,28800
2002-08-09,20.120001,21.35,20.120001,20.709999,11.199253,17700
2002-08-12,20.549999,21.379999,20.17,20.219999,10.934283,12800
2002-08-13,20.6,21.129999,20.17,20.309999,10.982952,6000
2002-08-14,21.0,21.0,20.309999,20.99,11.35067,28600
2002-08-15,20.719999,20.99,20.450001,20.77,11.231701,2900
2002-08-16,20.67,21.02,20.549999,20.92,11.312819,15600
2002-08-19,21.059999,22.6,20.67,21.74,11.756243,53000
2002-08-20,21.99,21.99,21.33,21.74,11.756243,68100
2002-08-21,21.5,21.82,20.75,21.18,11.453414,12700
2002-08-22,21.18,21.200001,20.02,20.16,10.901834,40400
2002-08-23,20.25,20.75,20.25,20.719999,11.204664,38700
2002-08-26,20.75,20.860001,20.5,20.639999,11.161401,13000
