Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,19.99,20.0,19.9,19.98,14.948632,626100
2019-11-27,19.950001,20.0,19.75,19.98,14.948632,608600
2019-11-29,19.98,20.030001,19.9,20.0,14.963604,367200
2019-12-02,20.040001,20.040001,19.9,19.9,14.888784,46600
2019-12-03,19.780001,19.99,19.780001,19.950001,14.926194,54800
2019-12-04,19.99,19.99,19.700001,19.92,14.903747,55700
2019-12-05,20.01,20.01,19.941999,19.959999,14.933676,28800
2019-12-06,19.959999,20.0,19.6,19.6,14.664328,88500
2019-12-09,19.75,19.92,19.75,19.865,14.862598,18300
2019-12-10,19.73,19.92,19.700001,19.83,14.836415,42100
2019-12-11,19.83,19.950001,19.83,19.9,14.888784,27000
2019-12-12,19.950001,20.01,19.91,19.989,14.955377,22400
2019-12-13,20.0,20.0,19.940001,19.972,14.942648,16600
2019-12-16,20.0,20.01,19.98,20.01,14.971085,33100
2019-12-17,20.01,20.01,19.99,20.0,14.963604,23800
2019-12-18,19.968,20.01,19.950001,20.01,14.971085,11200
2019-12-19,19.950001,20.469999,19.950001,20.02,14.978565,41000
2019-12-20,20.18,20.299999,20.09,20.15,15.075829,24900
2019-12-23,20.16,20.25,20.09,20.09,15.030936,25200
2019-12-24,19.77,20.17,19.549999,19.74,14.769074,69600
2019-12-26,19.9,19.9,19.6,19.610001,14.671816,43500
2019-12-27,19.75,19.75,19.51,19.700001,14.739148,63900
2019-12-30,19.690001,19.83,19.51,19.808001,14.851618,61400
2019-12-31,19.799999,19.799999,19.6,19.610001,14.70316,102100
2020-01-02,19.809999,19.809999,19.65,19.697001,14.768391,30400
2020-01-03,19.761,19.809999,19.610001,19.67,14.748145,20600
2020-01-06,19.67,19.886999,19.610001,19.75,14.808131,26500
2020-01-07,19.659,20.450001,19.659,19.889999,14.913096,49900
2020-01-08,19.976999,20.0,19.799999,19.84,14.875609,29100
2020-01-09,20.306999,20.35,19.9,20.1,15.070551,48500
2020-01-10,20.042,20.080999,19.92,19.99,14.988075,32700
2020-01-13,20.066999,20.139999,19.91,19.98,14.980574,25100
2020-01-14,19.927,20.120001,19.620001,19.98,14.980574,17500
2020-01-15,19.98,19.98,19.67,19.9,14.920592,17600
2020-01-16,19.85,19.98,19.85,19.950001,14.958084,27000
2020-01-17,19.98,19.98,19.75,19.75,14.808131,19900
2020-01-21,19.75,19.940001,19.559999,19.709999,14.778133,22300
2020-01-22,19.639999,19.781,19.440001,19.5,14.62068,68800
2020-01-23,19.6,19.643999,19.209999,19.35,14.508223,54000
2020-01-24,19.447001,19.448999,19.219999,19.4,14.545707,29800
2020-01-27,19.27,19.43,19.24,19.4,14.545707,22200
2020-01-28,19.450001,19.49,19.33,19.424999,14.564458,32800
2020-01-29,19.33,19.48,19.33,19.4,14.545707,29600
2020-01-30,19.358999,19.52,19.35,19.5,14.62068,12000
2020-01-31,19.502001,19.549999,19.35,19.540001,14.650681,22500
2020-02-03,19.48,19.540001,19.360001,19.486,14.610188,32700
2020-02-04,19.610001,19.66,19.5,19.6,14.695657,41100
2020-02-05,19.618,19.74,19.59,19.700001,14.770643,10000
2020-02-06,19.629999,19.629999,19.41,19.41,14.553203,37800
2020-02-07,19.370001,19.549999,19.35,19.360001,14.51571,29800
2020-02-10,19.389999,19.540001,19.25,19.280001,14.455733,32200
2020-02-11,19.299999,19.716999,19.299999,19.5,14.62068,43200
2020-02-12,19.57,19.57,19.41,19.483999,14.608686,39800
2020-02-13,19.360001,19.464001,19.280001,19.33,14.575511,27400
2020-02-14,19.299999,19.42,19.299999,19.395,14.624522,17200
2020-02-18,19.4,19.469999,19.4,19.448,14.664488,10900
2020-02-19,19.450001,19.459999,19.34,19.34,14.583052,25600
2020-02-20,19.4,19.4,19.259001,19.34,14.583052,52200
2020-02-21,19.27,19.35,18.969999,18.969999,14.304055,64400
2020-02-24,18.77,19.165001,17.99,18.4,13.874252,164500
2020-02-25,18.209999,19.042999,17.969999,17.969999,13.550019,118100
2020-02-26,18.292999,18.459999,18.0,18.402,13.875767,127900
2020-02-27,18.02,18.49,17.99,18.201,13.724204,105400
2020-02-28,17.77,18.48,17.362,18.24,13.753611,324800
2020-03-02,18.09,18.17,17.358,17.84,13.451993,94000
2020-03-03,17.82,18.405001,17.469999,17.601999,13.272535,53900
2020-03-04,18.15,18.15,17.780001,18.09,13.640501,58400
2020-03-05,17.950001,18.93,17.85,18.1,13.648044,102400
2020-03-06,17.84,18.025999,17.84,17.98,13.557566,11600
2020-03-09,17.450001,18.051001,15.52,16.110001,12.147514,97400
2020-03-10,16.25,17.879999,15.58,16.26,12.260622,62300
2020-03-11,16.24,16.24,14.49,15.05,11.348236,131800
2020-03-12,14.24,16.1,9.84,14.04,10.664606,340100
2020-03-13,14.29,14.29,11.3,13.84,10.512689,133500
2020-03-16,11.04,13.75,11.04,11.24,8.537764,87700
2020-03-17,11.0,12.07,10.11,12.07,9.168219,203700
2020-03-18,10.25,12.06,9.2,9.64,7.322425,185800
2020-03-19,9.99,11.6,9.22,11.16,8.476997,120900
2020-03-20,11.94,12.75,10.02,10.91,8.287097,106400
2020-03-23,10.81,11.5,10.01,11.1,8.43142,173400
2020-03-24,12.0,12.0,11.2,11.825,8.982119,100500
2020-03-25,12.0,13.09,11.53,12.55,9.532823,124300
2020-03-26,12.722,13.81,12.65,13.51,10.262025,249400
2020-03-27,13.5,14.62,13.13,14.1,10.710186,93200
2020-03-30,13.97,14.668,13.05,14.38,10.922867,142700
2020-03-31,14.81,14.94,13.52,14.44,10.968441,167600
2020-04-01,13.93,14.3,13.4,13.5,10.254427,44000
2020-04-02,13.01,13.76,13.0,13.18,10.011362,75300
2020-04-03,13.01,13.5,12.86,12.86,9.768297,97700
2020-04-06,13.01,14.0,12.81,13.95,10.596244,52900
2020-04-07,14.05,14.5,13.802,13.89,10.550668,93300
2020-04-08,13.89,14.65,13.89,14.14,10.740568,126000
2020-04-09,14.18,16.200001,13.61,15.54,11.80399,418100
2020-04-13,15.07,15.07,14.11,14.71,11.253188,170200
