Date,Open,High,Low,Close,Adj Close,Volume
1998-04-24,24.75,25.25,21.75,23.125,20.851397,3292600
1998-04-27,22.0,23.0,20.75,22.875,20.625975,773600
1998-04-28,23.5,23.875,22.75,23.5,21.189526,190600
1998-04-29,23.5,24.25,23.125,23.625,21.302235,199000
1998-04-30,23.0,24.5,22.625,24.0,21.640368,195300
1998-05-01,24.5,24.875,23.75,24.5,22.091206,66000
1998-05-04,25.0,25.0,23.8125,24.75,22.316622,126100
1998-05-05,24.375,25.0,24.375,24.875,22.429338,57500
1998-05-06,24.5,25.625,24.5,25.125,22.65476,92300
1998-05-07,25.5,25.5,24.875,25.125,22.65476,35000
1998-05-08,24.75,25.25,24.75,24.875,22.429338,64900
1998-05-11,25.25,26.0,24.875,26.0,23.443729,73000
1998-05-12,26.125,26.125,25.5,26.0,23.443729,12000
1998-05-13,26.0,26.125,25.5,25.5,22.992886,32800
1998-05-14,25.0,25.625,25.0,25.25,22.767467,11000
1998-05-15,25.25,26.625,25.25,26.0,23.443729,26900
1998-05-18,26.625,27.125,26.0,27.125,24.458117,19700
1998-05-19,26.5,27.25,26.25,26.875,24.232698,69300
1998-05-20,26.25,26.75,26.0,26.75,24.119987,17700
1998-05-21,26.25,26.5,24.625,24.875,22.429338,28400
1998-05-22,25.0,25.25,24.0,24.125,21.753077,51200
1998-05-26,24.375,25.0,24.375,24.75,22.316622,29200
1998-05-27,24.0,24.25,23.0,24.0,21.640368,51200
1998-05-28,24.40625,24.625,24.40625,24.625,22.203915,1000
1998-05-29,24.75,25.5,24.625,25.375,22.880178,9300
1998-06-01,25.375,25.4375,24.75,25.0,22.542048,32100
1998-06-02,24.75,25.125,24.5,25.125,22.65476,26700
1998-06-03,24.5,25.125,24.5,24.5,22.091206,51900
1998-06-04,24.5,24.75,24.5,24.5,22.091206,4200
1998-06-05,24.75,25.25,24.75,25.25,22.767467,10100
1998-06-08,24.75,25.625,24.75,25.625,23.1056,5300
1998-06-09,26.0,27.875,26.0,27.5,24.796251,78300
1998-06-10,27.5,27.75,26.5,26.5,23.894571,67300
1998-06-11,26.5,26.75,26.375,26.375,23.78186,16200
1998-06-12,27.0,27.125,26.25,27.125,24.458117,41700
1998-06-15,27.0,27.0,26.5,26.5,23.894571,2400
1998-06-16,27.25,27.25,26.5,27.0,24.345407,10300
1998-06-17,27.0,27.0,26.125,26.125,23.55644,16000
1998-06-18,26.125,26.5,25.5,25.5,22.992886,37900
1998-06-19,25.0,25.0,24.875,25.0,22.542048,75100
1998-06-22,25.0625,25.0625,24.875,24.875,22.429338,6700
1998-06-23,25.625,25.625,25.625,25.625,23.1056,900
1998-06-24,24.875,25.625,24.875,25.625,23.1056,1200
1998-06-25,24.875,25.625,24.875,25.0,22.542048,25800
1998-06-26,25.0,25.5,24.875,25.5,22.992886,11400
1998-06-29,25.0,25.5,25.0,25.0,22.542048,1000
1998-06-30,25.0,25.5,24.875,25.0,22.542048,50900
1998-07-01,25.0,26.75,25.0,26.75,24.119987,8200
1998-07-02,26.0,27.125,26.0,26.375,23.78186,27600
1998-07-06,26.25,27.125,26.25,26.625,24.007278,3400
1998-07-07,26.875,27.125,26.375,26.875,24.232698,10500
1998-07-08,27.125,27.125,26.125,26.125,23.55644,80600
1998-07-09,26.125,26.875,26.125,26.875,24.232698,11900
1998-07-10,26.125,26.25,26.125,26.25,23.669147,2800
1998-07-13,26.75,27.125,26.0,26.0,23.443729,42400
1998-07-14,27.125,27.875,27.0,27.875,25.134378,3200
1998-07-15,27.75,28.0,27.25,27.25,24.570827,3200
1998-07-16,27.25,28.25,27.25,28.25,25.472515,15600
1998-07-17,28.25,28.25,27.25,28.0,25.247089,4000
1998-07-20,27.25,28.25,27.25,28.25,25.472515,1000
1998-07-21,28.25,28.25,27.5,28.25,25.472515,6400
1998-07-22,27.5,29.0,27.5,29.0,26.148773,14200
1998-07-23,28.125,28.125,28.125,28.125,25.359802,1000
1998-07-24,29.125,29.125,28.125,29.125,26.261488,10100
1998-07-27,29.0,29.375,28.125,29.375,26.486908,40200
1998-07-28,29.0,29.375,28.375,29.375,26.486908,48900
1998-07-29,29.625,29.75,29.375,29.625,26.712326,19600
1998-07-30,29.375,29.375,28.0,28.625,25.81064,49100
1998-07-31,28.875,28.875,27.875,28.125,25.359802,1500
1998-08-03,27.875,28.875,27.875,27.875,25.134378,1200
1998-08-04,28.0,28.0,27.875,27.875,25.134378,53700
1998-08-05,27.875,28.625,27.875,28.0,25.247089,6100
1998-08-06,27.875,28.0,27.875,28.0,25.247089,120200
1998-08-07,27.625,28.625,27.625,27.75,25.021671,44800
1998-08-10,27.625,28.625,27.625,27.75,25.021671,1100
1998-08-11,28.375,28.375,27.0,28.0,25.247089,16500
1998-08-12,27.5625,28.25,27.5,27.6875,24.965321,15200
1998-08-13,27.25,28.25,27.25,28.25,25.472515,200
1998-08-14,27.5,28.0,27.5,27.5625,24.852602,4200
1998-08-17,27.25,27.5625,27.25,27.5625,24.852602,2300
1998-08-18,27.375,28.0,27.375,27.375,24.68354,1400
1998-08-19,27.5,27.5,27.5,27.5,24.796251,300
1998-08-20,27.5,28.0,27.5,27.5,24.796251,2200
1998-08-21,27.5,27.625,27.25,27.625,24.908958,13300
1998-08-24,27.25,28.0,27.0,28.0,25.247089,7000
1998-08-25,27.0,27.0,26.125,26.5,23.894571,235700
1998-08-26,26.5,26.5,26.5,26.5,23.894571,5100
1998-08-27,26.25,26.25,25.0,25.0,22.542048,12500
1998-08-28,25.0,26.0,22.75,24.0,21.640368,29900
1998-08-31,23.75,24.5,23.75,24.5,22.091206,26200
1998-09-01,23.875,24.5,23.875,24.0,21.640368,44300
1998-09-02,24.0,24.0625,23.75,23.75,21.414944,8300
1998-09-03,24.5,24.5,23.75,24.5,22.091206,22000
1998-09-04,24.5,24.5,24.5,24.5,22.091206,0
1998-09-08,24.5,24.5,23.75,23.75,21.414944,2200
1998-09-09,23.75,23.875,23.75,23.875,21.527651,2900
1998-09-10,24.5,24.5,23.75,23.75,21.414944,12900
1998-09-11,24.5,24.5,24.5,24.5,22.091206,400
1998-09-14,23.75,23.75,23.75,23.75,21.414944,1500
1998-09-15,23.875,23.875,23.875,23.875,21.527651,700
1998-09-16,23.875,24.25,23.875,24.25,21.865784,2000
1998-09-17,23.875,24.125,23.5,23.5,21.189526,48200
1998-09-18,24.25,24.25,23.5,23.5,21.189526,500
1998-09-21,23.5,24.0,23.5,23.5,21.189526,6000
1998-09-22,23.5,24.125,23.5,24.125,21.753077,4900
1998-09-23,23.5,24.5,23.5,24.5,22.091206,2000
1998-09-24,24.5,25.25,24.0,25.25,22.767467,10600
1998-09-25,24.25,25.125,24.25,25.125,22.65476,1900
1998-09-28,25.125,25.125,25.125,25.125,22.65476,0
1998-09-29,24.5,24.5,24.5,24.5,22.091206,2800
1998-09-30,24.5,24.5,23.75,23.75,21.414944,11500
1998-10-01,23.5,24.75,23.5,24.75,22.316622,8800
1998-10-02,25.0,25.0,25.0,25.0,22.542048,1500
1998-10-05,23.75,23.875,23.75,23.875,21.527651,75100
1998-10-06,23.5,23.625,23.5,23.5,21.189526,4100
1998-10-07,23.5,23.625,20.5,20.5,18.484474,22800
1998-10-08,19.5,20.5,19.5,19.75,17.808224,3000
1998-10-09,20.0,21.125,20.0,20.25,18.259062,2200
1998-10-12,20.25,20.25,20.0,20.0,18.033644,1300
1998-10-13,19.25,22.5,19.0,21.75,19.61158,23400
1998-10-14,23.0,23.0,22.0,22.0,19.837,1200
1998-10-15,22.0,23.0,22.0,22.0,19.837,800
1998-10-16,22.25,23.125,22.25,23.0,20.738684,15500
1998-10-19,23.75,23.75,22.5,23.25,20.964102,5000
1998-10-20,22.5,23.0,22.5,22.625,20.400551,24000
1998-10-21,23.5,23.5,22.5,23.5,21.189526,50700
1998-10-22,23.125,23.125,23.0,23.0,20.738684,4900
1998-10-23,23.75,23.75,23.0,23.75,21.414944,11500
1998-10-26,24.25,24.25,23.0,24.25,21.865784,6200
1998-10-27,25.0,25.0,25.0,25.0,22.542048,500
1998-10-28,24.5,24.9375,24.5,24.9375,22.485691,2100
1998-10-29,24.9375,24.9375,24.9375,24.9375,22.485691,0
1998-10-30,24.5,25.0,24.5,25.0,22.542048,2200
1998-11-02,24.5,25.0,24.5,24.875,22.429338,4900
1998-11-03,25.0,25.0,25.0,25.0,22.542048,700
1998-11-04,24.5,25.75,24.5,24.5,22.091206,2100
1998-11-05,24.5,24.625,24.5,24.625,22.203915,2600
1998-11-06,24.5,24.625,24.5,24.625,22.203915,4500
1998-11-09,24.625,24.625,24.625,24.625,22.203915,0
1998-11-10,24.5,24.5,24.5,24.5,22.091206,100
1998-11-11,24.5,24.625,24.5,24.5,22.091206,8100
1998-11-12,24.5,24.5,24.5,24.5,22.091206,400
1998-11-13,24.5,24.5,24.5,24.5,22.091206,0
1998-11-16,25.3125,25.5,24.5,24.625,22.203915,5300
1998-11-17,24.5,24.625,24.0,24.0,21.640368,18600
1998-11-18,24.75,24.75,24.0,24.25,21.865784,2500
1998-11-19,24.0,24.0,23.0,23.5,21.189526,29500
1998-11-20,23.25,24.25,22.5,22.5,20.287844,45900
1998-11-23,22.5,22.625,22.25,22.25,20.062424,11800
1998-11-24,22.25,23.0,22.25,23.0,20.738684,8700
1998-11-25,22.25,22.375,22.25,22.375,20.175129,10300
1998-11-27,22.375,22.5,22.375,22.5,20.287844,15000
1998-11-30,23.1875,23.1875,22.375,22.75,20.513258,5500
1998-12-01,22.75,23.375,22.75,23.375,21.076811,900
1998-12-02,22.5,23.125,22.5,23.125,20.851397,116400
1998-12-03,23.0,23.5,22.5,23.5,21.189526,139800
1998-12-04,23.0,23.125,23.0,23.0,20.738684,33100
1998-12-07,23.0,23.125,23.0,23.125,20.851397,51000
1998-12-08,23.0,24.25,23.0,23.8125,21.471302,10000
1998-12-09,23.75,24.25,23.75,24.125,21.753077,46100
1998-12-10,24.125,24.625,24.125,24.375,21.978497,20200
1998-12-11,24.125,24.75,24.125,24.75,22.316622,15000
1998-12-14,24.25,24.625,24.25,24.625,22.203915,1400
1998-12-15,24.75,25.125,23.75,23.75,21.414944,13600
1998-12-16,23.75,23.75,23.75,23.75,21.414944,0
1998-12-17,23.5,24.25,23.375,23.375,21.076811,5400
1998-12-18,23.75,24.0,23.0,23.375,21.076811,9800
1998-12-21,23.625,23.625,20.25,21.0,18.93532,42800
1998-12-22,20.5,21.0,18.125,21.0,18.93532,132400
1998-12-23,20.0,21.0,20.0,20.25,18.259062,39600
1998-12-24,20.25,21.5,20.25,20.25,18.259062,2700
1998-12-28,20.25,20.8125,20.25,20.375,18.371769,48500
1998-12-29,20.5,21.25,20.5,20.625,18.597185,13300
1998-12-30,20.625,21.0,20.5,21.0,18.93532,55400
1998-12-31,21.0625,21.875,20.625,21.875,19.724291,20900
1999-01-04,21.5,22.25,21.5,22.0,19.837,25100
1999-01-05,22.5,25.0,22.5,23.5,21.189526,24300
1999-01-06,23.5,24.125,23.125,23.25,20.964102,130900
1999-01-07,23.25,24.5,23.25,24.25,21.865784,9900
1999-01-08,24.25,26.375,23.5,25.75,23.218307,4800
1999-01-11,25.75,27.25,25.75,27.25,24.570827,3200
1999-01-12,27.25,27.625,25.625,27.625,24.908958,12700
1999-01-13,27.5,27.5,26.25,26.25,23.669147,72800
1999-01-14,26.25,26.25,26.25,26.25,23.669147,0
1999-01-15,26.375,29.125,26.375,29.125,26.261488,21100
1999-01-19,29.25,29.75,29.25,29.75,26.825037,600
1999-01-20,29.9375,30.75,29.375,30.375,27.388582,70200
1999-01-21,30.5,30.5,30.125,30.125,27.163164,3600
1999-01-22,30.5,30.5,30.0,30.0,27.050451,2800
1999-01-25,30.0,30.25,30.0,30.25,27.275877,1300
1999-01-26,30.0,30.125,26.75,27.625,24.908958,125600
1999-01-27,27.125,28.125,27.125,28.125,25.359802,5400
1999-01-28,28.125,28.25,28.125,28.25,25.472515,300
1999-01-29,28.375,28.375,28.0,28.375,25.58522,1100
1999-02-01,28.0,28.375,28.0,28.125,25.359802,800
1999-02-02,28.125,28.25,27.875,28.0,25.247089,21500
1999-02-03,27.875,28.0,27.875,28.0,25.247089,5600
1999-02-04,28.25,28.25,28.25,28.25,25.472515,1200
1999-02-05,28.25,29.125,28.25,29.125,26.261488,41300
1999-02-08,28.875,29.125,28.75,28.75,25.923355,63100
1999-02-09,28.75,29.0,28.75,29.0,26.148773,6900
1999-02-10,28.75,28.875,28.75,28.75,25.923355,9900
1999-02-11,28.78125,29.125,28.78125,29.0,26.148773,3000
1999-02-12,29.0,29.0,28.75,28.75,25.923355,1800
1999-02-16,28.625,28.75,28.0,28.5,25.697935,16100
1999-02-17,28.5,28.5,28.0,28.125,25.359802,5000
1999-02-18,28.0,28.125,28.0,28.125,25.359802,8600
1999-02-19,28.0,28.25,27.875,28.25,25.472515,17600
1999-02-22,27.875,28.375,27.875,28.375,25.58522,700
1999-02-23,28.0,28.375,27.875,28.0,25.247089,3600
1999-02-24,27.875,28.25,27.875,28.25,25.472515,11400
1999-02-25,27.875,28.0,27.875,28.0,25.247089,22200
1999-02-26,27.875,27.875,27.875,27.875,25.134378,900
1999-03-01,28.0,28.125,27.8125,27.8125,25.078028,19900
1999-03-02,27.625,27.625,27.625,27.625,24.908958,700
1999-03-03,28.25,28.25,27.0,27.5,24.796251,5300
1999-03-04,27.0,27.0,26.875,26.875,24.232698,1200
1999-03-05,27.0,27.0,26.75,26.75,24.119987,8100
1999-03-08,26.75,26.75,26.375,26.375,23.78186,2300
1999-03-09,27.0,27.0,26.375,26.375,23.78186,800
1999-03-10,26.375,26.75,26.25,26.25,23.669147,9700
1999-03-11,26.25,26.25,25.25,25.25,22.767467,8600
1999-03-12,25.0,25.0,22.5,23.0,20.738684,8400
1999-03-15,22.875,23.0,22.875,22.875,20.625975,20100
1999-03-16,23.375,23.375,23.125,23.375,21.076811,24000
1999-03-17,23.75,23.75,23.0,23.75,21.414944,82800
1999-03-18,23.375,23.75,23.375,23.5,21.189526,50800
1999-03-19,23.75,23.75,23.375,23.375,21.076811,4100
