Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,15.1,16.940001,15.1,16.82,15.894087,176200
2021-12-09,16.68,17.0,16.059999,16.379999,15.478307,440300
2021-12-10,16.4,16.540001,15.42,16.0,15.119226,386600
2021-12-13,16.01,16.040001,14.86,14.93,14.108129,310300
2021-12-14,14.59,14.78,14.12,14.5,13.701798,376100
2021-12-15,14.5,14.665,13.57,14.5,13.701798,309900
2021-12-16,14.52,14.99,13.54,13.78,13.021432,269500
2021-12-17,13.7,13.7,13.03,13.28,12.548958,502300
2021-12-20,12.67,12.88,12.28,12.39,11.707952,352500
2021-12-21,12.39,12.72,11.97,12.24,11.566208,730900
2021-12-22,12.21,13.04,11.9,12.44,11.755198,402900
2021-12-23,12.75,12.91,12.36,12.43,11.745749,271200
2021-12-27,12.31,12.84,12.12,12.84,12.13318,424100
2021-12-28,12.85,13.95,12.85,13.42,12.681251,772700
2021-12-29,13.75,13.75,13.05,13.44,12.70015,340000
2021-12-30,13.55,14.021,12.75,12.79,12.085932,314000
2021-12-31,12.79,13.05,12.4,12.68,11.981988,306600
2022-01-03,12.72,13.61,12.72,13.45,12.709599,299700
2022-01-04,13.61,14.17,13.61,13.94,13.172625,245300
2022-01-05,14.06,14.56,13.45,13.54,12.794645,322300
2022-01-06,13.9,14.39,13.64,14.18,13.399415,287200
2022-01-07,14.26,14.286,13.8,14.05,13.276571,156700
2022-01-10,14.0,14.07,13.27,13.58,12.832443,221900
2022-01-11,13.58,14.64,13.33,14.62,13.815193,197400
2022-01-12,14.94,15.19,14.4,14.64,13.834092,205400
2022-01-13,14.69,14.73,14.1,14.32,13.531707,202900
2022-01-14,14.4,15.16,14.4,15.13,14.297117,161300
2022-01-18,15.35,15.59,14.742,15.21,14.372713,226500
2022-01-19,15.21,15.42,14.18,14.2,13.418312,319300
2022-01-20,14.2,14.8,13.34,13.48,12.737947,367900
2022-01-21,13.38,13.46,12.31,12.6,11.906391,500700
2022-01-24,12.38,13.23,11.9,13.06,12.341069,413300
2022-01-25,12.89,13.91,12.35,13.68,12.926939,215200
2022-01-26,13.84,14.12,12.83,13.06,12.341069,181400
2022-01-27,13.38,13.52,12.6,12.87,12.161528,111400
2022-01-28,12.79,13.0,12.15,12.69,11.991436,154800
2022-01-31,12.9,13.563,12.66,13.27,12.539509,164100
2022-02-01,13.3,14.1,13.3,13.95,13.182076,183700
2022-02-02,14.04,14.12,13.15,13.5,12.756847,209700
2022-02-03,13.3,13.36,12.92,13.3,12.567858,146300
2022-02-04,13.43,14.11,13.43,13.96,13.191525,203100
2022-02-07,14.0,14.0,13.47,13.52,12.775746,206600
2022-02-08,13.62,13.62,12.86,12.95,12.237123,176500
2022-02-09,13.05,13.74,13.01,13.33,12.596206,255400
2022-02-10,13.21,14.05,13.15,13.34,12.605655,283700
2022-02-11,13.61,14.07,13.56,13.99,13.219873,344100
2022-02-14,13.99,14.18,13.62,13.97,13.200974,240200
2022-02-15,13.66,13.92,13.34,13.59,12.841894,140100
2022-02-16,14.17,15.3,14.05,14.25,13.465562,685900
2022-02-17,14.38,15.08,14.32,14.51,13.711247,219800
2022-02-18,14.46,14.56,13.97,14.12,13.342717,206700
2022-02-22,14.4,14.56,13.525,13.81,13.049782,206000
2022-02-23,13.87,14.1,13.74,13.94,13.172625,131800
