Date,Open,High,Low,Close,Adj Close,Volume
2003-10-28,13.1,14.15,13.1,14.15,12.029582,1478400
2003-10-29,14.25,14.95,13.6,13.905,11.821293,780800
2003-10-30,14.03,14.35,13.45,13.625,11.583256,445200
2003-10-31,13.65,14.0,12.95,14.0,11.902059,872600
2003-11-03,14.0,14.39,13.885,14.19,12.063584,281200
2003-11-04,14.24,14.46,14.15,14.295,12.152853,205800
2003-11-05,14.275,14.345,14.15,14.345,12.195361,64600
2003-11-06,14.395,14.425,14.3,14.35,12.199612,146800
2003-11-07,14.425,14.47,14.32,14.33,12.182607,348000
2003-11-10,14.275,14.32,14.2,14.275,12.135849,401600
2003-11-11,14.25,14.27,14.2,14.2,12.072088,284400
2003-11-12,14.205,14.7,14.205,14.45,12.284623,253400
2003-11-13,14.45,14.45,14.2,14.375,12.220863,301000
2003-11-14,14.375,14.375,14.2,14.2,12.072088,173200
2003-11-17,14.2,14.2,13.825,13.9,11.817044,144800
2003-11-18,13.9,13.975,13.175,13.2,11.221942,295200
2003-11-19,13.075,13.075,12.375,12.55,10.669343,579400
2003-11-20,12.25,12.575,11.9,12.37,10.516319,649400
2003-11-21,12.37,12.84,12.3,12.82,10.898885,648800
2003-11-24,13.0,14.305,12.865,13.96,11.868052,688000
2003-11-25,13.96,14.0,13.35,13.7,11.647014,190000
2003-11-26,13.7,13.72,13.325,13.535,11.506738,165400
2003-11-28,13.505,13.6,13.5,13.59,11.553497,71000
2003-12-01,13.65,13.95,13.575,13.875,11.795792,238400
2003-12-02,13.825,14.1,13.75,13.95,11.859551,195000
2003-12-03,14.0,14.25,13.15,13.2,11.221942,527400
2003-12-04,13.275,13.5,12.725,13.0,11.05191,518200
2003-12-05,12.75,12.925,12.75,12.775,10.860626,280400
2003-12-08,12.5,12.65,12.17,12.2,10.371797,464600
2003-12-09,12.25,12.475,12.25,12.3,10.456808,452400
2003-12-10,12.325,12.8,12.3,12.62,10.728856,425800
2003-12-11,12.625,12.725,12.625,12.645,10.75011,256000
2003-12-12,12.6,12.6,12.3,12.4,10.541821,341200
2003-12-15,12.45,12.5,12.38,12.4,10.541821,98400
2003-12-16,12.4,12.5,12.39,12.495,10.622588,150800
2003-12-17,12.5,12.7,12.495,12.55,10.669343,220800
2003-12-18,12.575,12.775,12.55,12.675,10.775614,202400
2003-12-19,12.75,12.75,12.675,12.675,10.775614,18800
2003-12-22,12.55,12.71,12.55,12.625,10.733107,118400
2003-12-23,12.625,12.745,12.625,12.7,10.796866,70600
2003-12-24,12.725,12.775,12.7,12.72,10.81387,38400
2003-12-26,12.77,12.95,12.75,12.95,11.009405,21200
2003-12-29,12.95,13.0,12.925,12.965,11.022157,83000
2003-12-30,12.97,13.05,12.925,12.95,11.009405,161400
2003-12-31,12.95,12.95,12.725,12.725,10.818122,59000
2004-01-02,12.73,12.875,12.525,12.57,10.686349,67800
2004-01-05,12.595,12.675,12.525,12.67,10.771364,113600
2004-01-06,12.675,12.825,12.67,12.775,10.860626,99600
2004-01-07,12.75,13.1,12.75,13.1,11.136927,147600
2004-01-08,13.1,13.175,13.03,13.125,11.158181,76000
2004-01-09,13.11,13.11,12.6,12.675,10.775614,201400
2004-01-12,12.65,12.65,12.5,12.5,10.626839,79400
2004-01-13,12.5,12.65,12.455,12.65,10.754361,110800
2004-01-14,12.625,12.675,12.45,12.525,10.648092,62400
2004-01-15,12.5,12.995,12.45,12.995,11.047661,524000
2004-01-16,12.995,13.55,12.975,13.55,11.51949,201000
2004-01-20,13.55,13.65,13.4,13.45,11.434478,120000
2004-01-21,13.425,13.525,13.4,13.525,11.49824,73000
2004-01-22,13.525,13.575,13.4,13.575,11.540748,36400
2004-01-23,13.575,13.865,13.575,13.825,11.753281,58600
2004-01-26,13.85,14.045,13.55,14.025,11.923315,64000
2004-01-27,14.025,14.025,13.9,13.905,11.821293,24400
2004-01-28,13.875,14.275,13.875,14.13,12.012577,132000
2004-01-29,14.1,14.115,14.025,14.075,11.965819,19800
2004-01-30,14.05,14.05,13.97,14.0,11.902059,52000
2004-02-02,14.025,14.15,13.925,13.95,11.859551,89000
2004-02-03,13.95,13.96,13.725,13.725,11.668269,184000
2004-02-04,13.75,13.75,13.5,13.53,11.50249,156000
2004-02-05,13.55,13.625,13.52,13.625,11.583256,137800
2004-02-06,13.65,13.885,13.65,13.83,11.757537,79000
2004-02-09,13.85,14.25,13.85,14.25,12.114594,130200
2004-02-10,14.25,14.315,14.2,14.315,12.169854,34600
2004-02-11,14.3,14.5,14.225,14.5,12.327131,63800
2004-02-12,14.45,14.5,14.4,14.43,12.267623,38000
2004-02-13,14.43,14.6,14.25,14.33,12.182607,87200
2004-02-17,14.35,14.35,14.175,14.3,12.157104,98600
2004-02-18,14.25,14.325,14.25,14.32,12.174109,37000
2004-02-19,14.325,14.35,14.175,14.2,12.072088,29400
2004-02-20,14.2,14.205,14.19,14.205,12.07634,20200
2004-02-23,14.2,14.225,14.05,14.05,11.944568,38000
2004-02-24,14.1,14.12,14.0,14.115,11.999825,75400
2004-02-25,14.175,14.4,14.0,14.35,12.199612,215400
2004-02-26,14.425,14.945,14.4,14.945,12.705449,253000
2004-02-27,14.975,15.45,14.9,15.0,12.752204,307800
2004-03-01,15.05,15.3,15.05,15.3,13.00725,55200
2004-03-02,15.275,15.675,15.2,15.2,12.922233,133800
2004-03-03,15.175,15.175,14.6,14.7,12.49716,91000
2004-03-04,14.75,14.92,14.75,14.875,12.645936,41800
2004-03-05,14.88,15.0,14.88,14.995,12.747956,12200
2004-03-08,15.0,15.04,14.95,15.0,12.752204,25800
2004-03-09,15.025,15.025,14.8,14.8,12.582177,27000
2004-03-10,14.805,14.82,14.8,14.8,12.582177,40800
2004-03-11,14.775,15.075,14.775,14.975,12.730951,67400
2004-03-12,15.025,15.03,14.9,14.965,12.722451,45000
2004-03-15,15.0,15.045,14.95,15.025,12.773462,31600
2004-03-16,15.025,15.225,15.025,15.195,12.917984,37600
2004-03-17,15.2,15.21,15.125,15.15,12.87973,41000
2004-03-18,15.15,15.15,15.125,15.125,12.858475,220000
2004-03-19,15.15,15.15,15.1,15.125,12.858475,64000
2004-03-22,15.1,15.105,14.8,14.805,12.586425,49000
2004-03-23,14.805,14.805,14.6,14.625,12.433401,38400
2004-03-24,14.675,14.69,14.525,14.57,12.386644,28400
2004-03-25,14.675,14.675,14.15,14.175,12.050837,137800
2004-03-26,14.2,14.2,14.04,14.085,11.974323,67800
2004-03-29,14.085,14.11,14.05,14.05,11.944568,81200
2004-03-30,14.075,14.11,14.04,14.05,11.944568,63200
2004-03-31,14.075,14.295,14.05,14.295,12.152853,120600
2004-04-01,14.345,14.345,14.25,14.31,12.165604,57400
2004-04-02,14.35,14.45,14.35,14.375,12.220863,133800
2004-04-05,14.35,14.4,14.325,14.345,12.195361,70200
2004-04-06,14.34,14.495,14.34,14.49,12.31863,49600
2004-04-07,14.475,14.5,14.425,14.5,12.327131,54400
2004-04-08,14.5,14.5,14.3,14.345,12.195361,83600
2004-04-12,14.325,14.34,14.3,14.325,12.178355,59800
2004-04-13,14.3,14.32,14.2,14.235,12.101842,188000
2004-04-14,14.225,14.235,14.025,14.08,11.970071,103200
2004-04-15,14.1,14.2,14.0,14.025,11.923315,116600
2004-04-16,14.045,14.33,14.025,14.33,12.182607,60400
2004-04-19,14.3,14.37,14.25,14.35,12.199612,12200
2004-04-20,14.325,14.75,14.325,14.575,12.390893,48000
2004-04-21,14.58,14.58,14.225,14.275,12.135849,62200
2004-04-22,14.275,14.5,14.275,14.5,12.327131,84000
2004-04-23,14.475,14.5,14.425,14.5,12.327131,48600
2004-04-26,14.5,14.5,14.45,14.5,12.327131,39200
2004-04-27,14.495,14.5,14.475,14.5,12.327131,37600
2004-04-28,14.5,14.725,14.495,14.725,12.518413,80400
2004-04-29,14.725,14.85,14.675,14.825,12.603429,81000
2004-04-30,14.8,15.15,14.8,15.075,12.815967,132800
2004-05-03,15.125,15.225,15.0,15.05,12.794712,137200
2004-05-04,15.05,15.1,14.94,15.04,12.786211,116400
2004-05-05,14.975,15.1,14.95,15.05,12.794712,83400
2004-05-06,15.025,15.025,14.95,14.97,12.726702,126800
2004-05-07,15.0,15.15,15.0,15.045,12.79046,40200
2004-05-10,15.0,15.025,14.8,14.945,12.705449,78800
2004-05-11,14.925,15.025,14.9,15.01,12.760708,26600
2004-05-12,15.03,15.045,14.925,15.025,12.773462,54000
2004-05-13,15.0,15.025,14.95,14.995,12.747956,42000
2004-05-14,14.975,15.0,14.84,15.0,12.752204,41800
2004-05-17,14.95,15.45,14.9,15.265,12.977494,108200
2004-05-18,15.25,15.425,15.175,15.415,13.105016,309800
2004-05-19,15.41,15.5,15.3,15.5,13.177279,52600
2004-05-20,15.525,15.75,15.5,15.6,13.262294,350400
2004-05-21,15.625,15.65,15.575,15.59,13.253791,116400
2004-05-24,15.6,15.775,15.6,15.675,13.326055,184600
2004-05-25,15.68,15.86,15.65,15.685,13.334556,248200
2004-05-26,15.65,15.675,15.605,15.605,13.266543,57400
2004-05-27,15.625,15.65,15.5,15.615,13.275049,68000
