Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,2.890625,2.75,2.890625,1.005396,109600
1973-02-22,0.0,2.90625,2.875,2.90625,1.01083,18400
1973-02-23,0.0,2.96875,2.9375,2.96875,1.032568,15200
1973-02-26,0.0,2.953125,2.890625,2.890625,1.005396,12000
1973-02-27,0.0,2.953125,2.890625,2.890625,1.005396,28800
1973-02-28,0.0,2.921875,2.921875,2.921875,1.016264,5600
1973-03-01,0.0,2.921875,2.890625,2.921875,1.016264,3200
1973-03-02,0.0,2.890625,2.875,2.890625,1.005396,9600
1973-03-05,0.0,3.0,2.953125,2.96875,1.032568,55200
1973-03-06,0.0,3.046875,2.96875,3.0,1.043437,124800
1973-03-07,0.0,3.015625,2.96875,3.015625,1.048872,12000
1973-03-08,0.0,3.03125,2.96875,3.015625,1.048872,80800
1973-03-09,0.0,3.015625,2.9375,2.96875,1.032568,28000
1973-03-12,0.0,2.96875,2.9375,2.96875,1.032568,68000
1973-03-13,0.0,3.0,2.96875,3.0,1.043437,64000
1973-03-14,0.0,2.96875,2.9375,2.9375,1.021699,31200
1973-03-15,0.0,2.96875,2.9375,2.96875,1.032568,6400
1973-03-16,0.0,2.96875,2.921875,2.921875,1.016264,15200
1973-03-19,0.0,2.921875,2.875,2.875,0.99996,15200
1973-03-20,0.0,2.875,2.84375,2.84375,0.989092,7200
1973-03-21,0.0,2.875,2.84375,2.84375,0.989092,4800
1973-03-22,0.0,2.828125,2.78125,2.78125,0.967353,10400
1973-03-23,0.0,2.8125,2.765625,2.78125,0.967353,10400
1973-03-26,0.0,2.8125,2.765625,2.765625,0.961919,15200
1973-03-27,0.0,2.78125,2.765625,2.765625,0.961919,10400
1973-03-28,0.0,2.78125,2.765625,2.78125,0.967353,12000
1973-03-29,0.0,2.90625,2.828125,2.90625,1.01083,57600
1973-03-30,0.0,2.921875,2.90625,2.90625,1.01083,7200
1973-04-02,0.0,2.875,2.84375,2.875,0.99996,44000
1973-04-03,0.0,2.90625,2.859375,2.859375,0.994526,4000
1973-04-04,0.0,2.859375,2.8125,2.8125,0.978223,11200
1973-04-05,0.0,2.875,2.8125,2.875,0.99996,169600
1973-04-06,0.0,2.90625,2.84375,2.859375,0.994526,52000
1973-04-09,0.0,2.984375,2.875,2.984375,1.038003,83200
1973-04-10,0.0,3.03125,2.984375,3.03125,1.054306,69600
1973-04-11,0.0,3.0625,3.03125,3.046875,1.059741,27200
1973-04-12,0.0,3.0625,3.046875,3.0625,1.065176,35200
1973-04-13,0.0,3.078125,3.046875,3.0625,1.065176,59200
1973-04-16,0.0,3.078125,3.0625,3.0625,1.065176,25600
1973-04-17,0.0,3.109375,3.0625,3.078125,1.07061,50400
1973-04-18,0.0,3.109375,3.078125,3.078125,1.07061,14400
1973-04-19,0.0,3.15625,3.109375,3.140625,1.092348,34400
1973-04-23,0.0,3.21875,3.140625,3.15625,1.097783,40000
1973-04-24,0.0,3.171875,3.125,3.125,1.086914,15200
1973-04-25,0.0,3.09375,3.046875,3.078125,1.07061,7200
1973-04-26,0.0,3.046875,2.953125,2.953125,1.027133,49600
1973-04-27,0.0,2.992188,2.875,2.875,0.99996,47200
1973-04-30,0.0,2.96875,2.875,2.9375,1.021699,22400
1973-05-01,0.0,2.921875,2.890625,2.890625,1.005396,25600
1973-05-02,0.0,2.96875,2.875,2.96875,1.032568,7200
1973-05-03,0.0,2.984375,2.9375,2.96875,1.032568,38400
1973-05-04,0.0,2.984375,2.953125,2.984375,1.038003,45600
1973-05-07,0.0,2.984375,2.953125,2.984375,1.038003,11200
1973-05-08,0.0,2.984375,2.953125,2.984375,1.038003,21600
1973-05-09,0.0,3.03125,2.984375,3.0,1.043437,87200
1973-05-10,0.0,3.0,2.96875,3.0,1.043437,22400
1973-05-11,0.0,2.96875,2.9375,2.96875,1.032568,12800
1973-05-14,0.0,2.984375,2.921875,2.921875,1.016264,25600
1973-05-15,0.0,2.9375,2.90625,2.9375,1.021699,25600
1973-05-16,0.0,2.96875,2.890625,2.921875,1.016264,74400
1973-05-17,0.0,2.921875,2.875,2.890625,1.005396,16800
1973-05-18,0.0,2.890625,2.796875,2.796875,0.972788,14400
1973-05-21,0.0,2.796875,2.703125,2.703125,0.94018,33600
1973-05-22,0.0,2.71875,2.640625,2.640625,0.918442,29600
1973-05-23,0.0,2.671875,2.546875,2.546875,0.885835,44800
1973-05-24,0.0,2.59375,2.5625,2.59375,0.902138,16000
1973-05-25,0.0,2.625,2.578125,2.609375,0.907573,37600
1973-05-29,0.0,2.625,2.5625,2.625,0.913007,48800
1973-05-30,0.0,2.625,2.578125,2.609375,0.907573,16800
1973-05-31,0.0,2.625,2.578125,2.609375,0.907573,9600
1973-06-01,0.0,2.625,2.5625,2.5625,0.89127,11200
1973-06-04,0.0,2.59375,2.5625,2.5625,0.89127,11200
1973-06-05,0.0,2.59375,2.5625,2.578125,0.896704,4000
1973-06-06,0.0,2.609375,2.546875,2.546875,0.885835,20000
1973-06-07,0.0,2.578125,2.546875,2.546875,0.885835,3200
1973-06-08,0.0,2.625,2.546875,2.609375,0.907573,29600
1973-06-11,0.0,2.609375,2.578125,2.59375,0.902138,10400
1973-06-12,0.0,2.71875,2.625,2.71875,0.945616,21600
1973-06-13,0.0,2.75,2.703125,2.703125,0.94018,8000
1973-06-14,0.0,2.671875,2.5625,2.5625,0.89127,201600
1973-06-15,0.0,2.59375,2.515625,2.578125,0.896704,184000
1973-06-18,0.0,2.609375,2.546875,2.546875,0.885835,16000
1973-06-19,0.0,2.53125,2.53125,2.53125,0.8804,800
1973-06-20,0.0,2.53125,2.53125,2.53125,0.8804,1600
1973-06-21,0.0,2.546875,2.5,2.5,0.869531,18400
1973-06-22,0.0,2.5,2.5,2.5,0.869531,14400
1973-06-25,0.0,2.53125,2.5,2.515625,0.874966,4000
1973-06-26,0.0,2.5625,2.53125,2.53125,0.8804,20800
1973-06-27,0.0,2.59375,2.5625,2.59375,0.902138,4000
1973-06-28,0.0,2.625,2.578125,2.59375,0.902138,11200
1973-06-29,0.0,2.59375,2.53125,2.59375,0.902138,11200
1973-07-02,0.0,2.59375,2.53125,2.59375,0.902138,10400
1973-07-03,0.0,2.578125,2.578125,2.578125,0.896704,1600
1973-07-05,0.0,2.609375,2.5,2.5,0.869531,84000
1973-07-06,0.0,2.53125,2.515625,2.515625,0.874966,4800
1973-07-09,0.0,2.5625,2.515625,2.5625,0.89127,5600
1973-07-10,0.0,2.546875,2.546875,2.546875,0.885835,800
1973-07-11,0.0,2.65625,2.578125,2.65625,0.923877,29600
1973-07-12,0.0,2.6875,2.65625,2.65625,0.923877,20800
1973-07-13,0.0,2.6875,2.65625,2.6875,0.934747,4800
1973-07-16,0.0,2.6875,2.640625,2.6875,0.934747,26400
1973-07-17,0.0,2.6875,2.65625,2.65625,0.923877,12800
1973-07-18,0.0,2.6875,2.65625,2.6875,0.934747,14400
1973-07-19,0.0,2.75,2.703125,2.734375,0.95105,26400
1973-07-20,0.0,2.75,2.734375,2.75,0.956484,25600
1973-07-23,0.0,2.75,2.71875,2.75,0.956484,9600
1973-07-24,0.0,2.75,2.703125,2.75,0.956484,8800
1973-07-25,0.0,2.75,2.71875,2.75,0.956484,18400
1973-07-26,0.0,2.75,2.71875,2.75,0.956484,9600
1973-07-27,0.0,2.84375,2.78125,2.828125,0.983657,17600
1973-07-30,0.0,2.828125,2.78125,2.78125,0.967353,16800
1973-07-31,0.0,2.796875,2.78125,2.78125,0.967353,1600
1973-08-01,0.0,2.765625,2.734375,2.734375,0.95105,47200
1973-08-02,0.0,2.71875,2.703125,2.71875,0.945616,5600
1973-08-03,0.0,2.6875,2.671875,2.671875,0.929311,12000
1973-08-06,0.0,2.640625,2.640625,2.640625,0.918442,5600
1973-08-07,0.0,2.71875,2.6875,2.6875,0.934747,7200
1973-08-08,0.0,2.78125,2.71875,2.734375,0.95105,53600
1973-08-09,0.0,2.75,2.71875,2.75,0.956484,11200
1973-08-10,0.0,2.75,2.703125,2.703125,0.94018,35200
1973-08-13,0.0,2.6875,2.65625,2.65625,0.923877,15200
1973-08-14,0.0,2.71875,2.65625,2.703125,0.94018,12000
1973-08-15,0.0,2.734375,2.6875,2.734375,0.95105,8800
1973-08-16,0.0,2.734375,2.71875,2.71875,0.945616,6400
1973-08-17,0.0,2.734375,2.71875,2.734375,0.95105,11200
1973-08-20,0.0,2.703125,2.65625,2.65625,0.923877,3200
1973-08-21,0.0,2.625,2.59375,2.625,0.913007,27200
1973-08-22,0.0,2.59375,2.59375,2.59375,0.902138,9600
1973-08-23,0.0,2.625,2.5625,2.609375,0.907573,27200
1973-08-24,0.0,2.65625,2.625,2.625,0.913007,7200
1973-08-27,0.0,2.609375,2.59375,2.59375,0.902138,11200
1973-08-28,0.0,2.609375,2.609375,2.609375,0.907573,2400
1973-08-29,0.0,2.609375,2.53125,2.578125,0.896704,10400
1973-08-30,0.0,2.59375,2.53125,2.5625,0.89127,17600
1973-08-31,0.0,2.59375,2.5625,2.59375,0.902138,12000
1973-09-04,0.0,2.609375,2.578125,2.609375,0.907573,24000
1973-09-05,0.0,2.609375,2.578125,2.609375,0.907573,21600
1973-09-06,0.0,2.65625,2.625,2.65625,0.923877,52800
1973-09-07,0.0,2.71875,2.640625,2.71875,0.945616,47200
1973-09-10,0.0,2.78125,2.75,2.765625,0.961919,85600
1973-09-11,0.0,2.765625,2.71875,2.75,0.956484,69600
1973-09-12,0.0,2.71875,2.71875,2.71875,0.945616,81600
1973-09-13,0.0,2.71875,2.671875,2.671875,0.929311,52000
1973-09-14,0.0,2.71875,2.6875,2.71875,0.945616,13600
1973-09-17,0.0,2.71875,2.6875,2.703125,0.94018,22400
1973-09-18,0.0,2.71875,2.6875,2.6875,0.934747,50400
1973-09-19,0.0,2.734375,2.703125,2.734375,0.95105,7200
1973-09-20,0.0,2.84375,2.734375,2.84375,0.989092,60000
1973-09-21,0.0,3.09375,2.84375,3.0625,1.065176,76800
1973-09-24,0.0,3.15625,3.078125,3.125,1.086914,32000
1973-09-25,0.0,3.390625,3.3125,3.375,1.173867,128000
1973-09-26,0.0,3.421875,3.359375,3.390625,1.179302,94400
1973-09-27,0.0,3.421875,3.375,3.40625,1.184737,136000
1973-09-28,0.0,3.375,3.3125,3.3125,1.152129,171200
1973-10-01,0.0,3.3125,3.25,3.28125,1.14126,104800
1973-10-02,0.0,3.4375,3.3125,3.4375,1.195605,68800
1973-10-03,0.0,3.59375,3.4375,3.59375,1.249951,155200
1973-10-04,0.0,3.625,3.5625,3.59375,1.249951,108800
1973-10-05,0.0,3.6875,3.578125,3.6875,1.282557,67200
1973-10-08,0.0,3.953125,3.625,3.9375,1.369512,268000
1973-10-09,0.0,3.921875,3.84375,3.84375,1.336905,227200
1973-10-10,0.0,3.84375,3.71875,3.71875,1.293427,350400
1973-10-11,0.0,3.78125,3.734375,3.765625,1.309731,107200
1973-10-12,0.0,3.890625,3.765625,3.859375,1.342338,123200
1973-10-15,0.0,3.921875,3.859375,3.875,1.347773,132800
1973-10-16,0.0,3.90625,3.859375,3.875,1.347773,44800
1973-10-17,0.0,3.9375,3.875,3.90625,1.358642,111200
1973-10-18,0.0,3.96875,3.875,3.953125,1.374946,84800
1973-10-19,0.0,4.0,3.953125,3.953125,1.374946,109600
1973-10-22,0.0,3.953125,3.875,3.90625,1.358642,52800
1973-10-23,0.0,3.984375,3.84375,3.984375,1.385816,30400
1973-10-24,0.0,4.0625,4.0,4.046875,1.407554,174400
1973-10-25,0.0,4.046875,3.96875,4.0,1.39125,56000
1973-10-26,0.0,4.046875,3.96875,4.0,1.39125,128000
1973-10-29,0.0,4.046875,3.953125,4.0,1.39125,68000
1973-10-30,0.0,4.03125,3.953125,3.953125,1.374946,62400
1973-10-31,0.0,3.953125,3.890625,3.9375,1.369512,47200
1973-11-01,0.0,4.0,3.890625,3.890625,1.353207,72800
1973-11-02,0.0,3.90625,3.75,3.75,1.304297,47200
1973-11-05,0.0,3.75,3.5625,3.5625,1.239082,51200
1973-11-06,0.0,3.59375,3.5,3.59375,1.249951,58400
1973-11-07,0.0,3.71875,3.5625,3.625,1.26082,91200
1973-11-08,0.0,3.65625,3.625,3.625,1.26082,7200
1973-11-09,0.0,3.59375,3.46875,3.46875,1.206474,33600
1973-11-12,0.0,3.4375,3.328125,3.328125,1.157563,29600
1973-11-13,0.0,3.25,3.1875,3.1875,1.108652,152800
1973-11-14,0.0,3.25,3.125,3.125,1.086914,61600
1973-11-15,0.0,3.125,2.9375,3.0625,1.065176,75200
1973-11-16,0.0,3.046875,2.921875,2.96875,1.032568,47200
1973-11-19,0.0,3.0,2.9375,2.984375,1.038003,15200
1973-11-20,0.0,2.984375,2.9375,2.9375,1.021699,52800
1973-11-21,0.0,3.15625,2.96875,3.15625,1.097783,40800
1973-11-23,0.0,3.25,3.15625,3.1875,1.108652,36000
1973-11-26,0.0,3.21875,3.125,3.1875,1.108652,64000
1973-11-27,0.0,3.25,3.1875,3.21875,1.119521,35200
1973-11-28,0.0,3.28125,3.21875,3.28125,1.14126,13600
1973-11-29,0.0,3.3125,3.1875,3.1875,1.108652,84800
1973-11-30,0.0,3.140625,3.09375,3.125,1.086914,19200
1973-12-03,0.0,3.09375,3.0625,3.0625,1.065176,31200
1973-12-04,0.0,3.0625,3.046875,3.0625,1.065176,47200
1973-12-05,0.0,3.078125,3.046875,3.046875,1.059741,35200
1973-12-06,0.0,3.15625,3.046875,3.125,1.086914,40800
1973-12-07,0.0,3.25,3.171875,3.25,1.13039,6400
1973-12-10,0.0,3.40625,3.3125,3.3125,1.152129,97600
1973-12-11,0.0,3.375,3.25,3.3125,1.152129,87200
