Date,Open,High,Low,Close,Adj Close,Volume
1992-02-28,10.125,10.5,10.125,10.5,0.575225,247900
1992-03-02,10.375,10.5,10.375,10.5,0.575225,144500
1992-03-03,10.625,10.625,10.5,10.5,0.575225,21800
1992-03-04,10.5,10.75,10.375,10.5,0.575225,163800
1992-03-05,10.5,10.5,10.375,10.375,0.568378,19800
1992-03-06,10.375,10.375,10.375,10.375,0.568378,22400
1992-03-09,10.5,10.5,10.5,10.5,0.575225,2300
1992-03-10,10.375,10.5,10.0,10.5,0.575225,19300
1992-03-11,10.5,10.5,10.375,10.5,0.575225,92800
1992-03-12,10.5,10.5,10.375,10.5,0.575225,19500
1992-03-13,10.5,10.5,10.5,10.5,0.575225,9000
1992-03-16,10.5,10.625,10.5,10.5,0.575225,10000
1992-03-17,10.5,10.5,10.375,10.5,0.575225,8600
1992-03-18,10.5,10.5,10.5,10.5,0.575225,1000
1992-03-19,10.375,10.375,10.375,10.375,0.568378,16500
1992-03-20,10.5,10.5,10.375,10.375,0.568378,14200
1992-03-23,10.5,10.5,10.5,10.5,0.575225,3100
1992-03-24,10.5,10.75,10.375,10.75,0.588921,38400
1992-03-25,10.625,10.75,10.625,10.625,0.583158,6400
1992-03-26,10.875,11.0,10.75,10.75,0.590019,55000
1992-03-27,10.875,10.875,10.5,10.625,0.583158,23200
1992-03-30,10.5,10.875,10.5,10.875,0.59688,7200
1992-03-31,10.875,10.875,10.75,10.875,0.59688,9700
1992-04-01,10.875,10.875,10.75,10.75,0.590019,6600
1992-04-02,10.75,10.75,10.75,10.75,0.590019,5600
1992-04-03,10.625,10.75,10.625,10.75,0.590019,9200
1992-04-06,10.75,10.875,10.75,10.875,0.59688,7400
1992-04-07,11.0,11.0,10.75,10.75,0.590019,7700
1992-04-08,10.75,10.875,10.75,10.875,0.59688,40100
1992-04-09,11.0,11.0,10.875,10.875,0.59688,18600
1992-04-10,11.0,11.0,11.0,11.0,0.603741,4200
1992-04-13,11.0,11.0,10.75,10.75,0.590019,2100
1992-04-14,10.75,10.75,10.75,10.75,0.590019,3100
1992-04-15,10.75,10.75,10.5,10.5,0.576298,14600
1992-04-16,10.5,10.5,10.5,10.5,0.576298,0
1992-04-20,10.625,10.625,10.625,10.625,0.583158,1000
1992-04-21,10.625,10.75,10.625,10.75,0.590019,6100
1992-04-22,10.625,10.75,10.625,10.75,0.590019,1800
1992-04-23,10.625,10.625,10.5,10.625,0.583158,10400
1992-04-24,10.5,10.5,10.5,10.5,0.590868,4900
1992-04-27,10.375,10.5,10.375,10.5,0.590868,1200
1992-04-28,10.5,10.5,10.5,10.5,0.590868,0
1992-04-29,10.75,10.75,10.75,10.75,0.604936,1800
1992-04-30,10.75,10.75,10.75,10.75,0.604936,2200
1992-05-01,10.625,10.625,10.5,10.5,0.590868,4500
1992-05-04,10.625,10.625,10.5,10.5,0.590868,4500
1992-05-05,10.5,10.625,10.5,10.625,0.597902,11300
1992-05-06,10.75,10.75,10.75,10.75,0.604936,1000
1992-05-07,10.625,10.625,10.5,10.625,0.597902,3900
1992-05-08,10.625,10.625,10.5,10.5,0.590868,5200
1992-05-11,10.375,10.5,10.375,10.375,0.583834,23900
1992-05-12,10.375,10.375,10.375,10.375,0.583834,20900
