Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,9.8,9.84,9.75,9.8,9.8,4188723.0
2021-03-25,9.8,10.0,9.8,9.82,9.82,26257.0
2021-03-26,9.82,10.88,9.82,9.99,9.99,212046.0
2021-03-29,10.38,10.38,9.92,10.0,10.0,38058.0
2021-03-30,9.9999,9.9999,9.9,9.91,9.91,13179.0
2021-03-31,9.86,10.02,9.86,9.95,9.95,19053.0
2021-04-01,9.91,9.91,9.9,9.9,9.9,417.0
2021-04-05,10.04,10.05,9.87,9.94,9.94,47362.0
2021-04-06,9.99,9.99,9.945,9.98,9.98,15103.0
2021-04-07,9.99,9.99,9.95,9.99,9.99,18952.0
2021-04-08,10.05,10.05,9.95,10.02,10.02,9773.0
2021-04-09,9.98,10.0299,9.98,10.01,10.01,303507.0
2021-04-12,10.01,10.01,10.01,10.01,10.01,0.0
2021-04-13,10.0237,10.0237,10.0237,10.0237,10.0237,352.0
2021-04-14,10.05,10.05,10.035,10.035,10.035,1838.0
2021-04-15,10.02,10.04,10.02,10.02,10.02,65626.0
2021-04-16,10.0454,10.0454,10.02,10.035,10.035,1502.0
2021-04-19,10.035,10.035,10.035,10.035,10.035,0.0
2021-04-20,10.0,10.0,10.0,10.0,10.0,250024.0
2021-04-21,9.98,10.0334,9.98,10.0334,10.0334,150473.0
2021-04-22,10.04,10.04,9.98,10.0,10.0,22577.0
2021-04-23,9.98,10.0,9.98,9.99,9.99,163911.0
2021-04-26,10.05,10.05,10.0081,10.01,10.01,1489.0
2021-04-27,10.0099,10.01,9.99,10.01,10.01,837.0
2021-04-28,10.01,10.01,10.01,10.01,10.01,0.0
2021-04-29,9.9999,10.01,9.99,9.99,9.99,20108.0
2021-04-30,9.9909,9.9909,9.9909,9.9909,9.9909,150.0
2021-05-03,10.0,10.0,9.99,9.99,9.99,400.0
2021-05-04,10.05,10.05,9.99,9.99,9.99,17527.0
2021-05-05,9.9826,10.0,9.9826,10.0,10.0,83264.0
2021-05-06,10.0,10.0,9.995,9.995,9.995,1650.0
2021-05-07,9.99,10.0,9.98,9.995,9.995,5844.0
2021-05-10,10.0,10.0,10.0,10.0,10.0,480.0
2021-05-11,9.98,10.0,9.975,10.0,10.0,34379.0
2021-05-12,9.98,10.0,9.98,10.0,10.0,11049.0
2021-05-13,9.98,9.99,9.98,9.98,9.98,1000.0
2021-05-14,9.98,10.0,9.975,10.0,10.0,16144.0
2021-05-17,9.95,10.0,9.95,10.0,10.0,16628.0
2021-05-18,10.0,10.0,10.0,10.0,10.0,0.0
2021-05-19,10.0,10.0,10.0,10.0,10.0,0.0
2021-05-20,10.0,10.0,10.0,10.0,10.0,0.0
2021-05-21,10.0,10.0,10.0,10.0,10.0,0.0
2021-05-24,9.9701,9.9701,9.9701,9.9701,9.9701,421.0
2021-05-25,9.99,9.99,9.97,9.985,9.985,10500.0
2021-05-26,10.0,10.0,10.0,10.0,10.0,168.0
2021-05-27,9.99,9.99,9.99,9.99,9.99,100.0
2021-05-28,10.0,10.0,10.0,10.0,10.0,511.0
2021-06-01,9.985,10.0,9.985,10.0,10.0,583.0
2021-06-02,10.0,10.0,10.0,10.0,10.0,1917.0
2021-06-03,10.0,10.0,10.0,10.0,10.0,0.0
2021-06-04,9.97,9.97,9.97,9.97,9.97,498.0
2021-06-07,9.97,9.9968,9.85,9.9754,9.9754,3722.0
2021-06-08,9.97,10.0,9.97,9.97,9.97,778.0
2021-06-09,10.0,10.0,9.95,9.95,9.95,10320.0
2021-06-10,9.97,9.97,9.95,9.95,9.95,2202.0
2021-06-11,9.97,9.97,9.92,9.96,9.96,15694.0
2021-06-14,10.0,10.0,9.98,10.0,10.0,56384.0
2021-06-15,9.98,9.98,9.98,9.98,9.98,385.0
2021-06-16,10.0,10.0,9.96,9.96,9.96,24508.0
2021-06-17,9.96,9.97,9.96,9.96,9.96,51542.0
2021-06-18,9.96,10.0,9.96,9.96,9.96,2699296.0
2021-06-21,9.97,10.0,9.97,10.0,10.0,10400.0
2021-06-22,10.0,10.0,10.0,10.0,10.0,0.0
2021-06-23,9.9701,9.9701,9.9701,9.9701,9.9701,100.0
2021-06-24,9.9701,9.9701,9.9701,9.9701,9.9701,0.0
2021-06-25,9.9701,9.9701,9.9701,9.9701,9.9701,0.0
2021-06-28,9.9701,9.9701,9.9701,9.9701,9.9701,0.0
2021-06-29,10.0,10.0,9.99,9.9997,9.9997,14410.0
2021-06-30,10.0,10.0,10.0,10.0,10.0,6778.0
2021-07-01,10.0,10.0,10.0,10.0,10.0,0.0
2021-07-02,10.0,10.0,10.0,10.0,10.0,0.0
2021-07-06,10.0,10.0,10.0,10.0,10.0,0.0
2021-07-07,10.0,10.0,10.0,10.0,10.0,248.0
2021-07-08,10.0,10.0,10.0,10.0,10.0,0.0
2021-07-09,10.0,10.0,10.0,10.0,10.0,0.0
2021-07-12,10.0,10.0,10.0,10.0,10.0,0.0
2021-07-13,10.03,10.03,10.03,10.03,10.03,5063.0
2021-07-14,10.03,10.03,10.03,10.03,10.03,0.0
2021-07-15,10.05,10.05,10.05,10.05,10.05,1000.0
2021-07-16,10.05,10.05,10.05,10.05,10.05,0.0
2021-07-19,10.05,10.05,10.05,10.05,10.05,0.0
2021-07-20,10.0076,10.0076,10.0076,10.0076,10.0076,100.0
2021-07-21,10.0076,10.0076,10.0076,10.0076,10.0076,0.0
2021-07-22,10.035,10.035,10.035,10.035,10.035,730.0
2021-07-23,10.035,10.035,10.035,10.035,10.035,0.0
2021-07-26,10.035,10.035,10.035,10.035,10.035,0.0
2021-07-27,10.05,10.05,10.0,10.0,10.0,33301.0
2021-07-28,10.0,10.0,10.0,10.0,10.0,3000.0
2021-07-29,10.0,10.0,10.0,10.0,10.0,1896.0
2021-07-30,10.03,10.03,10.03,10.03,10.03,5000.0
2021-08-02,10.03,10.03,10.03,10.03,10.03,0.0
2021-08-03,10.03,10.03,10.03,10.03,10.03,0.0
2021-08-04,10.03,10.03,10.03,10.03,10.03,0.0
2021-08-05,10.011,10.011,10.011,10.011,10.011,170.0
2021-08-06,10.01,10.01,10.0,10.0,10.0,1107.0
2021-08-09,10.01,10.05,10.01,10.05,10.05,844.0
2021-08-10,10.0247,10.0247,10.0247,10.0247,10.0247,1206.0
2021-08-11,10.0247,10.0247,10.0247,10.0247,10.0247,0.0
2021-08-12,10.0106,10.0106,10.0106,10.0106,10.0106,200.0
2021-08-13,10.09,10.1,10.09,10.1,10.1,692.0
2021-08-16,10.1,10.1,10.1,10.1,10.1,0.0
2021-08-17,10.1,10.1,10.1,10.1,10.1,0.0
2021-08-18,10.1,10.1,10.1,10.1,10.1,0.0
2021-08-19,10.1,10.1,10.1,10.1,10.1,0.0
2021-08-20,10.1,10.1,10.1,10.1,10.1,0.0
2021-08-23,10.04,10.04,10.04,10.04,10.04,190.0
2021-08-24,10.04,10.04,10.04,10.04,10.04,0.0
2021-08-25,10.04,10.04,10.04,10.04,10.04,0.0
2021-08-26,10.04,10.04,10.04,10.04,10.04,0.0
2021-08-27,10.04,10.04,10.04,10.04,10.04,0.0
2021-08-30,10.04,10.04,10.04,10.04,10.04,0.0
2021-08-31,9.989,9.989,9.98,9.98,9.98,920.0
2021-09-01,9.98,9.98,9.98,9.98,9.98,0.0
2021-09-02,9.98,9.98,9.98,9.98,9.98,0.0
2021-09-03,9.98,9.98,9.98,9.98,9.98,0.0
2021-09-07,9.98,9.98,9.98,9.98,9.98,0.0
2021-09-08,9.95,9.95,9.95,9.95,9.95,125.0
2021-09-09,9.95,9.95,9.95,9.95,9.95,0.0
2021-09-10,9.95,9.95,9.95,9.95,9.95,0.0
2021-09-13,9.95,9.95,9.95,9.95,9.95,0.0
2021-09-14,9.95,9.95,9.95,9.95,9.95,0.0
2021-09-15,10.0,10.0,9.97,9.97,9.97,251242.0
2021-09-16,9.97,9.97,9.97,9.97,9.97,0.0
2021-09-17,9.97,9.97,9.97,9.97,9.97,0.0
2021-09-20,9.97,9.97,9.97,9.97,9.97,0.0
2021-09-21,9.97,9.97,9.97,9.97,9.97,0.0
2021-09-22,9.95,9.95,9.95,9.95,9.95,200.0
2021-09-23,9.97,9.97,9.97,9.97,9.97,250001.0
2021-09-24,9.97,9.97,9.97,9.97,9.97,0.0
2021-09-27,9.95,9.955,9.95,9.955,9.955,500.0
2021-09-28,9.9575,9.9575,9.9575,9.9575,9.9575,100.0
2021-09-29,9.9575,9.9575,9.9575,9.9575,9.9575,0.0
2021-09-30,9.9575,9.9575,9.9575,9.9575,9.9575,0.0
2021-10-01,9.9575,9.9575,9.9575,9.9575,9.9575,0.0
2021-10-04,9.9575,9.9575,9.9575,9.9575,9.9575,0.0
2021-10-05,9.9575,9.9575,9.9575,9.9575,9.9575,0.0
2021-10-06,9.9575,9.9575,9.9575,9.9575,9.9575,0.0
2021-10-07,9.9575,9.9575,9.9575,9.9575,9.9575,0.0
2021-10-08,9.95,9.95,9.95,9.95,9.95,1000.0
2021-10-11,9.95,9.95,9.95,9.95,9.95,0.0
2021-10-12,9.95,9.95,9.95,9.95,9.95,0.0
2021-10-13,9.95,9.95,9.95,9.95,9.95,15552.0
2021-10-14,9.95,9.95,9.95,9.95,9.95,0.0
2021-10-15,9.95,9.97,9.95,9.97,9.97,2000.0
2021-10-18,9.97,9.97,9.97,9.97,9.97,0.0
2021-10-19,9.97,9.97,9.95,9.95,9.95,1992.0
2021-10-20,9.95,9.95,9.95,9.95,9.95,0.0
2021-10-21,9.95,9.95,9.95,9.95,9.95,0.0
2021-10-22,9.95,9.95,9.95,9.95,9.95,0.0
2021-10-25,9.95,9.95,9.95,9.95,9.95,3751.0
2021-10-26,9.99,9.99,9.99,9.99,9.99,500.0
2021-10-27,9.99,9.99,9.99,9.99,9.99,0.0
2021-10-28,9.99,9.99,9.99,9.99,9.99,0.0
2021-10-29,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-01,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-02,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-03,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-04,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-05,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-08,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-09,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-10,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-11,9.99,9.99,9.99,9.99,9.99,0.0
2021-11-12,9.96,9.9802,9.96,9.9802,9.9802,116140.0
2021-11-15,9.96,10.025,9.95,9.96,9.96,15823.0
2021-11-16,9.96,9.96,9.96,9.96,9.96,0.0
