Date,Open,High,Low,Close,Adj Close,Volume
2004-04-01,15.05,15.2,15.01,15.2,3.01738,169100
2004-04-02,15.2,15.23,15.05,15.15,3.007451,116600
2004-04-05,15.19,15.19,15.05,15.11,2.999512,123800
2004-04-06,15.05,15.1,15.0,15.01,2.979663,126000
2004-04-07,15.01,15.11,15.0,15.1,2.997529,127700
2004-04-08,15.1,15.11,15.01,15.07,2.991573,108200
2004-04-12,15.07,15.1,15.0,15.05,2.987602,122100
2004-04-13,15.06,15.06,15.0,15.0,2.977675,209300
2004-04-14,15.0,15.02,15.0,15.0,2.977675,375200
2004-04-15,15.0,15.01,15.0,15.0,2.977675,416700
2004-04-16,15.0,15.01,15.0,15.0,2.977675,194400
2004-04-19,15.0,15.02,15.0,15.01,2.979663,168300
2004-04-20,15.01,15.01,15.0,15.0,2.977675,218900
2004-04-21,15.0,15.0,14.8,14.8,2.937973,1570700
2004-04-22,14.8,14.81,14.8,14.8,2.937973,292100
2004-04-23,14.81,14.81,14.8,14.8,2.937973,276000
2004-04-26,14.8,14.81,14.75,14.76,2.930034,876900
2004-04-27,14.75,14.76,14.75,14.75,2.92805,409800
2004-04-28,14.75,14.76,14.75,14.75,2.92805,330800
2004-04-29,14.7,14.71,14.7,14.7,2.918124,387400
2004-04-30,14.7,14.71,14.55,14.55,2.888346,325300
2004-05-03,14.55,14.56,14.55,14.55,2.888346,233000
2004-05-04,14.5,14.5,13.65,13.98,2.775197,588900
2004-05-05,14.0,14.0,13.78,14.0,2.779164,190800
2004-05-06,13.9,13.95,13.3,13.45,2.669984,329500
2004-05-07,13.35,13.59,13.11,13.53,2.685863,352800
2004-05-10,12.85,12.91,12.0,12.6,2.501248,949700
2004-05-11,12.75,13.5,12.75,13.2,2.620354,350200
2004-05-12,13.17,13.5,12.85,13.5,2.679909,261100
2004-05-13,13.55,13.6,13.25,13.49,2.677922,170300
2004-05-14,13.59,13.9,13.35,13.65,2.709685,171900
2004-05-17,13.55,13.55,13.0,13.1,2.600505,268300
2004-05-18,13.0,13.35,13.0,13.26,2.632266,256600
2004-05-19,13.2,13.78,13.0,13.14,2.608444,335900
2004-05-20,13.15,13.25,12.7,13.06,2.592563,368500
2004-05-21,13.06,13.25,13.0,13.18,2.616387,267700
2004-05-24,12.8,13.2,12.76,12.93,2.566756,475400
2004-05-25,12.83,13.35,12.76,13.2,2.620354,426000
2004-05-26,13.15,13.5,13.05,13.47,2.673954,264800
2004-05-27,13.41,13.65,13.25,13.55,2.689833,217800
2004-05-28,13.54,13.79,13.45,13.79,2.737479,154700
2004-06-01,13.79,14.0,13.55,13.98,2.775197,188500
2004-06-02,13.99,14.0,13.67,13.82,2.743432,168500
2004-06-03,13.92,14.05,13.73,13.95,2.769238,211000
2004-06-04,14.0,14.15,13.95,14.03,2.78512,148300
2004-06-07,14.1,14.16,13.79,13.97,2.773209,207300
2004-06-08,14.04,14.12,13.78,14.0,2.779164,183000
2004-06-09,13.95,14.05,13.57,13.67,2.728272,191300
2004-06-10,13.57,13.79,13.4,13.55,2.704321,211400
2004-06-14,13.59,13.6,13.3,13.4,2.674385,206900
2004-06-15,13.4,13.63,13.28,13.4,2.674385,259100
2004-06-16,13.3,13.48,13.22,13.4,2.674385,275900
2004-06-17,13.3,13.44,13.15,13.33,2.660412,262400
2004-06-18,13.39,13.5,13.17,13.35,2.664405,243100
2004-06-21,13.45,13.45,13.17,13.29,2.652431,248000
2004-06-22,13.19,13.45,12.92,13.15,2.624489,427700
2004-06-23,13.16,13.18,12.86,13.0,2.594551,385000
2004-06-24,13.02,13.39,12.93,13.3,2.654426,412000
2004-06-25,13.3,13.36,12.99,13.3,2.654426,453500
2004-06-28,13.2,13.34,13.04,13.24,2.642451,412000
2004-06-29,13.29,13.29,13.0,13.19,2.632473,317400
2004-06-30,13.1,13.25,12.98,13.22,2.63846,280800
2004-07-01,13.2,13.29,13.1,13.26,2.646444,225400
2004-07-02,13.2,13.3,13.18,13.19,2.632473,195500
2004-07-06,13.25,13.25,13.09,13.18,2.630479,237000
2004-07-07,13.12,13.29,13.06,13.2,2.634468,309600
2004-07-08,13.15,13.19,13.08,13.14,2.622493,234800
2004-07-09,13.07,13.17,13.06,13.06,2.606528,200900
2004-07-12,13.05,13.15,13.04,13.14,2.622493,236600
2004-07-13,13.13,13.13,13.0,13.05,2.619483,262200
2004-07-14,13.02,13.09,12.95,12.99,2.60744,321400
2004-07-15,12.93,13.03,12.84,12.86,2.581343,320800
2004-07-16,12.95,12.98,12.82,12.93,2.595395,304400
2004-07-19,12.84,12.96,12.82,12.83,2.575324,307200
2004-07-20,12.83,12.96,12.82,12.89,2.587366,307900
2004-07-21,12.95,13.98,12.9,12.95,2.599408,315700
2004-07-22,12.91,13.01,12.67,12.99,2.60744,390200
2004-07-23,12.96,12.99,12.66,12.83,2.575324,301100
2004-07-26,12.76,12.85,12.66,12.68,2.545214,311800
2004-07-27,12.65,12.74,12.53,12.59,2.527151,539100
2004-07-28,12.65,12.69,12.4,12.69,2.547221,397800
2004-07-29,12.79,13.02,12.7,13.02,2.613461,285000
2004-07-30,13.1,13.24,13.0,13.17,2.64357,268400
2004-08-02,13.14,13.19,13.05,13.1,2.62952,282300
2004-08-03,13.1,13.37,13.07,13.35,2.6797,525700
2004-08-04,13.35,13.35,13.23,13.35,2.6797,239900
2004-08-05,13.27,13.35,13.2,13.27,2.663644,166100
2004-08-06,13.11,13.37,13.02,13.07,2.623497,224300
2004-08-09,13.02,13.1,12.9,12.99,2.60744,303200
2004-08-10,12.96,13.17,12.92,13.17,2.64357,290800
2004-08-11,13.1,13.19,13.02,13.12,2.633533,314600
2004-08-12,12.94,13.1,12.88,12.89,2.60224,298100
2004-08-13,12.88,12.98,12.73,12.79,2.582053,336600
2004-08-16,12.79,13.01,12.79,12.98,2.620412,321100
2004-08-17,12.99,13.04,12.85,12.95,2.614352,350500
2004-08-18,12.99,13.35,12.98,13.35,2.695106,344400
2004-08-19,13.25,13.35,13.15,13.27,2.678958,264800
2004-08-20,13.2,13.3,13.09,13.26,2.676938,262400
2004-08-23,13.33,13.33,13.01,13.02,2.628486,348700
2004-08-24,13.01,13.09,12.96,13.04,2.632522,343000
2004-08-25,12.96,13.23,12.95,13.18,2.660789,449300
2004-08-26,13.13,13.3,13.08,13.29,2.682995,372300
2004-08-27,13.34,13.43,13.28,13.42,2.709239,248600
2004-08-30,13.34,13.55,13.31,13.52,2.729426,322700
2004-08-31,13.54,13.64,13.45,13.58,2.741539,302300
2004-09-01,13.56,13.76,13.53,13.76,2.777878,287700
2004-09-02,13.7,13.85,13.7,13.79,2.783937,522500
2004-09-03,13.72,13.85,13.66,13.85,2.79605,226800
2004-09-07,13.76,13.93,13.66,13.93,2.812198,251800
2004-09-08,13.93,13.94,13.7,13.75,2.775859,275200
2004-09-09,13.7,13.94,13.69,13.92,2.81018,279500
2004-09-10,13.92,14.0,13.82,13.93,2.812198,273200
2004-09-13,13.65,13.93,13.55,13.77,2.794947,305100
2004-09-14,13.8,13.88,13.65,13.74,2.788855,301700
2004-09-15,13.75,13.75,13.55,13.55,2.750291,352300
2004-09-16,13.51,13.63,13.41,13.58,2.756379,330600
2004-09-17,13.51,13.8,13.51,13.76,2.792916,260000
2004-09-20,13.66,13.72,13.53,13.55,2.750291,344800
2004-09-21,13.56,13.57,13.35,13.4,2.719846,491900
2004-09-22,13.32,13.48,13.27,13.33,2.705637,382200
2004-09-23,13.33,13.42,13.25,13.26,2.69143,412700
2004-09-24,13.25,13.41,13.25,13.27,2.693459,306400
2004-09-27,13.28,13.33,13.13,13.33,2.705637,356100
2004-09-28,13.38,13.5,13.3,13.46,2.732023,321200
2004-09-29,13.43,13.58,13.42,13.58,2.756379,302800
2004-09-30,13.66,13.73,13.53,13.73,2.786826,267100
2004-10-01,13.7,13.95,13.7,13.76,2.792916,369500
2004-10-04,13.7,13.96,13.7,13.75,2.790884,383100
2004-10-05,13.75,13.93,13.67,13.79,2.799005,378800
2004-10-06,13.8,13.91,13.76,13.77,2.794947,261000
2004-10-07,13.72,13.9,13.72,13.89,2.819302,285700
2004-10-08,13.84,13.94,13.76,13.8,2.801035,228700
2004-10-11,13.76,13.85,13.65,13.7,2.780737,284900
2004-10-12,13.7,13.78,13.6,13.69,2.778706,251700
2004-10-13,13.61,13.7,13.52,13.59,2.773604,292000
2004-10-14,13.68,13.68,13.35,13.39,2.732786,336000
2004-10-15,13.36,13.55,13.36,13.46,2.747072,280400
2004-10-18,13.4,13.5,13.31,13.5,2.755235,311700
2004-10-19,13.42,13.52,13.42,13.43,2.740951,277600
2004-10-20,13.33,13.44,13.3,13.36,2.726665,334000
2004-10-21,13.29,13.49,13.2,13.4,2.734828,367700
2004-10-22,13.31,13.47,13.18,13.24,2.702172,267200
2004-10-25,13.25,13.26,13.08,13.13,2.679724,382500
2004-10-26,13.03,13.16,13.03,13.09,2.671559,451200
2004-10-27,13.15,13.31,13.1,13.31,2.716459,303200
2004-10-28,13.21,13.32,13.21,13.24,2.702172,278700
2004-10-29,13.28,13.37,13.22,13.34,2.722582,267500
2004-11-01,13.36,13.59,13.29,13.58,2.771564,324900
2004-11-02,13.59,13.7,13.55,13.7,2.796055,434300
2004-11-03,13.79,13.82,13.65,13.65,2.78585,486000
2004-11-04,13.55,13.9,13.55,13.85,2.82667,334000
2004-11-05,13.95,13.97,13.55,13.63,2.781771,355700
2004-11-08,13.63,13.73,13.41,13.55,2.765441,384800
2004-11-09,13.45,13.67,13.45,13.48,2.751155,328800
2004-11-10,13.4,13.54,13.36,13.39,2.748076,427900
2004-11-11,13.42,13.6,13.38,13.56,2.782966,411600
