Date,Open,High,Low,Close,Adj Close,Volume
2016-09-22,16.559999,16.950001,15.5,15.9,14.825918,1198100
2016-09-23,16.0,16.4,15.86,16.250999,15.153207,167600
2016-09-26,16.690001,16.690001,16.25,16.280001,15.180248,58000
2016-09-27,16.35,16.700001,16.35,16.35,15.245519,50100
2016-09-28,16.35,17.41,16.35,17.0,15.851612,65000
2016-09-29,16.59,17.0,16.59,16.950001,15.804986,53700
2016-09-30,16.889999,17.200001,16.870001,16.92,15.777017,60000
2016-10-03,17.059999,17.629999,17.059999,17.370001,16.196619,34500
2016-10-04,17.306999,17.344999,16.9,17.25,16.084721,23800
2016-10-05,17.1,18.059999,17.1,17.700001,16.504328,162000
2016-10-06,17.15,18.059999,17.15,17.98,16.765411,132500
2016-10-07,17.950001,18.0,17.709999,17.91,16.700138,40600
2016-10-10,18.0,18.0,17.709999,18.0,16.784054,19200
2016-10-11,17.690001,18.0,17.6,17.99,16.774734,21400
2016-10-12,17.99,17.99,17.610001,17.860001,16.653519,7500
2016-10-13,17.99,17.99,17.6,17.700001,16.504328,28800
2016-10-14,17.875,17.878,17.221001,17.73,16.532295,106800
2016-10-17,17.290001,18.0,17.280001,17.549999,16.364462,159600
2016-10-18,17.59,17.84,17.51,17.65,16.457701,20800
2016-10-19,17.731001,17.75,17.65,17.65,16.457701,11600
2016-10-20,17.796,17.796,17.667999,17.719999,16.522972,2600
2016-10-21,17.700001,17.75,17.629999,17.65,16.457701,23800
2016-10-24,17.709999,17.799999,17.6,17.719999,16.522972,24900
2016-10-25,17.625999,17.75,17.6,17.745001,16.546288,25900
2016-10-26,17.75,17.75,17.65,17.719999,16.522972,32200
2016-10-27,17.65,17.65,17.313999,17.4,16.224588,12400
2016-10-28,17.15,17.99,16.83,17.09,15.93553,30300
2016-10-31,16.75,17.190001,16.690001,17.0,15.851612,23200
2016-11-01,17.07,17.07,16.753,16.889999,15.749039,12200
2016-11-02,16.65,16.9,16.65,16.68,15.55323,41800
2016-11-03,16.65,16.65,15.93,16.34,15.236197,54900
2016-11-04,16.190001,16.799999,15.91,16.02,14.937811,11800
2016-11-07,16.15,16.200001,16.02,16.18,15.087001,14100
2016-11-08,16.059999,16.110001,15.9,15.9,14.825918,45800
2016-11-09,15.93,17.150999,15.93,16.719999,15.590523,21200
2016-11-10,16.66,17.799999,16.66,17.780001,16.578917,49000
2016-11-11,17.799999,17.799999,17.200001,17.5,16.317831,3500
2016-11-14,17.5,17.700001,17.33,17.594999,16.406414,31200
2016-11-15,17.65,17.65,17.27,17.6,16.411083,4400
2016-11-16,17.360001,17.624001,17.209999,17.209999,16.047421,23500
2016-11-17,17.23,17.65,17.23,17.5,16.317831,4400
2016-11-18,17.540001,17.65,17.229,17.51,16.32716,11300
2016-11-21,17.49,17.809999,17.459999,17.632999,16.441853,29700
2016-11-22,17.74,19.25,17.200001,18.9,17.62326,60500
2016-11-23,18.709999,18.709999,17.226999,18.33,17.091766,16300
2016-11-25,18.200001,18.9,17.955,18.860001,17.585962,6000
2016-11-28,18.74,19.700001,18.202999,19.41,18.098808,31900
2016-11-29,19.17,19.459999,18.76,19.18,17.884348,46000
2016-11-30,19.25,19.4,18.629999,19.299999,17.996243,40500
2016-12-01,19.299999,20.0,19.299999,20.0,18.648956,51200
2016-12-02,20.0,20.0,19.458,19.860001,18.518414,36500
2016-12-05,19.950001,19.955,19.84,19.955,18.606995,17000
2016-12-06,19.989,19.989,19.0,19.93,18.583683,33900
2016-12-07,19.620001,21.91,19.209999,20.1,18.742197,124400
2016-12-08,20.290001,21.252001,18.5,19.700001,18.369221,32400
2016-12-09,20.290001,20.5,18.959999,19.875,18.532398,38600
2016-12-12,19.780001,20.5,19.73,20.200001,18.835443,36500
2016-12-13,20.299999,20.9,19.620001,20.23,18.863415,27900
2016-12-14,19.17,20.24,19.17,19.950001,18.602331,17800
2016-12-15,19.77,20.0,19.52,19.700001,18.369221,40900
2016-12-16,19.700001,20.655001,19.530001,19.530001,18.210701,374700
2016-12-19,19.67,20.0,18.950001,19.959999,18.611658,69400
2016-12-20,19.530001,20.65,19.530001,20.469999,19.0872,109300
