Date,Open,High,Low,Close,Adj Close,Volume
1980-11-03,0.391204,0.391204,0.381944,0.391204,0.130918,4460400
1980-11-05,0.394676,0.420139,0.394676,0.394676,0.13208,8208000
1980-11-06,0.394676,0.394676,0.381944,0.386574,0.129369,2613600
1980-11-07,0.385417,0.385417,0.380787,0.384259,0.128594,1987200
1980-11-10,0.384259,0.387731,0.384259,0.385417,0.128982,3261600
1980-11-11,0.387731,0.403935,0.387731,0.398148,0.133242,6663600
1980-11-12,0.400463,0.416667,0.400463,0.412037,0.13789,8607600
1980-11-13,0.414352,0.422454,0.414352,0.422454,0.141376,6080400
1980-11-14,0.422454,0.427083,0.416667,0.421296,0.140989,6264000
1980-11-17,0.417824,0.417824,0.415509,0.417824,0.139827,7797600
1980-11-18,0.417824,0.429398,0.416667,0.424769,0.142151,8704800
1980-11-19,0.424769,0.430556,0.423611,0.424769,0.142151,17442000
1980-11-20,0.424769,0.425926,0.416667,0.417824,0.139827,4428000
1980-11-21,0.417824,0.421296,0.417824,0.421296,0.140989,15076800
1980-11-24,0.421296,0.421296,0.414352,0.420139,0.140602,10303200
1980-11-25,0.420139,0.422454,0.416667,0.421296,0.140989,7128000
1980-11-26,0.421296,0.421296,0.417824,0.418981,0.140214,8812800
1980-11-28,0.420139,0.421296,0.420139,0.421296,0.140989,4633200
1980-12-01,0.421296,0.421296,0.414352,0.417824,0.139827,12592800
1980-12-02,0.416667,0.416667,0.408565,0.412037,0.13789,6534000
1980-12-03,0.412037,0.416667,0.407407,0.415509,0.139052,6166800
1980-12-04,0.415509,0.421296,0.415509,0.420139,0.140602,8143200
1980-12-05,0.417824,0.417824,0.409722,0.412037,0.13789,7808400
1980-12-08,0.409722,0.409722,0.395833,0.403935,0.135179,8748000
1980-12-09,0.403935,0.407407,0.398148,0.40625,0.135954,7365600
1980-12-10,0.40625,0.414352,0.40625,0.40625,0.135954,9925200
1980-12-11,0.400463,0.400463,0.386574,0.390046,0.130531,9774000
1980-12-12,0.390046,0.400463,0.388889,0.398148,0.133242,5778000
1980-12-15,0.402778,0.407407,0.402778,0.407407,0.136341,11383200
1980-12-16,0.407407,0.407407,0.398148,0.40162,0.134404,61732800
1980-12-17,0.40162,0.407407,0.399306,0.40625,0.135954,5929200
1980-12-18,0.407407,0.420139,0.407407,0.414352,0.138665,8964000
1980-12-19,0.414352,0.418981,0.413194,0.415509,0.139052,2062800
1980-12-22,0.418981,0.425926,0.418981,0.424769,0.142151,5032800
1980-12-23,0.425926,0.435185,0.425926,0.434028,0.14525,7657200
1980-12-24,0.434028,0.450231,0.43287,0.447917,0.149898,7808400
1980-12-26,0.447917,0.457176,0.44213,0.449074,0.150285,3596400
1980-12-29,0.449074,0.454861,0.438657,0.438657,0.146799,5659200
1980-12-30,0.438657,0.439815,0.431713,0.439815,0.147186,2667600
1980-12-31,0.439815,0.44213,0.436343,0.44213,0.147961,4752000
1981-01-02,0.44213,0.447917,0.440972,0.443287,0.148348,3261600
1981-01-05,0.443287,0.452546,0.439815,0.451389,0.15106,6717600
1981-01-06,0.451389,0.460648,0.451389,0.453704,0.151834,12387600
1981-01-07,0.453704,0.453704,0.416667,0.444444,0.148735,24094800
1981-01-08,0.444444,0.451389,0.438657,0.438657,0.146799,15411600
1981-01-09,0.438657,0.445602,0.430556,0.43287,0.144862,17280000
1981-01-12,0.434028,0.44213,0.434028,0.436343,0.146024,19839600
1981-01-13,0.435185,0.435185,0.429398,0.43287,0.144862,14245200
1981-01-14,0.43287,0.436343,0.431713,0.431713,0.144475,8294400
1981-01-15,0.43287,0.4375,0.43287,0.4375,0.146412,4903200
1981-01-16,0.440972,0.450231,0.440972,0.447917,0.149898,8985600
1981-01-19,0.453704,0.461806,0.453704,0.460648,0.154158,10864800
1981-01-20,0.460648,0.476852,0.459491,0.461806,0.154546,12117600
1981-01-21,0.461806,0.465278,0.454861,0.46412,0.15532,12636000
1981-01-22,0.46412,0.465278,0.457176,0.460648,0.154158,4557600
1981-01-23,0.460648,0.466435,0.457176,0.459491,0.153771,7689600
1981-01-26,0.457176,0.457176,0.453704,0.453704,0.151834,5983200
1981-01-27,0.453704,0.465278,0.453704,0.465278,0.155708,5562000
1981-01-28,0.465278,0.474537,0.46412,0.472222,0.158031,5421600
1981-01-29,0.472222,0.475694,0.46875,0.474537,0.158806,5313600
1981-01-30,0.476852,0.490741,0.476852,0.486111,0.162679,17226000
1981-02-02,0.483796,0.483796,0.467593,0.472222,0.158031,10897200
1981-02-03,0.472222,0.475694,0.469907,0.475694,0.159193,13478400
1981-02-04,0.475694,0.484954,0.47338,0.481481,0.16113,22474800
1981-02-05,0.481481,0.482639,0.476852,0.476852,0.159581,12560400
1981-02-06,0.476852,0.487269,0.475694,0.479167,0.160356,29484000
1981-02-09,0.479167,0.479167,0.459491,0.460648,0.154158,5691600
1981-02-10,0.460648,0.46412,0.456019,0.460648,0.154158,8434800
1981-02-11,0.460648,0.461806,0.446759,0.450231,0.150672,6652800
1981-02-12,0.444444,0.444444,0.423611,0.425926,0.142538,9860400
1981-02-13,0.425926,0.431713,0.412037,0.420139,0.140602,9212400
1981-02-17,0.420139,0.43287,0.418981,0.430556,0.146149,12042000
1981-02-18,0.435185,0.444444,0.435185,0.444444,0.150863,6620400
1981-02-19,0.444444,0.446759,0.435185,0.436343,0.148113,6771600
1981-02-20,0.436343,0.439815,0.423611,0.425926,0.144578,4849200
1981-02-23,0.425926,0.4375,0.420139,0.43287,0.146935,5162400
1981-02-24,0.438657,0.447917,0.438657,0.44213,0.150078,11232000
1981-02-25,0.44213,0.444444,0.43287,0.435185,0.14772,6739200
1981-02-26,0.438657,0.446759,0.438657,0.439815,0.149292,5562000
1981-02-27,0.439815,0.446759,0.430556,0.436343,0.148113,9050400
1981-03-02,0.435185,0.435185,0.424769,0.431713,0.146542,6836400
1981-03-03,0.43287,0.439815,0.43287,0.434028,0.147328,8218800
1981-03-04,0.435185,0.44213,0.435185,0.435185,0.14772,3952800
1981-03-05,0.435185,0.4375,0.431713,0.43287,0.146935,3164400
1981-03-06,0.43287,0.435185,0.428241,0.428241,0.145363,1360800
1981-03-09,0.428241,0.429398,0.427083,0.427083,0.14497,3715200
1981-03-10,0.427083,0.430556,0.427083,0.428241,0.145363,7657200
1981-03-11,0.428241,0.430556,0.418981,0.423611,0.143792,6933600
1981-03-12,0.4375,0.456019,0.4375,0.453704,0.154007,15454800
1981-03-13,0.461806,0.466435,0.461806,0.462963,0.157149,15973200
1981-03-16,0.462963,0.474537,0.461806,0.47338,0.160685,5346000
1981-03-17,0.47338,0.476852,0.46875,0.472222,0.160292,7624800
1981-03-18,0.469907,0.469907,0.458333,0.469907,0.159507,6966000
1981-03-19,0.46875,0.46875,0.460648,0.461806,0.156757,9730800
1981-03-20,0.461806,0.472222,0.461806,0.469907,0.159507,9309600
1981-03-23,0.472222,0.479167,0.472222,0.475694,0.161471,16642800
1981-03-24,0.476852,0.482639,0.476852,0.480324,0.163042,17539200
1981-03-25,0.480324,0.497685,0.478009,0.497685,0.168936,20692800
1981-03-26,0.498843,0.509259,0.498843,0.502315,0.170507,13597200
1981-03-27,0.502315,0.509259,0.49537,0.49537,0.16815,10065600
1981-03-30,0.49537,0.512731,0.489583,0.50463,0.171293,8683200
1981-03-31,0.50463,0.515046,0.502315,0.513889,0.174436,6890400
1981-04-01,0.50463,0.50463,0.49537,0.497685,0.168936,25790400
1981-04-02,0.486111,0.486111,0.476852,0.484954,0.164614,25898400
1981-04-03,0.483796,0.483796,0.480324,0.482639,0.163828,12484800
1981-04-06,0.476852,0.476852,0.46875,0.471065,0.1599,6480000
1981-04-07,0.472222,0.480324,0.472222,0.480324,0.163042,6134400
1981-04-08,0.480324,0.5,0.479167,0.5,0.169721,8877600
1981-04-09,0.5,0.502315,0.49537,0.502315,0.170507,6922800
1981-04-10,0.502315,0.50463,0.498843,0.498843,0.169329,6642000
1981-04-13,0.497685,0.497685,0.487269,0.490741,0.166579,2775600
1981-04-14,0.490741,0.49537,0.489583,0.491898,0.166971,4546800
1981-04-15,0.491898,0.502315,0.488426,0.502315,0.170507,3423600
1981-04-16,0.502315,0.508102,0.49537,0.498843,0.169329,5572800
1981-04-20,0.498843,0.498843,0.491898,0.491898,0.166971,4406400
1981-04-21,0.491898,0.494213,0.481481,0.481481,0.163435,13413600
1981-04-22,0.481481,0.483796,0.479167,0.482639,0.163828,3542400
1981-04-23,0.483796,0.49537,0.483796,0.490741,0.166579,6663600
1981-04-24,0.490741,0.497685,0.490741,0.497685,0.168936,5551200
1981-04-27,0.49537,0.49537,0.490741,0.490741,0.166579,4428000
1981-04-28,0.490741,0.493056,0.489583,0.490741,0.166579,3801600
1981-04-29,0.488426,0.488426,0.481481,0.481481,0.163435,7549200
1981-04-30,0.480324,0.480324,0.467593,0.467593,0.158721,15390000
1981-05-01,0.467593,0.469907,0.454861,0.462963,0.157149,9709200
1981-05-04,0.461806,0.461806,0.445602,0.459491,0.155971,4719600
1981-05-05,0.458333,0.458333,0.446759,0.458333,0.155578,9676800
1981-05-06,0.460648,0.469907,0.460648,0.466435,0.158328,8748000
1981-05-07,0.466435,0.475694,0.465278,0.475694,0.161471,2937600
1981-05-08,0.479167,0.483796,0.479167,0.482639,0.163828,3034800
1981-05-11,0.480324,0.480324,0.459491,0.467593,0.158721,20541600
1981-05-12,0.467593,0.471065,0.465278,0.471065,0.1599,9687600
1981-05-13,0.471065,0.474537,0.466435,0.469907,0.159507,7970400
1981-05-14,0.469907,0.471065,0.467593,0.469907,0.159507,7884000
1981-05-15,0.469907,0.474537,0.469907,0.471065,0.1599,4849200
1981-05-18,0.471065,0.474537,0.462963,0.474537,0.16313,3207600
1981-05-19,0.474537,0.474537,0.465278,0.467593,0.160743,5054400
1981-05-20,0.467593,0.471065,0.466435,0.469907,0.161539,2030400
1981-05-21,0.469907,0.471065,0.466435,0.471065,0.161937,8056800
1981-05-22,0.471065,0.476852,0.469907,0.472222,0.162335,2635200
1981-05-26,0.472222,0.481481,0.472222,0.481481,0.165517,2030400
1981-05-27,0.481481,0.487269,0.479167,0.487269,0.167507,2289600
1981-05-28,0.490741,0.497685,0.490741,0.493056,0.169496,18068400
1981-05-29,0.493056,0.497685,0.488426,0.496528,0.17069,6652800
1981-06-01,0.5,0.50463,0.5,0.502315,0.17268,7786800
1981-06-02,0.501157,0.501157,0.493056,0.494213,0.169894,2473200
1981-06-03,0.488426,0.488426,0.472222,0.479167,0.164722,13078800
