Date,Open,High,Low,Close,Adj Close,Volume
1994-05-20,5.802708,7.736944,5.560928,5.802708,1.539429,33605
1994-05-23,6.286267,6.528046,5.802708,5.802708,1.539429,26470
1994-05-24,6.044487,6.528046,5.802708,6.044487,1.603571,16027
1994-05-25,6.286267,6.286267,6.044487,6.286267,1.667714,1965
1994-05-26,6.286267,6.286267,6.044487,6.044487,1.603571,2171
1994-05-27,6.286267,6.286267,6.044487,6.044487,1.603571,931
1994-05-31,6.286267,6.286267,6.044487,6.044487,1.603571,2482
1994-06-01,6.286267,6.286267,6.286267,6.286267,1.667714,3309
1994-06-02,6.286267,6.286267,6.286267,6.286267,1.667714,0
1994-06-03,6.286267,6.286267,5.802708,6.044487,1.603571,19853
1994-06-06,6.286267,6.286267,6.165377,6.286267,1.667714,6411
1994-06-07,6.286267,6.286267,6.286267,6.286267,1.667714,0
1994-06-08,5.923598,6.286267,5.560928,5.560928,1.475286,15510
1994-06-09,5.560928,6.286267,5.560928,6.286267,1.667714,4653
1994-06-10,6.286267,6.286267,6.286267,6.286267,1.667714,414
1994-06-13,6.286267,6.286267,6.286267,6.286267,1.667714,310
1994-06-14,6.286267,6.286267,5.560928,6.044487,1.603571,2688
1994-06-15,6.044487,6.286267,6.044487,6.286267,1.667714,724
1994-06-16,5.923598,5.923598,5.923598,5.923598,1.5715,1034
1994-06-17,5.560928,5.802708,5.560928,5.802708,1.539429,3205
1994-06-20,5.802708,5.802708,5.802708,5.802708,1.539429,0
1994-06-21,5.560928,5.560928,5.560928,5.560928,1.475286,4136
1994-06-22,6.286267,6.286267,6.286267,6.286267,1.667714,724
1994-06-23,6.286267,6.286267,5.560928,6.286267,1.667714,931
1994-06-24,5.560928,5.802708,5.560928,5.802708,1.539429,2068
1994-06-27,5.802708,5.802708,5.802708,5.802708,1.539429,0
1994-06-28,6.044487,6.044487,6.044487,6.044487,1.603571,1137
1994-06-29,5.560928,5.560928,5.560928,5.560928,1.475286,310
1994-06-30,5.560928,6.044487,5.560928,6.044487,1.603571,207
1994-07-01,6.044487,6.044487,6.044487,6.044487,1.603571,620
1994-07-05,5.560928,5.802708,5.560928,5.802708,1.539429,21921
1994-07-06,5.802708,5.802708,5.802708,5.802708,1.539429,310
1994-07-07,5.440039,5.440039,5.440039,5.440039,1.443215,1034
1994-07-08,5.802708,5.802708,5.802708,5.802708,1.539429,207
1994-07-11,5.802708,5.802708,5.802708,5.802708,1.539429,0
1994-07-12,5.802708,5.802708,5.802708,5.802708,1.539429,2482
1994-07-13,5.681818,5.681818,5.560928,5.621373,1.491322,13339
1994-07-14,5.681818,6.044487,5.681818,6.044487,1.603571,1137
1994-07-15,5.560928,5.560928,5.560928,5.560928,1.475286,2068
1994-07-18,5.560928,5.560928,5.560928,5.560928,1.475286,0
1994-07-19,6.044487,6.044487,5.802708,5.802708,1.539429,1448
1994-07-20,5.802708,5.802708,5.802708,5.802708,1.539429,0
1994-07-21,5.802708,5.802708,5.802708,5.802708,1.539429,0
1994-07-22,6.044487,6.044487,6.044487,6.044487,1.603571,207
1994-07-25,6.044487,6.044487,6.044487,6.044487,1.603571,207
1994-07-26,6.044487,6.044487,6.044487,6.044487,1.603571,1861
1994-07-27,6.044487,6.044487,6.044487,6.044487,1.603571,0
1994-07-28,6.044487,6.044487,5.681818,5.681818,1.507357,1551
1994-07-29,5.681818,5.681818,5.681818,5.681818,1.507357,0
1994-08-01,5.681818,5.681818,5.681818,5.681818,1.507357,0
1994-08-02,5.560928,5.802708,5.560928,5.802708,1.539429,4136
1994-08-03,5.802708,5.802708,5.802708,5.802708,1.539429,103
1994-08-04,6.044487,6.044487,6.044487,6.044487,1.603571,207
1994-08-05,5.560928,5.802708,5.560928,5.802708,1.539429,2792
1994-08-08,6.044487,6.044487,6.044487,6.044487,1.603571,2482
1994-08-09,5.923598,6.044487,5.802708,6.044487,1.603571,16027
1994-08-10,6.286267,6.286267,6.286267,6.286267,1.667714,620
1994-08-11,6.286267,6.286267,6.044487,6.044487,1.603571,2378
1994-08-12,6.044487,6.044487,5.560928,6.044487,1.603571,4239
1994-08-15,6.044487,6.044487,5.802708,5.802708,1.539429,1448
1994-08-16,6.165377,6.165377,5.863153,5.863153,1.555465,3722
1994-08-17,5.560928,5.681818,5.560928,5.560928,1.475286,2171
1994-08-18,5.560928,5.923598,5.560928,5.923598,1.5715,3826
1994-08-19,5.923598,6.286267,5.923598,6.044487,1.603571,7755
1994-08-22,6.286267,6.286267,6.286267,6.286267,1.667714,2585
1994-08-23,6.286267,6.407157,5.923598,6.286267,1.667714,6411
1994-08-24,5.923598,6.407157,5.923598,6.407157,1.699786,9823
1994-08-25,6.407157,6.407157,6.044487,6.286267,1.667714,33708
1994-08-26,6.407157,6.407157,6.286267,6.407157,1.699786,12511
1994-08-29,6.407157,7.011605,6.407157,6.648936,1.763929,105985
1994-08-30,7.011605,7.132495,6.648936,7.132495,1.892215,41360
1994-08-31,6.890716,7.736944,6.890716,7.253385,1.924286,74551
1994-09-01,7.616054,7.616054,7.011605,7.374275,1.956358,36190
1994-09-02,6.769826,7.374275,6.769826,7.011605,1.860143,26367
1994-09-06,6.769826,7.253385,6.769826,6.830271,1.812036,37534
1994-09-07,6.769826,7.011605,6.528046,6.890716,1.828072,8479
1994-09-08,6.890716,6.890716,6.648936,6.648936,1.763929,17268
1994-09-09,6.890716,7.011605,6.648936,6.890716,1.828072,16337
1994-09-12,7.011605,7.011605,6.648936,7.011605,1.860143,6928
1994-09-13,7.132495,7.253385,6.890716,7.253385,1.924286,27815
1994-09-14,7.374275,7.495164,6.890716,7.495164,1.988429,6411
1994-09-15,7.495164,7.495164,6.769826,7.253385,1.924286,12925
1994-09-16,6.890716,7.132495,6.890716,7.132495,1.892215,3102
1994-09-19,7.132495,7.132495,6.769826,7.011605,1.860143,7548
1994-09-20,7.132495,7.132495,6.769826,7.011605,1.860143,12925
1994-09-21,7.011605,7.011605,6.769826,6.769826,1.796001,17061
1994-09-22,7.011605,7.011605,6.769826,6.769826,1.796001,1861
1994-09-23,6.769826,6.890716,6.648936,6.648936,1.763929,14373
1994-09-26,6.890716,6.890716,6.709381,6.769826,1.796001,8065
1994-09-27,6.890716,6.890716,6.890716,6.890716,1.828072,724
1994-09-28,6.769826,6.890716,6.769826,6.890716,1.828072,16751
1994-09-29,6.890716,6.890716,6.769826,6.769826,1.796001,2688
1994-09-30,6.800048,6.890716,6.769826,6.890716,1.828072,6928
1994-10-03,6.890716,6.890716,6.709381,6.709381,1.779964,1654
1994-10-04,6.648936,6.769826,6.648936,6.769826,1.796001,8375
1994-10-05,6.769826,6.769826,6.648936,6.769826,1.796001,13959
1994-10-06,6.769826,6.769826,6.648936,6.648936,1.763929,3516
1994-10-07,6.769826,6.769826,6.769826,6.769826,1.796001,207
1994-10-10,6.769826,6.769826,6.769826,6.769826,1.796001,620
1994-10-11,6.769826,6.769826,6.709381,6.769826,1.796001,13545
1994-10-12,6.890716,6.890716,6.528046,6.890716,1.828072,7445
1994-10-13,6.769826,6.769826,6.769826,6.769826,1.796001,827
1994-10-14,6.286267,6.769826,6.286267,6.769826,1.796001,1344
1994-10-17,6.648936,6.648936,6.286267,6.648936,1.763929,2688
