Date,Open,High,Low,Close,Adj Close,Volume
2009-11-17,25.0,25.0,25.0,25.0,0.157004,100
2009-11-18,25.0,25.0,25.0,25.0,0.157004,0
2009-11-19,25.200001,25.200001,25.200001,25.200001,0.15826,100
2009-11-20,25.389999,25.450001,25.35,25.440001,0.159767,5100
2009-11-23,25.440001,25.440001,25.440001,25.440001,0.159767,0
2009-11-24,25.440001,25.440001,25.440001,25.440001,0.159767,0
2009-11-25,25.440001,25.440001,25.440001,25.440001,0.159767,0
2009-11-27,24.75,26.0,24.5,26.0,0.163284,1100
2009-11-30,26.0,26.0,26.0,26.0,0.163284,0
2009-12-01,26.0,26.0,26.0,26.0,0.163284,0
2009-12-02,25.75,25.75,25.02,25.02,0.157129,400
2009-12-03,25.059999,25.059999,24.26,24.66,0.154869,9000
2009-12-04,25.01,25.43,24.5,24.75,0.155434,7900
2009-12-07,24.42,24.620001,24.24,24.620001,0.154617,2300
2009-12-08,24.25,24.290001,23.75,23.75,0.149154,4900
2009-12-09,23.549999,24.08,23.5,23.5,17.52552,1754600
2009-12-10,23.370001,24.290001,23.370001,24.0,17.898401,1316100
2009-12-11,24.5,24.52,24.15,24.52,18.286198,1267900
2009-12-14,24.35,25.0,23.42,24.950001,18.60688,1398200
2009-12-15,24.51,25.639999,24.15,25.440001,18.972315,2306200
2009-12-16,25.700001,25.700001,25.18,25.52,19.031971,1603700
2009-12-17,25.1,25.129999,24.290001,24.440001,18.370516,2110300
2009-12-18,24.450001,24.540001,23.58,23.969999,18.017235,1182100
2009-12-21,24.17,24.18,23.700001,24.030001,18.062334,2474400
2009-12-22,23.84,24.450001,23.84,24.309999,18.2728,2029500
2009-12-23,24.51,24.51,24.190001,24.4,18.340443,1604600
2009-12-24,24.34,24.66,24.120001,24.379999,18.325409,433600
2009-12-28,24.190001,24.549999,23.93,24.27,18.242729,631200
2009-12-29,24.559999,24.790001,24.370001,24.52,18.430637,1329000
2009-12-30,24.450001,24.67,24.15,24.639999,18.52084,1492200
2009-12-31,24.75,25.48,24.75,25.200001,18.941776,1592200
2010-01-04,26.059999,26.68,25.540001,26.6,19.994095,2117700
2010-01-05,26.73,26.790001,26.200001,26.370001,19.821217,1140700
2010-01-06,26.360001,26.690001,25.799999,26.139999,19.648329,1145600
2010-01-07,25.870001,26.129999,25.73,25.99,19.535583,873100
2010-01-08,25.91,26.26,25.66,26.23,19.715975,985300
2010-01-11,26.200001,26.43,25.92,26.15,19.655846,1759200
2010-01-12,25.52,25.879999,25.24,25.75,19.355186,1394500
2010-01-13,25.639999,25.860001,25.379999,25.809999,19.400284,853600
2010-01-14,25.84,25.959999,25.58,25.73,19.340143,974000
2010-01-15,25.77,25.83,25.01,25.25,18.979351,1361400
2010-01-19,25.139999,25.26,24.940001,25.200001,18.941776,1060900
2010-01-20,24.809999,24.809999,24.02,24.280001,18.25025,1605100
2010-01-21,24.25,24.389999,23.93,24.24,18.220179,2198900
2010-01-22,24.18,24.209999,23.629999,23.719999,17.829319,1228700
2010-01-25,23.58,24.049999,23.57,23.76,17.859386,1113700
2010-01-26,23.41,23.41,23.059999,23.209999,17.445978,1000900
2010-01-27,23.190001,23.43,22.959999,23.190001,17.430943,1461900
2010-01-28,23.459999,23.620001,23.07,23.5,17.66395,1229100
2010-01-29,23.65,24.59,23.1,23.15,17.400871,1411600
2010-02-01,23.299999,24.379999,23.290001,24.360001,18.310383,1215900
2010-02-02,24.389999,24.93,24.030001,24.799999,18.641108,1329200
2010-02-03,24.42,25.129999,24.200001,24.959999,18.76137,1002100
2010-02-04,24.49,24.610001,24.129999,24.26,18.235216,1033900
2010-02-05,24.139999,24.35,23.299999,23.74,17.844353,1052400
2010-02-08,23.74,23.959999,23.219999,23.27,17.49107,936000
2010-02-09,23.6,24.190001,23.34,23.74,17.844353,753900
2010-02-10,23.76,23.950001,23.0,23.299999,17.513624,723600
2010-02-11,22.959999,24.370001,22.870001,24.08,18.099916,813300
2010-02-12,23.99,24.07,23.709999,23.940001,17.994682,741400
2010-02-16,24.25,25.41,24.129999,25.190001,18.934258,852800
2010-02-17,25.440001,25.799999,25.030001,25.73,19.340143,897700
2010-02-18,25.530001,25.870001,25.42,25.540001,19.197342,674900
2010-02-19,25.4,26.58,25.32,26.450001,19.881348,786800
2010-02-22,26.26,26.540001,25.4,25.610001,19.249949,1257900
2010-02-23,25.34,25.5,24.34,24.48,18.400579,764100
2010-02-24,24.530001,24.719999,24.040001,24.290001,18.257763,1357400
2010-02-25,23.969999,24.200001,23.540001,24.059999,18.084879,1411500
2010-02-26,24.129999,24.6,23.92,24.5,18.415609,755600
2010-03-01,24.75,24.780001,24.459999,24.6,18.490782,511500
2010-03-02,24.700001,25.110001,24.700001,25.07,18.844055,582500
2010-03-03,25.110001,25.76,25.07,25.4,19.092098,464900
2010-03-04,25.389999,25.559999,24.969999,25.17,18.919224,486400
2010-03-05,25.51,25.85,25.370001,25.780001,19.377733,370900
2010-03-08,25.860001,26.219999,25.59,25.790001,19.385254,460900
2010-03-09,25.690001,25.940001,25.299999,25.57,19.219883,459000
2010-03-10,25.459999,26.02,25.450001,25.92,19.482971,477700
2010-03-11,25.82,26.25,25.469999,26.209999,19.850285,1110900
2010-03-12,26.35,26.68,25.77,25.870001,19.592787,340300
2010-03-15,25.77,26.0,25.1,25.43,19.259552,466300
2010-03-16,25.57,25.93,25.43,25.83,19.56249,323200
2010-03-17,25.870001,26.200001,25.780001,25.99,19.683664,665800
2010-03-18,25.99,26.139999,25.370001,25.51,19.320131,363600
2010-03-19,25.59,25.59,24.610001,24.860001,18.827854,922300
2010-03-22,24.540001,24.860001,24.370001,24.719999,18.721827,652600
2010-03-23,24.709999,25.24,24.58,25.17,19.062635,800300
2010-03-24,24.889999,24.889999,24.6,24.77,18.759699,679700
2010-03-25,24.780001,25.17,24.5,24.5,18.555202,520400
2010-03-26,24.51,24.68,24.209999,24.43,18.502195,523200
2010-03-29,24.700001,25.129999,24.610001,25.120001,19.024763,547100
2010-03-30,25.23,25.860001,25.09,25.77,19.517048,575200
2010-03-31,25.959999,26.25,25.809999,26.209999,19.850285,494200
2010-04-01,26.530001,27.85,26.49,27.85,21.092346,1244600
2010-04-05,28.34,28.700001,28.280001,28.58,21.645212,572500
2010-04-06,28.370001,28.809999,28.16,28.48,21.569479,676400
2010-04-07,28.35,28.4,27.43,27.57,20.880285,721800
2010-04-08,27.23,28.77,27.07,28.43,21.53161,736400
2010-04-09,28.35,29.299999,28.17,28.889999,21.879997,605900
2010-04-12,28.27,29.790001,28.27,29.16,22.08448,497300
2010-04-13,29.15,30.25,28.469999,29.9,22.644924,825500
2010-04-14,29.98,30.33,29.940001,30.16,22.841839,709200
2010-04-15,29.950001,30.66,29.84,30.0,22.720657,486000
2010-04-16,29.75,29.780001,28.77,28.809999,21.819408,680100
2010-04-19,28.219999,29.049999,27.51,28.24,21.387716,614600
2010-04-20,28.870001,29.639999,28.700001,29.049999,22.001169,699100
2010-04-21,29.07,29.309999,27.940001,29.0,21.963305,1621700
2010-04-22,28.459999,28.74,27.52,28.35,21.471025,847000
2010-04-23,28.27,29.41,28.120001,29.35,22.228373,762600
2010-04-26,29.209999,29.940001,28.799999,29.48,22.326832,888700
2010-04-27,29.27,29.52,28.459999,28.540001,21.614923,1237900
2010-04-28,28.639999,28.889999,28.0,28.41,21.516464,632800
2010-04-29,28.85,30.290001,28.82,29.83,22.591908,981100
2010-04-30,29.74,29.98,28.690001,29.299999,22.190514,1756400
2010-05-03,29.879999,30.1,29.139999,29.23,22.137495,1545600
2010-05-04,28.889999,28.889999,27.73,28.030001,21.228666,1236700
2010-05-05,27.32,28.040001,26.530001,27.01,20.456165,1449500
2010-05-06,26.610001,27.34,24.26,26.49,20.062346,1652800
2010-05-07,26.52,26.879999,25.540001,26.25,19.880577,1417600
2010-05-10,28.209999,28.209999,27.32,27.940001,21.160505,865200
2010-05-11,27.700001,28.610001,27.49,28.02,21.221094,500600
2010-05-12,28.24,28.82,28.0,28.360001,21.478596,846300
2010-05-13,28.370001,28.41,27.530001,27.74,21.009037,1099100
2010-05-14,27.389999,27.389999,26.040001,26.190001,19.835142,1395100
2010-05-17,26.219999,26.620001,24.969999,25.91,19.623068,1026500
2010-05-18,26.6,26.870001,25.68,25.92,19.630653,1054900
2010-05-19,25.41,26.219999,25.0,26.15,19.80484,1176300
2010-05-20,25.139999,25.49,24.530001,24.92,18.873297,1378600
2010-05-21,24.379999,25.66,24.27,25.49,19.304993,1344400
2010-05-24,25.26,25.620001,25.0,25.0,18.933886,405800
2010-05-25,24.07,24.51,23.84,24.450001,18.517336,3239900
2010-05-26,24.73,25.08,24.41,24.48,18.540058,1307600
2010-05-27,25.15,26.57,25.049999,26.5,20.069914,1808500
2010-05-28,26.780001,27.35,26.5,26.940001,20.403151,1417900
2010-06-01,27.040001,28.25,26.76,26.790001,20.289547,1483300
2010-06-02,27.280001,28.02,27.049999,28.0,21.205952,1383700
2010-06-03,28.32,28.57,27.629999,28.35,21.471025,908600
2010-06-04,27.48,28.07,26.780001,26.969999,20.425877,1233400
2010-06-07,26.940001,27.370001,26.24,26.26,19.888151,1081900
2010-06-08,26.610001,26.870001,25.700001,26.77,20.274399,1053500
2010-06-09,27.15,27.799999,27.0,27.4,20.751532,1212800
2010-06-10,27.950001,28.809999,27.9,28.799999,21.811829,1892000
2010-06-11,27.91,29.049999,27.799999,28.790001,21.951366,1056000
2010-06-14,29.209999,29.73,28.59,28.74,21.913235,1026300
2010-06-15,29.02,29.379999,28.870001,29.200001,22.263977,1914800
2010-06-16,28.889999,29.4,28.66,29.24,22.294477,1424700
2010-06-17,29.25,29.58,28.700001,29.23,22.286846,2152400
2010-06-18,29.43,29.51,29.26,29.42,22.431717,3678500
2010-06-21,29.690001,30.0,29.09,29.16,22.233479,1101300
2010-06-22,29.219999,29.82,28.290001,28.389999,21.646378,1115900
2010-06-23,28.07,28.190001,27.610001,28.040001,21.379511,915900
2010-06-24,27.73,27.940001,27.07,27.190001,20.731422,792600
2010-06-25,27.440001,28.280001,27.26,28.040001,21.379511,1008100
2010-06-28,27.98,27.98,27.0,27.1,20.662804,780200
2010-06-29,26.5,26.5,25.370001,25.559999,19.488602,1184800
2010-06-30,25.48,26.24,25.26,25.790001,19.663971,1174400
2010-07-01,25.889999,26.200001,25.09,25.610001,19.526726,746000
2010-07-02,25.48,26.209999,25.459999,25.799999,19.671595,1047900
2010-07-06,26.42,26.690001,25.92,26.15,19.938456,568000
2010-07-07,26.370001,27.32,26.190001,27.219999,20.754295,577800
2010-07-08,27.870001,28.1,27.370001,27.76,21.166033,710100
2010-07-09,28.18,28.51,27.92,28.360001,21.623503,681100
2010-07-12,28.27,28.73,28.16,28.440001,21.6845,610600
2010-07-13,28.91,29.870001,28.860001,29.4,22.416466,1189000
2010-07-14,29.200001,29.6,28.870001,29.15,22.225853,1018500
2010-07-15,29.049999,29.17,28.33,28.77,21.936115,1005000
2010-07-16,28.540001,28.57,27.540001,27.700001,21.120275,934800
2010-07-19,27.870001,28.209999,27.73,28.07,21.402384,1284600
2010-07-20,27.610001,28.540001,27.610001,28.389999,21.646378,1641200
