Date,Open,High,Low,Close,Adj Close,Volume
2015-05-15,24.940001,25.5,24.469999,24.5,16.213802,526100
2015-05-18,24.41,24.99,23.200001,23.75,15.717462,777500
2015-05-19,23.67,24.02,23.450001,23.57,15.598331,1173000
2015-05-20,23.52,23.950001,23.200001,23.5,15.55201,354600
2015-05-21,23.42,23.690001,23.07,23.530001,15.571865,539600
2015-05-22,23.42,23.719999,23.08,23.559999,15.591725,736400
2015-05-26,23.66,25.16,23.639999,24.9,16.478514,1401100
2015-05-27,24.57,26.15,24.440001,26.01,17.2131,1482900
2015-05-28,26.92,27.870001,26.26,26.73,17.826658,1510600
2015-05-29,26.93,27.32,26.73,27.07,18.053413,1081400
2015-06-01,27.190001,27.780001,27.059999,27.110001,18.080091,1047300
2015-06-02,27.219999,28.110001,26.389999,27.07,18.053413,714900
2015-06-03,27.290001,27.370001,26.559999,27.01,18.013399,706000
2015-06-04,27.01,27.059999,25.92,26.24,17.499872,605200
2015-06-05,26.200001,26.73,26.0,26.59,17.733292,349100
2015-06-08,26.690001,26.82,26.43,26.6,17.739964,331300
2015-06-09,26.68,26.790001,25.700001,26.24,17.499872,581600
2015-06-10,26.26,26.940001,26.07,26.219999,17.486534,482700
2015-06-11,26.030001,26.459999,25.530001,26.01,17.346485,428900
2015-06-12,25.879999,26.0,25.34,25.459999,16.979683,458600
2015-06-15,25.6,25.73,24.93,24.940001,16.632881,319000
2015-06-16,25.049999,25.24,24.82,24.870001,16.586201,474800
2015-06-17,24.84,25.110001,24.49,24.77,16.51951,623400
2015-06-18,25.049999,25.360001,24.280001,24.42,16.286087,957600
2015-06-19,24.459999,25.059999,24.360001,24.469999,16.319427,930600
2015-06-22,25.0,25.139999,24.540001,24.58,16.392794,495200
2015-06-23,23.67,23.799999,22.5,22.639999,15.098975,3584900
2015-06-24,22.299999,23.690001,22.25,23.540001,15.6992,11887200
2015-06-25,23.52,23.709999,23.24,23.5,15.672526,2466000
2015-06-26,23.440001,23.51,22.780001,22.98,15.325723,2322100
2015-06-29,22.780001,23.030001,22.16,22.190001,14.798866,1629000
2015-06-30,22.35,22.59,21.790001,21.889999,14.59879,1697200
2015-07-01,21.83,22.360001,21.440001,21.57,14.385378,3047400
2015-07-02,21.67,22.290001,21.6,21.879999,14.592121,1798400
2015-07-06,21.67,22.139999,21.65,22.1,14.738845,1021600
2015-07-07,22.190001,22.629999,21.76,22.360001,14.912238,1478200
2015-07-08,22.58,22.58,21.84,22.120001,14.752185,718400
2015-07-09,22.33,22.389999,21.73,21.780001,14.525428,1064400
2015-07-10,21.879999,22.24,21.66,22.16,14.778857,989800
2015-07-13,22.23,22.41,21.950001,22.26,14.845548,739100
2015-07-14,22.23,22.280001,21.860001,22.1,14.738845,665500
2015-07-15,22.07,22.08,21.280001,21.309999,14.211976,755500
2015-07-16,21.309999,21.91,21.309999,21.35,14.238655,791900
2015-07-17,21.33,21.48,20.32,20.35,13.571738,1219500
2015-07-20,20.33,20.52,19.27,19.360001,12.91149,1365600
2015-07-21,19.43,20.049999,19.26,19.35,12.904819,2674300
2015-07-22,19.25,19.6,18.879999,19.459999,12.978183,1169400
2015-07-23,19.35,19.91,19.209999,19.469999,12.984851,915300
2015-07-24,19.4,19.530001,18.58,18.98,12.658063,1561700
2015-07-27,18.889999,19.959999,18.809999,19.709999,13.144909,1761700
2015-07-28,19.75,19.82,19.309999,19.35,12.904819,1466000
2015-07-29,19.35,19.459999,18.870001,19.07,12.718085,1851100
2015-07-30,18.969999,19.24,18.799999,19.059999,12.711418,1686900
2015-07-31,19.190001,19.950001,19.08,19.290001,12.864808,4930900
2015-08-03,19.290001,19.51,18.59,18.83,12.558026,1570300
2015-08-04,18.440001,18.5,15.94,16.0,10.670655,4431600
2015-08-05,16.139999,17.32,15.89,17.0,11.33757,3954000
2015-08-06,16.799999,16.82,15.6,15.65,10.437234,1675500
2015-08-07,15.6,16.290001,15.6,15.94,10.630637,1716200
2015-08-10,16.0,16.360001,15.76,16.07,10.717337,1362100
2015-08-11,16.030001,16.17,15.69,15.85,10.570618,1243400
2015-08-12,15.68,16.52,15.53,16.33,10.890736,1731800
2015-08-13,16.34,16.860001,16.17,16.610001,11.077475,707200
2015-08-14,16.549999,16.889999,16.309999,16.889999,11.264209,819500
2015-08-17,16.83,17.299999,16.610001,17.290001,11.530978,792900
2015-08-18,17.290001,17.32,16.950001,17.02,11.350909,620700
2015-08-19,16.93,17.370001,16.77,17.309999,11.544313,1216100
2015-08-20,17.110001,17.57,17.02,17.200001,11.470952,2358100
2015-08-21,17.02,17.07,16.43,16.57,11.050796,894000
2015-08-24,15.86,16.860001,15.23,16.209999,10.810707,1364900
2015-08-25,16.65,16.65,16.01,16.030001,10.690664,770500
2015-08-26,16.290001,16.360001,15.24,15.92,10.617301,2082500
2015-08-27,16.0,16.49,15.77,16.41,10.94409,1006000
2015-08-28,16.18,16.790001,15.5,16.290001,11.004892,1143500
2015-08-31,16.23,16.290001,15.85,16.059999,10.849511,650600
2015-09-01,15.85,16.040001,15.3,15.58,10.525243,1139200
2015-09-02,15.72,15.9,15.42,15.75,10.640087,517800
2015-09-03,15.69,16.209999,15.69,16.040001,10.836001,699500
2015-09-04,15.9,16.1,15.53,15.56,10.511732,567100
2015-09-08,15.7,16.190001,15.49,15.66,10.579288,802900
2015-09-09,15.76,15.77,15.21,15.26,10.309063,437200
2015-09-10,15.2,15.39,14.78,14.92,10.079373,1158300
2015-09-11,14.86,14.94,14.32,14.58,9.849681,1112100
2015-09-14,14.72,14.72,14.18,14.36,9.701059,472600
2015-09-15,14.43,14.88,14.4,14.84,10.025326,611600
2015-09-16,14.84,15.5,14.76,15.35,10.369864,1078200
2015-09-17,15.41,15.94,15.35,15.43,10.423907,930700
2015-09-18,15.28,15.89,15.22,15.63,10.55902,1089400
2015-09-21,15.84,15.9,14.98,15.17,10.248261,698400
2015-09-22,14.99,14.99,14.43,14.52,9.809146,1343900
2015-09-23,14.61,14.78,13.8,14.0,9.457855,973800
2015-09-24,13.73,14.05,13.44,13.53,9.140341,1762900
2015-09-25,13.62,13.63,12.71,12.8,8.647182,1489200
