Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,1.742188,1.742188,1.742188,1.742188,0.417828,8000
1973-02-22,1.742188,1.742188,1.742188,1.742188,0.417828,1600
1973-02-23,1.742188,1.742188,1.742188,1.742188,0.417828,24000
1973-02-26,1.742188,1.742188,1.742188,1.742188,0.417828,1600
1973-02-27,1.734375,1.734375,1.734375,1.734375,0.415955,4800
1973-02-28,1.734375,1.734375,1.734375,1.734375,0.415955,8000
1973-03-01,1.734375,1.734375,1.734375,1.734375,0.415955,1600
1973-03-02,1.734375,1.734375,1.734375,1.734375,0.415955,0
1973-03-05,1.71875,1.71875,1.71875,1.71875,0.412207,30400
1973-03-06,1.71875,1.71875,1.71875,1.71875,0.412207,19200
1973-03-07,1.710938,1.710938,1.710938,1.710938,0.410334,4800
1973-03-08,1.710938,1.710938,1.710938,1.710938,0.410334,12800
1973-03-09,1.710938,1.710938,1.710938,1.710938,0.410334,11200
1973-03-12,1.710938,1.710938,1.710938,1.710938,0.410334,0
1973-03-13,1.710938,1.710938,1.710938,1.710938,0.410334,9600
1973-03-14,1.71875,1.71875,1.71875,1.71875,0.412207,6400
1973-03-15,1.710938,1.710938,1.710938,1.710938,0.410334,4800
1973-03-16,1.710938,1.710938,1.710938,1.710938,0.410334,6400
1973-03-19,1.710938,1.710938,1.710938,1.710938,0.410334,6400
1973-03-20,1.710938,1.710938,1.710938,1.710938,0.410334,11200
1973-03-21,1.710938,1.710938,1.710938,1.710938,0.410334,19200
1973-03-22,1.710938,1.710938,1.710938,1.710938,0.410334,27200
1973-03-23,1.703125,1.703125,1.703125,1.703125,0.40846,8000
1973-03-26,1.703125,1.703125,1.703125,1.703125,0.40846,8000
1973-03-27,1.703125,1.703125,1.703125,1.703125,0.40846,0
1973-03-28,1.703125,1.703125,1.703125,1.703125,0.40846,30400
1973-03-29,1.703125,1.703125,1.703125,1.703125,0.40846,43200
1973-03-30,1.703125,1.703125,1.703125,1.703125,0.40846,1600
1973-04-02,1.703125,1.703125,1.703125,1.703125,0.40846,3200
1973-04-03,1.703125,1.703125,1.703125,1.703125,0.40846,1600
1973-04-04,1.703125,1.703125,1.703125,1.703125,0.40846,1600
1973-04-05,1.703125,1.703125,1.703125,1.703125,0.40846,1600
1973-04-06,1.703125,1.703125,1.703125,1.703125,0.40846,20800
1973-04-09,1.703125,1.703125,1.703125,1.703125,0.40846,11200
1973-04-10,1.703125,1.703125,1.703125,1.703125,0.40846,9600
1973-04-11,1.703125,1.703125,1.703125,1.703125,0.40846,3200
1973-04-12,1.703125,1.703125,1.703125,1.703125,0.40846,11200
1973-04-13,1.710938,1.710938,1.710938,1.710938,0.410334,1600
1973-04-16,1.710938,1.710938,1.710938,1.710938,0.410334,14400
1973-04-17,1.71875,1.71875,1.71875,1.71875,0.412207,4800
1973-04-18,1.71875,1.71875,1.71875,1.71875,0.412207,0
1973-04-19,1.71875,1.71875,1.71875,1.71875,0.412207,0
1973-04-23,1.71875,1.71875,1.71875,1.71875,0.412207,17600
1973-04-24,1.710938,1.710938,1.710938,1.710938,0.410334,16000
1973-04-25,1.71875,1.71875,1.71875,1.71875,0.412207,8000
1973-04-26,1.71875,1.71875,1.71875,1.71875,0.412207,4800
1973-04-27,1.71875,1.71875,1.71875,1.71875,0.412207,11200
1973-04-30,1.710938,1.710938,1.710938,1.710938,0.410334,11200
1973-05-01,1.703125,1.703125,1.703125,1.703125,0.40846,4800
1973-05-02,1.695313,1.695313,1.695313,1.695313,0.406586,8000
1973-05-03,0.0,1.71875,1.6875,1.6875,0.404713,9600
1973-05-04,0.0,1.71875,1.6875,1.6875,0.404713,4800
1973-05-07,0.0,1.71875,1.6875,1.6875,0.404713,1600
1973-05-08,0.0,1.71875,1.6875,1.6875,0.404713,19200
1973-05-09,0.0,1.710938,1.679688,1.679688,0.402839,4800
1973-05-10,0.0,1.710938,1.679688,1.679688,0.402839,16000
1973-05-11,0.0,1.703125,1.671875,1.671875,0.400965,9600
1973-05-14,0.0,1.703125,1.671875,1.671875,0.400965,25600
1973-05-15,0.0,1.703125,1.671875,1.671875,0.400965,12800
1973-05-16,0.0,1.703125,1.671875,1.671875,0.400965,3200
1973-05-17,0.0,1.703125,1.671875,1.671875,0.400965,3200
1973-05-18,0.0,1.703125,1.671875,1.671875,0.400965,27200
1973-05-21,1.671875,1.671875,1.671875,1.671875,0.400965,0
1973-05-22,1.671875,1.671875,1.671875,1.671875,0.400965,0
1973-05-23,0.0,1.6875,1.65625,1.65625,0.397218,8000
1973-05-24,1.65625,1.65625,1.65625,1.65625,0.397218,0
1973-05-25,0.0,1.6875,1.65625,1.65625,0.397218,4800
1973-05-29,1.65625,1.65625,1.65625,1.65625,0.397218,0
1973-05-30,0.0,1.6875,1.65625,1.65625,0.397218,30400
1973-05-31,0.0,1.6875,1.65625,1.65625,0.397218,11200
1973-06-01,0.0,1.6875,1.65625,1.65625,0.397218,1600
1973-06-04,0.0,1.679688,1.648438,1.648438,0.395344,24000
1973-06-05,0.0,1.6875,1.65625,1.65625,0.397218,4800
1973-06-06,0.0,1.695313,1.664063,1.664063,0.399092,4800
1973-06-07,0.0,1.695313,1.664063,1.664063,0.399092,6400
1973-06-08,0.0,1.695313,1.664063,1.664063,0.399092,6400
1973-06-11,0.0,1.695313,1.664063,1.664063,0.399092,8000
1973-06-12,0.0,1.695313,1.664063,1.664063,0.399092,1600
1973-06-13,0.0,1.703125,1.671875,1.671875,0.400965,4800
1973-06-14,0.0,1.695313,1.664063,1.664063,0.399092,14400
1973-06-15,0.0,1.703125,1.671875,1.671875,0.400965,11200
1973-06-18,0.0,1.695313,1.664063,1.664063,0.399092,12800
1973-06-19,0.0,1.65625,1.625,1.625,0.389723,9600
1973-06-20,0.0,1.65625,1.625,1.625,0.389723,4800
1973-06-21,0.0,1.65625,1.625,1.625,0.389723,4800
1973-06-22,0.0,1.625,1.59375,1.59375,0.382229,25600
