Date,Open,High,Low,Close,Adj Close,Volume
1989-02-17,0.0,10.0,10.0,10.0,0.991203,128400
1989-02-21,0.0,10.0,10.0,10.0,0.991203,23400
1989-02-22,0.0,10.0,10.0,10.0,0.991203,17800
1989-02-23,0.0,10.0,10.0,10.0,0.991203,18000
1989-02-24,0.0,10.0,10.0,10.0,0.991203,14300
1989-02-27,0.0,10.0,10.0,10.0,0.991203,43900
1989-02-28,0.0,10.0,10.0,10.0,0.991203,11100
1989-03-01,0.0,10.0,10.0,10.0,0.991203,11300
1989-03-02,0.0,10.0,10.0,10.0,0.991203,7900
1989-03-03,0.0,10.0,10.0,10.0,0.991203,19600
1989-03-06,0.0,10.0,10.0,10.0,0.991203,40500
1989-03-07,0.0,10.0,10.0,10.0,0.991203,12600
1989-03-08,0.0,10.0,10.0,10.0,0.991203,17700
1989-03-09,0.0,10.0,10.0,10.0,0.991203,7800
1989-03-10,0.0,10.0,10.0,10.0,0.991203,5900
1989-03-13,0.0,10.0,10.0,10.0,0.991203,26400
1989-03-14,0.0,10.0,10.0,10.0,0.991203,12500
1989-03-15,0.0,10.0,10.0,10.0,0.991203,54700
1989-03-16,0.0,10.0,10.0,10.0,0.991203,48900
1989-03-17,0.0,10.0,10.0,10.0,0.991203,35600
1989-03-20,0.0,10.0,10.0,10.0,0.991203,39300
1989-03-21,0.0,10.0,10.0,10.0,0.991203,59600
1989-03-22,0.0,10.0,10.0,10.0,0.991203,19400
1989-03-23,0.0,10.0,10.0,10.0,0.991203,52600
1989-03-27,0.0,10.0,9.875,9.875,0.978814,40800
1989-03-28,0.0,9.875,9.875,9.875,0.978814,65600
1989-03-29,0.0,10.0,9.875,10.0,0.991203,19600
1989-03-30,0.0,9.875,9.875,9.875,0.978814,69100
1989-03-31,0.0,9.875,9.875,9.875,0.978814,56500
1989-04-03,0.0,9.875,9.75,9.75,0.966424,40700
1989-04-04,0.0,9.875,9.75,9.75,0.966424,14600
1989-04-05,0.0,9.875,9.625,9.625,0.954033,25100
1989-04-06,0.0,9.75,9.625,9.625,0.954033,35700
1989-04-07,0.0,9.75,9.625,9.625,0.954033,34100
1989-04-10,0.0,9.75,9.5,9.5,0.941643,19200
1989-04-11,0.0,9.625,9.375,9.5,0.941643,47900
1989-04-12,0.0,9.5,9.25,9.375,0.929253,33300
1989-04-13,0.0,9.375,9.25,9.25,0.916864,23900
1989-04-14,0.0,9.375,9.25,9.25,0.916864,10900
1989-04-17,0.0,9.5,9.25,9.375,0.929253,28000
1989-04-18,0.0,9.5,9.375,9.375,0.929253,22300
1989-04-19,0.0,9.625,9.375,9.5,0.941643,23800
1989-04-20,0.0,9.5,9.375,9.5,0.941643,17500
1989-04-21,0.0,9.5,9.375,9.5,0.941643,13200
1989-04-24,0.0,9.5,9.375,9.375,0.929253,11400
1989-04-25,0.0,9.5,9.375,9.5,0.941643,47400
1989-04-26,0.0,9.625,9.5,9.5,0.941643,34100
1989-04-27,0.0,9.625,9.5,9.5,0.941643,7800
1989-04-28,0.0,9.5,9.5,9.5,0.941643,5700
1989-05-01,0.0,9.75,9.625,9.625,0.954033,34400
1989-05-02,0.0,9.75,9.625,9.75,0.966424,15600
1989-05-03,0.0,9.75,9.5,9.625,0.954033,34100
1989-05-04,0.0,9.75,9.625,9.75,0.966424,20400
1989-05-05,0.0,9.875,9.625,9.875,0.978814,74300
1989-05-08,0.0,9.875,9.875,9.875,0.978814,55300
1989-05-09,0.0,10.0,9.875,9.875,0.978814,45100
1989-05-10,0.0,10.0,9.875,9.875,0.978814,47200
1989-05-11,0.0,10.0,9.75,9.75,0.966424,32700
1989-05-12,0.0,9.875,9.75,9.75,0.966424,17500
1989-05-15,0.0,9.875,9.625,9.625,0.954033,36300
1989-05-16,0.0,9.875,9.75,9.75,0.966424,23600
1989-05-17,0.0,9.875,9.75,9.75,0.966424,22200
1989-05-18,0.0,9.875,9.75,9.875,0.978814,45700
1989-05-19,0.0,9.75,9.625,9.625,0.954033,22900
1989-05-22,0.0,9.75,9.625,9.625,0.954033,15200
1989-05-23,0.0,9.875,9.625,9.75,0.966424,28700
1989-05-24,0.0,9.75,9.625,9.75,0.966424,10200
1989-05-25,0.0,9.75,9.625,9.75,0.966424,14400
1989-05-26,0.0,9.75,9.625,9.625,0.954033,14800
1989-05-30,0.0,9.75,9.625,9.625,0.954033,16900
1989-05-31,0.0,9.75,9.625,9.75,0.966424,6900
1989-06-01,0.0,9.875,9.625,9.625,0.954033,29800
1989-06-02,0.0,9.75,9.625,9.625,0.954033,10600
1989-06-05,0.0,9.75,9.625,9.75,0.966424,33000
1989-06-06,0.0,9.75,9.625,9.625,0.954033,14300
1989-06-07,0.0,9.75,9.625,9.625,0.954033,7100
1989-06-08,0.0,9.75,9.625,9.75,0.966424,11300
1989-06-09,0.0,9.75,9.625,9.625,0.954033,8900
1989-06-12,0.0,9.75,9.625,9.75,0.966424,8300
1989-06-13,0.0,9.75,9.625,9.75,0.966424,18200
1989-06-14,0.0,9.875,9.625,9.75,0.966424,54300
1989-06-15,0.0,9.875,9.75,9.75,0.966424,20900
1989-06-16,0.0,9.875,9.625,9.625,0.954033,17500
1989-06-19,0.0,9.75,9.625,9.625,0.954033,21600
1989-06-20,0.0,9.75,9.625,9.75,0.966424,7400
1989-06-21,0.0,9.75,9.625,9.625,0.954033,38900
1989-06-22,0.0,9.75,9.625,9.625,0.954033,30500
1989-06-23,0.0,9.875,9.75,9.875,0.978814,25900
1989-06-26,0.0,9.875,9.75,9.75,0.966424,22000
1989-06-27,0.0,9.875,9.75,9.75,0.966424,43100
1989-06-28,0.0,9.75,9.625,9.625,0.954033,12100
1989-06-29,0.0,9.75,9.625,9.625,0.954033,16500
1989-06-30,9.625,9.75,9.625,9.625,0.954033,23100
1989-07-03,9.625,9.75,9.5,9.75,0.966424,3700
1989-07-05,9.75,9.75,9.5,9.5,0.941643,22200
1989-07-06,9.625,9.75,9.5,9.75,0.966424,13900
1989-07-07,9.625,9.75,9.5,9.75,0.966424,20300
1989-07-10,9.75,9.75,9.5,9.625,0.954033,23600
1989-07-11,9.625,9.75,9.5,9.5,0.941643,21300
1989-07-12,9.625,9.75,9.5,9.75,0.966424,15500
1989-07-13,9.625,9.75,9.625,9.625,0.954033,30000
1989-07-14,9.625,9.75,9.625,9.625,0.954033,20400
1989-07-17,9.75,9.75,9.625,9.625,0.954033,22400
1989-07-18,9.75,9.75,9.625,9.75,0.966424,49000
1989-07-19,9.75,9.75,9.625,9.625,0.954033,29100
1989-07-20,9.625,9.75,9.5,9.5,0.941643,24700
1989-07-21,9.5,9.75,9.5,9.625,0.954033,47400
1989-07-24,9.625,9.75,9.625,9.625,0.954033,16500
1989-07-25,9.75,9.75,9.5,9.75,0.971876,13600
1989-07-26,9.625,9.75,9.625,9.75,0.971876,18400
1989-07-27,9.625,9.75,9.625,9.75,0.971876,29200
1989-07-28,9.625,9.75,9.5,9.5,0.946955,27400
1989-07-31,9.625,9.75,9.5,9.625,0.959416,17400
1989-08-01,9.5,9.75,9.5,9.625,0.959416,17000
