Date,Open,High,Low,Close,Adj Close,Volume
2004-03-30,13.5,13.5,12.1,12.37,9.521407,271500
2004-03-31,12.3,12.5,12.3,12.5,9.621468,86300
2004-04-01,12.5,12.75,12.35,12.75,9.813898,50800
2004-04-02,12.51,12.96,12.51,12.66,9.744623,35600
2004-04-05,12.7,13.25,12.7,13.25,10.198758,26400
2004-04-06,12.75,12.9,12.75,12.75,9.813898,3300
2004-04-07,12.85,13.12,12.85,13.1,10.0833,7500
2004-04-08,12.95,13.0,12.55,12.9,9.929355,21000
2004-04-12,12.8,12.8,12.76,12.76,9.821598,5800
2004-04-13,12.76,12.76,12.5,12.5,9.621468,15300
2004-04-14,12.25,12.5,12.0,12.0,9.236609,22800
2004-04-15,12.0,12.0,12.0,12.0,9.236609,0
2004-04-16,11.5,11.5,11.35,11.35,8.736295,8400
2004-04-19,11.45,11.9,11.25,11.6,8.928724,5200
2004-04-20,11.51,11.55,11.25,11.25,8.659323,1000
2004-04-21,11.25,13.0,11.25,12.0,9.236609,3500
2004-04-22,12.75,12.75,12.75,12.75,9.813898,1100
2004-04-23,12.75,12.75,12.75,12.75,9.813898,0
2004-04-26,12.75,12.75,11.25,11.25,8.659323,600
2004-04-27,11.25,11.25,11.25,11.25,8.659323,0
2004-04-28,13.0,13.0,11.5,11.6,8.928724,2800
2004-04-29,11.75,11.75,11.75,11.75,9.044179,3600
2004-04-30,11.8,11.8,11.8,11.8,9.082668,200
2004-05-03,11.8,11.8,11.8,11.8,9.082668,3300
2004-05-04,12.0,12.0,12.0,12.0,9.236609,400
2004-05-05,12.0,12.0,12.0,12.0,9.236609,0
2004-05-06,12.19,12.2,11.8,12.05,9.275096,4700
2004-05-07,12.2,12.2,12.0,12.1,9.313582,4400
2004-05-10,12.1,12.1,12.0,12.0,9.236609,5500
2004-05-11,12.0,12.1,12.0,12.1,9.313582,3200
2004-05-12,12.05,12.05,12.05,12.05,9.275096,2800
2004-05-13,12.05,12.1,12.05,12.05,9.275096,9800
2004-05-14,12.06,12.25,12.06,12.25,9.42904,5100
2004-05-17,12.1,12.1,12.0,12.0,9.236609,5000
2004-05-18,12.0,12.0,11.85,11.85,9.121152,43900
2004-05-19,11.85,11.85,11.85,11.85,9.121152,0
2004-05-20,11.85,11.85,11.85,11.85,9.121152,0
2004-05-21,11.85,11.85,11.85,11.85,9.121152,0
2004-05-24,11.92,11.92,11.83,11.85,9.121152,18300
2004-05-25,11.87,11.87,11.77,11.77,9.059575,6500
2004-05-26,11.77,11.77,11.77,11.77,9.059575,0
2004-05-27,11.77,11.77,11.77,11.77,9.059575,0
2004-05-28,11.77,11.77,11.77,11.77,9.059575,0
2004-06-01,11.87,11.87,11.85,11.87,9.136546,10000
2004-06-02,11.87,11.87,11.85,11.85,9.121152,2000
2004-06-03,11.87,11.95,11.85,11.95,9.198124,5400
2004-06-04,11.9,11.9,11.9,11.9,9.159637,500
2004-06-07,11.87,11.9,11.85,11.9,9.159637,3700
2004-06-08,11.9,11.9,11.9,11.9,9.159637,0
2004-06-09,11.9,11.9,11.9,11.9,9.159637,0
2004-06-10,11.8,11.8,11.8,11.8,9.082668,600
2004-06-14,11.8,11.8,11.8,11.8,9.082668,0
2004-06-15,11.86,11.9,11.86,11.9,9.159637,2800
2004-06-16,12.0,12.0,12.0,12.0,9.236609,100
2004-06-17,12.0,12.0,12.0,12.0,9.236609,0
2004-06-18,12.0,12.0,11.85,11.85,9.121152,3000
2004-06-21,11.85,11.85,11.85,11.85,9.121152,1400
2004-06-22,11.85,11.85,11.85,11.85,9.121152,0
2004-06-23,11.85,11.85,11.85,11.85,9.121152,0
2004-06-24,11.85,11.85,11.85,11.85,9.121152,0
2004-06-25,11.85,11.85,11.85,11.85,9.121152,0
2004-06-28,11.85,11.85,11.85,11.85,9.121152,0
2004-06-29,11.85,11.85,11.85,11.85,9.121152,0
2004-06-30,12.0,12.0,12.0,12.0,9.236609,400
2004-07-01,12.0,12.0,12.0,12.0,9.236609,0
2004-07-02,12.0,12.0,12.0,12.0,9.236609,0
2004-07-06,12.0,12.0,12.0,12.0,9.236609,0
