Date,Open,High,Low,Close,Adj Close,Volume
1994-02-10,1.03125,1.25,0.96875,1.15625,0.714197,2994400
1994-02-11,1.15625,1.21875,1.15625,1.15625,0.714197,996000
1994-02-14,1.1875,1.21875,1.125,1.15625,0.714197,808000
1994-02-15,1.25,1.25,1.1875,1.1875,0.733499,800800
1994-02-16,1.1875,1.25,1.09375,1.125,0.694894,1128000
1994-02-17,1.15625,1.15625,1.0625,1.125,0.694894,704000
1994-02-18,1.125,1.125,1.0625,1.09375,0.675591,260800
1994-02-22,1.125,1.125,1.0625,1.0625,0.656289,164800
1994-02-23,1.125,1.15625,1.0625,1.15625,0.714197,128000
1994-02-24,1.15625,1.15625,1.09375,1.15625,0.714197,237600
1994-02-25,1.15625,1.15625,1.0625,1.09375,0.675591,115200
1994-02-28,1.125,1.125,1.0625,1.125,0.694894,33600
1994-03-01,1.125,1.125,1.0625,1.0625,0.656289,179200
1994-03-02,1.0625,1.125,1.0625,1.0625,0.656289,376000
1994-03-03,1.125,1.125,1.0625,1.125,0.694894,71200
1994-03-04,1.125,1.125,1.0625,1.125,0.694894,200000
1994-03-07,1.0625,1.125,1.0625,1.0625,0.656289,65600
1994-03-08,1.125,1.125,1.0625,1.0625,0.656289,28000
1994-03-09,1.125,1.125,1.0625,1.0625,0.656289,64800
1994-03-10,1.125,1.125,1.0625,1.078125,0.66594,105600
1994-03-11,1.125,1.125,1.0625,1.0625,0.656289,939200
1994-03-14,1.125,1.125,1.0625,1.078125,0.66594,87200
1994-03-15,1.125,1.125,1.0625,1.125,0.694894,64800
1994-03-16,1.0625,1.125,1.0625,1.0625,0.656289,66400
1994-03-17,1.0625,1.125,1.0625,1.09375,0.675591,45600
1994-03-18,1.125,1.125,1.0625,1.125,0.694894,145600
1994-03-21,1.125,1.125,1.0625,1.0625,0.656289,100000
1994-03-22,1.125,1.125,1.0625,1.078125,0.66594,285600
1994-03-23,1.0625,1.125,1.0625,1.09375,0.675591,238400
1994-03-24,1.03125,1.09375,1.03125,1.0625,0.656289,188800
1994-03-25,1.03125,1.09375,1.03125,1.09375,0.675591,12800
1994-03-28,1.03125,1.0625,1.0,1.0,0.617683,196000
1994-03-29,1.0,1.0625,1.0,1.0625,0.656289,80000
1994-03-30,1.046875,1.0625,1.0,1.0625,0.656289,20800
1994-03-31,1.0,1.0625,1.0,1.015625,0.627335,85600
1994-04-04,1.0,1.0625,0.96875,1.0625,0.656289,36800
1994-04-05,0.96875,1.0625,0.96875,1.0625,0.656289,31200
1994-04-06,1.0625,1.0625,1.0,1.0,0.617683,73600
1994-04-07,1.0625,1.0625,0.96875,0.96875,0.598381,16000
1994-04-08,0.96875,1.0625,0.96875,0.96875,0.598381,398400
1994-04-11,1.0,1.0625,1.0,1.0625,0.656289,23200
1994-04-12,1.0625,1.0625,1.0,1.0625,0.656289,144000
1994-04-13,1.03125,1.171875,1.03125,1.078125,0.66594,149600
1994-04-14,1.0625,1.09375,1.0625,1.0625,0.656289,49600
1994-04-15,1.0625,1.125,1.0625,1.0625,0.656289,75200
1994-04-18,1.125,1.125,1.03125,1.0625,0.656289,218400
1994-04-19,1.03125,1.09375,1.03125,1.046875,0.646637,184000
1994-04-20,1.03125,1.09375,1.03125,1.03125,0.636986,128800
1994-04-21,1.0625,1.09375,1.03125,1.09375,0.675591,4800
1994-04-22,1.03125,1.09375,1.03125,1.03125,0.636986,11200
1994-04-25,1.09375,1.09375,1.03125,1.09375,0.675591,35200
1994-04-26,1.03125,1.09375,1.03125,1.09375,0.675591,57600
1994-04-28,1.0,1.09375,1.0,1.0,0.617683,23200
1994-04-29,1.0625,1.09375,1.0,1.09375,0.675591,10400
1994-05-02,1.0625,1.09375,1.0,1.0625,0.656289,53600
1994-05-03,1.0,1.09375,1.0,1.0,0.617683,31200
