Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,6.51,7.174,6.51,7.02,4.837268,75100
2021-06-09,6.95,6.95,6.77,6.79,4.678781,30800
2021-06-10,6.74,6.78,6.62,6.65,4.582312,39000
2021-06-11,6.65,6.765,6.65,6.72,4.630547,20500
2021-06-14,6.7,6.715,6.6,6.63,4.568531,24400
2021-06-15,6.67,6.722,6.62,6.67,4.596094,12500
2021-06-16,6.66,6.84,6.61,6.8,4.685672,86800
2021-06-17,6.79,6.94,6.561,6.92,4.768361,31000
2021-06-18,6.95,7.0,6.81,7.0,4.823486,77100
2021-06-21,7.0,7.57,6.879,7.57,5.216256,100100
2021-06-22,7.44,7.45,7.16,7.39,5.092223,68600
2021-06-23,7.39,7.49,7.26,7.48,5.154239,31000
2021-06-24,7.45,7.69,7.29,7.68,5.292053,22600
2021-06-25,7.61,7.69,7.61,7.66,5.278272,4100
2021-06-28,7.66,7.66,7.48,7.56,5.209365,18800
2021-06-29,7.66,8.395,7.44,7.66,5.278272,5100
2021-06-30,7.13,7.75,7.13,7.22,4.975081,12800
2021-07-01,7.75,7.75,7.33,7.705,5.30928,7600
2021-07-02,7.39,7.413,7.112,7.15,4.926847,14400
2021-07-06,7.03,7.15,7.01,7.098,4.891015,12600
2021-07-07,7.03,7.169,7.0,7.0,4.823486,10900
2021-07-08,7.0,7.14,6.962,6.97,4.802814,13200
2021-07-09,6.98,7.09,6.93,6.95,4.789033,6200
2021-07-12,6.95,7.09,6.94,7.05,4.85794,11600
2021-07-13,7.1,7.15,6.969,6.969,4.802125,10000
2021-07-14,6.99,7.1,6.97,6.98,4.809705,2300
2021-07-15,6.94,7.171,6.89,6.92,4.768361,22700
2021-07-16,7.07,7.07,6.86,6.86,4.727016,6600
2021-07-19,6.63,6.974,6.42,6.45,4.444498,26800
2021-07-20,6.57,6.57,6.347,6.38,4.396264,16600
2021-07-21,6.51,6.6,6.49,6.52,4.492733,11000
2021-07-22,6.542,6.55,6.28,6.28,4.327356,7500
2021-07-23,6.29,6.502,6.273,6.326,4.359054,11700
2021-07-26,6.48,6.68,6.44,6.455,4.447943,10700
2021-07-27,6.79,6.79,6.53,6.65,4.582312,31700
2021-07-28,6.82,6.95,6.66,6.81,4.692563,48700
2021-07-29,6.918,6.918,6.73,6.73,4.637437,6500
2021-07-30,6.91,6.91,6.795,6.795,4.682228,3900
2021-08-02,6.81,6.88,6.723,6.725,4.633992,20500
2021-08-03,6.793,6.793,6.72,6.72,4.630547,3600
2021-08-04,6.72,6.805,6.69,6.8,4.685672,6600
2021-08-05,6.8,6.87,6.8,6.82,4.699454,16900
2021-08-06,6.83,7.01,6.83,7.0,4.823486,17900
2021-08-09,7.08,7.355,7.05,7.318,5.04261,46000
2021-08-10,7.34,7.34,7.1,7.22,4.975081,9200
2021-08-11,7.35,7.39,7.22,7.376,5.082576,17800
2021-08-12,6.76,7.06,6.76,6.95,4.89522,28600
2021-08-13,7.01,7.1,6.93,7.0,4.930437,5300
2021-08-16,6.79,6.97,6.76,6.92,4.874089,18500
