Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,14.5,14.5,14.0,14.0,11.797705,45000
2008-01-03,14.0,14.0,14.0,14.0,11.797705,0
2008-01-04,14.0,14.0,14.0,14.0,11.797705,0
2008-01-07,14.0,14.0,14.0,14.0,11.797705,0
2008-01-08,14.0,14.0,14.0,14.0,11.797705,0
2008-01-09,14.0,14.0,14.0,14.0,11.797705,0
2008-01-10,14.0,14.0,14.0,14.0,11.797705,0
2008-01-11,14.0,14.0,14.0,14.0,11.797705,0
2008-01-14,14.0,14.0,14.0,14.0,11.797705,0
2008-01-15,14.0,14.0,14.0,14.0,11.797705,0
2008-01-16,14.0,14.0,14.0,14.0,11.797705,0
2008-01-17,14.0,14.0,14.0,14.0,11.797705,0
2008-01-18,14.0,14.0,14.0,14.0,11.797705,0
2008-01-22,14.0,14.0,14.0,14.0,11.797705,0
2008-01-23,14.0,14.0,14.0,14.0,11.797705,0
2008-01-24,14.0,14.0,14.0,14.0,11.797705,0
2008-01-25,14.0,14.0,14.0,14.0,11.797705,0
2008-01-28,14.0,14.0,14.0,14.0,11.797705,0
2008-01-29,14.0,14.0,14.0,14.0,11.797705,0
2008-01-30,14.0,14.0,14.0,14.0,11.797705,0
2008-01-31,14.0,14.0,14.0,14.0,11.797705,0
2008-02-01,12.0,13.3,11.95,12.7,10.702202,229300
2008-02-04,13.0,13.1,12.7,12.75,10.744337,48800
2008-02-05,12.75,12.75,11.95,11.95,10.07018,22600
2008-02-06,12.0,12.7,12.0,12.4,10.449395,107000
2008-02-07,12.45,12.45,11.8,11.8,9.943778,4900
2008-02-08,11.83,11.91,10.05,11.46,9.657261,17700
2008-02-11,11.55,11.55,10.1,10.23,8.620747,90400
2008-02-12,10.4,10.5,9.5,10.25,8.637605,839300
2008-02-13,10.1,10.7,10.1,10.65,8.974679,88500
2008-02-14,10.72,11.4,10.72,11.15,9.396029,410700
2008-02-15,11.05,11.75,10.7,11.75,9.901642,566800
2008-02-19,11.8,11.8,11.35,11.5,9.690968,111400
2008-02-20,11.47,11.5,11.1,11.35,9.564566,106500
2008-02-21,11.43,11.8,11.43,11.45,9.648838,108400
2008-02-22,11.55,11.55,11.25,11.45,9.648838,185500
2008-02-25,11.5,11.95,11.25,11.5,9.690968,236700
2008-02-26,11.5,11.8,11.38,11.65,9.81737,453600
2008-02-27,11.7,12.01,11.65,12.0,10.11232,94800
2008-02-28,12.0,12.01,11.75,11.85,9.98591,1008700
2008-02-29,12.0,12.0,11.76,11.8,9.943778,136200
2008-03-03,11.75,11.95,11.48,11.6,9.775241,142600
2008-03-04,11.25,11.89,11.25,11.83,9.969062,38600
2008-03-05,11.8,12.0,11.75,11.8,9.943778,90700
2008-03-06,11.75,11.8,11.19,11.38,9.589849,163300
2008-03-07,11.15,11.3,10.26,11.3,9.522432,88000
2008-03-10,11.27,11.27,10.73,11.0,9.269624,49200
2008-03-11,11.0,11.39,9.62,9.9,8.342664,497200
2008-03-12,10.56,10.56,9.85,10.05,8.469063,80100
2008-03-13,9.8,10.2,9.75,10.0,8.426929,59000
2008-03-14,9.9,10.0,9.8,9.9,8.342664,19900
2008-03-17,9.8,10.0,8.9,9.42,7.938168,239900
2008-03-18,9.42,9.42,8.61,9.19,7.744347,642000
2008-03-19,9.25,10.03,8.61,8.92,7.516822,308400
2008-03-20,8.95,9.25,8.5,8.78,7.398845,277700
2008-03-24,9.1,9.31,8.99,9.25,7.79491,1206300
2008-03-25,9.19,9.44,9.16,9.42,7.938168,1241700
2008-03-26,9.5,9.5,9.31,9.35,7.879182,288600
2008-03-27,9.4,9.93,9.4,9.8,8.258394,568300
2008-03-28,9.7,10.07,9.56,10.06,8.47749,1753600
2008-03-31,10.0,10.28,9.71,10.0,8.426929,225300
2008-04-01,10.5,10.5,10.0,10.25,8.637605,332500
2008-04-02,10.25,10.27,9.87,10.08,8.494348,374800
2008-04-03,10.05,10.29,10.0,10.25,8.637605,754600
2008-04-04,10.11,10.35,10.01,10.2,8.595468,384900
2008-04-07,10.2,10.25,10.15,10.25,8.637605,219300
2008-04-08,10.23,10.5,10.1,10.5,8.848274,331900
2008-04-09,10.5,10.75,10.25,10.4,8.764008,260900
2008-04-10,10.3,10.58,10.05,10.55,8.890412,187100
2008-04-11,10.34,10.53,10.11,10.33,8.705019,237900
2008-04-14,10.3,10.31,10.15,10.29,8.671311,88900
2008-04-15,10.35,10.37,9.59,10.01,8.435355,811600
2008-04-16,10.11,10.51,10.0,10.0,8.426929,229600
2008-04-17,10.25,10.5,10.22,10.31,8.688165,489900
2008-04-18,10.5,10.75,10.4,10.66,8.983111,298200
2008-04-21,10.45,10.59,10.12,10.12,8.528052,463700
2008-04-22,10.12,10.44,10.0,10.3,8.679737,229400
2008-04-23,10.3,10.33,10.1,10.13,8.536481,215000
2008-04-24,10.25,10.32,10.05,10.3,8.679737,608400
2008-04-25,10.27,10.75,10.27,10.65,8.974679,1317300
2008-04-28,10.52,11.4,10.5,11.2,9.438164,541800
2008-04-29,11.23,12.13,11.2,12.1,10.196585,1438300
2008-04-30,12.0,12.5,11.96,11.96,10.078609,814600
2008-05-01,12.1,12.32,12.0,12.2,10.280853,948800
2008-05-02,12.3,12.39,12.14,12.21,10.289278,704500
2008-05-05,12.35,12.36,11.79,11.93,10.053329,785000
2008-05-06,11.98,11.99,11.54,11.68,9.842655,970000
2008-05-07,11.65,11.8,11.25,11.41,9.615128,499700
2008-05-08,11.38,11.55,11.16,11.33,9.547712,563000
2008-05-09,11.3,11.64,11.21,11.44,9.640408,409900
2008-05-12,11.47,11.75,11.39,11.7,9.859508,556200
2008-05-13,12.05,12.65,11.96,12.25,10.322989,1093200
2008-05-14,12.55,12.55,12.04,12.16,10.247148,551200
2008-05-15,12.16,12.25,11.87,12.23,10.306134,363300
2008-05-16,12.28,12.28,12.04,12.13,10.221869,1095100
2008-05-19,12.18,12.22,11.83,11.86,9.994339,748000
2008-05-20,11.77,11.88,11.72,11.8,9.943778,434900
2008-05-21,11.81,12.0,11.48,11.55,9.733105,564700
2008-05-22,11.5,11.78,10.21,10.58,8.915691,1558700
2008-05-23,10.63,10.81,10.16,10.59,8.924118,616300
2008-05-27,10.51,10.61,10.35,10.46,8.814566,405700
2008-05-28,10.61,10.63,10.35,10.43,8.789287,408300
2008-05-29,10.3,10.75,10.25,10.49,8.839848,245600
2008-05-30,10.67,10.7,10.49,10.6,8.932546,137000
2008-06-02,10.45,10.6,10.36,10.51,8.856705,252800
