Date,Open,High,Low,Close,Adj Close,Volume
2021-08-13,3.95,4.14,3.31,3.42,3.42,5543600
2021-08-16,3.7,4.05,3.51,3.78,3.78,3282100
2021-08-17,3.73,4.03,3.58,3.86,3.86,1947800
2021-08-18,3.867,4.3,3.65,4.04,4.04,2668300
2021-08-19,4.05,5.36,3.83,4.92,4.92,16912400
2021-08-20,5.06,6.3,4.52,6.2,6.2,7906800
2021-08-23,5.966,7.22,5.8,6.97,6.97,11775900
2021-08-24,6.91,7.91,6.02,6.08,6.08,10513200
2021-08-25,6.08,6.77,5.96,6.52,6.52,2182900
2021-08-26,6.51,7.24,6.45,6.84,6.84,2317000
2021-08-27,6.9,8.67,6.82,8.5,8.5,6503300
2021-08-30,8.546,8.58,7.04,7.37,7.37,3277800
2021-08-31,7.63,8.1,7.381,7.62,7.62,1969100
2021-09-01,7.65,7.74,7.1,7.39,7.39,1865700
2021-09-02,7.5,8.18,7.25,8.08,8.08,3777600
2021-09-03,8.06,8.8,7.63,7.75,7.75,4605500
2021-09-07,7.8,7.85,6.43,7.16,7.16,3040700
2021-09-08,7.06,7.12,6.56,6.91,6.91,1614600
2021-09-09,6.66,6.96,6.61,6.76,6.76,875500
2021-09-10,6.69,6.85,6.16,6.31,6.31,1766500
2021-09-13,6.3,6.8,6.01,6.54,6.54,2220100
2021-09-14,7.09,8.36,6.9,7.4,7.4,18172100
2021-09-15,7.19,7.37,6.83,7.17,7.17,2438100
2021-09-16,7.04,7.7,6.8,7.68,7.68,3596700
2021-09-17,8.09,9.13,7.35,7.35,7.35,16531500
2021-09-20,7.1,8.07,7.0,7.54,7.54,5259300
2021-09-21,7.62,8.05,7.35,7.8,7.8,3369000
2021-09-22,7.86,8.93,7.85,8.55,8.55,11615300
2021-09-23,8.31,10.39,7.88,10.29,10.29,19234100
2021-09-24,9.98,12.19,9.68,10.99,10.99,22569700
2021-09-27,10.7,12.43,10.606,11.53,11.53,11621300
2021-09-28,11.35,14.64,10.71,14.61,14.61,28911400
2021-09-29,14.17,18.5,12.423,12.93,12.93,53669800
2021-09-30,14.33,14.79,12.92,13.65,13.65,18243800
2021-10-01,13.6,13.67,10.92,11.93,11.93,8886900
2021-10-04,12.0,12.9,11.3,11.69,11.69,6074900
2021-10-05,11.822,12.08,7.38,8.9,8.9,27974800
2021-10-06,8.08,8.45,7.14,7.36,7.36,11200000
2021-10-07,8.07,8.95,7.87,8.04,8.04,15318000
2021-10-08,8.82,11.91,8.22,11.72,11.72,66661000
2021-10-11,11.54,13.55,10.65,12.6,12.6,58059700
2021-10-12,12.25,15.09,12.06,15.01,15.01,51911800
2021-10-13,16.83,17.290001,10.93,11.0,11.0,87323300
2021-10-14,10.217,12.5,9.32,11.99,11.99,79915200
