Date,Open,High,Low,Close,Adj Close,Volume
2021-08-13,0.73,1.0,0.72,0.915,0.915,174700
2021-08-16,0.99,1.08,0.916,1.0,1.0,251800
2021-08-17,0.92,0.94,0.861,0.93,0.93,29000
2021-08-18,0.94,1.1,0.872,1.0,1.0,150700
2021-08-19,1.01,1.4,0.91,1.28,1.28,816800
2021-08-20,1.34,1.85,1.15,1.825,1.825,305000
2021-08-23,1.46,2.64,1.46,2.39,2.39,477800
2021-08-24,2.5,2.77,1.82,1.94,1.94,650900
2021-08-25,1.7,2.06,1.7,1.9,1.9,57100
2021-08-26,1.943,2.43,1.85,1.96,1.96,123000
2021-08-27,2.16,3.5,2.09,3.37,3.37,828700
2021-08-30,3.57,3.64,2.23,2.56,2.56,257600
2021-08-31,2.57,3.04,2.53,2.6,2.6,210800
2021-09-01,2.89,2.89,2.25,2.45,2.45,70600
2021-09-02,2.55,3.17,2.5,3.1,3.1,154800
2021-09-03,3.15,3.61,2.61,2.93,2.93,221400
2021-09-07,3.0,3.0,2.35,2.53,2.53,75400
2021-09-08,2.22,2.449,2.05,2.25,2.25,68600
2021-09-09,2.35,2.35,2.15,2.195,2.195,6900
2021-09-10,2.07,2.26,1.9,1.96,1.96,59200
2021-09-13,1.95,2.14,1.63,1.911,1.911,94300
2021-09-14,2.45,3.4,2.1,2.58,2.58,617200
2021-09-15,2.24,2.55,2.24,2.42,2.42,48000
2021-09-16,2.5,2.75,2.25,2.7,2.7,167200
2021-09-17,2.71,3.98,2.55,2.72,2.72,385900
2021-09-20,2.57,3.133,2.37,2.57,2.57,190500
2021-09-21,2.76,3.059,2.6,2.85,2.85,73900
2021-09-22,2.99,3.89,2.95,3.5,3.5,324800
2021-09-23,3.36,5.68,3.04,5.19,5.19,327600
2021-09-24,4.82,7.111,4.67,5.85,5.85,331800
2021-09-27,6.14,7.4,5.8,6.46,6.46,144900
2021-09-28,6.66,9.81,5.98,9.81,9.81,525600
2021-09-29,9.62,13.61,7.26,7.86,7.86,482700
2021-09-30,9.49,9.8,7.98,8.61,8.61,186400
2021-10-01,8.61,8.71,6.03,6.89,6.89,108900
2021-10-04,6.52,7.798,6.37,6.84,6.84,70800
2021-10-05,7.0,7.0,4.04,4.79,4.79,268000
2021-10-06,3.99,4.65,3.61,4.07,4.07,79600
2021-10-07,4.33,4.7,4.21,4.38,4.38,46900
2021-10-08,4.55,6.81,4.55,6.69,6.69,247200
2021-10-11,7.03,8.5,6.07,7.55,7.55,172300
2021-10-12,8.08,10.28,7.49,10.28,10.28,131700
2021-10-13,11.75,12.07,6.49,6.85,6.85,345800
2021-10-14,6.5,7.99,5.5,7.35,7.35,250800
2021-10-15,8.0,8.0,6.49,6.59,6.59,35900
2021-10-18,6.35,6.71,5.6,5.95,5.95,60200
2021-10-19,5.79,5.97,5.0,5.604,5.604,74800
2021-10-20,5.512,5.765,5.2,5.4,5.4,12200
2021-10-21,5.5,5.98,5.172,5.24,5.24,38600
2021-10-22,5.8,8.0,5.1,5.35,5.35,130300
2021-10-25,5.41,5.46,4.55,4.94,4.94,59900
